#name, A, B, C, D, E, F, G, H, I, J, K, L
NODE_0000000, 0.26307577537800897, 0.07888045527783188, 0.016206289481488514, 0.0416544671889238, 0.009774943165087861, 0.012475039376958881, 0.013715589861038302, 0.009239578598829021, 0.5235417130119351, 0.009570776202024938, 0.009673187969914395, 0.012192184487958248
SAMEA5818806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
NODE_0000001, 0.6180455521516692, 0.13868249091021384, 0.00706386968995505, 0.05426183626320285, 0.0046886317100247295, 0.0060266675490391235, 0.011560440319000184, 0.0040870791367045274, 0.1422791819891551, 0.004220671292724861, 0.0038873575590317707, 0.005196221429278725
D62, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000002, 0.4403563962483111, 0.3168226731557515, 0.007901081700485858, 0.10395810766056485, 0.006063941747978835, 0.005667168235946377, 0.025019015220041015, 0.004130929327367881, 0.07512603524351098, 0.0052544514231643745, 0.0038235871854248454, 0.005876612851452607
SAMN00715800, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000003, 0.40987580848528504, 0.13490876167518978, 0.017251147266268994, 0.2313636039164333, 0.014399747638047519, 0.007142762236395335, 0.08367203771066413, 0.005377611324417255, 0.06469460271990478, 0.012561406154045376, 0.005709260863229384, 0.013043250010119285
NODE_0000004, 0.15275852794391048, 0.058707609509939286, 0.06434248795160193, 0.08480558717957101, 0.01111624320078332, 0.00999523194297043, 0.3913982739544245, 0.00794730154643502, 0.11175384357777995, 0.04931699627160009, 0.008797167279773, 0.04906072964121096
SAMEA5054092, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000005, 0.06157415161273512, 0.030893353944426702, 0.17972681867170884, 0.03446823141842948, 0.009240453171933944, 0.009475650905577664, 0.14837504572672772, 0.008206416599627765, 0.2326196623116525, 0.13946138021120572, 0.008972826100017681, 0.13698600932595692
NODE_0000006, 0.019454675245236547, 0.012464931985864899, 0.4171140296175082, 0.012051573348870396, 0.005807696341119129, 0.006117117762101422, 0.04346513482459246, 0.005609518609354474, 0.07706265022397839, 0.3542548035980578, 0.006089216675325341, 0.040508651767991136
SAMEA3937653, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
