#name, A, B, C, D, E, F, G, H, I, J, K, L
SAMEA5054093, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000007, 0.022014710185879097, 0.01499109930615937, 0.06119309783145547, 0.011985780621725992, 0.005539391220758123, 0.00583437211547757, 0.043878898747831845, 0.005359513562675006, 0.45325201468889315, 0.04110371097152332, 0.005782349933748831, 0.3290650608138722
SAMEA3937654, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
NODE_0000008, 0.0008835563359466172, 0.0007614014097942828, 0.001997782098230717, 0.0005470981057344357, 0.00040516086602731627, 0.0004268602482049136, 0.0014205300909186118, 0.0004087525179479211, 0.014061370848060526, 0.0013504849204908206, 0.0004389422696128128, 0.977298060289031
SAMEA5054089, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
SAMEA5054090, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_0000009, 0.43417932992003566, 0.023398076158906815, 0.0032539497735543043, 0.47769731902143653, 0.027774901483432302, 0.0027364022837792377, 0.011779246856384026, 0.001743531946499181, 0.01022174340468782, 0.0024600842126723927, 0.0021862519502624587, 0.0025691629883492504
NODE_0000010, 0.4584572120981671, 0.004726276745931044, 0.0007525523022616564, 0.5244240257329799, 0.004183590777240311, 0.001087446788258326, 0.0018557289352523537, 0.0005645875340377532, 0.0019176250694057247, 0.0005986254263477553, 0.0008108442590834526, 0.0006214843310347862
SAMEA5818811, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000011, 0.9453981761014593, 0.000635144912696706, 0.0001392753263276488, 0.05217407392238791, 0.0002972301167855595, 0.0003237701043251711, 0.00019708664806956296, 0.00012600385484920167, 0.00029355986096380956, 0.00011694073591302755, 0.00017888850991503528, 0.00011984990630690521
D71, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
R36, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000012, 0.34422537578613055, 0.010201396349282615, 0.0023619797412665197, 0.5211674793305979, 0.10103880074126959, 0.002976096347428648, 0.004822327297682506, 0.0018487617521909337, 0.004915032812109754, 0.001919530165665643, 0.002537780157819406, 0.0019854395185557225
SAMEA7293136, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000013, 0.3219898196683348, 0.0021373192155107, 0.0005568675423692069, 0.6599168861431851, 0.010406001411455056, 0.000955702764856665, 0.0008221896922113574, 0.0004990058545293506, 0.001014297581473424, 0.00046598317386593115, 0.000757074232228676, 0.0004788527199796214
SAMEA5818809, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000014, 0.5920371105203732, 0.0007423893029854706, 0.00019887550568202923, 0.4042091463968721, 0.0009469279974146687, 0.00043387366964749033, 0.00024174065316890798, 0.00018940258378450465, 0.00035360087011257165, 0.00016885262260626718, 0.0003053846935001016, 0.00017269518385274233
P387, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000015, 0.5401745770755463, 0.0007919345094169054, 0.00019698393644830667, 0.4566118469317581, 0.00036790350092945676, 0.00044742591243196423, 0.00022937255264075853, 0.00018953452934530838, 0.00034924117124942466, 0.0001676744499461238, 0.0003021748689577611, 0.00017133056132949387
SAMEA5818817, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000016, 0.8740213321405441, 0.0016162424186597643, 0.00014452177793309933, 0.12260348174933822, 0.00020462385844272407, 0.0003580584233386501, 0.00016887276158498047, 0.00014410231005319147, 0.0002891974122533404, 0.0001221010623282719, 0.00020257018265686607, 0.0001248959028667481
P187, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000017, 0.882950675510264, 0.010028304795499104, 0.00025102182379772056, 0.10385897200976113, 0.00031860838816041745, 0.000686912687608673, 0.00028642179481845744, 0.000285564493375209, 0.0005830905333220336, 0.00020923960572438244, 0.0003268604516509779, 0.00021432790601803474
P212, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000018, 0.562249890168934, 0.1518438087159033, 0.0015128796604113174, 0.2660439670949415, 0.0017584379617222778, 0.004763526926373099, 0.001608781427868653, 0.00211929924502124, 0.0033724348258248, 0.0012566232257746133, 0.002184174266613326, 0.0012861764806119398
SAMEA5818815, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000019, 0.36345505738224987, 0.04413078750883423, 0.0007435529896891667, 0.5741459044930614, 0.0009179846945202972, 0.008563971119583198, 0.0007852080075330253, 0.0021224309978739235, 0.0014761812649156387, 0.0006200902753868132, 0.002402599472868011, 0.0006362317934844757
NODE_0000020, 0.15774016631989557, 0.006085469713179151, 0.0004263672359945479, 0.8230056903621134, 0.00055095324722791, 0.0015619968129726518, 0.0004497455412418224, 0.000573214771317209, 0.0006919488756245803, 0.0003617993225256931, 0.008182521710582782, 0.00037012608732473644
SAMEA5818808, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000021, 0.182612998087658, 0.004120089164722348, 0.0011522170862827428, 0.7369406762047608, 0.0014327363747661367, 0.002074171855715565, 0.0011879407811410583, 0.001146317235369171, 0.0016095602500796923, 0.0009907672996941933, 0.06572121689912748, 0.0010113087606828629
NODE_0000022, 0.25607727773405187, 0.0015269851266904435, 0.0004808709039312079, 0.7285803962305233, 0.0006485293821765735, 0.0009176409123778579, 0.0005213954751685968, 0.0004675273139918255, 0.0007281003337481342, 0.00041228664690389746, 0.009218165652717884, 0.00042082428771851094
D51, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
SAMEA5818803, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000023, 0.005975476024977088, 0.0007271486383829847, 0.0005016161564160578, 0.023081206326045826, 0.0005195942647055116, 0.0005805978427580265, 0.00047036337686889385, 0.00045956677410288684, 0.0005704690721698085, 0.0004365097399971158, 0.9662326167801186, 0.00044483500345699563
SAMEA5818822, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
NODE_0000024, 0.00021572730041809337, 5.463638369862965e-05, 4.571872303208679e-05, 0.0007590402417892727, 4.358564780886004e-05, 4.713684087521194e-05, 4.14086400067566e-05, 4.0951311584976375e-05, 4.919603093884434e-05, 3.989491140784253e-05, 0.9986220531908866, 4.0650777552786316e-05
SAMEA5818826, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
NODE_0000025, 2.6451453706096918e-05, 1.7609775050973247e-05, 1.8231167020591377e-05, 5.622289633237103e-05, 1.5692546041751726e-05, 1.6422262952939475e-05, 1.5863067183920997e-05, 1.5915847990497936e-05, 1.8401144555740383e-05, 1.5975576399231617e-05, 0.9997669454074777, 1.6268855288234856e-05
SAMEA5818829, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
NODE_0000026, 2.084326406651334e-05, 1.647341486126711e-05, 1.7474490147650006e-05, 3.511348416829375e-05, 1.4868743253289714e-05, 1.5502384835563114e-05, 1.5138730482683765e-05, 1.521252094786627e-05, 1.75142157618568e-05, 1.532006909445663e-05, 0.9998009386676537, 1.5600014726842714e-05
NODE_0000027, 1.9314046978040146e-05, 1.542454941386726e-05, 1.638965105154367e-05, 3.199179997527175e-05, 1.393732324482831e-05, 1.4526215276486304e-05, 1.4194522279771895e-05, 1.426623582938694e-05, 1.641682169006473e-05, 1.4369878498319574e-05, 0.9998145366385273, 1.4632317235123851e-05
SAMEA5818825, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
SAMEA5818830, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
NODE_0000028, 1.9960804458764775e-05, 1.5908320340519567e-05, 1.6897468250963802e-05, 3.316341349690624e-05, 1.4370180631843634e-05, 1.4978853747429799e-05, 1.4635309986159583e-05, 1.4708408207447583e-05, 1.6928268801975474e-05, 1.4814816965575533e-05, 0.9998085487309984, 1.5085424113909332e-05
SAMEA5818821, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
NODE_0000029, 1.928554635448574e-05, 1.540683168322281e-05, 1.6371770378466927e-05, 3.1927075595505686e-05, 1.3921813927543505e-05, 1.4509884523602277e-05, 1.4178886139495636e-05, 1.4250601327607353e-05, 1.6398574927590698e-05, 1.4354231851599114e-05, 0.9998147784039189, 1.461637937215203e-05
SAMEA5818818, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
SAMEA5818828, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
NODE_0000030, 0.36551459614919707, 0.04211849680984268, 0.0012980708746275903, 0.5364200705681156, 0.0015485097956206679, 0.03702613022176929, 0.001340380044949955, 0.007952550340756405, 0.0023854725094603277, 0.001089811415776212, 0.002187489208287221, 0.0011184220615969912
NODE_0000031, 0.39464470604383584, 0.0079865231580171, 0.0005285992011156016, 0.5803553766802912, 0.0006948917859413503, 0.01117667553897421, 0.0005754967400447979, 0.001359437716990292, 0.0009465185821433824, 0.0004466036791151143, 0.000827854516567112, 0.00045731635696384464
SAMEA5818805, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000032, 0.8752771844051371, 0.0018584768769027685, 0.0003626066970327929, 0.105344310632332, 0.0004721084098575686, 0.014101434268080502, 0.00040597205703797227, 0.0004338561635097928, 0.0006352501343806075, 0.0003088068520616207, 0.00048437759261037904, 0.0003156159110569341
D72, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000033, 0.8774961161327363, 0.002556185484766653, 0.0007954489829127566, 0.044942577704913014, 0.0009351583352585593, 0.06795659492787973, 0.00086436495035899, 0.0008397425140179999, 0.0013282156399306978, 0.0006807273441314396, 0.000909768197277415, 0.0006950997858165405
D75, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
SAMEA6637004, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000034, 0.17402301971979703, 0.14444263935902985, 0.006192185735959309, 0.19067697810168158, 0.0061129689477675215, 0.34599472486572447, 0.005796625500880013, 0.09799340583611997, 0.011180620881696995, 0.005178444342204055, 0.0070823158398954115, 0.0053260708692438805
NODE_0000035, 0.006922726226176697, 0.004178109605969531, 0.0004701049326370091, 0.005366613817700648, 0.00044157780039403, 0.9773183417279651, 0.0004294985494287073, 0.0029081308000203027, 0.0006530354164733729, 0.00040138427314133395, 0.0004994985312954577, 0.0004109783187980971
SAMEA6637002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
SAMEA6651390, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000036, 0.06741980487662284, 0.3813848452857292, 0.0065206525728208845, 0.06059500667866418, 0.005638741537254323, 0.10514961897941366, 0.005741811015902226, 0.33309562924685004, 0.017454358585629808, 0.005233017560659425, 0.006328614588129177, 0.005437899072324231
SAMEA7313246_49, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
NODE_0000037, 0.009366451307479137, 0.9185096145263945, 0.0020265895945265, 0.005733198629178059, 0.0010561983094477022, 0.008151251596518864, 0.0012117793783225058, 0.02593579296182044, 0.02447543155554486, 0.0010971626444367623, 0.0011649351156348528, 0.001271594380695938
SAMEA5818800, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000038, 0.0053894322227551646, 0.9016718595255686, 0.003058638618567404, 0.0025230975921789415, 0.0008660982201386147, 0.0028694780192124562, 0.0010721014812304236, 0.007865655331430127, 0.07152250047869312, 0.0009831758733579764, 0.0009474007881462828, 0.0012305618487210186
NODE_0000039, 0.00048025391270205525, 0.9952105384825667, 0.0001697460303794966, 0.00019191535519477777, 7.686207382698445e-05, 0.00016612496839836998, 9.484013331930435e-05, 0.0003755025005532764, 0.002966143240004197, 8.458307479299657e-05, 8.372475537334703e-05, 9.976547288877738e-05
SAMEA5818801, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000040, 0.00011353643361112772, 0.999442705196477, 2.74273254118154e-05, 4.38972198392265e-05, 1.9077037229517036e-05, 3.215578684598929e-05, 2.27478832006052e-05, 5.1944758374179735e-05, 0.00018465108988551806, 1.997412645505013e-05, 2.077526174923189e-05, 2.1107880920616512e-05
SAMEA5818798, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
SAMEA5818799, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000041, 0.003268867620031822, 0.07955928626634806, 0.02615616531097504, 0.0014115346874500386, 0.0009682031753855531, 0.0012942047896058004, 0.0013152395080616166, 0.0017611184928546398, 0.8800288565911143, 0.0014013285013037466, 0.0010577273151364701, 0.001777467741732876
SAMEA7313243_45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
NODE_0000042, 0.0024886415872037815, 0.022863192163495544, 0.08872954335282258, 0.0011771031305474757, 0.0009467302441601144, 0.0011092013437576775, 0.0013133958923391045, 0.0012547976331710557, 0.8756937389649163, 0.0015661126104518964, 0.0010359763361598173, 0.0018215667409746984
NODE_0000043, 0.000245086074018521, 0.0011129565624829532, 0.003872971399157948, 0.0001048588029327308, 8.993320797048406e-05, 9.940434226205714e-05, 0.00012960631324174522, 0.00010407051601911144, 0.9937894830055267, 0.0001430838333860125, 9.827365143709747e-05, 0.0002102722915645405
SAMEA7293135, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
SAMEA7313236_38, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
NODE_0000044, 0.0006284490967021512, 0.0012505513179619852, 0.9575218409836402, 0.0003803738943805896, 0.0003755790836641845, 0.0003978469256728169, 0.0005167606373486658, 0.00039943512064356676, 0.03667627743131102, 0.0008003359185736989, 0.00041331108994878353, 0.0006392385001524019
SAMEA3713715, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000045, 6.47042200801514e-05, 8.612963391087736e-05, 0.9976902447456774, 4.3508782329790764e-05, 4.439250285805001e-05, 4.655275358126142e-05, 6.123301547873852e-05, 4.615990497972524e-05, 0.001687634252511858, 0.0001108786784841559, 4.893705007623812e-05, 6.962446003189685e-05
NODE_0000046, 2.254425896259169e-05, 2.37827169534957e-05, 0.9996184880323896, 1.6997164786711434e-05, 1.8107110754586357e-05, 1.8825562535099794e-05, 2.4300662293373943e-05, 1.857689742991903e-05, 0.00014549542055909906, 4.791047284794212e-05, 2.0012689816339115e-05, 2.4959010671277395e-05
SAMEA3713711, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
SAMEA3713714, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000047, 2.254425896259169e-05, 2.37827169534957e-05, 0.9996184880323896, 1.6997164786711434e-05, 1.8107110754586357e-05, 1.8825562535099794e-05, 2.4300662293373943e-05, 1.857689742991903e-05, 0.00014549542055909906, 4.791047284794212e-05, 2.0012689816339115e-05, 2.4959010671277395e-05
SAMEA3713712, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
SAMEA3713713, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
