#name, A, B, C, D
NODE_0000031, 5.3339677417299856e-06, 0.9999876533325676, 3.526810683813452e-06, 3.4858890069435347e-06
SAMEA5818805, 0.0, 1.0, 0.0, 0.0
NODE_0000032, 5.329360964620092e-06, 0.9999876627699718, 3.524382533236366e-06, 3.483486530307128e-06
D72, 0.0, 0.9999999999999999, 0.0, 0.0
NODE_0000033, 5.221283748981759e-06, 0.9999878979360037, 3.460483761934154e-06, 3.420296485285088e-06
D75, 0.0, 1.0, 0.0, 0.0
SAMEA6637004, 0.0, 1.0, 0.0, 0.0
NODE_0000034, 5.444327348362468e-06, 0.9999874134944366, 3.591910651290488e-06, 3.550267563683669e-06
NODE_0000035, 5.223611068788501e-06, 0.9999878931707146, 3.461709222940366e-06, 3.4215089938700465e-06
SAMEA6637002, 0.0, 1.0, 0.0, 0.0
SAMEA6651390, 0.0, 1.0, 0.0, 0.0
NODE_0000036, 5.333967758086847e-06, 0.9999876533325313, 3.5268106937939807e-06, 3.4858890168036885e-06
SAMEA7313246_49, 0.0, 1.0, 0.0, 0.0
NODE_0000037, 5.333965776102948e-06, 0.9999876533361851, 3.526809853870653e-06, 3.4858881849502887e-06
SAMEA5818800, 0.0, 0.9999999999999999, 0.0, 0.0
NODE_0000038, 5.444229205232623e-06, 0.9999874136844634, 3.5918644770661402e-06, 3.550221854222627e-06
NODE_0000039, 5.331638375719949e-06, 0.9999876581015041, 3.5255844186636895e-06, 3.4846757014308684e-06
SAMEA5818801, 0.0, 1.0, 0.0, 0.0
NODE_0000040, 5.221329802918209e-06, 0.9999878978464926, 3.460505600904742e-06, 3.420318103636232e-06
SAMEA5818798, 0.0, 1.0, 0.0, 0.0
SAMEA5818799, 0.0, 1.0, 0.0, 0.0
NODE_0000041, 5.336198044795453e-06, 0.9999876487555481, 3.527990286662703e-06, 3.4870561203583997e-06
SAMEA7313243_45, 0.0, 0.9999999999999999, 0.0, 0.0
NODE_0000042, 5.441996724139826e-06, 0.9999874182653852, 3.590684008185778e-06, 3.5490538826544814e-06
NODE_0000043, 5.223563939968236e-06, 0.9999878932621974, 3.4616869333493932e-06, 3.4214869292036404e-06
SAMEA7293135, 0.0, 1.0, 0.0, 0.0
SAMEA7313236_38, 0.0, 1.0, 0.0, 0.0
NODE_0000044, 5.33610295766881e-06, 0.99998764894005, 3.5279453527500527e-06, 3.487011639701523e-06
SAMEA3713715, 0.0, 1.0, 0.0, 0.0
NODE_0000045, 5.439622249353213e-06, 0.9999874231218948, 3.5894364033836487e-06, 3.547819452519059e-06
NODE_0000046, 5.223515925182874e-06, 0.9999878933553257, 3.4616642623745296e-06, 3.421464486846047e-06
SAMEA3713711, 0.0, 1.0, 0.0, 0.0
SAMEA3713714, 0.0, 1.0, 0.0, 0.0
NODE_0000047, 5.223515925182874e-06, 0.9999878933553257, 3.4616642623745296e-06, 3.421464486846047e-06
SAMEA3713712, 0.0, 1.0, 0.0, 0.0
SAMEA3713713, 0.0, 1.0, 0.0, 0.0
