#name, A, B, C, D
NODE_0000000, 0.500866203209477, 0.49222373510088024, 0.003476914361136401, 0.00343314732850649
SAMEA5818806, 1.0, 0.0, 0.0, 0.0
NODE_0000001, 0.010247714336545833, 0.9894973544509844, 0.000128236323747319, 0.00012669488872252908
D62, 0.0, 0.9999999999999999, 0.0, 0.0
NODE_0000002, 0.0002150559725696375, 0.9997707542886125, 7.135528329495275e-06, 7.054210488419999e-06
SAMN00715800, 0.0, 0.9999999999999999, 0.0, 0.0
NODE_0000003, 1.0122341795304977e-05, 0.9999781963884776, 5.849696629485098e-06, 5.831573097686757e-06
NODE_0000004, 1.1411303547040915e-05, 0.9997535315497341, 0.00011691007995244267, 0.00011814706676634685
SAMEA5054092, 0.0, 0.9999999999999999, 0.0, 0.0
NODE_0000005, 0.00018066896827076534, 0.9873512011184399, 0.006199397432311005, 0.006268732480978337
NODE_0000006, 1.0989527628973996e-05, 0.9997584386120323, 0.00011467981448549414, 0.00011589204585335203
SAMEA3937653, 0.0, 1.0, 0.0, 0.0
SAMEA5054093, 0.0, 1.0, 0.0, 0.0
NODE_0000007, 0.002350699648744526, 0.3281116579440421, 0.332919561963953, 0.3366180804432604
SAMEA3937654, 0.0, 0.0, 0.0, 1.0
NODE_0000008, 5.839747101973829e-05, 0.0034317546086730854, 0.9929965460816137, 0.003513301838693304
SAMEA5054089, 0.0, 0.0, 1.0, 0.0
SAMEA5054090, 0.0, 0.0, 1.0, 0.0
NODE_0000009, 5.5449909721659805e-06, 0.999987224871135, 3.6356790389468894e-06, 3.5944588539035497e-06
NODE_0000010, 5.3337139979071775e-06, 0.9999876543924423, 3.526397309635143e-06, 3.4854962500275447e-06
SAMEA5818811, 0.0, 0.9999999999999999, 0.0, 0.0
NODE_0000011, 5.221371677468034e-06, 0.9999878977748061, 3.460520438816507e-06, 3.420333077491896e-06
D71, 0.0, 1.0, 0.0, 0.0
R36, 0.0, 1.0, 0.0, 0.0
NODE_0000012, 5.335994188054043e-06, 0.9999876497189446, 3.527600323490352e-06, 3.4866865438507154e-06
SAMEA7293136, 0.0, 0.9999999999999999, 0.0, 0.0
NODE_0000013, 5.33168105828283e-06, 0.9999876580284144, 3.525599553177568e-06, 3.484690974052153e-06
SAMEA5818809, 0.0, 1.0, 0.0, 0.0
NODE_0000014, 5.331592132019744e-06, 0.9999876581914379, 3.525562460377282e-06, 3.484653969726729e-06
P387, 0.0, 1.0, 0.0, 0.0
NODE_0000015, 5.331590320516939e-06, 0.99998765819461, 3.52556177940897e-06, 3.484653290198104e-06
SAMEA5818817, 0.0, 1.0, 0.0, 0.0
NODE_0000016, 5.3315912741814305e-06, 0.9999876581928445, 3.5255621871795836e-06, 3.484653693950392e-06
P187, 0.0, 1.0, 0.0, 0.0
NODE_0000017, 5.331639351699251e-06, 0.9999876580996102, 3.5255848801497922e-06, 3.4846761581163904e-06
P212, 0.0, 1.0, 0.0, 0.0
NODE_0000018, 5.333968728926712e-06, 0.9999876533307409, 3.526811105560789e-06, 3.4858894246149643e-06
SAMEA5818815, 0.0, 1.0, 0.0, 0.0
NODE_0000019, 5.4467018526187155e-06, 0.9999874086378912, 3.5931582592655906e-06, 3.5515019970281945e-06
NODE_0000020, 5.336248129715061e-06, 0.9999876486586177, 3.528013827932562e-06, 3.4870794246888474e-06
SAMEA5818808, 0.0, 0.9999999999999999, 0.0, 0.0
NODE_0000021, 5.4419508080690595e-06, 0.9999874183546424, 3.5906622274291866e-06, 3.549032321938678e-06
NODE_0000022, 5.22356301233172e-06, 0.999987893263914, 3.4616865370208654e-06, 3.4214865366975376e-06
D51, 0.0, 1.0, 0.0, 0.0
SAMEA5818803, 0.0, 1.0, 0.0, 0.0
NODE_0000023, 5.333871639018627e-06, 0.9999876535189328, 3.526765323787777e-06, 3.4858441042404634e-06
SAMEA5818822, 0.0, 1.0, 0.0, 0.0
NODE_0000024, 5.331684357012544e-06, 0.9999876580120338, 3.5256062738125773e-06, 3.4846973354536277e-06
SAMEA5818826, 0.0, 1.0, 0.0, 0.0
NODE_0000025, 5.333869616989324e-06, 0.9999876535226591, 3.526764467640511e-06, 3.4858432563186935e-06
SAMEA5818829, 0.0, 0.9999999999999999, 0.0, 0.0
NODE_0000026, 5.441852703279243e-06, 0.9999874185447007, 3.5906160180288714e-06, 3.548986578028823e-06
NODE_0000027, 5.223561030450948e-06, 0.9999878932675695, 3.4616856960990156e-06, 3.421485703862634e-06
SAMEA5818825, 0.0, 1.0, 0.0, 0.0
SAMEA5818830, 0.0, 1.0, 0.0, 0.0
NODE_0000028, 5.3315893462552746e-06, 0.999987658196496, 3.5255613211230865e-06, 3.484652836583002e-06
SAMEA5818821, 0.0, 1.0, 0.0, 0.0
NODE_0000029, 5.2213288124397424e-06, 0.9999878978483195, 3.460505180575038e-06, 3.4203176873490826e-06
SAMEA5818818, 0.0, 0.9999999999999999, 0.0, 0.0
SAMEA5818828, 0.0, 0.9999999999999999, 0.0, 0.0
NODE_0000030, 5.448933342854309e-06, 0.9999874040588992, 3.5943382562976918e-06, 3.5526695016821814e-06
