name,Baden-Württemberg,Bavaria,Brandenburg,Catalonia,Central Denmark Region,Chechnya,East of England,Greater London,Lazio,Nidwalden,North Brabant,Occitanie,Oslo,Pomeranian Voivodeship,Provence-Alpes-Côte d'Azur,Region of Southern Denmark,Rostov Oblast,Tatarstan,Vilnius County
NODE0,0.009096045533525849,0.023602750040515052,0.007266339242987159,0.009205843697324762,0.009453831540538788,0.00739744941513558,0.007430874237956326,0.05891830250965653,0.00889803274172857,0.008151480493089417,0.01141628609353838,0.009205843697324738,0.015332398712763817,0.008217686412366285,0.007875183338063106,0.23462551540510762,0.00821260446113533,0.5442380573618034,0.011455475065439506
SAMEA5818806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NODE1,0.006088951473577198,0.037238770378431534,0.0044413397271028665,0.006551603008098087,0.007455798034358772,0.00448903880684245,0.0045961636896547165,0.12198417960394252,0.0072192622477573465,0.005055153777071967,0.00780871485629949,0.006551603008098046,0.019578445127544402,0.005638957840261408,0.00483148998455421,0.5376491989040687,0.005682627966114062,0.1985605645216058,0.008578137044616315
D62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NODE2,0.006122030350297498,0.09085140740890893,0.00477209781899818,0.009455910526318195,0.010875773329606656,0.0047516950211935974,0.004953379455476251,0.3445481402616748,0.01220842481939814,0.005526282874038723,0.010277281973959931,0.0094559105263181,0.04693185487963957,0.006448819012048673,0.005157743962584374,0.3036148735008275,0.006631489116424237,0.10868437744077726,0.008732507721509278
SAMN00715800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE3,0.0068015119647469435,0.24417851767149995,0.005808205672951302,0.019653179041179556,0.018826442991860495,0.005634306253445771,0.006024599338180983,0.13469291020571567,0.028306950191746196,0.006832268228142182,0.019956430016945435,0.01965317904117931,0.13416729189029594,0.006991444838623282,0.006061726128477327,0.23051951806463394,0.0070987587057399935,0.08987517748996572,0.008917582264670078
NODE4,0.007129834464890685,0.0860831793139929,0.006370480683015355,0.05239720160757151,0.01258390174503686,0.00632266449069582,0.006528107964992149,0.050929669379809264,0.014292875332658671,0.007314598437043222,0.051229768719100476,0.05239720160757085,0.4140956497388909,0.007035312312283852,0.006737375643443173,0.08596353620428954,0.007079932291409348,0.11698407272864188,0.008524637334663536
SAMEA5054092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE5,0.0074346076008396066,0.03577463394178663,0.0069590864601042,0.14610148240824108,0.010015628322814192,0.007011959293268686,0.007067797176024511,0.02448402081188642,0.01007471831881046,0.007850378332184205,0.14087357019630453,0.14610148240823964,0.1634803236040191,0.007345783095844099,0.0074365450075059335,0.039121848781214545,0.00737802715624233,0.21715787475266957,0.008330232332000075
