Sample	seq_mode	seq_LH	pos_mode	pos_LH	coal_mode	coal_LH	converged	ndiff	n_resolved
0	joint	-6581307.588507572	joint	-360006583209.86707	None	0	False	-1	-1
1	joint	-6583279.0497809155	joint	-310006570711.7134	None	8929.110096714496	False	11	48
2	joint	-6583410.479492296	joint	-330006570383.9001	None	9319.492082326537	False	6	30
3	joint	-6583511.940006115	joint	-340006570286.4417	None	9610.330576162418	False	12	27
4	joint	-6583628.753047208	joint	-350006570121.3986	None	9694.501380851418	False	11	10
5	joint	-6583745.028337545	joint	-450006569948.8547	None	9759.78736563412	False	6	5
6	joint	-6583821.181641827	joint	-450006569950.7266	None	9815.370448721293	False	12	5
7	joint	-6583915.656605811	joint	-510006569818.2685	None	9822.147593286167	False	8	0
8	joint	-6584004.50871869	joint	-490006569818.351	None	9843.181683990151	False	5	0
9	joint	-6584077.7948088795	joint	-500006569851.3664	None	9879.82065418133	False	8	4
10	joint	-6584148.635540187	joint	-420006569894.0212	None	9922.594607672447	False	13	2
11	joint	-6584223.390935163	joint	-460006569811.0534	None	9951.165613399833	False	10	0
12	joint	-6584270.708982021	joint	-450006569824.04565	None	9965.04838740214	False	13	1
13	joint	-6584334.7502248995	joint	-420006569839.23334	None	9973.99530378586	False	7	0
14	joint	-6584372.780406834	joint	-470006569850.9317	None	9933.87810655854	False	17	1
15	joint	-6584513.232465399	joint	-550006569997.0139	None	9925.267229486597	False	13	0
16	joint	-6584550.72988402	joint	-500006569805.06067	None	9930.534204554366	False	13	0
17	joint	-6584608.392024025	joint	-470006569806.0341	None	9963.80308595251	False	6	0
18	joint	-6584632.789821521	joint	-460006569825.8115	None	9944.092112124961	False	5	0
19	joint	-6584662.024879198	joint	-460006569835.8128	None	9942.864397942905	False	7	0
20	joint	-6584694.01694658	joint	-430006569872.0075	None	9933.173161172464	False	12	0
21	joint	-6584678.153299611	joint	-480006569842.4267	None	9937.008327138336	False	4	1
22	joint	-6584688.308073105	joint	-540006569748.7063	None	9952.65689993664	False	19	0
23	joint	-6584695.827617216	joint	-530006569761.3177	None	9953.863351774464	False	9	0
24	joint	-6584724.110826041	joint	-560006569710.3713	None	9971.761501675563	False	37	0
25	joint	-6584746.12072826	joint	-520006569789.57117	None	9994.433248385569	False	13	3
26	joint	-6584771.8337921295	joint	-530006569726.6231	None	10010.316189435704	False	5	0
27	joint	-6584805.7476170985	joint	-520006569759.85986	None	10017.322183735729	False	6	1
28	joint	-6584804.230320277	joint	-530006569731.3305	None	10009.971245417219	False	4	0
29	joint	-6584831.349374303	joint	-550006569721.6486	None	10008.752514545093	False	2	0
30	joint	-6584852.2627878245	joint	-520006569742.43146	None	10015.91994627563	False	4	0
31	joint	-6584879.11514395	joint	-510006569757.68	None	10034.804608928824	False	6	1
32	joint	-6584901.039839401	joint	-520006569741.88947	None	10029.639447992962	False	4	0
33	joint	-6584927.207555952	joint	-520006569782.5698	None	10015.719397618856	False	5	1
34	joint	-6584943.05620228	joint	-530006569734.3271	None	10038.290311307534	False	17	0
35	joint	-6584972.127878469	joint	-570006569685.2478	None	10051.15210197533	False	8	0
36	joint	-6584987.371053056	joint	-520006569738.0576	None	10050.618154947428	False	10	0
37	joint	-6584988.529360034	joint	-530006569733.5255	None	10036.365015585481	False	6	0
38	joint	-6585020.216381524	joint	-530006569731.7094	None	10043.769489271226	False	9	0
39	joint	-6585040.561455387	joint	-510006569762.28503	None	10038.421213227783	False	4	0
40	joint	-6585056.079735163	joint	-540006569722.5902	None	10046.84718258185	False	1	0
41	joint	-6585058.877680497	joint	-600006569666.697	None	10043.106366265765	False	5	0
42	joint	-6585062.046704745	joint	-540006569723.63116	None	10047.053556978874	False	6	0
43	joint	-6585089.353063308	joint	-520006569747.8294	None	10043.521857232623	False	4	0
44	joint	-6585095.8142015515	joint	-540006569718.1077	None	10058.781000854842	False	12	1
45	joint	-6585116.036349535	joint	-560006569685.4333	None	10062.487449066171	False	4	0
46	joint	-6585128.178529035	joint	-580006569673.253	None	10060.42212030417	False	4	0
47	joint	-6585128.955619649	joint	-550006569721.4329	None	10047.323379590493	False	5	0
48	joint	-6585145.333547628	joint	-510006569760.7382	None	10045.70697385084	False	3	0
49	joint	-6585154.113099635	joint	-590006569672.9545	None	10050.626844145861	False	4	0
50	joint	-6585149.420826978	joint	-560006569687.5223	None	10054.625695634195	False	6	0
51	joint	-6585156.53329428	joint	-590006569673.7196	None	10046.715918662188	False	5	0
52	joint	-6585159.0727360025	joint	-570006569689.3441	None	10043.823242394594	False	10	0
53	joint	-6585183.519632152	joint	-550006569712.4578	None	10054.817385339373	False	3	0
54	joint	-6585191.003657288	joint	-550006569696.7651	None	10059.098057087278	False	4	0
55	joint	-6585198.512999836	joint	-600006569663.4949	None	10050.3397795668	False	9	0
56	joint	-6585211.5209555365	joint	-580006569675.2222	None	10058.865858415198	False	4	0
57	joint	-6585219.803813583	joint	-580006569691.9987	None	10045.300570801872	False	7	0
58	joint	-6585214.345458366	joint	-530006569726.7092	None	10059.55713191664	False	20	0
59	joint	-6585234.560791562	joint	-600006569648.9308	None	10058.710493053146	False	4	0
60	joint	-6585237.0691903075	joint	-610006569661.422	None	10042.399774253334	False	7	0
61	joint	-6585207.414349364	joint	-560006569702.451	None	10047.266977602558	False	7	0
62	joint	-6585223.597250957	joint	-530006569730.06866	None	10046.95523073885	False	4	0
63	joint	-6585225.662895654	joint	-580006569672.6206	None	10049.368811607668	False	4	0
64	joint	-6585242.740197821	joint	-600006569651.0677	None	10054.024413651427	False	1	0
65	joint	-6585253.177604739	joint	-560006569699.1895	None	10052.715920524775	False	3	0
66	joint	-6585255.938696942	joint	-580006569684.272	None	10046.806673635674	False	4	0
67	joint	-6585284.976255897	joint	-540006569723.34344	None	10056.813302376997	False	7	0
68	joint	-6585267.406025472	joint	-590006569664.3694	None	10051.89531214364	False	7	0
69	joint	-6585258.69819248	joint	-590006569669.8866	None	10047.382316316141	False	4	0
70	joint	-6585261.103263093	joint	-550006569709.7882	None	10046.118301165123	False	2	0
71	joint	-6585281.588058247	joint	-510006569753.76917	None	10054.787102322589	False	6	0
72	joint	-6585279.099164139	joint	-540006569712.2983	None	10061.445093556598	False	4	0
73	joint	-6585277.149905701	joint	-570006569686.0931	None	10049.248359034478	False	4	0
