Sample	seq_mode	seq_LH	pos_mode	pos_LH	coal_mode	coal_LH	converged	ndiff	n_resolved
74	joint	-6585296.36995963	joint	-580006569688.5741	None	10043.707804033227	False	3	0
75	joint	-6585298.350722606	joint	-570006569692.7428	None	10046.019232825389	False	2	0
76	joint	-6585297.009250158	joint	-490006569768.25903	None	10056.736428455322	False	2	0
77	joint	-6585317.434634995	joint	-510006569736.45013	None	10070.76314316913	False	2	0
78	joint	-6585296.892746881	joint	-560006569703.5768	None	10043.279311497132	False	4	0
79	joint	-6585309.305089161	joint	-570006569686.3798	None	10048.277200725826	False	4	0
80	joint	-6585317.683556203	joint	-540006569719.25336	None	10047.412700466926	False	4	0
81	joint	-6585348.989430617	joint	-520006569730.03467	None	10067.08596380919	False	7	0
82	joint	-6585357.7391310735	joint	-560006569699.3093	None	10064.673521239903	False	7	0
83	joint	-6585322.746119903	joint	-580006569681.2114	None	10045.018891253323	False	5	0
84	joint	-6585337.297156151	joint	-530006569728.5632	None	10057.895041624304	False	5	0
85	joint	-6585341.921211351	joint	-530006569729.5194	None	10057.799541376644	False	6	0
86	joint	-6585355.477018981	joint	-540006569720.2359	None	10063.592709919674	False	7	0
87	joint	-6585338.892594052	joint	-590006569662.721	None	10055.3685872888	False	3	0
88	joint	-6585344.028127431	joint	-560006569705.9651	None	10054.520474541014	False	6	0
89	joint	-6585328.285157269	joint	-560006569698.3663	None	10050.612295060615	False	3	0
90	joint	-6585342.648908592	joint	-550006569701.7948	None	10065.056910476525	False	2	0
91	joint	-6585338.888410904	joint	-560006569689.7043	None	10063.227220482879	False	4	0
92	joint	-6585347.952151714	joint	-560006569710.9446	None	10046.230582529868	False	4	0
93	joint	-6585343.428977914	joint	-550006569700.8931	None	10064.583014169431	False	7	0
94	joint	-6585342.50053442	joint	-560006569702.001	None	10053.742030264499	False	9	0
95	joint	-6585397.560437784	joint	-510006569934.7735	None	10044.415690772948	False	3	0
96	joint	-6585392.292086294	joint	-540006569718.7625	None	10055.297610856684	False	3	0
97	joint	-6585399.735262346	joint	-550006569722.1792	None	10049.31298991521	False	5	0
98	joint	-6585408.448970164	joint	-530006569740.9746	None	10047.226792241097	False	5	0
99	joint	-6585408.055643177	joint	-530006569742.6665	None	10044.374186721401	False	3	0
100	joint	-6585383.080017803	joint	-530006569757.99316	None	10064.829267723548	False	9	1
