Sample	seq_mode	seq_LH	pos_mode	pos_LH	coal_mode	coal_LH	converged	ndiff	n_resolved
0	joint	-6581311.653764251	joint	-350006583249.07385	None	0	False	-1	-1
1	joint	-6583317.007930487	joint	-300006570745.6031	None	8924.071823068085	False	8	49
2	joint	-6583429.011697236	joint	-320006570393.49866	None	9311.594276297375	False	5	30
3	joint	-6583545.941071784	joint	-320006570327.15924	None	9602.784271417559	False	10	26
4	joint	-6583650.968834158	joint	-350006570151.8507	None	9732.104226892307	False	3	13
5	joint	-6583778.931840618	joint	-290006570152.0988	None	9767.364043518333	False	11	5
6	joint	-6583872.69467352	joint	-420006569982.0154	None	9809.400836693128	False	4	3
7	joint	-6583949.451524413	joint	-360006570046.3824	None	9836.52464196631	False	11	3
8	joint	-6584039.660746975	joint	-460006569890.2118	None	9858.50679104677	False	13	0
9	joint	-6584120.413343075	joint	-430006569963.49567	None	9890.75564463279	False	7	4
10	joint	-6584214.981932332	joint	-460006569897.07355	None	9926.333469508996	False	14	2
11	joint	-6584290.765955799	joint	-490006569851.0167	None	9940.792443557393	False	18	1
12	joint	-6584389.245386851	joint	-460006569871.1722	None	9963.0982386746	False	10	1
13	joint	-6584424.086760853	joint	-470006569828.1161	None	9979.79126505054	False	10	0
14	joint	-6584486.121318689	joint	-500006569798.75055	None	9987.110806719711	False	9	0
15	joint	-6584562.848597304	joint	-480006569827.515	None	9988.515380707273	False	7	0
16	joint	-6584630.485501919	joint	-510006569827.0329	None	10000.047060489887	False	14	2
17	joint	-6584660.409680124	joint	-470006569826.4152	None	10011.079008589377	False	7	0
18	joint	-6584704.132089955	joint	-510006569787.1247	None	10019.827958978893	False	17	0
19	joint	-6584738.031000679	joint	-490006569805.02515	None	10020.512059629931	False	9	0
20	joint	-6584790.951845032	joint	-500006569828.3459	None	10016.305486855399	False	5	1
21	joint	-6584803.95604578	joint	-490006569802.33856	None	10028.261409906438	False	35	0
22	joint	-6584840.995735741	joint	-510006569796.3617	None	10033.485318464613	False	3	0
23	joint	-6584837.805957845	joint	-500006569814.9905	None	10038.40169683338	False	12	1
24	joint	-6584853.212180155	joint	-550006569750.6681	None	10042.080974377532	False	2	0
25	joint	-6584861.636588877	joint	-530006569754.5148	None	10051.519558850801	False	5	0
26	joint	-6584859.766577314	joint	-500006569786.92206	None	10048.912102975699	False	4	0
27	joint	-6584874.687833352	joint	-500006569787.2776	None	10048.403535508825	False	2	0
28	joint	-6584919.276432286	joint	-520006569771.20557	None	10056.349553442957	False	3	0
29	joint	-6584905.905917259	joint	-500006569786.0665	None	10049.445926305596	False	2	0
30	joint	-6584947.172081268	joint	-490006569786.63715	None	10068.958002073832	False	7	0
31	joint	-6584946.637771769	joint	-520006569760.22516	None	10061.597823541038	False	2	0
32	joint	-6584951.955182678	joint	-550006569742.6787	None	10050.155187895143	False	5	0
33	joint	-6584974.79278064	joint	-510006569779.2451	None	10054.907747587717	False	5	0
34	joint	-6584978.776794647	joint	-490006569807.99255	None	10048.204815872057	False	3	0
35	joint	-6585010.277252621	joint	-510006569775.5249	None	10058.118855511268	False	5	0
36	joint	-6585008.398618691	joint	-510006569835.41406	None	10037.897565070987	False	10	0
37	joint	-6585022.130063589	joint	-540006569753.6206	None	10049.747517494867	False	3	0
38	joint	-6585040.641370849	joint	-530006569762.6353	None	10051.952467640529	False	9	0
39	joint	-6585055.473199443	joint	-470006569816.1513	None	10062.646200272344	False	19	0
40	joint	-6585087.827972028	joint	-480006569820.18335	None	10063.694169052536	False	5	0
41	joint	-6585089.084709777	joint	-570006569727.4187	None	10049.183058770292	False	6	0
42	joint	-6585093.501465701	joint	-500006569823.7033	None	10054.667207546014	False	4	1
43	joint	-6585117.325371689	joint	-500006569796.8484	None	10063.474857137786	False	5	0
44	joint	-6585136.786540914	joint	-500006569803.6646	None	10068.703228590512	False	3	0
45	joint	-6585104.748025076	joint	-530006569773.0196	None	10063.644913323184	False	5	1
46	joint	-6585102.595489306	joint	-520006569787.4685	None	10056.877304134367	False	14	0
47	joint	-6585121.222814806	joint	-560006569747.8939	None	10055.128383976114	False	6	0
48	joint	-6585153.555209324	joint	-530006569775.0673	None	10069.908876817608	False	6	0
49	joint	-6585159.791603622	joint	-510006569789.3326	None	10071.491259688539	False	1	0
50	joint	-6585173.913822412	joint	-540006569751.1147	None	10078.139947808108	False	7	0
