node	lower_bad	upper_bad	lower_corrected	upper_corrected
NODE176	-8656772.799203284	-8575456.955904	1980.5002669838727	1980.5002669838727
NODE227	-10716339.35078785	-8112204.864181638	1936.10855516405	1936.10855516405
NODE229	-8116732.1611591205	2001.4804588754675	2001.4312703314777	2001.4312703314777
NODE251	-8971548.697773913	-8963453.942200562	1955.8178420810177	1955.8178420810177
NODE276	-9774772.962860323	-9766663.710515236	1985.8768127789917	1985.8768127789917
NODE282	-9766681.675701175	1999.6545093824664	1999.5985989975193	1999.5985989975193
NODE284	-9766680.517740928	1994.100175178111	1995.4556427373468	1995.4556427373468
NODE_0000253	-555509.0307391234	1996.0	1994.4774817642115	1994.4774817642115
NODE_0000254	-244331.10584396022	1996.0	1994.4817933547952	1994.4817933547952
NODE313	-8279437.354522193	-8271355.102178567	1980.1011061768304	1980.1011061768304
NODE_0000274	-8271357.105303768	2006.0	1992.6306604383637	1992.6306604383637
NODE316	-8271350.675091118	2018.0	1995.1450138824082	1995.1450138824082
NODE423	-8555530.937287524	-8547443.692495506	1456.6493327351664	1456.6493327351664
