P384S6aM4_X	P384S6aM4_Y
0.0	0.0
0.001	0.000978
0.002	0.0015919999999999999
0.003	0.002091
0.004	0.002536
0.005	0.0029259999999999998
0.006	0.003273
0.006999999999999999	0.003597
0.008	0.003894
0.009	0.00417
0.01	0.004424
0.011	0.004661
0.012	0.004889999999999999
0.013	0.0050999999999999995
0.013999999999999999	0.005304
0.015	0.005495
0.016	0.005676
0.016999999999999998	0.005850999999999999
0.018	0.006013
0.019	0.006176
0.02	0.006324
0.020999999999999998	0.006475
0.022	0.006612
0.023	0.0067469999999999995
0.024	0.006879
0.024999999999999998	0.007006
0.026	0.007123999999999999
0.027	0.00724
0.027999999999999997	0.007357
0.028999999999999998	0.007464999999999999
0.03	0.007571
0.031	0.007673999999999999
0.032	0.007777
0.033	0.007876
0.033999999999999996	0.007968
0.034999999999999996	0.008057
0.036	0.008149
0.037	0.008232999999999999
0.038	0.008319
0.039	0.008399
0.04	0.008479
0.040999999999999995	0.008561
0.041999999999999996	0.008636999999999999
0.043	0.008712
0.044	0.008783
0.045	0.008851999999999999
0.046	0.008924999999999999
0.047	0.008992
0.048	0.009058
0.048999999999999995	0.009122
0.049999999999999996	0.009188
0.051	0.009247
0.052	0.009304999999999999
0.053	0.009367
0.054	0.009427999999999999
0.055	0.009483
0.055999999999999994	0.009538
0.056999999999999995	0.009592
0.057999999999999996	0.009647
0.059	0.0097
0.06	0.009751
0.061	0.0098
0.062	0.009849
0.063	0.009899
0.064	0.009944
0.065	0.009994
0.066	0.010041
0.06699999999999999	0.010081999999999999
0.06799999999999999	0.010128999999999999
0.06899999999999999	0.01017
0.06999999999999999	0.010211999999999999
0.071	0.010258999999999999
0.072	0.010298
0.073	0.010339
0.074	0.010376999999999999
0.075	0.010418
0.076	0.010457
0.077	0.010494999999999999
0.078	0.010530999999999999
0.079	0.010568
0.08	0.010603999999999999
0.081	0.010641
0.08199999999999999	0.010674999999999999
0.08299999999999999	0.010709
0.08399999999999999	0.010744
0.08499999999999999	0.010778
0.086	0.010813
0.087	0.010843
0.088	0.010875
0.089	0.010905999999999999
0.09	0.010936999999999999
0.091	0.010969999999999999
0.092	0.010999
0.093	0.011028999999999999
0.094	0.011059
0.095	0.011085999999999999
0.096	0.011117
0.09699999999999999	0.011144
0.09799999999999999	0.011170999999999999
0.09899999999999999	0.011198999999999999
0.09999999999999999	0.011228
0.10099999999999999	0.011255
0.102	0.01128
0.103	0.011304999999999999
0.104	0.011330999999999999
0.105	0.011358
0.106	0.011380999999999999
0.107	0.011408
0.108	0.011431
0.109	0.011456
0.11	0.011479999999999999
0.111	0.011504
0.11199999999999999	0.011526
0.11299999999999999	0.011549
0.11399999999999999	0.011569999999999999
0.11499999999999999	0.011593
0.11599999999999999	0.011615
0.11699999999999999	0.011639
0.118	0.011661
0.119	0.011680999999999999
0.12	0.011703
0.121	0.011725
0.122	0.011744
0.123	0.011763
0.124	0.011783
0.125	0.011805
0.126	0.011824
0.127	0.011843
0.128	0.011864
0.129	0.011883
0.13	0.011901
0.131	0.01192
0.132	0.011937999999999999
0.133	0.011956
0.13399999999999998	0.011974
0.13499999999999998	0.011992
0.13599999999999998	0.01201
0.13699999999999998	0.012029
0.13799999999999998	0.012045
0.13899999999999998	0.012062
0.13999999999999999	0.012078
0.141	0.012097
0.142	0.012112999999999999
0.143	0.01213
0.144	0.012145999999999999
0.145	0.012164
0.146	0.012176999999999999
0.147	0.012192999999999999
0.148	0.012209
0.149	0.012225
0.15	0.01224
0.151	0.012255
0.152	0.01227
0.153	0.012284999999999999
0.154	0.0123
0.155	0.012315
0.156	0.012329
0.157	0.012343999999999999
0.158	0.012357
0.159	0.012372999999999999
0.16	0.012386999999999999
0.161	0.012402
0.162	0.012414
0.163	0.012428
0.16399999999999998	0.01244
0.16499999999999998	0.012454
0.16599999999999998	0.012468
0.16699999999999998	0.01248
0.16799999999999998	0.012492999999999999
0.16899999999999998	0.012506
0.16999999999999998	0.012518999999999999
0.17099999999999999	0.012532999999999999
0.172	0.012546
0.173	0.012556999999999999
0.174	0.01257
0.175	0.012582
0.176	0.012593
0.177	0.012607
0.178	0.012619
0.179	0.012629999999999999
0.18	0.012641
0.181	0.012655
0.182	0.012665
0.183	0.012678
0.184	0.012686999999999999
0.185	0.012699
0.186	0.012711
0.187	0.012721999999999999
0.188	0.012732
0.189	0.012742999999999999
0.19	0.012754
0.191	0.012766
0.192	0.012777
0.193	0.012787
0.19399999999999998	0.012797999999999999
0.19499999999999998	0.012806999999999999
0.19599999999999998	0.012818
0.19699999999999998	0.012827999999999999
0.19799999999999998	0.012837999999999999
0.19899999999999998	0.012849
0.19999999999999998	0.012858999999999999
0.20099999999999998	0.012868
0.20199999999999999	0.012879
0.20299999999999999	0.012888
0.204	0.012898
0.205	0.012908
0.206	0.012917
0.207	0.012926
0.208	0.012936
0.209	0.012946
0.21	0.012957
0.211	0.012964999999999999
0.212	0.012973
0.213	0.012983
0.214	0.012990999999999999
0.215	0.013002
0.216	0.013011
0.217	0.013019
0.218	0.013026999999999999
0.219	0.013035
0.22	0.013045
0.221	0.013052999999999999
0.222	0.013063
0.223	0.013071
0.22399999999999998	0.013078999999999999
0.22499999999999998	0.013087
0.22599999999999998	0.013096
0.22699999999999998	0.013104
0.22799999999999998	0.013113
0.22899999999999998	0.01312
0.22999999999999998	0.013127999999999999
0.23099999999999998	0.013136
0.23199999999999998	0.013144999999999999
0.23299999999999998	0.013153999999999999
0.23399999999999999	0.01316
0.235	0.013168
0.236	0.013177
0.237	0.013184
0.238	0.013191999999999999
0.239	0.0132
0.24	0.013207
0.241	0.013214
0.242	0.013222
0.243	0.013229999999999999
0.244	0.013236999999999999
0.245	0.013243999999999999
0.246	0.013250999999999999
0.247	0.013257999999999999
0.248	0.013264999999999999
0.249	0.013273
0.25	0.013281
0.251	0.013287
0.252	0.013294
0.253	0.013300999999999999
0.254	0.013307999999999999
0.255	0.013314999999999999
0.256	0.013323
0.257	0.013328999999999999
0.258	0.013335999999999999
0.259	0.013342
0.26	0.013349
0.261	0.013356
0.262	0.013361999999999999
0.263	0.013368
0.264	0.013375
0.265	0.013382
0.266	0.013387999999999999
0.267	0.013394999999999999
0.26799999999999996	0.013399999999999999
0.26899999999999996	0.013406999999999999
0.26999999999999996	0.013413
0.27099999999999996	0.01342
0.27199999999999996	0.013425999999999999
0.27299999999999996	0.013432
0.27399999999999997	0.013437999999999999
0.27499999999999997	0.013444
0.27599999999999997	0.013451
0.27699999999999997	0.013457
0.27799999999999997	0.013463
0.27899999999999997	0.013467999999999999
0.27999999999999997	0.013474
0.28099999999999997	0.013479999999999999
0.282	0.013486
0.283	0.013491999999999999
