P384M2_X	P384M2_Y
0.0	0.0
0.001	0.0009119999999999999
0.002	0.001519
0.003	0.0020169999999999997
0.004	0.0024319999999999997
0.005	0.002812
0.006	0.0031479999999999998
0.006999999999999999	0.0034509999999999996
0.008	0.0037329999999999998
0.009	0.00399
0.01	0.004234
0.011	0.004463
0.012	0.0046689999999999995
0.013	0.0048709999999999995
0.013999999999999999	0.005056
0.015	0.005238
0.016	0.005405999999999999
0.016999999999999998	0.005568
0.018	0.005723
0.019	0.005869999999999999
0.02	0.006011
0.020999999999999998	0.006142
0.022	0.006274
0.023	0.006402
0.024	0.006521
0.024999999999999998	0.006638
0.026	0.006749
0.027	0.006856
0.027999999999999997	0.006965
0.028999999999999998	0.007064
0.03	0.007163
0.031	0.0072569999999999996
0.032	0.007349
0.033	0.007437999999999999
0.033999999999999996	0.007525
0.034999999999999996	0.0076089999999999994
0.036	0.00769
0.037	0.00777
0.038	0.007849
0.039	0.007924
0.04	0.007998
0.040999999999999995	0.008067999999999999
0.041999999999999996	0.008139
0.043	0.008206999999999999
0.044	0.008272999999999999
0.045	0.008341
0.046	0.008402999999999999
0.047	0.008464
0.048	0.008525
0.048999999999999995	0.008584999999999999
0.049999999999999996	0.008643999999999999
0.051	0.0087
0.052	0.008754999999999999
0.053	0.008811
0.054	0.008863
0.055	0.008917
0.055999999999999994	0.008968
0.056999999999999995	0.009016
0.057999999999999996	0.009067
0.059	0.009113999999999999
0.06	0.009162
0.061	0.009209
0.062	0.009255
0.063	0.009297
0.064	0.009342999999999999
0.065	0.009387
0.066	0.009429
0.06699999999999999	0.00947
0.06799999999999999	0.009512
0.06899999999999999	0.009552
0.06999999999999999	0.009592
0.071	0.009629
0.072	0.009668
0.073	0.009706
0.074	0.009741999999999999
0.075	0.009779
0.076	0.009814
0.077	0.009847999999999999
0.078	0.009883999999999999
0.079	0.009918999999999999
0.08	0.009953
0.081	0.009984999999999999
0.08199999999999999	0.010017999999999999
0.08299999999999999	0.01005
0.08399999999999999	0.010079999999999999
0.08499999999999999	0.010112999999999999
0.086	0.010142
0.087	0.010171999999999999
0.088	0.010203
0.089	0.010232
0.09	0.010262
0.091	0.010289999999999999
0.092	0.010319
0.093	0.010347
0.094	0.010372
0.095	0.010400999999999999
0.096	0.010426
0.09699999999999999	0.010452999999999999
0.09799999999999999	0.01048
0.09899999999999999	0.010506
0.09999999999999999	0.01053
0.10099999999999999	0.010556
0.102	0.010579999999999999
0.103	0.010605
0.104	0.010627
0.105	0.010652
0.106	0.010676
0.107	0.010698
0.108	0.010721
0.109	0.010742999999999999
0.11	0.010766999999999999
0.111	0.010789
0.11199999999999999	0.010811
0.11299999999999999	0.010832
0.11399999999999999	0.010851999999999999
0.11499999999999999	0.010875
0.11599999999999999	0.010895
0.11699999999999999	0.010916
0.118	0.010936
0.119	0.010955999999999999
0.12	0.010976
0.121	0.010995
0.122	0.011014999999999999
0.123	0.011033999999999999
0.124	0.011053
0.125	0.011072
0.126	0.01109
0.127	0.01111
0.128	0.011127
0.129	0.011144999999999999
0.13	0.011163
0.131	0.011181
0.132	0.011198
0.133	0.011215
0.13399999999999998	0.011231999999999999
0.13499999999999998	0.011249
0.13599999999999998	0.011264999999999999
0.13699999999999998	0.011283
0.13799999999999998	0.011299
0.13899999999999998	0.011314999999999999
0.13999999999999999	0.011330999999999999
0.141	0.011347
0.142	0.011363
0.143	0.011378
0.144	0.011393
0.145	0.011408999999999999
0.146	0.011424
0.147	0.011439
0.148	0.011453999999999999
0.149	0.011467999999999999
0.15	0.011483
0.151	0.011497
