P212S6dM4_X	P212S6dM4_Y
0.0	0.0
0.001	0.001402
0.002	0.0021999999999999997
0.003	0.002977
0.004	0.003715
0.005	0.0044069999999999995
0.006	0.005033
0.006999999999999999	0.005671
0.008	0.006241999999999999
0.009	0.006814
0.01	0.007345
0.011	0.007873
0.012	0.008376999999999999
0.013	0.00887
0.013999999999999999	0.009345
0.015	0.009788
0.016	0.010241
0.016999999999999998	0.010676999999999999
0.018	0.011092
0.019	0.011504
0.02	0.011913
0.020999999999999998	0.012296
0.022	0.012676
0.023	0.013044
0.024	0.013405
0.024999999999999998	0.013772999999999999
0.026	0.014119999999999999
0.027	0.014464
0.027999999999999997	0.014803
0.028999999999999998	0.015137
0.03	0.015451999999999999
0.031	0.015785999999999998
0.032	0.016087
0.033	0.016396
0.033999999999999996	0.016707
0.034999999999999996	0.017002
0.036	0.017294999999999998
0.037	0.017584
0.038	0.01787
0.039	0.018142
0.04	0.018425999999999998
0.040999999999999995	0.018696
0.041999999999999996	0.018959999999999998
0.043	0.019214
0.044	0.019486
0.045	0.019742
0.046	0.020003
0.047	0.020253
0.048	0.020496999999999998
0.048999999999999995	0.020746
0.049999999999999996	0.020982
0.051	0.021217
0.052	0.021453
0.053	0.021691
0.054	0.021908999999999998
0.055	0.022137999999999998
0.055999999999999994	0.022361
0.056999999999999995	0.022584999999999997
0.057999999999999996	0.022803
0.059	0.023018
0.06	0.023235
0.061	0.023448999999999998
0.062	0.023658
0.063	0.023864
0.064	0.024072
0.065	0.024283
0.066	0.024482
0.06699999999999999	0.024676999999999998
0.06799999999999999	0.024879
0.06899999999999999	0.025072999999999998
0.06999999999999999	0.025273
0.071	0.025459
0.072	0.025648999999999998
0.073	0.025835
0.074	0.026025
0.075	0.026205
0.076	0.02639
0.077	0.026572
0.078	0.026747999999999997
0.079	0.026931999999999998
0.08	0.027111
0.081	0.02729
0.08199999999999999	0.027454
0.08299999999999999	0.027631
0.08399999999999999	0.0278
0.08499999999999999	0.027974
0.086	0.028145
0.087	0.028314
0.088	0.028475999999999998
0.089	0.028635999999999998
0.09	0.028804
0.091	0.028963
0.092	0.029127999999999998
0.093	0.029285
0.094	0.029439999999999997
0.095	0.029598
0.096	0.029751999999999997
0.09699999999999999	0.029907999999999997
0.09799999999999999	0.030056999999999997
0.09899999999999999	0.030213999999999998
0.09999999999999999	0.030362
0.10099999999999999	0.030517
0.102	0.030664999999999998
0.103	0.030813999999999998
0.104	0.030961
0.105	0.0311
0.106	0.031256
0.107	0.031394
0.108	0.031536999999999996
0.109	0.031675999999999996
0.11	0.031816
0.111	0.031953999999999996
0.11199999999999999	0.032102
0.11299999999999999	0.032239
0.11399999999999999	0.032369999999999996
0.11499999999999999	0.032504
0.11599999999999999	0.032643
0.11699999999999999	0.032777
0.118	0.032910999999999996
0.119	0.033049999999999996
0.12	0.033181999999999996
0.121	0.033311
0.122	0.033436
0.123	0.033567
0.124	0.033694999999999996
