P246M2_X	P246M2_Y
0.0	0.0
0.001	0.000695
0.002	0.001042
0.003	0.001272
0.004	0.001449
0.005	0.001586
0.006	0.0016979999999999999
0.006999999999999999	0.001792
0.008	0.00187
0.009	0.0019379999999999998
0.01	0.001997
0.011	0.0020469999999999998
0.012	0.0020959999999999998
0.013	0.002136
0.013999999999999999	0.002172
0.015	0.002208
0.016	0.002238
0.016999999999999998	0.002267
0.018	0.0022919999999999998
0.019	0.002316
0.02	0.002338
0.020999999999999998	0.0023599999999999997
0.022	0.002378
0.023	0.0023959999999999997
0.024	0.002414
0.024999999999999998	0.00243
0.026	0.002444
0.027	0.002459
0.027999999999999997	0.002473
0.028999999999999998	0.002485
0.03	0.002497
0.031	0.0025069999999999997
0.032	0.002518
0.033	0.002529
0.033999999999999996	0.002538
0.034999999999999996	0.002548
0.036	0.002557
0.037	0.002565
0.038	0.002574
0.039	0.002582
0.04	0.0025889999999999997
0.040999999999999995	0.002596
