P387bM3_X	P387bM3_Y
0.0	0.0
0.001	0.001058
0.002	0.0019479999999999999
0.003	0.0027919999999999998
0.004	0.0035919999999999997
0.005	0.0043549999999999995
0.006	0.005072
0.006999999999999999	0.005771
0.008	0.0064399999999999995
0.009	0.007078999999999999
0.01	0.00769
0.011	0.008289
0.012	0.008867
0.013	0.009433
0.013999999999999999	0.009968999999999999
0.015	0.010499
0.016	0.011011
0.016999999999999998	0.011516
0.018	0.011999
0.019	0.012478
0.02	0.012941
0.020999999999999998	0.013396
0.022	0.013838999999999999
0.023	0.014273999999999998
0.024	0.014698999999999999
0.024999999999999998	0.015116999999999998
0.026	0.015524
0.027	0.015926
0.027999999999999997	0.016323
0.028999999999999998	0.016704
0.03	0.017084
0.031	0.017459
0.032	0.017821999999999998
0.033	0.018182999999999998
0.033999999999999996	0.018539
0.034999999999999996	0.018886999999999998
0.036	0.01923
0.037	0.019566999999999998
0.038	0.019901
0.039	0.020228
0.04	0.020551
0.040999999999999995	0.020871999999999998
0.041999999999999996	0.021183999999999998
0.043	0.021498
0.044	0.021803
0.045	0.022102
0.046	0.022397999999999998
0.047	0.022692
0.048	0.022983999999999997
0.048999999999999995	0.023271
0.049999999999999996	0.023555
0.051	0.023836
0.052	0.024107999999999997
0.053	0.024383
0.054	0.024652999999999998
0.055	0.024919
0.055999999999999994	0.025183
0.056999999999999995	0.025443999999999998
0.057999999999999996	0.025700999999999998
0.059	0.025958
0.06	0.026208
0.061	0.026456999999999998
0.062	0.026705999999999997
0.063	0.026948999999999997
0.064	0.027194
0.065	0.02743
0.066	0.027666999999999997
0.06699999999999999	0.027901
0.06799999999999999	0.028137
0.06899999999999999	0.028364
0.06999999999999999	0.028593999999999998
0.071	0.02882
0.072	0.029047
0.073	0.029268
0.074	0.029484999999999997
0.075	0.029705
0.076	0.02992
0.077	0.030133999999999998
0.078	0.030348
0.079	0.030558
0.08	0.030764999999999997
0.081	0.030973999999999998
0.08199999999999999	0.031177999999999997
0.08299999999999999	0.031377999999999996
0.08399999999999999	0.031581
0.08499999999999999	0.031781
0.086	0.03198
0.087	0.032175999999999996
0.088	0.032374
0.089	0.032566
0.09	0.032757
0.091	0.032947
0.092	0.033137
0.093	0.033324
0.094	0.033512
0.095	0.033694999999999996
0.096	0.03388
0.09699999999999999	0.034059
0.09799999999999999	0.034242999999999996
0.09899999999999999	0.034422999999999995
0.09999999999999999	0.034599
0.10099999999999999	0.034776
0.102	0.034953
0.103	0.035126
0.104	0.035297999999999996
0.105	0.03547
0.106	0.035643999999999995
0.107	0.035813
0.108	0.03598
0.109	0.036147
0.11	0.036313
0.111	0.036481
0.11199999999999999	0.036642
0.11299999999999999	0.036803999999999996
0.11399999999999999	0.036968
0.11499999999999999	0.037127
0.11599999999999999	0.037286
0.11699999999999999	0.037446
0.118	0.037602
0.119	0.037762
0.12	0.037913999999999996
0.121	0.038069
0.122	0.038224
0.123	0.038376
0.124	0.038528
0.125	0.038678
0.126	0.038828999999999995
0.127	0.038979
0.128	0.039125
0.129	0.039273999999999996
0.13	0.03942
0.131	0.039566
0.132	0.039712
0.133	0.039854
0.13399999999999998	0.039998
0.13499999999999998	0.040139
0.13599999999999998	0.040282
0.13699999999999998	0.04042
0.13799999999999998	0.040562
0.13899999999999998	0.040702999999999996
0.13999999999999999	0.04084
0.141	0.040976
0.142	0.041113
0.143	0.041247
0.144	0.041384
0.145	0.041519
0.146	0.041652999999999996
0.147	0.041784999999999996
0.148	0.041918
0.149	0.042047
0.15	0.042180999999999996
0.151	0.042309
0.152	0.04244
0.153	0.042567999999999995
0.154	0.042696
0.155	0.042822
0.156	0.042949
0.157	0.043075999999999996
0.158	0.043204
0.159	0.043329
0.16	0.043451
0.161	0.043576
0.162	0.043698
0.163	0.04382
0.16399999999999998	0.043941
0.16499999999999998	0.044065
0.16599999999999998	0.044184
0.16699999999999998	0.044305
0.16799999999999998	0.044423
0.16899999999999998	0.044541
0.16999999999999998	0.04466
0.17099999999999999	0.044778
0.172	0.044897
0.173	0.045014
0.174	0.045128999999999996
0.175	0.045245
0.176	0.045359
0.177	0.045472
0.178	0.045585999999999995
0.179	0.045701
0.18	0.045814
0.181	0.045926999999999996
0.182	0.046036999999999995
0.183	0.04615
0.184	0.046258999999999995
0.185	0.046369999999999995
0.186	0.046479
0.187	0.046589
0.188	0.046695999999999994
0.189	0.046807999999999995
0.19	0.046915
0.191	0.047022
0.192	0.047127999999999996
0.193	0.047234
0.19399999999999998	0.047341
0.19499999999999998	0.047445999999999995
0.19599999999999998	0.047550999999999996
0.19699999999999998	0.047656
0.19799999999999998	0.047758999999999996
0.19899999999999998	0.047864
0.19999999999999998	0.047965999999999995
0.20099999999999998	0.048069999999999995
0.20199999999999999	0.048172
0.20299999999999999	0.048275
0.204	0.048375999999999995
0.205	0.048477
0.206	0.048577999999999996
0.207	0.048678
0.208	0.048777999999999995
0.209	0.048877
0.21	0.048976
0.211	0.049075999999999995
0.212	0.049172999999999994
0.213	0.049270999999999995
0.214	0.049367999999999995
0.215	0.049464999999999995
0.216	0.049562999999999996
0.217	0.049659999999999996
0.218	0.049754
0.219	0.049849
0.22	0.049943999999999995
0.221	0.050039
0.222	0.050134
0.223	0.050228999999999996
0.22399999999999998	0.050322
0.22499999999999998	0.050414999999999995
0.22599999999999998	0.050508
0.22699999999999998	0.050601
0.22799999999999998	0.050692
0.22899999999999998	0.050785
0.22999999999999998	0.050873999999999996
0.23099999999999998	0.050968
0.23199999999999998	0.051058
0.23299999999999998	0.051147
0.23399999999999999	0.051238
0.235	0.051327
0.236	0.051417
0.237	0.051505999999999996
0.238	0.051594999999999995
0.239	0.051682
0.24	0.051771
0.241	0.051858999999999995
0.242	0.051947
0.243	0.052034
0.244	0.052121999999999995
0.245	0.052209
0.246	0.052294999999999994
0.247	0.052379999999999996
0.248	0.052467
0.249	0.05255
0.25	0.052636999999999996
0.251	0.052719999999999996
0.252	0.052806
0.253	0.052888
0.254	0.052972
0.255	0.053055
0.256	0.053138
0.257	0.053221
0.258	0.053304
0.259	0.053387
0.26	0.053468999999999996
0.261	0.05355
0.262	0.053631
0.263	0.053711999999999996
0.264	0.053793
0.265	0.053873
0.266	0.053954999999999996
0.267	0.054034
0.26799999999999996	0.054113999999999995
0.26899999999999996	0.054193
0.26999999999999996	0.054272
0.27099999999999996	0.054352
0.27199999999999996	0.05443
0.27299999999999996	0.054508999999999995
0.27399999999999997	0.054585999999999996
0.27499999999999997	0.054666
0.27599999999999997	0.054743999999999994
0.27699999999999997	0.054820999999999995
0.27799999999999997	0.054896999999999994
0.27899999999999997	0.054974999999999996
0.27999999999999997	0.055052
0.28099999999999997	0.055127999999999996
0.282	0.055203999999999996
0.283	0.055278999999999995
0.284	0.055354999999999994
0.285	0.055430999999999994
0.286	0.055505
0.287	0.05558
0.288	0.055654999999999996
0.289	0.055729999999999995
0.29	0.055803
0.291	0.055878
0.292	0.055951
0.293	0.056025
0.294	0.056096999999999994
0.295	0.05617
0.296	0.056242999999999994
0.297	0.056316
0.298	0.056388
0.299	0.056461
0.3	0.056532
0.301	0.056604999999999996
0.302	0.056676
0.303	0.056746
0.304	0.056818
0.305	0.056887999999999994
0.306	0.056958999999999996
0.307	0.057027999999999995
0.308	0.057099
0.309	0.057168
0.31	0.057239
0.311	0.057308
0.312	0.057378
0.313	0.057447
0.314	0.057515
0.315	0.057585
0.316	0.057652999999999996
0.317	0.05772
0.318	0.057788
0.319	0.057857
0.32	0.057925
0.321	0.057991999999999995
0.322	0.058059
0.323	0.058126
0.324	0.058192
0.325	0.058259
0.326	0.058324999999999995
0.327	0.058391
0.32799999999999996	0.058457999999999996
0.32899999999999996	0.058524
0.32999999999999996	0.058588999999999995
0.33099999999999996	0.058655
0.33199999999999996	0.058719999999999994
0.33299999999999996	0.058785
0.33399999999999996	0.05885
0.33499999999999996	0.058913999999999994
0.33599999999999997	0.058979
0.33699999999999997	0.059043
0.33799999999999997	0.059107
0.33899999999999997	0.059170999999999994
0.33999999999999997	0.059234999999999996
0.34099999999999997	0.059298
0.34199999999999997	0.059362
0.34299999999999997	0.059425
0.344	0.059489
0.345	0.059552
0.346	0.059614999999999994
0.347	0.059676999999999994
0.348	0.059739
0.349	0.059801999999999994
0.35	0.059864
0.351	0.059925
0.352	0.059987
0.353	0.060048
0.354	0.06011
0.355	0.060170999999999995
0.356	0.060231999999999994
0.357	0.060293
0.358	0.060354
0.359	0.060413999999999995
0.36	0.060474
0.361	0.060534
0.362	0.060593999999999995
0.363	0.060654
0.364	0.060714
0.365	0.060773
0.366	0.060832
0.367	0.060891999999999995
0.368	0.060951
0.369	0.061008999999999994
0.37	0.061068
0.371	0.061126999999999994
0.372	0.061184999999999996
0.373	0.061243
0.374	0.061300999999999994
