P384S6bM4_X	P384S6bM4_Y
0.0	0.0
0.001	0.001099
0.002	0.0017009999999999998
0.003	0.002178
0.004	0.0026149999999999997
0.005	0.002983
0.006	0.0033239999999999997
0.006999999999999999	0.003622
0.008	0.003909999999999999
0.009	0.004157
0.01	0.0044009999999999995
0.011	0.004618
0.012	0.004835
0.013	0.005024
0.013999999999999999	0.005203
0.015	0.005379999999999999
0.016	0.005546
0.016999999999999998	0.005697
0.018	0.005836999999999999
0.019	0.005984
0.02	0.0061189999999999994
0.020999999999999998	0.006239
0.022	0.0063609999999999995
0.023	0.006487
0.024	0.006595999999999999
0.024999999999999998	0.006697
0.026	0.00681
0.027	0.0069039999999999995
0.027999999999999997	0.007003
0.028999999999999998	0.007095
0.03	0.0071849999999999995
0.031	0.007273
0.032	0.007357
0.033	0.007437999999999999
0.033999999999999996	0.007514
0.034999999999999996	0.0075899999999999995
0.036	0.007663
0.037	0.007737999999999999
0.038	0.0078049999999999994
0.039	0.007871999999999999
0.04	0.00794
0.040999999999999995	0.008
0.041999999999999996	0.008065
0.043	0.008124
0.044	0.008178999999999999
0.045	0.008237999999999999
0.046	0.008293
0.047	0.008348
0.048	0.008399
0.048999999999999995	0.008452
0.049999999999999996	0.008503
0.051	0.008553999999999999
0.052	0.008596
0.053	0.008642
0.054	0.008693
0.055	0.008734
0.055999999999999994	0.008777
0.056999999999999995	0.008822
0.057999999999999996	0.008865
0.059	0.008904
0.06	0.008948
0.061	0.008983999999999999
0.062	0.009026
0.063	0.009058
0.064	0.009097
0.065	0.009136
0.066	0.009167999999999999
0.06699999999999999	0.009204
0.06799999999999999	0.009236
0.06899999999999999	0.009264999999999999
0.06999999999999999	0.009302999999999999
0.071	0.009335999999999999
0.072	0.009368
0.073	0.009398
0.074	0.009427
0.075	0.009458
0.076	0.009488
0.077	0.009521
0.078	0.009545999999999999
0.079	0.009571999999999999
0.08	0.009597999999999999
0.081	0.009625
0.08199999999999999	0.009655
0.08299999999999999	0.00968
0.08399999999999999	0.009707
0.08499999999999999	0.009729999999999999
0.086	0.009753
0.087	0.009779999999999999
0.088	0.0098
0.089	0.009828
0.09	0.00985
0.091	0.009875
0.092	0.009895
0.093	0.009918999999999999
0.094	0.009939
