P387S6bM4_X	P387S6bM4_Y
0.0	0.0
0.001	0.001081
0.002	0.001916
0.003	0.002686
0.004	0.00339
0.005	0.00406
0.006	0.00469
0.006999999999999999	0.005284
0.008	0.005843999999999999
0.009	0.006379999999999999
0.01	0.006898
0.011	0.007395
0.012	0.007868
0.013	0.008322
0.013999999999999999	0.008768
0.015	0.009191999999999999
0.016	0.009601
0.016999999999999998	0.009996999999999999
0.018	0.010384
0.019	0.010768999999999999
0.02	0.011132999999999999
0.020999999999999998	0.011488
0.022	0.01183
0.023	0.012173
0.024	0.012499999999999999
0.024999999999999998	0.012823
0.026	0.013139999999999999
0.027	0.013441
0.027999999999999997	0.013741
0.028999999999999998	0.014036
0.03	0.014317999999999999
0.031	0.014603999999999999
0.032	0.014881
0.033	0.015146999999999999
0.033999999999999996	0.015413
0.034999999999999996	0.015674999999999998
0.036	0.015920999999999998
0.037	0.016174
0.038	0.016416999999999998
0.039	0.016656
0.04	0.016894
0.040999999999999995	0.017129
0.041999999999999996	0.017356
0.043	0.017581
0.044	0.017799
0.045	0.018014
0.046	0.018227999999999998
0.047	0.018437
0.048	0.018645
0.048999999999999995	0.018847
0.049999999999999996	0.019046999999999998
0.051	0.019249
0.052	0.019438999999999998
0.053	0.019628
0.054	0.01982
0.055	0.020005
0.055999999999999994	0.020186
0.056999999999999995	0.020368
0.057999999999999996	0.020546
0.059	0.020718
0.06	0.020894
0.061	0.021065999999999998
0.062	0.02123
0.063	0.0214
0.064	0.021563
0.065	0.021729
0.066	0.021887999999999998
0.06699999999999999	0.022045
0.06799999999999999	0.022202
0.06899999999999999	0.022355
0.06999999999999999	0.022508999999999998
0.071	0.022657999999999998
0.072	0.022806
0.073	0.022954
0.074	0.023098
0.075	0.023243
0.076	0.023382
0.077	0.023524999999999997
0.078	0.023662
0.079	0.023798999999999997
0.08	0.023934
0.081	0.024069999999999998
0.08199999999999999	0.024204999999999997
0.08299999999999999	0.024336
0.08399999999999999	0.024464999999999997
0.08499999999999999	0.024591
0.086	0.024718999999999998
0.087	0.024843999999999998
0.088	0.02497
0.089	0.025092
0.09	0.025213
0.091	0.025334
0.092	0.025452
0.093	0.02557
0.094	0.025686999999999998
0.095	0.025806
0.096	0.025918
0.09699999999999999	0.026029999999999998
0.09799999999999999	0.026143999999999997
0.09899999999999999	0.026257
0.09999999999999999	0.026366999999999998
0.10099999999999999	0.026475
0.102	0.026584
0.103	0.026691
0.104	0.026798
0.105	0.026900999999999998
0.106	0.027007999999999997
0.107	0.027108999999999998
0.108	0.027209999999999998
0.109	0.027313
0.11	0.02741
0.111	0.027510999999999997
0.11199999999999999	0.027611
0.11299999999999999	0.027708999999999998
0.11399999999999999	0.027805
0.11499999999999999	0.027902
0.11599999999999999	0.027998
0.11699999999999999	0.028093
0.118	0.028184999999999998
0.119	0.028276
0.12	0.028371
0.121	0.028463
0.122	0.028551
0.123	0.028643
0.124	0.02873
0.125	0.028815999999999998
0.126	0.028905
0.127	0.028991
0.128	0.029077
0.129	0.029165
0.13	0.029248999999999997
0.131	0.029334
0.132	0.029415
0.133	0.029498999999999997
0.13399999999999998	0.029581
0.13499999999999998	0.029664
0.13599999999999998	0.029744
0.13699999999999998	0.029823
0.13799999999999998	0.029904
0.13899999999999998	0.029980999999999997
0.13999999999999999	0.030060999999999997
0.141	0.030137999999999998
0.142	0.030215
0.143	0.030292999999999997
0.144	0.030366999999999998
0.145	0.030442999999999998
0.146	0.030518
0.147	0.03059
0.148	0.030664
0.149	0.030742
0.15	0.030813
0.151	0.030886
0.152	0.030957
0.153	0.031025999999999998
0.154	0.031097999999999997
0.155	0.031166
0.156	0.031238
0.157	0.031307999999999996
0.158	0.031373
0.159	0.031446
0.16	0.031511
0.161	0.031577
0.162	0.031645
0.163	0.031713
0.16399999999999998	0.031777
0.16499999999999998	0.031845
0.16599999999999998	0.031907
0.16699999999999998	0.031973
0.16799999999999998	0.032036
0.16899999999999998	0.0321
0.16999999999999998	0.032165
0.17099999999999999	0.032226
0.172	0.032286999999999996
0.173	0.032353
0.174	0.032414
0.175	0.032473999999999996
0.176	0.032535
0.177	0.032595
0.178	0.032656
0.179	0.032715
0.18	0.032773
0.181	0.032833
0.182	0.032891
0.183	0.032948
0.184	0.033007
0.185	0.033063999999999996
0.186	0.033122
0.187	0.033179
0.188	0.033235
0.189	0.03329
0.19	0.033347
0.191	0.033401
0.192	0.033457
0.193	0.03351
0.19399999999999998	0.033565
