P212cM3_X	P212cM3_Y
0.0	0.0
0.001	0.001129
0.002	0.001937
0.003	0.002644
0.004	0.0032749999999999997
0.005	0.0038659999999999996
0.006	0.004425
0.006999999999999999	0.004927
0.008	0.005408
0.009	0.0058839999999999995
0.01	0.00631
0.011	0.006731999999999999
0.012	0.007135
0.013	0.007509
0.013999999999999999	0.007887
0.015	0.008243
0.016	0.008583
0.016999999999999998	0.008916
0.018	0.009238
0.019	0.009550999999999999
0.02	0.009855
0.020999999999999998	0.010156
0.022	0.010437
0.023	0.010714999999999999
0.024	0.010992
0.024999999999999998	0.01125
0.026	0.011510999999999999
0.027	0.011765
0.027999999999999997	0.012018
0.028999999999999998	0.012258
0.03	0.012492999999999999
0.031	0.012728999999999999
0.032	0.012955999999999999
0.033	0.013182
0.033999999999999996	0.013392
0.034999999999999996	0.013614999999999999
0.036	0.013826999999999999
0.037	0.014034999999999999
0.038	0.014234
0.039	0.014440999999999999
0.04	0.014639999999999999
0.040999999999999995	0.014828
0.041999999999999996	0.015024
0.043	0.015214
0.044	0.015397
0.045	0.015583999999999999
0.046	0.015754999999999998
0.047	0.015937
0.048	0.016111999999999998
0.048999999999999995	0.016283
0.049999999999999996	0.016457
0.051	0.016621999999999998
0.052	0.016791
0.053	0.016953
0.054	0.017112
0.055	0.017269
0.055999999999999994	0.017426999999999998
0.056999999999999995	0.017584
0.057999999999999996	0.017738
0.059	0.017891
0.06	0.018036999999999997
0.061	0.018187
0.062	0.018333
0.063	0.018477
0.064	0.018622
0.065	0.018764
0.066	0.018902
0.06699999999999999	0.019037
0.06799999999999999	0.019178999999999998
0.06899999999999999	0.019317
0.06999999999999999	0.019448999999999998
0.071	0.01958
0.072	0.019715999999999997
0.073	0.019840999999999998
0.074	0.019974
0.075	0.020099
0.076	0.020225999999999997
0.077	0.020350999999999998
0.078	0.02047
0.079	0.020597999999999998
0.08	0.020718999999999998
0.081	0.020839999999999997
0.08199999999999999	0.020961
0.08299999999999999	0.021082
0.08399999999999999	0.021192
0.08499999999999999	0.021308999999999998
0.086	0.021425
0.087	0.02154
0.088	0.021655999999999998
0.089	0.021766
0.09	0.021877999999999998
0.091	0.02199
0.092	0.022098
0.093	0.022203999999999998
0.094	0.022317
0.095	0.022421
0.096	0.022531
0.09699999999999999	0.022632
0.09799999999999999	0.02274
0.09899999999999999	0.022843
0.09999999999999999	0.022948
0.10099999999999999	0.023046
0.102	0.023146
