D72_X	D72_Y
0.0	0.0
0.001	0.001039
0.002	0.002026
0.003	0.0030069999999999997
0.004	0.0039889999999999995
0.005	0.004966
0.006	0.005938
0.006999999999999999	0.006905
0.008	0.007866
0.009	0.008825999999999999
0.01	0.009781
0.011	0.010725
0.012	0.011668
0.013	0.012606
0.013999999999999999	0.01354
0.015	0.014471999999999999
0.016	0.015397999999999998
0.016999999999999998	0.016321
0.018	0.017235
0.019	0.018144999999999998
0.02	0.019053
0.020999999999999998	0.019958
0.022	0.020856
0.023	0.021752
0.024	0.022642
0.024999999999999998	0.02353
0.026	0.024412
0.027	0.025297
0.027999999999999997	0.026166
0.028999999999999998	0.027038
0.03	0.027901
0.031	0.028765
0.032	0.029626999999999997
0.033	0.030483
0.033999999999999996	0.031332
0.034999999999999996	0.032181
0.036	0.033026
0.037	0.033865
0.038	0.034702
0.039	0.035537
0.04	0.036363
0.040999999999999995	0.03719
0.041999999999999996	0.038010999999999996
0.043	0.038829999999999996
0.044	0.039645
0.045	0.040458
0.046	0.041267
0.047	0.042073
0.048	0.042873
0.048999999999999995	0.043674
0.049999999999999996	0.044469999999999996
0.051	0.045259999999999995
0.052	0.046047
0.053	0.046833
0.054	0.047615
0.055	0.048395
0.055999999999999994	0.049166999999999995
0.056999999999999995	0.049941
0.057999999999999996	0.05071
0.059	0.051479
0.06	0.052240999999999996
0.061	0.053
0.062	0.053763
0.063	0.054514
0.064	0.055264
0.065	0.056013
0.066	0.056761
0.06699999999999999	0.057503
0.06799999999999999	0.058241999999999995
0.06899999999999999	0.058982
0.06999999999999999	0.059712999999999995
0.071	0.060441999999999996
0.072	0.061169999999999995
0.073	0.061901
0.074	0.06262
0.075	0.06333799999999999
0.076	0.064053
0.077	0.064774
0.078	0.065484
0.079	0.066194
0.08	0.066899
0.081	0.067605
0.08199999999999999	0.06830599999999999
0.08299999999999999	0.069003
0.08399999999999999	0.0697
0.08499999999999999	0.070394
0.086	0.071086
0.087	0.07177499999999999
0.088	0.072461
0.089	0.073145
0.09	0.07382799999999999
0.091	0.074506
0.092	0.075181
0.093	0.07585399999999999
0.094	0.076525
0.095	0.077194
0.096	0.077859
0.09699999999999999	0.078525
0.09799999999999999	0.079187
0.09899999999999999	0.079844
0.09999999999999999	0.08050199999999999
0.10099999999999999	0.081159
0.102	0.08180899999999999
0.103	0.08245999999999999
0.104	0.083107
0.105	0.083756
0.106	0.0844
0.107	0.08504099999999999
0.108	0.08567899999999999
0.109	0.086314
0.11	0.086951
0.111	0.087585
0.11199999999999999	0.088216
0.11299999999999999	0.08884099999999999
0.11399999999999999	0.08946799999999999
0.11499999999999999	0.09009199999999999
0.11599999999999999	0.09071399999999999
0.11699999999999999	0.091333
0.118	0.09195199999999999
0.119	0.092568
0.12	0.09318
0.121	0.093791
0.122	0.0944
0.123	0.09501
0.124	0.09561499999999999
0.125	0.096216
0.126	0.096819
0.127	0.097421
0.128	0.09801399999999999
0.129	0.09861299999999999
0.13	0.09920799999999999
0.131	0.0998
0.132	0.10038899999999999
0.133	0.100976
0.13399999999999998	0.101562
0.13499999999999998	0.10214799999999999
0.13599999999999998	0.102727
0.13699999999999998	0.103312
0.13799999999999998	0.10389
0.13899999999999998	0.104464
0.13999999999999999	0.10504
0.141	0.105613
0.142	0.106184
0.143	0.106754
0.144	0.10732499999999999
0.145	0.107887
0.146	0.108453
0.147	0.109014
0.148	0.10957399999999999
0.149	0.110134
0.15	0.110692
0.151	0.111245
0.152	0.1118
0.153	0.112352
0.154	0.11290299999999999
0.155	0.113455
0.156	0.11399899999999999
0.157	0.114546
0.158	0.115089
0.159	0.115631
0.16	0.116168
0.161	0.11670599999999999
0.162	0.11724599999999999
0.163	0.117781
0.16399999999999998	0.11831499999999999
0.16499999999999998	0.118847
0.16599999999999998	0.119376
0.16699999999999998	0.119905
0.16799999999999998	0.120436
0.16899999999999998	0.12096
0.16999999999999998	0.121486
0.17099999999999999	0.12201
0.172	0.12253
0.173	0.12304999999999999
0.174	0.123568
0.175	0.124082
0.176	0.12459999999999999
0.177	0.125113
0.178	0.12562199999999998
0.179	0.126136
0.18	0.126643
0.181	0.127151
0.182	0.127661
0.183	0.128165
0.184	0.128669
0.185	0.129168
0.186	0.129668
0.187	0.130167
0.188	0.130666
0.189	0.131163
0.19	0.131656
0.191	0.13215
0.192	0.13264299999999998
0.193	0.133135
0.19399999999999998	0.133623
0.19499999999999998	0.134109
0.19599999999999998	0.134596
0.19699999999999998	0.135082
0.19799999999999998	0.135566
0.19899999999999998	0.136045
0.19999999999999998	0.13652899999999998
0.20099999999999998	0.137008
0.20199999999999999	0.137487
0.20299999999999999	0.137962
0.204	0.138439
0.205	0.13891399999999998
0.206	0.13938499999999998
0.207	0.13985599999999998
0.208	0.140326
0.209	0.140798
0.21	0.141265
0.211	0.14173
0.212	0.142197
0.213	0.14265999999999998
0.214	0.143123
0.215	0.143587
0.216	0.144045
0.217	0.144504
0.218	0.14496399999999998
0.219	0.145419
0.22	0.145875
0.221	0.14632799999999999
0.222	0.14678
0.223	0.147234
0.22399999999999998	0.14768399999999998
0.22499999999999998	0.14813199999999999
0.22599999999999998	0.148582
0.22699999999999998	0.149029
0.22799999999999998	0.149474
0.22899999999999998	0.149918
0.22999999999999998	0.15036
0.23099999999999998	0.150805
0.23199999999999998	0.151243
0.23299999999999998	0.15168299999999998
0.23399999999999999	0.152121
0.235	0.15256
0.236	0.152995
0.237	0.15343099999999998
0.238	0.153863
0.239	0.154299
0.24	0.15473299999999998
0.241	0.155165
0.242	0.15559
