P212bM3_X	P212bM3_Y
0.0	0.0
0.001	0.001133
0.002	0.002002
0.003	0.0028209999999999997
0.004	0.003573
0.005	0.004311
0.006	0.005003
0.006999999999999999	0.005660999999999999
0.008	0.006291
0.009	0.0069039999999999995
0.01	0.007493
0.011	0.008055
0.012	0.00861
0.013	0.009141999999999999
0.013999999999999999	0.009668999999999999
0.015	0.010159
0.016	0.010648999999999999
0.016999999999999998	0.011132
0.018	0.0116
0.019	0.012060999999999999
0.02	0.012502
0.020999999999999998	0.012934
0.022	0.013354999999999999
0.023	0.013774
0.024	0.014182
0.024999999999999998	0.01458
0.026	0.014969999999999999
0.027	0.015356999999999999
0.027999999999999997	0.015732
0.028999999999999998	0.016106
0.03	0.016471
0.031	0.016831
0.032	0.017175
0.033	0.017526
0.033999999999999996	0.01787
0.034999999999999996	0.01821
0.036	0.018539999999999997
0.037	0.018869
0.038	0.019188999999999998
0.039	0.019509
0.04	0.01982
0.040999999999999995	0.020132
0.041999999999999996	0.020439
0.043	0.020735
0.044	0.021034
0.045	0.021325
0.046	0.021613999999999998
0.047	0.021903
0.048	0.022185999999999997
0.048999999999999995	0.022470999999999998
0.049999999999999996	0.022746
0.051	0.023013
0.052	0.023287
0.053	0.023551
0.054	0.023819999999999997
0.055	0.024080999999999998
0.055999999999999994	0.02434
0.056999999999999995	0.024596999999999997
0.057999999999999996	0.024846
0.059	0.025103
0.06	0.025348
0.061	0.025594
0.062	0.025838
0.063	0.026078999999999998
0.064	0.026323
0.065	0.026556999999999997
0.066	0.026789999999999998
0.06699999999999999	0.02702
0.06799999999999999	0.027254
0.06899999999999999	0.027485
0.06999999999999999	0.027708999999999998
0.071	0.027937
0.072	0.028155
0.073	0.028374999999999997
0.074	0.028595
0.075	0.028811999999999997
0.076	0.029023999999999998
0.077	0.029237
0.078	0.029449999999999997
0.079	0.029658
0.08	0.029872
0.081	0.030077
0.08199999999999999	0.030282999999999997
0.08299999999999999	0.030483
0.08399999999999999	0.030688999999999998
0.08499999999999999	0.030888
0.086	0.031086
0.087	0.031286
0.088	0.031481999999999996
0.089	0.031675
0.09	0.031863999999999996
0.091	0.032061
0.092	0.032251999999999996
0.093	0.032442
0.094	0.032626999999999996
0.095	0.032815
0.096	0.032998
0.09699999999999999	0.033181999999999996
0.09799999999999999	0.033366
0.09899999999999999	0.033548
0.09999999999999999	0.033726
0.10099999999999999	0.033907
0.102	0.034087
0.103	0.034263999999999996
0.104	0.034436
0.105	0.034613
0.106	0.034784999999999996
0.107	0.03496
0.108	0.03513
0.109	0.035296999999999995
0.11	0.035468
0.111	0.035639
0.11199999999999999	0.035803999999999996
0.11299999999999999	0.035972
0.11399999999999999	0.036136999999999996
0.11499999999999999	0.036302999999999995
0.11599999999999999	0.036465
0.11699999999999999	0.036628
0.118	0.036788
0.119	0.03695
0.12	0.037108999999999996
0.121	0.037267
0.122	0.037426999999999995
0.123	0.037584
0.124	0.037739
0.125	0.037894
0.126	0.038049
0.127	0.038201
0.128	0.038356999999999995
0.129	0.038506
0.13	0.038654999999999995
0.131	0.038811
0.132	0.038959
0.133	0.039108
0.13399999999999998	0.039255
0.13499999999999998	0.039402
0.13599999999999998	0.039549999999999995
0.13699999999999998	0.039694
0.13799999999999998	0.039842999999999996
0.13899999999999998	0.039985
0.13999999999999999	0.04013
0.141	0.040271999999999995
0.142	0.040412
0.143	0.040553
0.144	0.0407
0.145	0.040839
0.146	0.040976
0.147	0.041115
0.148	0.041255
0.149	0.041393
0.15	0.041527999999999995
0.151	0.041661
0.152	0.041801
0.153	0.041934
0.154	0.042071
0.155	0.042204
0.156	0.042335
0.157	0.04247
0.158	0.042601
0.159	0.042731
0.16	0.042864
0.161	0.042992999999999996
0.162	0.043121
0.163	0.043253
0.16399999999999998	0.043379999999999995
0.16499999999999998	0.043509
0.16599999999999998	0.043636999999999995
0.16699999999999998	0.043762999999999996
0.16799999999999998	0.043886999999999995
0.16899999999999998	0.044014
0.16999999999999998	0.044138
0.17099999999999999	0.044261999999999996
0.172	0.044388
0.173	0.044511999999999996
0.174	0.044635999999999995
0.175	0.044758
0.176	0.044879999999999996
0.177	0.045001
0.178	0.04512
0.179	0.045243
0.18	0.045363
0.181	0.045484
0.182	0.045602
0.183	0.045721
0.184	0.04584
0.185	0.045957
0.186	0.046075
0.187	0.046189
0.188	0.046306
0.189	0.046422
0.19	0.046537999999999996
0.191	0.046654
0.192	0.04677
0.193	0.046884999999999996
0.19399999999999998	0.046994999999999995
0.19499999999999998	0.047112
0.19599999999999998	0.047224999999999996
0.19699999999999998	0.047335999999999996
0.19799999999999998	0.047446999999999996
0.19899999999999998	0.047561
0.19999999999999998	0.047671
0.20099999999999998	0.047781
0.20199999999999999	0.047890999999999996
0.20299999999999999	0.048
0.204	0.048109
0.205	0.048221
0.206	0.04833
0.207	0.048437999999999995
0.208	0.048548
0.209	0.048655
0.21	0.048761
0.211	0.048867999999999995
0.212	0.048971999999999995
0.213	0.04908
0.214	0.049189
0.215	0.049290999999999995
0.216	0.049396999999999996
0.217	0.049500999999999996
0.218	0.049606
0.219	0.049708999999999996
0.22	0.049815
0.221	0.049916999999999996
0.222	0.050020999999999996
0.223	0.05012
0.22399999999999998	0.050226
0.22499999999999998	0.050328
0.22599999999999998	0.050427
0.22699999999999998	0.050527999999999997
0.22799999999999998	0.050629999999999994
0.22899999999999998	0.050732
0.22999999999999998	0.050830999999999994
0.23099999999999998	0.050929999999999996
0.23199999999999998	0.051032
0.23299999999999998	0.051129999999999995
0.23399999999999999	0.051229
0.235	0.051327
0.236	0.051424
0.237	0.051524
0.238	0.051621
0.239	0.051717
0.24	0.051815
0.241	0.051913999999999995
0.242	0.052008
0.243	0.052107
0.244	0.052203
0.245	0.052295999999999995
0.246	0.052393999999999996
0.247	0.052488
0.248	0.052580999999999996
0.249	0.052676
0.25	0.052768999999999996
0.251	0.052863
0.252	0.052955999999999996
0.253	0.05305
0.254	0.053145
0.255	0.053236
0.256	0.053328999999999994
0.257	0.053420999999999996
0.258	0.053513
0.259	0.053603
0.26	0.053694
0.261	0.053786
0.262	0.053877999999999995
0.263	0.053968999999999996
0.264	0.054057999999999995
0.265	0.054147999999999995
0.266	0.054237
0.267	0.054326
0.26799999999999996	0.054415
0.26899999999999996	0.054505
0.26999999999999996	0.054592999999999996
0.27099999999999996	0.054682999999999995
0.27199999999999996	0.054769
0.27299999999999996	0.054858
0.27399999999999997	0.054945
0.27499999999999997	0.055032
0.27599999999999997	0.055118999999999994
0.27699999999999997	0.055207
0.27799999999999997	0.055293999999999996
0.27899999999999997	0.055378
0.27999999999999997	0.05547
0.28099999999999997	0.055554
0.282	0.055637
0.283	0.055723999999999996
0.284	0.055811
0.285	0.055893
0.286	0.055978
0.287	0.056063999999999996
0.288	0.056147999999999997
0.289	0.056230999999999996
0.29	0.056315
0.291	0.056399
0.292	0.056480999999999996
0.293	0.056563999999999996
0.294	0.056648
0.295	0.056731
0.296	0.056815
0.297	0.056894999999999994
0.298	0.056978999999999995
0.299	0.057061
0.3	0.057143
0.301	0.057225
0.302	0.057304999999999995
0.303	0.057385
0.304	0.057464999999999995
0.305	0.057546999999999994
0.306	0.057624999999999996
0.307	0.057707999999999995
0.308	0.057787
0.309	0.057866999999999995
0.31	0.057946
0.311	0.058026999999999995
0.312	0.058103999999999996
0.313	0.058182
0.314	0.058262999999999995
0.315	0.058341
0.316	0.05842
0.317	0.058497
0.318	0.058573999999999994
0.319	0.058653
0.32	0.058732
0.321	0.058807
0.322	0.058885
0.323	0.058961
0.324	0.059039999999999995
0.325	0.059118
0.326	0.059192999999999996
0.327	0.059267
0.32799999999999996	0.059345999999999996
0.32899999999999996	0.059419
0.32999999999999996	0.059496
0.33099999999999996	0.059572
0.33199999999999996	0.059648
0.33299999999999996	0.059720999999999996
0.33399999999999996	0.059795999999999995
0.33499999999999996	0.059871
0.33599999999999997	0.059946
0.33699999999999997	0.060021
0.33799999999999997	0.060094999999999996
0.33899999999999997	0.060169999999999994
0.33999999999999997	0.060243
0.34099999999999997	0.060316999999999996
0.34199999999999997	0.06039
0.34299999999999997	0.060464
0.344	0.060534
0.345	0.060608999999999996
0.346	0.060682
0.347	0.060754999999999997
0.348	0.060827
0.349	0.060899999999999996
0.35	0.060972
0.351	0.061043
0.352	0.061116
0.353	0.061187
0.354	0.061258999999999994
0.355	0.061332
0.356	0.061402
0.357	0.061473
0.358	0.061543999999999995
0.359	0.061613999999999995
0.36	0.061683999999999996
0.361	0.061755
0.362	0.061825
0.363	0.061895
0.364	0.061965
0.365	0.062033
0.366	0.062103
0.367	0.062174
0.368	0.062242
0.369	0.062312
0.37	0.062382
0.371	0.062448
0.372	0.06251899999999999
0.373	0.062586
0.374	0.062654
0.375	0.062723
0.376	0.062791
0.377	0.062859
0.378	0.062926
0.379	0.062995
0.38	0.063063
0.381	0.063128
0.382	0.063196
0.383	0.063265
0.384	0.063331
0.385	0.063397
0.386	0.06346299999999999
0.38699999999999996	0.06353099999999999
0.38799999999999996	0.063597
0.38899999999999996	0.063663
0.38999999999999996	0.06372799999999999
0.39099999999999996	0.06379499999999999
0.39199999999999996	0.063861
0.39299999999999996	0.063926
0.39399999999999996	0.063992
0.39499999999999996	0.064058
0.39599999999999996	0.064122
0.39699999999999996	0.064188
0.39799999999999996	0.064252
0.39899999999999997	0.064316
0.39999999999999997	0.06437999999999999
0.40099999999999997	0.064446
0.40199999999999997	0.064511
0.40299999999999997	0.06457399999999999
0.40399999999999997	0.06464
0.40499999999999997	0.064702
0.40599999999999997	0.06476699999999999
0.407	0.064831
0.408	0.06489299999999999
0.409	0.064957
0.41	0.065022
0.411	0.065084
0.412	0.065147
0.413	0.06521099999999999
0.414	0.065272
0.415	0.06533599999999999
0.416	0.065398
0.417	0.06546099999999999
0.418	0.065523
0.419	0.065584
0.42	0.065647
0.421	0.065709
