P212S6bM4_X	P212S6bM4_Y
0.0	0.0
0.001	0.001349
0.002	0.002119
0.003	0.00282
0.004	0.0034449999999999997
0.005	0.00405
0.006	0.0045969999999999995
0.006999999999999999	0.005118999999999999
0.008	0.005617
0.009	0.006083
0.01	0.006536999999999999
0.011	0.006967999999999999
0.012	0.00737
0.013	0.007768
0.013999999999999999	0.008154
0.015	0.008527
0.016	0.008879999999999999
0.016999999999999998	0.009226
0.018	0.009557999999999999
0.019	0.009881
0.02	0.010211999999999999
0.020999999999999998	0.010522
0.022	0.010820999999999999
0.023	0.011116
0.024	0.011413999999999999
0.024999999999999998	0.011682
0.026	0.011959
0.027	0.012229
0.027999999999999997	0.012497999999999999
0.028999999999999998	0.012735
0.03	0.01299
0.031	0.013238
0.032	0.013482
0.033	0.01372
0.033999999999999996	0.013949
0.034999999999999996	0.014176999999999999
0.036	0.014416
0.037	0.014634999999999999
0.038	0.014844999999999999
0.039	0.015059
0.04	0.015269
0.040999999999999995	0.015479
0.041999999999999996	0.015676
0.043	0.015882
0.044	0.016080999999999998
0.045	0.01627
0.046	0.016468
0.047	0.016652
0.048	0.016843999999999998
0.048999999999999995	0.017020999999999998
0.049999999999999996	0.017200999999999998
0.051	0.017387
0.052	0.01756
0.053	0.017728
0.054	0.017911
0.055	0.018071999999999998
0.055999999999999994	0.018245
0.056999999999999995	0.018411
0.057999999999999996	0.018579
0.059	0.018734
0.06	0.018895
0.061	0.019051
0.062	0.019212
0.063	0.01936
0.064	0.019514
0.065	0.019669
0.066	0.019813
0.06699999999999999	0.01996
0.06799999999999999	0.020111999999999998
0.06899999999999999	0.020250999999999998
0.06999999999999999	0.020401
0.071	0.020541999999999998
0.072	0.020686
0.073	0.020819999999999998
0.074	0.020954999999999998
0.075	0.021093
0.076	0.021224999999999997
0.077	0.021358
0.078	0.02149
0.079	0.021622
0.08	0.021755
0.081	0.021886
0.08199999999999999	0.022008999999999997
0.08299999999999999	0.02213
0.08399999999999999	0.022262
0.08499999999999999	0.022383
0.086	0.022508
0.087	0.022631
0.088	0.022747
0.089	0.022865999999999997
0.09	0.022989
0.091	0.023105
0.092	0.023222
0.093	0.023337999999999998
0.094	0.023452
0.095	0.023565
0.096	0.023677999999999998
0.09699999999999999	0.023795
0.09799999999999999	0.023903
0.09899999999999999	0.024017999999999998
0.09999999999999999	0.024118
0.10099999999999999	0.024229999999999998
0.102	0.024338
0.103	0.024449
0.104	0.024555
0.105	0.024655999999999997
0.106	0.024758
0.107	0.024864999999999998
0.108	0.024964
0.109	0.025072999999999998
0.11	0.025175
0.111	0.025269
0.11199999999999999	0.025373
0.11299999999999999	0.025473
0.11399999999999999	0.025571
0.11499999999999999	0.025671
0.11599999999999999	0.025764
0.11699999999999999	0.025858
0.118	0.025956999999999997
0.119	0.026050999999999998
0.12	0.026143999999999997
0.121	0.026241999999999998
0.122	0.026331
0.123	0.026428
0.124	0.026518
0.125	0.026609999999999998
0.126	0.026698
0.127	0.026789
0.128	0.026879
0.129	0.026969
0.13	0.027058
0.131	0.027149
0.132	0.027233999999999998
0.133	0.027323
0.13399999999999998	0.027406
0.13499999999999998	0.027496
0.13599999999999998	0.027576999999999997
0.13699999999999998	0.027663
0.13799999999999998	0.027741
0.13899999999999998	0.027829
0.13999999999999999	0.027912
0.141	0.027995
0.142	0.028078
0.143	0.028155999999999997
0.144	0.028235999999999997
0.145	0.028319
0.146	0.028398999999999997
0.147	0.028484
0.148	0.028565
0.149	0.028634
0.15	0.028716
0.151	0.028797999999999997
0.152	0.028874
0.153	0.028952
0.154	0.02903
0.155	0.029108
0.156	0.029178
0.157	0.029252999999999998
0.158	0.029332999999999998
0.159	0.029404
0.16	0.029478999999999998
0.161	0.02955
0.162	0.029623
0.163	0.029699999999999997
0.16399999999999998	0.029771
0.16499999999999998	0.029844
0.16599999999999998	0.029917
0.16699999999999998	0.029984
0.16799999999999998	0.030062
0.16899999999999998	0.030130999999999998
0.16999999999999998	0.030202999999999997
0.17099999999999999	0.03027
0.172	0.030337999999999997
0.173	0.030410999999999997
0.174	0.030476
0.175	0.030543999999999998
0.176	0.030611
0.177	0.030684
0.178	0.030751999999999998
0.179	0.030817999999999998
0.18	0.030885
0.181	0.030948999999999997
0.182	0.031014999999999997
0.183	0.031086
0.184	0.031148
0.185	0.031215
0.186	0.031277
0.187	0.031341
0.188	0.03141
0.189	0.03147
0.19	0.031536
0.191	0.031597
0.192	0.031661
0.193	0.031724999999999996
0.19399999999999998	0.031786999999999996
0.19499999999999998	0.031852
0.19599999999999998	0.03191
0.19699999999999998	0.031976
0.19799999999999998	0.032035
0.19899999999999998	0.032096
0.19999999999999998	0.032157
0.20099999999999998	0.032216999999999996
0.20199999999999999	0.032274
0.20299999999999999	0.032341
0.204	0.032396999999999995
0.205	0.032455
0.206	0.032514999999999995
0.207	0.032573
0.208	0.032636
0.209	0.032688999999999996
0.21	0.032750999999999995
0.211	0.032808
0.212	0.032864
0.213	0.03292
0.214	0.032980999999999996
0.215	0.03304
0.216	0.033095
0.217	0.033146999999999996
0.218	0.033206
0.219	0.033263
0.22	0.033316
0.221	0.033375999999999996
0.222	0.033428
0.223	0.033484
0.22399999999999998	0.033534999999999995
0.22499999999999998	0.033593
0.22599999999999998	0.033644
0.22699999999999998	0.033697
0.22799999999999998	0.033756
0.22899999999999998	0.033812999999999996
0.22999999999999998	0.033867
0.23099999999999998	0.033919
0.23199999999999998	0.033967
0.23299999999999998	0.03402
0.23399999999999999	0.034074
0.235	0.034123
0.236	0.034176
0.237	0.034227
