P387S6cM4_X	P387S6cM4_Y
0.0	0.0
0.001	0.00106
0.002	0.001914
0.003	0.0026739999999999997
0.004	0.0033799999999999998
0.005	0.0040539999999999994
0.006	0.004673
0.006999999999999999	0.00526
0.008	0.005821
0.009	0.0063609999999999995
0.01	0.006869
0.011	0.007358
0.012	0.007826
0.013	0.008281
0.013999999999999999	0.008709999999999999
0.015	0.009131
0.016	0.009535
0.016999999999999998	0.009925999999999999
0.018	0.010305
0.019	0.010676999999999999
0.02	0.011035999999999999
0.020999999999999998	0.011382
0.022	0.011713
0.023	0.012039999999999999
0.024	0.012362
0.024999999999999998	0.012672
0.026	0.012976999999999999
0.027	0.013279
0.027999999999999997	0.013557999999999999
0.028999999999999998	0.013841
0.03	0.014117999999999999
0.031	0.014384999999999998
0.032	0.01465
0.033	0.014907
0.033999999999999996	0.015160999999999999
0.034999999999999996	0.015411
0.036	0.015650999999999998
0.037	0.015888
0.038	0.016118999999999998
0.039	0.01635
0.04	0.016571
0.040999999999999995	0.016791
0.041999999999999996	0.017008
0.043	0.017218
0.044	0.017422999999999998
0.045	0.017632
0.046	0.01783
0.047	0.018024
0.048	0.018220999999999998
0.048999999999999995	0.018414
0.049999999999999996	0.018598
0.051	0.018784
0.052	0.018965
0.053	0.019142
0.054	0.019316
0.055	0.019490999999999998
0.055999999999999994	0.019660999999999998
0.056999999999999995	0.019830999999999998
0.057999999999999996	0.019993999999999998
0.059	0.020158
0.06	0.020318
0.061	0.020475
0.062	0.020631999999999998
0.063	0.020786
0.064	0.020936
0.065	0.021085
0.066	0.021231999999999997
0.06699999999999999	0.021377
0.06799999999999999	0.021519
0.06899999999999999	0.021658
0.06999999999999999	0.021804
0.071	0.021936999999999998
0.072	0.022073
0.073	0.022206
0.074	0.022341999999999997
0.075	0.022469
0.076	0.022601
0.077	0.022726
0.078	0.02285
0.079	0.022973999999999998
0.08	0.023098
0.081	0.023219
0.08199999999999999	0.023339
0.08299999999999999	0.023455
0.08399999999999999	0.023572
0.08499999999999999	0.023687
0.086	0.023801
0.087	0.023913999999999998
0.088	0.024026
0.089	0.024135999999999998
0.09	0.024245
0.091	0.024353
0.092	0.024457
0.093	0.024561
0.094	0.024669999999999997
0.095	0.024772
0.096	0.024873
0.09699999999999999	0.024973
0.09799999999999999	0.025072999999999998
0.09899999999999999	0.025172999999999997
0.09999999999999999	0.025268
0.10099999999999999	0.025366
0.102	0.025462
0.103	0.025556
0.104	0.02565
0.105	0.02574
0.106	0.025834
0.107	0.025925999999999998
0.108	0.026015999999999997
0.109	0.026104
0.11	0.026192
0.111	0.026279
0.11199999999999999	0.026362999999999998
0.11299999999999999	0.026452999999999997
0.11399999999999999	0.026536999999999998
0.11499999999999999	0.026621
0.11599999999999999	0.026705999999999997
0.11699999999999999	0.026785999999999997
0.118	0.026867
0.119	0.026945999999999998
0.12	0.027027
0.121	0.027108
0.122	0.027181999999999998
0.123	0.027264
0.124	0.02734
0.125	0.027415
0.126	0.027492
0.127	0.027568
0.128	0.027639
0.129	0.027717
0.13	0.027787
0.131	0.027859
0.132	0.027932
0.133	0.028002
0.13399999999999998	0.028072999999999997
0.13499999999999998	0.028142
0.13599999999999998	0.028211999999999997
0.13699999999999998	0.028280999999999997
0.13799999999999998	0.028349
0.13899999999999998	0.028416
0.13999999999999999	0.028481
0.141	0.02855
0.142	0.028613
0.143	0.028679999999999997
0.144	0.028744
0.145	0.02881
0.146	0.028874
0.147	0.028936999999999997
0.148	0.028998
0.149	0.029057999999999997
0.15	0.029120999999999998
0.151	0.029182999999999997
0.152	0.029244
0.153	0.029303
0.154	0.029362
0.155	0.029421
0.156	0.029478999999999998
0.157	0.029539
0.158	0.029597
0.159	0.029654999999999997
0.16	0.029712
0.161	0.029767
0.162	0.029823
0.163	0.029879
0.16399999999999998	0.029932999999999998
0.16499999999999998	0.029987999999999997
0.16599999999999998	0.030042
0.16699999999999998	0.030098
0.16799999999999998	0.030151999999999998
0.16899999999999998	0.030206
0.16999999999999998	0.030255999999999998
0.17099999999999999	0.03031
0.172	0.030364
0.173	0.030413
0.174	0.030463999999999998
0.175	0.030514999999999997
0.176	0.030563999999999997
0.177	0.030615
0.178	0.030664
0.179	0.030712
0.18	0.030764
0.181	0.030812
0.182	0.030861999999999997
0.183	0.030907999999999998
0.184	0.030957
0.185	0.031004999999999998
0.186	0.031049999999999998
0.187	0.031097
0.188	0.031146
0.189	0.031188999999999998
0.19	0.031235
0.191	0.031280999999999996
0.192	0.031326
0.193	0.031368
0.19399999999999998	0.031414
0.19499999999999998	0.03146
0.19599999999999998	0.031501999999999995
0.19699999999999998	0.031549
0.19799999999999998	0.031591
0.19899999999999998	0.031633
0.19999999999999998	0.031677
0.20099999999999998	0.031721
0.20199999999999999	0.031761
0.20299999999999999	0.031803
0.204	0.031844
0.205	0.031885
0.206	0.031925999999999996
0.207	0.031966999999999995
0.208	0.032008
0.209	0.032049
