P387cM3_X	P387cM3_Y
0.0	0.0
0.001	0.001057
0.002	0.0019479999999999999
0.003	0.0027749999999999997
0.004	0.003554
0.005	0.004294
0.006	0.005004
0.006999999999999999	0.005673
0.008	0.006319
0.009	0.006939
0.01	0.007535
0.011	0.00811
0.012	0.008664999999999999
0.013	0.009203
0.013999999999999999	0.009727
0.015	0.01023
0.016	0.010719
0.016999999999999998	0.011196
0.018	0.011661
0.019	0.012118
0.02	0.01256
0.020999999999999998	0.01299
0.022	0.013408999999999999
0.023	0.013824999999999999
0.024	0.014228
0.024999999999999998	0.014624
0.026	0.015005999999999999
0.027	0.015389
0.027999999999999997	0.015761999999999998
0.028999999999999998	0.016123
0.03	0.016482999999999998
0.031	0.016834
0.032	0.017178
0.033	0.017516
0.033999999999999996	0.017852
0.034999999999999996	0.018179
0.036	0.0185
0.037	0.018817999999999998
0.038	0.019131
0.039	0.019431
0.04	0.019736
0.040999999999999995	0.020041
0.041999999999999996	0.020332
0.043	0.020619
0.044	0.020905
0.045	0.021185
0.046	0.021460999999999997
0.047	0.021737
0.048	0.022011
0.048999999999999995	0.022274
0.049999999999999996	0.022535
0.051	0.022798
0.052	0.023055
0.053	0.023306
0.054	0.023559999999999998
0.055	0.023802999999999998
0.055999999999999994	0.024051
0.056999999999999995	0.024291
0.057999999999999996	0.024529
0.059	0.024768
0.06	0.024999
0.061	0.025228999999999998
0.062	0.025457999999999998
0.063	0.025685
0.064	0.025906
0.065	0.026128
0.066	0.026348
0.06699999999999999	0.02656
0.06799999999999999	0.026777
0.06899999999999999	0.026990999999999998
0.06999999999999999	0.027201
0.071	0.027408
0.072	0.027613
0.073	0.027815
0.074	0.02802
0.075	0.028218
0.076	0.028416999999999998
0.077	0.028617
0.078	0.028804999999999997
0.079	0.029001
0.08	0.029189
0.081	0.029379
0.08199999999999999	0.02957
0.08299999999999999	0.029755999999999998
0.08399999999999999	0.029939999999999998
0.08499999999999999	0.030122
0.086	0.030303999999999998
0.087	0.030482
0.088	0.030660999999999997
0.089	0.03084
0.09	0.03101
0.091	0.031186
0.092	0.03136
0.093	0.031529999999999996
0.094	0.031699
0.095	0.031866
0.096	0.032034
0.09699999999999999	0.0322
0.09799999999999999	0.032364
0.09899999999999999	0.032526
0.09999999999999999	0.03269
0.10099999999999999	0.032848999999999996
0.102	0.033009
0.103	0.033165
0.104	0.033322
0.105	0.033481
0.106	0.033634
0.107	0.033788
0.108	0.033939
0.109	0.034092
0.11	0.034242999999999996
0.111	0.034391
0.11199999999999999	0.034540999999999995
0.11299999999999999	0.034688
0.11399999999999999	0.034831
0.11499999999999999	0.034977999999999995
0.11599999999999999	0.035123
0.11699999999999999	0.035266
0.118	0.035407
0.119	0.03555
0.12	0.035688
0.121	0.035827
0.122	0.035969
0.123	0.036106
0.124	0.036241999999999996
0.125	0.036378
0.126	0.036514
0.127	0.036647
0.128	0.03678
0.129	0.036913999999999995
0.13	0.037044
0.131	0.037175
0.132	0.037304
0.133	0.037434999999999996
0.13399999999999998	0.037564
0.13499999999999998	0.037690999999999995
0.13599999999999998	0.037819
0.13699999999999998	0.037942
0.13799999999999998	0.038067
0.13899999999999998	0.038194
0.13999999999999999	0.038317
0.141	0.038439
0.142	0.038562
0.143	0.038686
0.144	0.038807
0.145	0.038926999999999996
0.146	0.039044999999999996
0.147	0.039165
0.148	0.039284
0.149	0.039398999999999997
0.15	0.039515999999999996
0.151	0.039633
0.152	0.039748
0.153	0.039865
0.154	0.039980999999999996
0.155	0.040091
0.156	0.040205
0.157	0.040320999999999996
0.158	0.04043
0.159	0.040541999999999995
0.16	0.040652
0.161	0.040763
0.162	0.040872
0.163	0.040982
0.16399999999999998	0.04109
0.16499999999999998	0.041194999999999996
0.16599999999999998	0.041305
0.16699999999999998	0.041413
0.16799999999999998	0.041518
0.16899999999999998	0.041624
0.16999999999999998	0.041728
0.17099999999999999	0.041832
0.172	0.041936999999999995
0.173	0.042043
0.174	0.042144
0.175	0.042245
0.176	0.042349
0.177	0.042450999999999996
0.178	0.042547999999999996
0.179	0.042651
0.18	0.042752
0.181	0.042852
0.182	0.042953
0.183	0.043049
0.184	0.043146
0.185	0.043246
0.186	0.043342
0.187	0.043438
0.188	0.043533999999999996
0.189	0.043630999999999996
0.19	0.043726
0.191	0.043819
0.192	0.043916
0.193	0.044008
0.19399999999999998	0.044102999999999996
0.19499999999999998	0.044196
0.19599999999999998	0.044288999999999995
0.19699999999999998	0.044379999999999996
0.19799999999999998	0.044473
0.19899999999999998	0.044564
0.19999999999999998	0.044656
0.20099999999999998	0.044746999999999995
0.20199999999999999	0.044836
0.20299999999999999	0.044926999999999995
0.204	0.045015
0.205	0.045105
0.206	0.045194
0.207	0.045280999999999995
0.208	0.045370999999999995
0.209	0.045457
0.21	0.045543
0.211	0.04563
0.212	0.045717999999999995
0.213	0.045802999999999996
0.214	0.045888
0.215	0.045974999999999995
0.216	0.046057999999999995
0.217	0.046144
0.218	0.046227
0.219	0.046312
0.22	0.046395
0.221	0.046478
0.222	0.046561
0.223	0.046643
0.22399999999999998	0.046724999999999996
0.22499999999999998	0.046806
0.22599999999999998	0.04689
0.22699999999999998	0.046969
0.22799999999999998	0.047049
0.22899999999999998	0.04713
0.22999999999999998	0.047209
0.23099999999999998	0.04729
0.23199999999999998	0.047368
0.23299999999999998	0.047446999999999996
0.23399999999999999	0.047527
0.235	0.047605999999999996
0.236	0.047686
0.237	0.047763
0.238	0.047839
0.239	0.047916
0.24	0.047993999999999995
0.241	0.048069
0.242	0.048145999999999994
0.243	0.048222
0.244	0.048298
0.245	0.048374999999999994
0.246	0.048448
0.247	0.048525
0.248	0.048598999999999996
