Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233
D24	100.0	77.82600098760729	58.53778219014857	41.9906187659878	29.084620552790923	19.50739721999936	12.681685060938683	8.049434196264691	5.01567852451057	3.1094515259774878	1.9121277967972123	1.1739896953428208	0.7287175287870961	0.4647137439943849	0.29837334661185483	0.1962170706988098	0.1356562464090537	0.09474404511108511	0.06948448762954582	0.05126447895433714	0.0372474950076141	0.026605353576867215	0.01913100910896911	0.015031507157047158	0.01082848242856152	0.007225889804145259	0.0047206386113040665	0.0037475245116054207	0.002857228633157724	0.0022567965290883475	0.0016149553143934962	0.0012836824293897021	0.0005383184381311654	0.00018634099781463418	4.1409110625474265e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D25	100.0	4.134140672960162	0.18313179174115993	0.027619876787191334	0.015321370931425477	0.009813959218237401	0.00830252668040759	0.005880093708817345	0.0037061154009799466	0.003292024294725204	0.00281581952253225	0.0023396147503392957	0.0017805917568953934	0.0015942507590807592	0.0009731140996986452	0.0008074776571967481	0.000786773101884011	0.0007453639912585367	0.0006211366593821139	0.0005797275487566397	0.0005590229934439026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D51	100.0	87.80638342144847	79.0949003645037	70.90970639905339	63.54656609774	57.10910575990376	51.472394098787646	46.523115083165024	42.13356301586693	38.1665702179465	34.62182612107403	31.453925635448684	28.617836353265265	26.030988507936573	23.70741978796465	21.599054215913313	19.70860408852854	17.988925133363217	16.422480592067465	14.998379868546778	13.692398633085258	12.492424720824951	11.40806504543097	10.417186437273998	9.517801259044008	8.672165106405886	7.9035498995311455	7.207897545578491	6.570569923941816	5.991608443731748	5.443993660265163	4.956215041652389	4.508251282906008	4.095464563635969	3.717420088180701	3.377327062613681	3.0634045949619604	2.770290205399541	2.503118623643981	2.267148806744716	2.0467695199959417	1.8489996076486768	1.6673792484453467	1.5106250601726139	1.360951829816837	1.226040947399042	1.106244390359545	0.9964688380914127	0.8990539053449845	0.8110802498211644	0.7309743253161844	0.660827291916631	0.6007633769543806	0.542604281080902	0.48937286937185487	0.44148323293349384	0.39636800690703966	0.3584372615741052	0.3252271548524749	0.2939632763302418	0.2652460581114754	0.23990368240868515	0.21884714965563148	0.19952979954884775	0.18091640432269707	0.16462191929157294	0.15097761734047915	0.1378923383828293	0.12683610584582766	0.11667016918727374	0.10793284684529866	0.10045850237740056	0.09383304467732469	0.08758026897287807	0.08172087981937345	0.07629628632743633	0.07136860216300489	0.0664616225538862	0.06184450671914581	0.05741373188222006	0.05405959392155665	0.05095391062464608	0.04809668199148836	0.04499099869457779	0.04186461084235448	0.038738222990131174	0.035632539693220604	0.033023765723815726	0.0303321735331599	0.02801326333813334	0.02612914880467426	0.024493488934968027	0.022919942731200005	0.021160055529617347	0.019545100215223852	0.01826141778583415	0.0168949171351935	0.015838984814243905	0.014824461603919786	0.014120506723286724	0.01349937006390461	0.012733301517333337	0.011863710194198377	0.011014823426376155	0.010352277656368565	0.00989677743948835	0.009379163556669921	0.009151413448229812	0.008758026897287807	0.008488867678222224	0.00809548112728022	0.007909140129465584	0.007432935357272631	0.007122367027581573	0.006832503253203254	0.006418412146948511	0.006190662038508403	0.005838684598191871	0.00548670715787534	0.005134729717558809	0.004865570498493226	0.004451479392238483	0.00403738828598374	0.0038510472881691064	0.0035611835137907867	0.0032092060734742554	0.0029193422990959356	0.0026087739694048784	0.0024845466375284556	0.002215387418462873	0.0021532737525246618	0.002049750975960976	0.002008341865335502	0.0019669327547100273	0.0018220008675208677	0.0016770689803317076	0.0015942507590807592	0.0015528416484552848	0.0014700234272043363	0.001428614316578862	0.0013665006506406506	0.0011594550975132793	0.0009731140996986452	0.0009317049890731709	0.0008695913231349595	0.0006832503253203253	0.0006418412146948511	0.00041409110625474264	0.00035197744031653124	0.0002484546637528456	6.21136659382114e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D62	100.0	82.4222052214818	68.49570018147543	55.52328175483529	44.197786475991514	34.604496408277264	26.658150192914693	20.270670651603414	15.15550673881514	11.210647110524022	8.220163959373522	5.96711495479678	4.31787289680539	3.1345868561271506	2.2675007841850325	1.6536314237176892	1.217137988614565	0.8953063808333791	0.6708068875773703	0.508503878480824	0.39156455007448465	0.3036115991059773	0.24201554705058434	0.19615495703287159	0.16240653187311005	0.13464172319872958	0.10998259782125965	0.09035467938478485	0.07327342125177672	0.06035377873662874	0.048759227761495945	0.04037388285983741	0.03370701604913605	0.02822030889126071	0.022857829065261792	0.018012963122081303	0.013892756614846615	0.010994118871063416	0.008550981344160435	0.006563344034137671	0.00519684338349702	0.004203024728485638	0.0033541379606634152	0.0025466603034666672	0.001884114533459079	0.0011801596528260166	0.0008488867678222224	0.0006004321040693768	0.0003933865509420055	0.0002691592190655827	0.00016563644250189706	8.281822125094853e-05	4.1409110625474265e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D71	100.0	93.99315300355808	91.72465840071803	89.1726977310913	86.42170417124323	83.64333918927173	80.8247866654382	78.06033514463685	75.30495221906247	72.62830871734245	70.01605638264503	67.43624808612267	64.93764305553687	62.531939364639314	60.184208428617424	57.90826018586479	55.72105166718256	53.564071799256915	51.479143783819595	49.490698996139635	47.56086880455003	45.67640229365064	43.80593206214265	42.00308290828607	40.2578131227542	38.55703742658941	36.90586984495394	35.31919695311764	33.78312599446567	32.285254940365704	30.832229953073124	29.429165057750183	28.08800678281232	26.797616077501292	25.55600530450707	24.351724844741717	23.192476792781562	22.06693575687055	20.990816494491035	19.93950128937618	18.939968177098486	17.97207162533865	17.05900073604694	16.182597614214092	15.34915644465517	14.530581145810796	13.743228316378028	12.98386804572808	12.25239681108439	11.555605706589535	10.88951945762347	10.248816993470818	9.644036932785767	9.062363155829729	8.514603440475957	7.993283442256548	7.494241545553645	7.022219093533864	6.560963010276706	6.125007893611713	5.70721067195599	5.316122326653699	4.9455521956663295	4.595500278993883	4.272612738891747	3.9638871146235237	3.6772946599846166	3.40455355284993	3.150115272611704	2.9150357515908865	2.688445098248291	2.480778408461538	2.285037542534921	2.1007670002515604	1.9251923711995496	1.767547887048369	1.6226574089698345	1.490376005076757	1.3619456484718486	1.2446957517358181	1.1340920172551765	1.0319978550080695	0.9388273561007525	0.8531312016613335	0.7738327548135503	0.6996897422386387	0.6330831877975632	0.5732056138331275	0.5164958368315405	0.4648172667709486	0.4196606316338689	0.3787691348912131	0.33878863858231767	0.3036737127719155	0.2719543340328022	0.24307147937153392	0.21818460388562388	0.19439506983128893	0.17259317308697672	0.15184720866361412	0.13503510974967156	0.11944457959918052	0.10586239131402496	0.09414361300701574	0.08354288068689433	0.07314919391990028	0.06389425769510679	0.05652343600377237	0.049918682859009224	0.04476324858613768	0.03977345075576803	0.0352391531422786	0.03118106030098212	0.02757846767656586	0.02403798871808781	0.02113935097430461	0.017868031234892143	0.015797575703618432	0.013747824727657456	0.011615255530445531	0.009938186550113822	0.009089299782291602	0.008281822125094852	0.007060253361643362	0.006252775704446614	0.0056316390450645	0.00505191149630786	0.004699934055991329	0.004244433839111112	0.003602592624416261	0.0029400468544086727	0.0023810238609647703	0.0018634099781463418	0.0014493188718915993	0.0010766368762623309	0.0007453639912585367	0.0006418412146948511	0.0004969093275056912	0.0003933865509420055	0.00037268199562926835	0.0002691592190655827	0.0002691592190655827	0.00020704555312737132	0.00010352277656368566	8.281822125094853e-05	4.1409110625474265e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D72	100.0	88.79819373459452	79.91556682343466	70.58091806068713	61.45689673913606	52.905190735539676	45.09783419999151	38.04861636632984	31.789463658846902	26.34095640552356	21.65717190267617	17.700986882628982	14.375586844739646	11.59664213521938	9.2692430725146	7.3814224236545405	5.851873399926085	4.624113974436086	3.640875347189512	2.871990981095706	2.2401914757275323	1.7451455581999873	1.3621941031356013	1.0721025786488414	0.8457603799699991	0.6727531157767677	0.5400576207774354	0.4395991184000348	0.35839585246347977	0.290008706265509	0.23895127286429924	0.19752145768351223	0.16576066983377347	0.1390103843697171	0.11778821517416155	0.09807747851643579	0.08165876615343524	0.06938096485298213	0.05996039218568673	0.050767569626831446	0.04314829327174418	0.03772369977980705	0.03327222038756857	0.029421173099399463	0.025715057698419516	0.022567965290883472	0.020042009542729545	0.017888735790204884	0.016087439477996752	0.01436896138703957	0.012981756181086181	0.011925823860136587	0.010580027764808674	0.009420572667295395	0.008178299348531167	0.007453639912585367	0.006770389587265042	0.005258957049435232	0.004865570498493226	0.004472183947551221	0.00397527462004553	0.0035611835137907867	0.0032299106287869924	0.0028986377437831986	0.002712296745968564	0.0023189101950265587	0.0021532737525246618	0.002049750975960976	0.0017598872015826563	0.001428614316578862	0.0010559323209495938	0.0009110004337604338	0.0007039548806330625	0.0006004321040693768	0.0004969093275056912	0.00035197744031653124	0.00028986377437831984	0.00020704555312737132	0.00010352277656368566	4.1409110625474265e-05	2.0704555312737133e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D75	100.0	93.84383175064262	91.72339542284395	89.34057026556698	86.68767488879065	83.90831608816414	81.01849848494416	78.0778097893208	75.09130191279034	72.09754744190043	69.11975618315664	66.11544238905722	63.11895491686604	60.152074958772054	57.188135047532484	54.249102716334136	51.37833330400188	48.5279992877633	45.73723227715946	42.9753688257722	40.299284347045614	37.67995105443124	35.17130431451876	32.713777121673424	30.32430580214106	28.043057193228368	25.858768016845225	23.755785629175204	21.73110786969795	19.803762224745878	17.996088909501424	16.294567849345373	14.69990299915836	13.22486906956834	11.85760235038112	10.583423311879963	9.420738303737897	8.350581953288453	7.391671178534345	6.526531334791624	5.74609382683331	5.053277996958501	4.4272757670778935	3.876555300314399	3.3786728587090087	2.939156558530225	2.5572196266761633	2.228162129090832	1.9476361091585566	1.7041505386807678	1.4889266862048653	1.3033931660474278	1.1432020215927807	1.004253750889002	0.8900267192286311	0.7925910819268901	0.7078266324765443	0.6355056207691535	0.5707003626402863	0.5157297682849692	0.4705524285925768	0.43160716004931826	0.39800366677674587	0.36551821949106134	0.3381260928123101	0.3122453986713887	0.28915981949768677	0.2682482186318223	0.2500903236225518	0.2328020199364163	0.21638330757341576	0.20116545941855396	0.18619606592744503	0.17126808154696155	0.15865900736150465	0.1459257058441713	0.1348280641965442	0.12302646766828404	0.11308828111817021	0.1024875487980488	0.09331543079450626	0.08484726767159677	0.0778905370865171	0.07035407895268077	0.06310748459322278	0.05710316355252901	0.051347297175588086	0.04573636268583632	0.04060163296827751	0.03554972147196966	0.03167796962848781	0.028717218218766404	0.02612914880467426	0.023706715833084015	0.021615555746497567	0.019669327547100275	0.017660985681764774	0.01573546203768022	0.013913461170159352	0.012712596962020598	0.011884414749511114	0.010994118871063416	0.010000300216052034	0.008716617786662332	0.007598571799774527	0.006956730585079676	0.006356298481010299	0.005880093708817345	0.005258957049435232	0.004741343166616803	0.004099501951921952	0.0036647062903544724	0.0028779331884704615	0.0022775010844010846	0.0018634099781463418	0.0013872052059533879	0.0008488867678222224	0.0007039548806330625	0.0005797275487566397	0.0005176138828184283	0.00043479566156747975	0.0002691592190655827	0.00020704555312737132	4.1409110625474265e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P187	100.0	78.46341142746522	64.99317267288562	54.59621458615217	46.34756115866833	39.58700623517683	33.93281992937676	29.144166853870356	25.044623492837776	21.50097673739688	18.441713053497466	15.764407006007426	13.463468364992323	11.474899349980486	9.761680216072739	8.305052636155743	7.027974959910805	5.94510601249934	5.014684705855559	4.231617719372528	3.5728815875424833	3.003195748112521	2.5201791772216766	2.1243080796421423	1.7815027573291538	1.502032669717828	1.2738063565055266	1.0885627001224674	0.9366740823482278	0.8177885257424913	0.722029957421082	0.6405161231548359	0.5707003626402863	0.5073651279386234	0.4571151721946104	0.4141739244759936	0.3797836581015372	0.3504453032233887	0.3255791322927914	0.3027834168934678	0.2814784294766613	0.2630099661376998	0.24642561733219734	0.23141481473046294	0.21760487633686726	0.2049129839301594	0.1941673197228488	0.18414631495148406	0.17453940128637402	0.1662161700506537	0.15716827937898756	0.1487622299220163	0.1403975895756705	0.13352367721184177	0.1267946967352022	0.12174278523889434	0.11606973708320437	0.11018964337438701	0.10493068632495178	0.10066554793052794	0.09731140996986452	0.09451629500264501	0.0917832937013637	0.0888225422916423	0.08635870020942658	0.08457810845253118	0.0829631531381377	0.08165876615343524	0.08056142472186018	0.0794019696243469	0.07828392363745909	0.0770623548740076	0.07592360433180706	0.07476414923429378	0.07374962602396966	0.07261087548176912	0.07138930671831763	0.07029196528674256	0.0695880104061095	0.06892546463610191	0.0683043279767198	0.06739332754295936	0.06637880433263524	0.06538498567762387	0.06453609890980164	0.06348016658885204	0.062237893270087816	0.06128548372570191	0.06054011973444337	0.05954630107943199	0.05846966420316966	0.05747584554815828	0.056544140559085104	0.05534327635094635	0.054287344029996756	0.05292084337935611	0.05188561561371925	0.050829683292769656	0.049732341861194594	0.04871781865087047	0.047661886329920876	0.04654384034303307	0.0456121353539599	0.04428704381394472	0.04285842949736586	0.041202065072346895	0.03952499609201519	0.037992858998872635	0.036647062903544726	0.03538408502946776	0.034017584378827105	0.032733901949437406	0.03140881040942223	0.030580628196912745	0.0296075140972141	0.02880003644001735	0.027951149672195127	0.027143672014998378	0.026398308023739842	0.025466603034666673	0.024348557047778868	0.023313329282142012	0.02223669240587968	0.021201464640242824	0.020186941429918705	0.019234531885532796	0.018095781343332253	0.017267599130822767	0.016501530584251495	0.015549121039865586	0.01480375704860705	0.013872052059533879	0.013085278957649868	0.012215687634514907	0.011470323643256371	0.010724959651997835	0.010145232103241194	0.009524095443859081	0.008820140563226019	0.008385344901658539	0.00795054924009106	0.007205185248832522	0.006687571366014094	0.006294184815072088	0.005859389153504608	0.005300366160060706	0.004865570498493226	0.004472183947551221	0.004016683730671004	0.003416251626601627	0.0028779331884704615	0.0026087739694048784	0.002194682863150136	0.0018220008675208677	0.001718478090957182	0.0015114325378298107	0.0012836824293897021	0.0012422733187642278	0.0011594550975132793	0.0010559323209495938	0.0008281822125094853	0.0007039548806330625	0.00041409110625474264	0.0003312728850037941	0.0002691592190655827	0.00016563644250189706	0.00010352277656368566	6.21136659382114e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P212	100.0	81.15198075304538	69.9929293943607	61.386749705736506	54.37689123172435	48.37242525914339	43.19841900015632	38.631118325498385	34.617995778341175	31.04126314351052	27.790710073076728	24.82921329936406	22.161907552090074	19.732579963580687	17.50961467787335	15.5415017635105	13.735008607918871	12.107796196780235	10.656758846797679	9.369825802223875	8.217907162844433	7.197938654473064	6.296855702707431	5.496603935314829	4.807742675504751	4.212155437378555	3.696860464755153	3.2428923849680786	2.849423015804822	2.5040089195224287	2.2081822332140404	1.9490854280304482	1.7298863009345	1.5426964163520438	1.376790814631081	1.232728518765056	1.113946484935883	1.0041916372230637	0.9121598888579471	0.8317641005785888	0.7587184294352523	0.696190672390786	0.6417376919182874	0.5944484875839958	0.5501200346594256	0.510470811235534	0.4750039079848153	0.44247705158850525	0.4118964233915925	0.3854152971466017	0.36123237654132473	0.33909920691200873	0.32015453880085426	0.3025556667850277	0.2863025908645291	0.2708155834906017	0.25760607720107537	0.2445000936881128	0.23182890583671767	0.2195303999809518	0.2080393717823827	0.1966518663603773	0.18617536137213228	0.17638210670920762	0.16783112536504718	0.16017043989933447	0.15286173187393826	0.1462569787291751	0.1392795435887827	0.13290254055245965	0.12772640172427538	0.12308858133422225	0.11805737439322712	0.11387505422005423	0.11010682515313606	0.10706325552216371	0.10356418567431114	0.10027216137958593	0.09729070541455179	0.09416431756232847	0.09167977092480002	0.08900888328945693	0.08656574576255395	0.08377063079533444	0.0815759479321843	0.07962971973278701	0.07791124164182983	0.07617205899555991	0.07422583079616261	0.07221748893082712	0.07060253361643362	0.06896687374672739	0.06778671409390137	0.0666893726623263	0.06536428112231113	0.06393566680573226	0.06285902992946993	0.06190662038508402	0.060809278953508954	0.05962911930068294	0.05863530064567156	0.057848527543787547	0.05679259522283795	0.055674549235950145	0.05466002602562603	0.05345916181748728	0.05219618394341031	0.0506847514055805	0.049401068976190794	0.047827522772422776	0.04648172667709486	0.04528086246895611	0.04403858915019188	0.04281702038674039	0.04118136051703416	0.03966992797920434	0.03830342732856369	0.03672988112479567	0.03548760780603145	0.03387265249163795	0.03219558351130624	0.0308911965266038	0.029855968760966946	0.02836524077844987	0.026543239910929002	0.02505251192841193	0.023706715833084015	0.02223669240587968	0.020538918870235234	0.01942087288334743	0.018075076788019517	0.01674998524800434	0.015549121039865586	0.014348256831726832	0.013375142732028188	0.012381324077016805	0.011677369196383743	0.010952709760437943	0.010310868545743092	0.009648322775735503	0.008799436007913282	0.007971253795403796	0.007308708025396207	0.006418412146948511	0.005569525379126288	0.004637820390053117	0.0038717518434818435	0.00339554707128889	0.0029193422990959356	0.0025466603034666672	0.0022775010844010846	0.0021532737525246618	0.001884114533459079	0.0018012963122081304	0.001739182646269919	0.001718478090957182	0.001573546203768022	0.0014907279825170734	0.0014493188718915993	0.0013457960953279135	0.0012836824293897021	0.0011180459868878052	0.0009731140996986452	0.0008074776571967481	0.0005590229934439026	0.00047620477219295404	0.0003312728850037941	0.0003312728850037941	0.00028986377437831984	0.0002484546637528456	0.00016563644250189706	0.00014493188718915992	0.0001242273318764228	2.0704555312737133e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
