# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun May 30 14:18:16 AEST 2021 [seed=1622348295147]
# -overwrite -save_every 10000 -save_state 1.ORIUCLN_dates_noHyperPrior.xml.state 1.ORIUCLN_dates_noHyperPrior.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-2.753099404797198E7	-1526.1957428822302	-2.7529467852229096E7	93.10547089115337	93.10547089115337	138.2087075072995	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	0.3333333333333333	0.9436573089085467	0.2984290902211872	0.01848641430878899	-2.7529467852229096E7	-1263.6430702265839	-117.66209196713737
100000	-5903824.833820416	-1617.0096205150678	-5902207.824199901	92.06747516208709	92.06747516208709	361.81880142919647	8.405246982299674	1.1390992971076663	1.0873584719783427	0.733700753879299	0.5366945799384226	1.243448623954181	1.259698273142087	0.027743560699839354	0.0018359718541389653	1.5648807319003166	8.334705873020268E-7	5.841108541466267	-0.03444092851248381	-5902207.824199901	-1263.6430702265839	-346.1610139256958
200000	-5903077.829152656	-1698.1063051219353	-5901379.722847533	94.97276543991461	94.97276543991461	511.4331433675755	14.528872182276672	1.2630959066994343	1.1873654328480356	0.4972064464866951	0.3462985227663465	1.2658427896255184	1.4401909015739722	0.03976849122534363	0.001519569767209114	1.8259273715944244	5.709343823870779E-7	5.9908874848518066	-0.02481699642113638	-5901379.722847533	-1263.6430702265839	-425.99288704907485
300000	-5902651.481778816	-1736.9668874668864	-5900914.51489135	119.88497793955258	119.88497793955258	620.5693520707374	16.791732464617205	1.3518927030598362	1.1863562733131134	0.37180177661013597	0.23890222153162868	1.3798294584962636	1.4712175669890246	0.004470296232353207	0.0012191977809761236	1.631839776951751	4.4953395597216987E-7	6.379593518924293	-0.01694272520619652	-5900914.51489135	-1263.6430702265839	-465.50743143413865
400000	-5902173.833694676	-1734.1132363658269	-5900439.72045831	119.32050406909198	119.32050406909198	648.1832238160882	19.425325956384533	1.3194534288922768	1.2172735027384582	0.2947965436529769	0.2533492016631953	1.3843550540053493	1.530772269047745	0.024049172815933762	8.566130327333048E-4	0.9156762165085442	4.0462110358376336E-7	8.308125788600993	-0.01100217487934377	-5900439.72045831	-1263.6430702265839	-464.8993575559582
500000	-5901932.0094105955	-1807.5072207421617	-5900124.502189853	124.89595602921115	124.89595602921115	884.351003882308	41.41847082113368	1.3925147468740857	1.1721325780710432	0.33260096738320344	0.24000193239239917	1.307529510272698	1.5552202650065714	0.01343144768495702	4.230631656974667E-4	0.43463004693629953	3.0757019268262835E-7	7.770404607691089	-0.019578429806372748	-5900124.502189853	-1263.6430702265839	-538.2475799774393
600000	-5901847.825478084	-1834.6184083514622	-5900013.207069733	174.50141801021095	174.50141801021095	1101.285469422849	44.789199376525936	1.4114497774549766	1.0879583845671403	0.3306680182372943	0.27064660409578906	1.2216958163512355	1.6775813992935664	0.03929673043912947	2.130077689128398E-4	0.18522650896680143	2.4325238694872866E-7	7.857239422142385	-0.008513344199088724	-5900013.207069733	-1263.6430702265839	-566.3105148516088
700000	-5901605.038689235	-1849.4794403948708	-5899755.55924884	200.7902169192234	200.7902169192234	1250.4844225473794	59.01557190142149	1.3929188620535764	1.1302261122989317	0.34336199054128336	0.21216264598390053	1.2696399500613949	1.6516904390609133	0.022978261881278234	1.485367730072883E-4	0.11583680660499948	1.9532247125510565E-7	8.217899612458295	-0.02186810441702182	-5899755.55924884	-1263.6430702265839	-580.282329621559
800000	-5901577.781415191	-1837.5470699865486	-5899740.234345204	197.5999650516143	197.5999650516143	1185.675348714533	51.99408348378121	1.3700229773645902	1.0619375853106157	0.3366982755401855	0.245747364676766	1.2195514787442712	1.7660423183635732	0.03198373273135856	1.0507582769590051E-4	0.059314773441481665	2.161339907799586E-7	8.386278255982688	0.003332640588212986	-5899740.234345204	-1263.6430702265839	-569.4112862208228
900000	-5901618.414293713	-1870.366383956756	-5899748.047909756	132.3497771361203	132.3497771361203	1170.2545676251736	68.54434416593381	1.3447489230713348	1.0622310489185018	0.32193692806307966	0.3044877062168585	1.2174999933275754	1.7490954004026507	0.05440477653440072	7.701983007418768E-5	0.03524765519440234	2.2697372878321346E-7	7.188726388772145	-0.01872241660072356	-5899748.047909756	-1263.6430702265839	-600.786150457382
1000000	-5901606.340104574	-1889.9918609227868	-5899716.348243652	206.15215113024965	206.15215113024965	1414.3984071797404	56.44315770267942	1.315294764125901	1.0859448502646403	0.39421101059025904	0.3187774872523259	1.1368188942040762	1.748952993562798	0.05891560014665063	7.71003656448921E-5	0.03623592517328202	1.8321579486840214E-7	6.715310792144343	-0.017928775590991614	-5899716.348243652	-1263.6430702265839	-621.6850607269281
1100000	-5901563.352593573	-1871.4078514880657	-5899691.9447420845	130.11918316671105	130.11918316671105	1212.677125811559	57.661726635586476	1.3682310879711979	1.1087099765708321	0.391708174956994	0.2948073015865726	1.1450074720136247	1.6915359869007784	0.03216768856421286	7.211356978567604E-5	0.0425224292575474	2.1048918869844576E-7	6.171007621650474	-0.019027586445246842	-5899691.9447420845	-1263.6430702265839	-602.9919268267274
1200000	-5901153.400628534	-1853.6897552987753	-5899299.710873235	230.2788664371345	230.2788664371345	1299.993530236327	61.928720606007936	1.2369041068344855	1.0498305922744748	0.3796900683409667	0.33416673720636886	1.2644877297078698	1.7349207656358347	0.034086690927470055	2.044451815196514E-5	0.0021953059002161462	1.9542895009495046E-7	6.161044747448973	-0.004026876455412185	-5899299.710873235	-1263.6430702265839	-585.6901755011097
1300000	-5901157.531705619	-1876.1669623428666	-5899281.364743276	137.6621966443788	137.6621966443788	1257.5899537152552	65.26713170269463	1.3239609882609389	1.1063177336235153	0.3586751208108917	0.33256704687988525	1.2271701916576339	1.6513089187671375	0.02861568861846252	1.1488064397922881E-5	7.603275917814595E-4	2.0167291245268263E-7	3.2614214146593024	0.02349605024122873	-5899281.364743276	-1263.6430702265839	-608.1325408590553
