population	mean_val	median_val	min_val	max_val	stdev_val
1.ORI	0.5983104496493395	0.4084523975473538	0.11898005982708593	1.8510045822253072	0.582168057073437
1.IN	0.37724200299073335	0.1638887730952235	0.03245185315117503	0.9178297509369171	0.8139635359227102
1.ANT	0.23495223479039073	0.26739077123540295	0.0802172313706209	0.2879306407141926	0.10398747232021412
1.PRE	0.21609704002820324	0.10517720255153222	0.03562106617037109	0.7760785953739465	0.4037057690763735
2.MED	1.4589724439631828	0.30241565586291486	0.03176995674173286	8.424100040406113	4.329385025817001
2.ANT	0.42510414122474993	0.12048364410598948	0.01944366330563368	0.8972230651047524	1.467803132894263
4.ANT	0.5534588563148388	0.2308971379343451	0.009778578481240436	3.29318767875326	1.1018629665427482
3.ANT	0.6494916629565772	0.2987473491622212	0.021687787382253604	0.9258042040997589	1.3842012816549036
0.ANT4	0.29173657803214664	0.07484485848254989	0.0018209692658405375	1.3289143089021132	0.7177078482097927
0.ANT	0.15150021760284532	0.07102401082442598	0.043501849223484906	0.38924381743437897	0.31387944884033087
0.PE	3.649481112170381	0.9054737180671469	0.11611256364665348	17.719371471969627	7.814809503954075
0.PRE	0.3432387709400333	0.26361869510418695	0.02918442153010877	0.9081417313646927	0.35166027191113547
