# BEAST v1.10.4
# Generated Sat Apr 17 13:40:06 EDT 2021 [seed=1618681205436]
# beast.2-MED.bifurc.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.diffusionRate	treeLikelihood	branchRates	location.traitLikelihood	coalescent
0	-690733.6445576133	-33858.970351526914	-656874.6742060864	153.0	2686.0	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	0.3333333333333333	1.0156600388212724	0.3518580126409176	-0.22723058195923906	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	14.514924209965999	-646804.9549360012	-460.51701859880916	-10069.719270085174	-33257.0
1000	-605047.7294624777	-1360.8105036592344	-603686.9189588185	153.0	2686.0	60.91430261696682	11.995520418628644	0.22632575568398838	0.2673659027543288	0.2670840216644777	0.2392243198972051	1.0	1.8801377503671024	0.8103647346105542	1.182785626960879	-0.06800971936044614	0.002145781968354253	-6.443241347013055E-5	-6.443241347013055E-5	1.83827519498897E-4	0.10259030948164584	470.9876099062051	165.0833808969894	165.0833808969894	5497.744425915869	18.629541462924394	-603342.4340732244	-460.51701859880916	-344.48488559406223	-751.4371322455885
2000	-117679.0824988328	-1232.2138055312525	-116446.86869330154	153.0	2686.0	610.5818029908016	47.366054192432955	0.22807868207248458	0.26598128384598796	0.26009486616837485	0.2458451679131526	1.0	84.97260532565996	0.06787210383753044	4.759866377362619	0.046480088528994	0.0018730921596063796	1.5695788932083136E-5	1.5695788932083136E-5	2.3623545419908468E-4	-0.023595600714273936	534.1739632977849	-35.49120858832053	-35.49120858832053	4235.422942382472	17.57466373689946	-116106.22068475584	-460.51701859880916	-340.64800854569967	-375.18833605831344
3000	-35516.11614704255	-4126.448176525817	-31389.667970516733	153.0	2686.0	798.8481333126462	125.62754621820612	0.2213790744942682	0.28030975721820245	0.24549057275980204	0.25282059552772723	1.0	1047.540886710072	9.733266481565473E-4	7.885257529829859	-0.011737490816082366	0.0017646673483147069	-1.8306541135494826E-5	-1.8306541135494826E-5	1.602009002070042E-4	0.0344304258869156	567.3516100088382	64.83262936410088	64.83262936410088	6249.570757109909	18.045768214121246	-31049.925180591235	-460.51701859880916	-339.74278992549836	-375.7897348166256
4000	-30105.562759706285	-3569.3341026329526	-26536.22865707333	153.0	2686.0	830.2521413876232	62.9538380792717	0.22183106958867183	0.283117294111693	0.24333400271883393	0.25171763358080124	1.0	860.3304757359008	3.0618730205453067E-4	7.776474953003985	-0.031079216309930657	0.0022315927134409306	-3.6190750123080563E-6	-3.6190750123080563E-6	2.6109759337159937E-4	0.004741204446721425	448.120516571759	6.211400660898772	6.211400660898773	3830.0716089009334	17.50522499017998	-26199.94079638255	-460.51701859880916	-336.28786069078143	-376.14297811400075
5000	-25089.746813185633	-2593.8720327873352	-22495.8747803983	153.0	2686.0	715.0355397603181	24.307109241355615	0.23330429568184433	0.27807489709903604	0.24333400271883393	0.24528680450028573	1.0	533.3559144095224	1.0743208372549877E-4	2.9078278275046037	0.10796008132229348	0.0017129353913095018	-1.1386355403139074E-4	-1.1386355403139074E-4	2.1643836470599907E-4	0.18700237493070027	604.9481496284885	318.25016981152623	318.25016981152623	4787.677530337173	18.205305907917296	-22161.119979395648	-460.51701859880916	-334.7548010026529	-375.12758721156194
6000	-24022.66337162659	-2278.4037992207045	-21744.259572405885	153.0	2686.0	737.2875594796411	13.368306480540042	0.2285075115976846	0.26296788712338776	0.2648595853526549	0.24366501592627274	1.0	427.5572867902748	9.16010846121188E-5	2.852123526824412	0.08342454889660482	0.0018886184495749382	5.869583040937647E-5	5.869583040937647E-5	1.876979952107773E-4	-0.09858374686037119	534.6840366619758	-167.20329646179493	-167.20329646179493	5379.994257259005	17.842544011752896	-21409.038439059488	-460.51701859880916	-335.2211333463951	-375.25613023764913
7000	-23347.589313936693	-2057.2030499595107	-21290.386263977183	153.0	2686.0	665.7706968156391	5.476496648386954	0.24140969558848938	0.25954587928513007	0.2610124724645038	0.23803195266187674	1.0	355.057387757386	8.220455968343977E-5	3.116568918540447	0.3776285075520558	0.0038789412526978755	-4.2137829734029456E-4	-4.2137829734029456E-4	2.501814747650307E-4	0.4277480011077875	315.53527556646674	531.4530873793656	531.4530873793656	4892.219930455208	17.846749724020476	-20949.42466657859	-460.51701859880916	-340.96159739859144	-374.99989969018634
8000	-23079.37866207386	-1968.2523331001075	-21111.126328973754	153.0	2686.0	640.8181604954906	2.148300843670509	0.23021797004273542	0.2671434351148592	0.2616142338237208	0.2410243610186846	1.0	327.3738716801619	7.739401337791493E-5	3.3005837839944943	0.6162770547813078	0.002520636764437865	-7.22709999519052E-5	-7.22709999519052E-5	2.767809345005253E-4	0.0865248479748622	399.71765655684703	104.37133175349088	104.37133175349088	3640.218291517563	19.656310639565984	-20772.978790786954	-460.51701859880916	-338.1475381868001	-375.03500450000354
9000	-22816.164921348496	-1839.885176058521	-20976.279745289976	153.0	2686.0	710.4431060846722	1.9061776325517554	0.2302848960687033	0.26151448591462645	0.2672591481118677	0.2409414699048026	1.0	286.70469231716027	6.333956385638962E-5	2.0470729214163357	0.33707987032306064	0.0028432868664186655	-2.88457936336809E-5	-2.88457936336809E-5	1.7249473157976897E-4	0.041189283289620016	352.30333319022014	58.914664538397524	58.914664538397524	5807.130635708972	18.48919443525465	-20634.536089590998	-460.51701859880916	-341.7436556989792	-375.1060736784196
