# BEAST v1.10.4
# Generated Sat Apr 17 13:53:25 EDT 2021 [seed=1618682003171]
# -overwrite beast.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.diffusionRate	treeLikelihood	branchRates	location.traitLikelihood	coalescent
0	-4779776.551326001	-1033745.5180258185	-3746031.033300183	496.0	24382.0	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	0.3333333333333333	0.9641823246935105	0.32583756345914067	-0.060976849431801365	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	12.669571407289249	-2466793.897481084	-2340.734641197861	-1279237.1358190991	-1030849.0
1000	-2142142.8756499765	-36748.75474256298	-2105394.120907414	496.0	24382.0	31.103058872567317	9.661655397860748	0.22966665678667883	0.268263308690523	0.2625515902209169	0.23951844430188118	1.0	10.878456011372794	0.564411797988947	3.0141227546968152	-0.008593674105705036	5.3315305075350975E-5	8.096073566060206E-7	8.096073566060206E-7	4.151582512124168E-6	-0.05441788512604245	18812.048438707	-3668.5704220806474	-3668.5704220806474	241587.41845378178	20.56273911784174	-2103712.4624588937	-2340.734641197861	-1681.6584485202475	-33816.72229090745
2000	-545132.6885763394	-8474.864822943737	-536657.8237533957	496.0	24382.0	5342.2119207913565	83.51997281526624	0.19795914855647295	0.2858104616241131	0.2502027364971559	0.2660276533222578	1.0	1228.7963594715366	0.13530372124734297	6.552946368638814	-0.010650588870006803	4.513203012894074E-5	-1.881473511305356E-6	-1.881473511305356E-6	4.4553896070973874E-6	0.132682250727764	22554.271362938078	9524.478862311398	9524.478862311396	228469.36956240394	20.25333310297896	-534981.4476420718	-2340.734641197861	-1676.3761113239977	-1875.30838774504
3000	-258457.13583761087	-54909.596393555155	-203547.5394440557	496.0	24382.0	5254.87503202774	130.18040512330785	0.20711461090638547	0.2885856971806046	0.23434140245802756	0.2699582894549821	1.0	16705.75631926319	0.01835536537767184	9.572422440406962	-0.016013663170889182	5.744849724913427E-5	-9.068204069381571E-7	-9.068204069381571E-7	4.213669444454637E-6	0.05828431772605474	17466.229563939916	3758.893195025465	3758.8931950254655	238131.78852396156	20.54808413183375	-201875.78709722604	-2340.734641197861	-1671.7523468296604	-1875.2846858348112
4000	-196737.4364582097	-40398.57320573575	-156338.86325247394	496.0	24382.0	5125.3302925747785	475.7955548171894	0.18786565377081138	0.30812199569827187	0.22955590390074182	0.2744564466301747	1.0	11865.871428551738	0.01077155977847452	7.920745285270304	-0.009588457971410723	5.8710808187173176E-5	-3.340160870089742E-7	-3.340160870089742E-7	4.527095674972715E-6	0.02048795059297414	17039.791535475004	1257.2220471488722	1257.2220471488722	220984.93255164518	20.013466066371908	-154681.56164387765	-2340.734641197861	-1657.3016085962906	-1875.35055496531
5000	-156816.0761780882	-32342.853300659735	-124473.22287742847	496.0	24382.0	5384.272821896476	1135.2918902529757	0.17937161278693287	0.328989574632852	0.2034826815985774	0.2881561309816375	1.0	9177.941599559379	0.006971115224243967	9.381683742259689	0.017027871701654686	5.485302742360262E-5	-1.2545575461199932E-7	-1.2545575461199932E-7	5.244469676972916E-6	0.0073967254118110955	18231.531813502475	436.12619049707547	436.12619049707547	190687.48150672158	19.95892641984802	-122823.39883603243	-2340.734641197861	-1649.8240413960418	-1875.3381242659414
6000	-115481.80599864776	-23214.881586731484	-92266.92441191628	496.0	24382.0	5174.881197892387	373.7001572830143	0.16465175408339044	0.36295918759885926	0.1842329273361125	0.2881561309816375	1.0	6135.98264296798	0.00138334851533031	9.817833456091392	-0.010152281397444111	6.802472079671204E-5	-2.0904869555952464E-6	-2.0904869555952464E-6	4.546364107479337E-6	0.11887265721250317	14911.244554892397	6856.415697636657	6856.415697636658	223108.66960904934	20.274878800642192	-90618.60133503789	-2340.734641197861	-1648.3230768783828	-1875.3104930170318
7000	-105419.62363119947	-20673.590808721514	-84746.03282247795	496.0	24382.0	6112.479126643138	219.89635756601984	0.16335527610736958	0.3618974322965407	0.17756012948963526	0.29718716210645413	1.0	5287.802618785141	0.0014439472367138292	11.194138298388546	-0.005688968978544521	6.42043095753657E-5	-3.219519701709413E-6	-3.219519701709413E-6	4.9265097458660245E-6	0.18102532001077712	16102.975653563983	10523.443583218304	10523.443583218304	209860.62898049832	19.387260542644878	-83100.17676959359	-2340.734641197861	-1645.856052884369	-1877.3918219820466
8000	-88708.50092566515	-16670.75107917307	-72037.74984649208	496.0	24382.0	5294.6311206313885	95.87793397072394	0.15776752413122663	0.37827965197418456	0.13535229074039318	0.32860053315419524	1.0	3954.5790643391247	1.3388746490882106E-4	6.6999631981245305	0.05480908077196336	8.072916474188576E-5	-2.4430175406811384E-6	-2.4430175406811384E-6	5.380781044557837E-6	0.1172164854499389	12559.663129058197	5702.420722056481	5702.420722056481	188435.6760574425	17.73855173703177	-70394.23824715534	-2340.734641197861	-1643.511599336735	-1875.2889623041267
9000	-83326.60861795291	-15213.847384646753	-68112.76123330616	496.0	24382.0	4793.337842960074	39.68252369348822	0.129554987230336	0.39834807861335675	0.10828937679989618	0.36380755735641074	1.0	3468.2025426800624	1.231865991927259E-4	7.374001532584043	0.07579839079892216	6.941865949553993E-5	-2.618087198863453E-6	-2.618087198863453E-6	5.682407363168243E-6	0.13181954659130732	14660.08820507988	6754.4241042460335	6754.4241042460335	179093.75485456374	19.163544859724855	-66481.03260511327	-2340.734641197861	-1631.728628192884	-1876.1552264719523
10000	-77188.07334522778	-13937.404102591725	-63250.66924263605	496.0	24382.0	5885.336185814704	10.33474894702489	0.12961877984339287	0.38840395246648934	0.1132065942945546	0.36877067339556285	1.0	3042.173841703408	9.706368202462496E-5	7.895516474322196	0.07496485338732368	8.977412516448072E-5	-8.026657225183416E-7	-8.026657225183416E-7	5.799403163509056E-6	0.035177702814840305	11152.868403586737	1543.6114584419256	1543.6114584419256	172645.1801638078	17.944829824407243	-61622.981477308495	-2340.734641197861	-1627.6877653275587	-1876.4784518232848
11000	-75287.1270864724	-13139.75104751311	-62147.37603895929	496.0	24382.0	4841.364177558416	8.9155079360024	0.12988278631245137	0.3766693092135495	0.1309752630977308	0.36247264137626795	1.0	2775.3823375100305	9.30646572318049E-5	8.579660564265597	0.09659822622046639	7.171229996454528E-5	-3.867938938085376E-6	-3.867938938085376E-6	6.104534443386051E-6	0.18486577229197568	14438.034155059559	9148.18894310067	9148.18894310067	169609.1071036166	19.71687091219328	-60522.95567536134	-2340.734641197861	-1624.4203635979495	-1875.9758722550782
12000	-74382.63661062146	-12792.563100934156	-61590.073509687296	496.0	24382.0	6036.1182190655845	8.778864829168077	0.13520033928440817	0.36052538702301573	0.1483914784524667	0.355882795240109	1.0	2658.914060695647	8.925739689400901E-5	9.436885176220304	0.024160822648278638	7.848405143961677E-5	-1.7312945961419307E-6	-1.7312945961419307E-6	6.239707781227327E-6	0.078234469317452	12819.908077833026	3557.063624832592	3557.063624832592	161250.8726865248	18.347473992241763	-59978.277065711656	-2340.734641197861	-1611.796443975636	-1877.0613364799
