country	Russia	#8000ff
country	Denmark	#5148fc
country	England	#238af5
country	Norway	#0cc1e8
country	The Netherlands	#3ae8d7
country	France	#68fcc1
country	Spain	#97fca7
country	Germany	#c5e88a
country	Italy	#f3c16a
country	Switzerland	#ff8a48
country	Lithuania	#ff4824
country	Poland	#ff0000
country	?	#969696
province	Tatarstan	#8000ff
province	Region of Southern Denmark	#632cfe
province	Greater London	#4757fb
province	Oslo	#2b7ff6
province	North Brabant	#0ea4f0
province	Occitanie	#0ec3e7
province	Catalonia	#2adddd
province	Bavaria	#47f0d1
province	Lazio	#63fbc3
province	Central Denmark Region	#80ffb4
province	East of England	#9cfba4
province	Brandenburg	#b8f092
province	Nidwalden	#d4dd80
province	Baden-Württemberg	#f1c36c
province	Vilnius County	#ffa457
province	Pomeranian Voivodeship	#ff8042
province	Rostov Oblast	#ff572c
province	Chechnya	#ff2c16
province	Provence-Alpes-Côte d'Azur	#ff0000
province	?	#969696
branch_major	1.PRE	#8000ff
branch_major	?	#969696
