Period	Date Start	Date End	Region	Site Name	Site Code	N	Plague Positive	lat	lon
Viking	900	1000	Ribe	Ribe Lindegärden	ASR 13II	15	0	55.32811713	8.757698007
	900	1000	Ribe	Ribe Lindegärden	ASR 2391	4	0	55.32811713	8.757698007
Early Medieval	1150	1350	Ribe	Ribe Gräbrødre	ASR 1015	7	0	55.32811713	8.757698007
	1150	1350	Viby	Nordby	FHM 3970	35	0	56.07608585	10.20765206
	1150	1350	Viborg	Sct. Drotten	VSM 09264	6	0	56.45126434	9.394533756
	1150	1350	Viborg	Sct. Mathias	VSM 855F/906F	21	0	56.45126434	9.394533756
	1150	1350	Viborg	Sct. Drotten	VSM 902F	8	0	56.45126434	9.394533756
	1150	1350	Viborg	Faldborg	VSM 29F	2	0	56.45126434	9.394533756
	1150	1350	Refshale	Refshale	Refshale	19	0	54.76337666	11.49007461
	1150	1350	Horsens	Ole Wormsgade	HOM 1649	7	0	55.86057251	9.847695025
	1150	1350	Horsens	Tirup	VKH 1201	11	1	55.86057251	9.847695025
	1150	1350	Hågerup	Hågerup	ØHM 1247	7	1	55.15711036	10.34534691
Late Medieval	1250	1550	Ribe	Ribe Gräbrødre	ASR 1015	1	0	55.32811713	8.757698007
	1250	1450	Viborg	Faldborg	VSM 29F	2	0	56.45126434	9.394533756
	1250	1550	Ribe	Ribe Lindegärden	ASR 13II	9	0	55.32811713	8.757698007
	1250	1450	Horsens	Sejet	HOM 1046	14	1	55.86057251	9.847695025
	1350	1550	Ribe	Ribe Lindegärden	ASR 13II	18	1	55.32811713	8.757698007
	1350	1550	Ribe	Ribe Gräbrødre	ASR 1015	42	5	55.32811713	8.757698007
	1350	1550	Viborg	Faldborg	VSM 29F	13	2	56.45126434	9.394533756
	1350	1550	Viborg	Sct. Mathias	VSM 855F/906F	2	0	56.45126434	9.394533756
	1350	1550	Viborg	Sct. Michael	JAH 1-77	4	0	56.45126434	9.394533756
Early Modern	1600	1800	Horsens	Klosterkirken	HOM 1272	50	0	56.09561182	10.20203888
No Skeletal Dates	900	1000	Ribe	Ribe Lindegärden	ASR 2391	1	0	55.32811713	8.757698007
	1050	1250	Viby	Nordby	FHM 3970	1	0	56.07608585	10.20765206
	1100	1500	Horsens	Ole Wormsgade	HOM 1649	10	2	55.86057251	9.847695025
	1150	1350	Horsens	Tirup	VKH 1201	1	0	55.86057251	9.847695025
	1150	1574	Horsens	Sejet	HOM 1046	11	0	55.86057251	9.847695025
	1200	1560	Ribe	Ribe Lindegärden	ASR 13II	1	0	55.32811713	8.757698007
	1200	1560	Ribe	Ribe Gräbrødre	ASR 1015	3	0	55.32811713	8.757698007
