clade	mean_rtt_dist	coefficient	raw_p_value	n	corrected_p_value	reject	rate	rate_bootstrap_peak	rate_bootstrap_ci_low	rate_bootstrap_ci_high	mrca	mrca_bootstrap_peak	mrca_bootstrap_ci_low
All	1.23e-05	0.68	1.933e-13	49	3.866e-13	True	6.08e-08	6.05e-08	5.14e-08	7.00e-08	1289	1292	1245	1321
1.PRE	1.23e-05	0.68	1.933e-13	49	3.866e-13	True	6.08e-08	6.07e-08	5.10e-08	7.06e-08	1289	1297	1243	1322
