# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed May 12 07:46:11 AEST 2021 [seed=1620769569977]
# -overwrite 0.ANTUCLN_ultra_epop_prior.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-1.2785647902356861E7	-1198.7409094522204	-1.278444916144741E7	1.7802176240306062	9.8714452452146	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	0.3333333333333333	1.105348521201491	0.3492420507178407	-0.04771094530769088	-1.278444916144741E7	-1084.89647874422	-105.27054001174774
10000	-5912866.322839123	-778.1092598491998	-5912088.213579274	0.009425228176162478	0.0767005958602482	0.007230112235590735	0.9992599977874921	1.0468993722286737	0.9730473943528921	0.9244355824514541	1.0569305627595622	0.999427090419926	0.03932190627407296	1.0	32.98073860820372	0.006517512316154212	4.8038687058606975	0.2734409058047959	-5912088.213579274	-1084.89647874422	412.28269223965566
20000	-5907572.1700233985	-612.0584276705786	-5906960.1115957275	0.0036138750177158495	0.02029888595486413	0.0021671158321912615	0.9926655592198247	1.0788277316501618	0.9474595946592268	0.8700432825194356	1.0980709789126935	1.0129328530386574	0.0029702547126717947	1.0	16.37282814278102	0.019371359105299423	4.436247403387076	0.2585682680451225	-5906960.1115957275	-1084.89647874422	528.4365834192457
30000	-5901290.466165831	-457.9073237665548	-5900832.558842065	5.791012023136857E-4	0.0045940718730540075	5.745399373315994E-4	0.9561200225182087	1.1601365008234323	0.8836329205077001	0.8490097716362335	1.1485969528071258	1.0025038317072998	0.013869330512595607	1.0	9.838410577400886	0.05609619522188424	4.317802680145559	0.46035501357959513	-5900832.558842065	-1084.89647874422	663.0060735211393
40000	-5899176.1696451865	-356.62532417769773	-5898819.544321009	2.4545647597682405E-4	0.0018288842411674036	2.1275468889602955E-4	0.9460871717337085	1.1556383865470035	0.8818090855724935	0.8340583483429355	1.170767717476221	1.0116392903276386	0.005003223699778842	1.0	5.947221738967746	0.11190378816256129	3.0512092992023656	0.013210584380043956	-5898819.544321009	-1084.89647874422	752.5967382025466
50000	-5898958.252608579	-338.33086473561866	-5898619.921743843	2.0810531951994554E-4	0.0016781184824964659	1.9903993373319688E-4	0.9455898436989009	1.1608384361393218	0.852991410607188	0.8001673910946756	1.1891828588437188	1.0512300596161943	0.03176251598976577	1.0	5.341632389965555	0.12167764260865363	3.113804862891307	0.07090929040962633	-5898619.921743843	-1084.89647874422	769.1279468107235
60000	-5898289.834963916	-314.8299701616111	-5897975.004993754	1.496261787498975E-4	0.001412316624859511	1.5337766059790356E-4	0.9934350376030379	1.1991018428447595	0.8387862077531508	0.7772603050302603	1.1919812616161718	0.9994353451526191	0.010844249621725791	1.0	4.633073206481441	0.13924756959672518	2.761712046875445	0.02584570776990347	-5897975.004993754	-1084.89647874422	790.4613227353153
70000	-5897821.923473598	-289.72419967267297	-5897532.199273926	1.806015301865355E-4	0.001271722342551876	1.4358070625715498E-4	0.9717267279126944	1.2449157157841504	0.8212012268896868	0.7753130007786818	1.224761165379951	0.9620821632548346	0.02811230400578489	1.0	4.485216292056888	0.14242804107472878	2.5169447172676156	-0.011867732806488973	-5897532.199273926	-1084.89647874422	815.1580576100525
80000	-5896941.734192174	-269.7137624985228	-5896672.0204296755	2.1853741502054873E-4	0.001197615040563575	9.158470278301181E-5	1.0075460993749223	1.2769369007636615	0.7791834887646267	0.7267725874092896	1.1884812291572935	1.0210796945302056	0.032863816493456474	1.0	4.226516149463936	0.14907750802156405	2.1714339554832756	0.1123339929978382	-5896672.0204296755	-1084.89647874422	834.4018921817989
90000	-5896841.380047844	-219.2606293238963	-5896622.11941852	1.3284030590944953E-4	7.93441174233414E-4	5.7975860256017984E-5	1.0164734186891238	1.2686247506574735	0.815876400737341	0.6789507565479037	1.180889858359021	1.0391848150091365	0.03303634386496228	1.0	3.522279507384839	0.20597823846243984	1.7664184880159683	0.053872836803667556	-5896622.11941852	-1084.89647874422	882.7426571240468
