# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed May 12 07:49:44 AEST 2021 [seed=1620769782642]
# -overwrite 1.ORIUCLN_ultra_epop_prior.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-1.2589133548721459E7	-1383.9739283036006	-1.2587749574793154E7	1.383886762824789	10.48937329122982	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	0.3333333333333333	0.9271648570309835	0.33499896822175584	-0.06425053712974539	-1.2587749574793154E7	-1263.6430702265839	-111.7569673807641
10000	-5908076.83815744	-547.4003341493803	-5907529.43782329	3.7390269060665385E-4	0.004530977272695299	7.57464440244415E-4	1.0404690861655328	0.9962886771065385	0.9571985254093378	0.9642394890858607	1.0319076586698084	1.009896563562921	0.026665213691499292	1.0	4.748571439530848	0.08995719200580031	2.2411512192779504	-0.02900909533799473	-5907529.43782329	-1263.6430702265839	737.0157472658756
20000	-5905890.534557603	-509.89088738385124	-5905380.643670219	1.6653861701012825E-4	0.002804707450164211	5.192921459284171E-4	1.0435950362590696	1.0224001217828744	0.8943451198816247	0.9144144690250114	1.0655383977682982	1.0597068552831206	0.011864399226000067	1.0	4.466935806880375	0.12755574192193583	2.0700769166658914	0.059003125408979805	-5905380.643670219	-1263.6430702265839	773.6506616872929
30000	-5903323.61111571	-471.0997525952206	-5902852.511363114	1.257221335999799E-4	0.0020421836224019563	3.7752895007121004E-4	1.0964031506477656	1.0320453996249304	0.8339017111054462	0.8734033605191386	1.0682987541108095	1.0959476239919086	0.05853762582279541	1.0	3.949388011288934	0.1519347343524752	1.9002773347841593	0.005338740725440915	-5902852.511363114	-1263.6430702265839	810.9824853660232
40000	-5902389.130023313	-463.69289107300017	-5901925.437132239	1.0765274542855012E-4	0.0017652129898232908	3.438786036284842E-4	1.0934905666706511	1.0575960610114012	0.8272103661073348	0.8588315753376238	1.0206173445047342	1.142254086368254	0.02020214909639004	1.0	4.176657528651829	0.16533310700117732	1.9852894436731947	0.030284586847921766	-5901925.437132239	-1263.6430702265839	818.9944811218448
50000	-5901615.143062589	-474.25059478507956	-5901140.892467803	1.2468385281767303E-4	0.0018450671946460735	3.7723779950249155E-4	1.0839415429944004	1.1092408684767574	0.8276051839306485	0.7945132641697725	1.0098212449817934	1.1748778954466268	0.04952235508517476	1.0	4.792040903122841	0.14970628286552434	1.9985283002061727	0.08065538436618189	-5901140.892467803	-1263.6430702265839	810.3415712810756
60000	-5901482.256893667	-451.7967347277016	-5901030.4601589395	1.079285803744636E-4	0.001501381960318082	3.0110170381894216E-4	1.123676940072529	1.1228311985245178	0.7897170960100277	0.7936768407763631	1.0161918791407532	1.1539060454758074	0.013870270065461009	1.0	3.9075699360917286	0.20017346417457074	1.7659301354921069	-0.012036767409482774	-5901030.4601589395	-1263.6430702265839	830.0707066537112
70000	-5901129.988354383	-425.9650131503987	-5900704.023341233	8.333899282537507E-5	0.0012164831178774905	2.2331829396123387E-4	1.1099351622843616	1.117844313021099	0.7852779916503457	0.7567799830680967	1.0528538796149853	1.17730867036111	0.02398467310086606	1.0	3.683417462685169	0.23360120731421605	1.7079360450159362	0.07540033189872423	-5900704.023341233	-1263.6430702265839	855.2501918385243
80000	-5900671.876461209	-390.343591074527	-5900281.532870134	5.318524341291702E-5	8.993801794171855E-4	1.6689837715198124E-4	1.144397943962364	1.0922728306786724	0.7479517776309683	0.7437550743824668	1.0558869872529875	1.2157353860925397	0.02317311394994983	1.0	3.1729152016103708	0.29817033057144043	1.499253495742099	0.098137473960653	-5900281.532870134	-1263.6430702265839	889.3384783708781
90000	-5900614.126718019	-369.8775522110557	-5900244.249165808	4.731318847448868E-5	7.247012737158673E-4	1.4818025148865846E-4	1.2116069609438582	1.055492910485862	0.7086420470441559	0.7264291509519382	1.09999136529873	1.1978375652754545	0.06044085762494994	1.0	2.8480387912688565	0.36624672217299686	1.457832291107692	0.06801158880185476	-5900244.249165808	-1263.6430702265839	908.9044216188623
100000	-5900302.986905623	-378.42998133472236	-5899924.556924288	8.507943033614487E-5	8.406457916694169E-4	1.6292719714407195E-4	1.2370002087665328	1.0496389408357314	0.7074991484513802	0.6450455751465469	1.1137422748072627	1.2470738519925448	0.052750400182591486	1.0	3.1056475022219225	0.31333200657073945	1.609710258087331	0.03611497270343975	-5899924.556924288	-1263.6430702265839	901.1094391878647
