# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed May 12 07:46:40 AEST 2021 [seed=1620769599467]
# -overwrite 0.PEUCLN_ultra_epop_prior.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-1.2798140273908943E7	-946.4737906858238	-1.2797193800118256E7	1.3613903721228604	9.333846984308531	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	0.3333333333333333	1.1009741316253387	0.31465688101033545	0.010408956658537784	-1.2797193800118256E7	-860.8259485397475	-77.07395144982384
10000	-6008237.389889403	-740.651488037189	-6007496.738401366	0.026300413100433316	0.2616366872188775	0.0235343749638538	1.0152240321244526	1.0027878545730755	0.955841791482799	0.9681185721903137	1.0742281121365571	0.9837996374928029	0.030410409211527	1.0	30.180387962800875	0.009724093998206724	2.6381090750361227	-0.01184617125472162	-6007496.738401366	-860.8259485397475	217.25268934313306
20000	-5993920.670825384	-739.1595458976628	-5993181.511279486	0.022415312305781296	0.2603020409932596	0.03385412871975742	1.037727371341618	1.0529346947468616	0.8991696114343007	0.9354197382160254	1.0944871510372618	0.980261433223933	0.01549267621359719	1.0	28.417288625824256	0.00852428667342115	2.774149271869791	-0.03788994065440829	-5993181.511279486	-860.8259485397475	213.42652998110907
30000	-5978960.900837538	-693.4876038688983	-5978267.413233669	0.015309055803933868	0.17050038578762444	0.021380721687227093	1.0656421430158434	1.0553052702751495	0.8570299262787896	0.9173194483283342	1.1338284055630248	0.9708748065388594	0.029946234878070643	1.0	24.651238681058167	0.011008745529589801	2.858251042690607	-0.03709034090034975	-5978267.413233669	-860.8259485397475	247.8279819522011
40000	-5971670.983500977	-700.3025447063673	-5970970.680956271	0.015897465488620276	0.17531610552321886	0.016530666719526056	1.1146264233396488	1.0983030217854282	0.8215058959539916	0.8260048754022076	1.163544973422067	0.9760148100966569	0.0076772481447799495	1.0	28.003355295472616	0.009747388365911951	3.237237939577117	0.023522667907171817	-5970970.680956271	-860.8259485397475	251.0243679790121
50000	-5961109.822965928	-668.9075247820276	-5960440.915441146	0.012331440942302908	0.13979265984149258	0.0157822989836206	1.1331643770117013	1.1056944178607084	0.790951217076579	0.7367651843255977	1.1964215396102107	1.0370032641152025	0.003736692110768734	1.0	23.662868608606505	0.010223002159738526	3.40187308924018	-0.03167970727369916	-5960440.915441146	-860.8259485397475	269.3899718939118
60000	-5954972.339356784	-657.8484134081552	-5954314.490943376	0.011901642474768843	0.11930844520346812	0.015652592355042516	1.1744701175932888	1.1125803357787463	0.7415064829061946	0.6559629454275299	1.192657730809547	1.1228223874846925	0.016774056985988856	1.0	22.84897905627845	0.011330763758932166	3.4366805449485134	-0.014357537498514435	-5954314.490943376	-860.8259485397475	278.0334763698876
70000	-5953466.059619451	-626.5293266190895	-5952839.530292832	0.00988871723466076	0.09459189421036747	0.01033826375710082	1.2159143394296186	1.0670548159157827	0.6950859049682939	0.6163665839078608	1.209673467969651	1.195904887808792	0.03771143759100692	1.0	18.544826905179143	0.013549391472515316	3.2862862055889766	0.051922382889355745	-5952839.530292832	-860.8259485397475	296.48145003400566
80000	-5952322.234005207	-621.3223250162911	-5951700.911680191	0.008699613849915687	0.08505417660926716	0.009818547814508078	1.2239778901397569	1.0232558547920894	0.6496064766806618	0.5931059559653932	1.2397403447588202	1.2703134776632774	0.03055445612838868	1.0	18.78985355306214	0.014824451559946841	3.2097063708839504	-0.050398536458511965	-5951700.911680191	-860.8259485397475	302.4091656459336
90000	-5952177.156863246	-599.0335780174224	-5951578.123285228	0.007629411734010755	0.07391358413982019	0.008851212537678125	1.2542810370897652	1.0308625561662006	0.5908723309697512	0.5685702885409054	1.2526656836824472	1.3027481035509292	0.022845901068484657	1.0	16.489400729256296	0.01722171822507815	2.987084759921829	0.06680253186275692	-5951578.123285228	-860.8259485397475	317.7810403297372
