# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed May 12 07:46:42 AEST 2021 [seed=1620769601191]
# -overwrite 0.PRESC_dates_epop_prior.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-4.565796416435816E7	-1130.0062148020756	-4.565683415814336E7	1092.875367938692	1092.875367938692	1104.7697542329533	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0	-4.565683415814336E7	0.0	-11.894386294261096
10000	-5897216.4039887395	-20.541975630395413	-5897195.862013109	1090.51242410114	1090.51242410114	1109.5576744912041	1.7295299842114218	0.9633137328668528	0.992315102760188	0.9579495069026062	1.0418228955096787	1.0322421237142225	1.0123566382464513	0.059608851992799534	1.1493954533854926E-6	1.1493954533854922E-6	-5897195.862013109	0.0	-14.84675480504593
20000	-5893015.4111128645	-47.89994137230277	-5892967.511171492	1240.4490341955902	1240.4490341955902	1812.2499618333259	52.11084265968031	0.9128091994289275	1.0325513315541355	0.9443095331725245	1.0239803760197086	1.0962158585651327	0.9901337012595712	0.11437218890192295	6.647238258179711E-8	6.647238258179712E-8	-5892967.511171492	0.0	-38.72862372667536
30000	-5893002.521865052	-51.414090233347245	-5892951.107774819	1263.3191792559214	1263.3191792559214	1975.3313074734453	66.38230315599516	0.9057634580443136	1.1086690967247634	0.8671196634671956	1.023376014273031	1.1470442132448984	0.9480275542457984	0.013514966133337443	5.9450912855539765E-8	5.945091285553976E-8	-5892951.107774819	0.0	-41.116245299255176
40000	-5893003.180176146	-48.20208749549593	-5892954.978088651	1202.9687007464604	1202.9687007464604	1736.5054084906833	32.690331544303824	0.8872267673128638	1.0638922095473018	0.8174429005316768	1.002841186894486	1.2083704512428615	1.0202264844708109	0.1861161818353849	6.083360076133258E-8	6.083360076133258E-8	-5892954.978088651	0.0	-40.852322723789996
50000	-5892972.352041447	-66.37224838249267	-5892905.979793064	1434.737616567761	1434.737616567761	2878.7861606583474	102.53043425863598	0.9114007905812375	1.1073386474983982	0.7857204557826223	0.9712794110846789	1.2176055664099887	1.0066551286430758	0.11263105446407509	3.7734612368807114E-8	3.773461236880711E-8	-5892905.979793064	0.0	-52.67696986845051
60000	-5892962.831789912	-63.30693533692501	-5892899.524854574	1318.4666490670768	1318.4666490670768	2550.6231785748614	112.254377188869	0.8931667364387084	1.1088058496389586	0.7654442235532093	0.9677237050917391	1.2647666058217844	1.0000928794556017	0.13137927004918235	4.080811547971152E-8	4.080811547971152E-8	-5892899.524854574	0.0	-48.50210353371291
70000	-5892958.481010387	-63.76592351931771	-5892894.715086867	1303.5314660593774	1303.5314660593774	2607.596472231192	92.81277196472097	0.899885275150571	1.1705567208095724	0.7588511908819893	0.9561064733814685	1.2804013789636723	0.9341989608127278	0.048053581961885784	4.562533496072293E-8	4.5625334960722934E-8	-5892894.715086867	0.0	-51.02714323290058
80000	-5892949.446835763	-62.385746474170844	-5892887.061089288	1331.1373026542744	1331.1373026542744	2498.618615174604	113.35602057907256	0.860558628669918	1.2235346859780707	0.7487273717935617	0.9369990099335573	1.2841902972068293	0.9459900064180641	0.10535564899499854	4.471881293113754E-8	4.4718812931137527E-8	-5892887.061089288	0.0	-47.46673342420727
90000	-5892944.278476545	-62.859458559183366	-5892881.419017985	1327.4354540174663	1327.4354540174663	2494.434782440313	80.6546769738705	0.8343921733923914	1.2576664847191708	0.7250745125402983	0.8980967468041652	1.3516252769732797	0.933144805570696	0.026531145068740106	4.974873989633362E-8	4.9748739896333624E-8	-5892881.419017985	0.0	-51.3140831616935
