population	0.PRE	#8000ff
population	0.PE	#5148fc
population	0.ANT	#238af5
population	0.ANT4	#0cc1e8
population	3.ANT	#3ae8d7
population	4.ANT	#68fcc1
population	2.ANT	#97fca7
population	2.MED	#c5e88a
population	1.PRE	#f3c16a
population	1.ANT	#ff8a48
population	1.IN	#ff4824
population	1.ORI	#ff0000
population	NA	#c4c4c4
population	prune	#c4c4c4
country	Mongolia	#8000ff
country	Norway	#7215ff
country	Georgia	#652afe
country	Kazakhstan	#573ffd
country	Poland	#4a53fc
country	Kyrgyzstan	#3c66fa
country	China	#2f79f7
country	Zimbabwe	#228bf4
country	Spain	#149df1
country	Iran	#07adee
country	Brazil	#07bcea
country	Bolivia	#14c9e5
country	Algeria	#22d5e0
country	Italy	#2fe0db
country	Turkmenistan	#3cead5
country	Uzbekistan	#4af1d0
country	India	#57f7c9
country	France	#65fcc3
country	Nepal	#72febc
country	England	#80ffb4
country	Azerbaijan	#8dfead
country	Democratic Republic of the Congo	#9afca5
country	Switzerland	#a8f79d
country	Madagascar	#b5f194
country	The Netherlands	#c3ea8b
country	Estonia	#d0e083
country	Armenia	#ddd579
country	Vietnam	#ebc970
country	Lithuania	#f8bc66
country	Germany	#ffad5d
country	Kenya	#ff9d53
country	Canada	#ff8b49
country	Uganda	#ff793f
country	United States of America	#ff6634
country	Russia	#ff532a
country	Tajikistan	#ff3f20
country	Peru	#ff2a15
country	Indonesia	#ff150b
country	Myanmar	#ff0000
country	NA	#969696
province	North Brabant	#8000ff
province	Hebei	#7b07ff
province	Gandaki Pradesh	#760eff
province	Issyk-Kul Region	#7215ff
province	West Kazakhstan region	#6d1dff
province	Himachal Pradesh	#6924fe
province	Nidwalden	#642bfe
province	Sečuán	#6032fe
province	New Mexico	#5b39fd
province	Naryn Region	#5740fd
province	Baden-Württemberg	#5247fc
province	Samara Oblast	#4d4dfc
province	Bayan-Ölgii	#4954fb
province	Province de Fianarantsoa	#445bfb
province	Nairobi	#4062fa
province	Kurdistan	#3b68f9
province	Oslo	#376ff9
province	Altai Krai	#3275f8
province	Osh Region	#2e7bf7
province	Colorado	#2982f6
province	Republic of Kalmykia	#2488f5
province	Yunnan	#208ef4
province	Goranboy District	#1b94f3
province	Ho Chi Minh City	#1799f2
province	Panevezys County	#129ff1
province	Syunik Province	#0ea5ef
province	Lazio	#09aaee
province	Govi-Altai	#05afed
province	Catalonia	#00b4ec
province	Aktobe Region	#05b9ea
province	Shamkir District	#09bee9
province	Nagorno-Karabakh Republic	#0ec3e7
province	Chechnya	#12c7e6
province	La Paz	#17cce4
province	Zabaykalsky Krai	#1bd0e3
province	West Kazakhstan Region	#20d4e1
province	Central Java	#24d8df
province	Balkan	#29dcdd
province	Khánh Hoà Province	#2edfdc
province	Cajamarca	#32e3da
province	Brandenburg	#37e6d8
province	California	#3be9d6
province	Zavkhan Province	#40ecd4
province	Kabardino-Balkaria	#44eed2
province	Fujian	#49f1d0
province	Baku	#4df3ce
province	MSila	#52f5cc
province	Fizuli District	#57f7ca
province	Maharashtra	#5bf9c7
province	Dornogovi	#60fac5
province	Greater London	#64fbc3
province	Tibet	#69fcc1
province	Almaty Region	#6dfdbe
province	Shymkent	#72febc
province	Karachay-Cherkessia	#76ffb9
province	Kirov Oblast	#7bffb7
province	Atyrau	#80ffb4
province	Valencia Community	#84ffb2
province	Nevada	#89ffaf
