name,Bayan-Ölgii,Colorado,Gansu,Govi-Altai,Inner Mongolia,Issyk-Kul Region,Karachay-Cherkessia,La Libertad,Maharashtra,Nairobi,Qinghai,Republic of Kalmykia,Samtskhe-Javakheti,Talas Region,Tibet,Xinjiang,Yunnan
NODE10,0.16396477989874159,0.015821298727375876,0.019321045763875947,0.04755441505199857,0.05322285050437246,0.024663519895466078,0.02834826900034304,0.015821298727376084,0.019057914180578495,0.05267665553685918,0.10437662285581271,0.02116554327954872,0.018710779408105862,0.01832468649739218,0.01905791418057832,0.35800210009174627,0.019910306399828725
NODE11,0.4100096667167728,0.0147709462274027,0.015669206030087555,0.023930005660542437,0.11530593235016094,0.018618517233027192,0.05099707569130463,0.014770946227402814,0.024260959247409487,0.025552078926586844,0.04825882629718257,0.02063536394403904,0.016247878343743825,0.015912012937451016,0.024260959247409328,0.1440489490746822,0.016750675844794522
GCA_003074235.1_ASM307423v1_genomic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE12,0.13592660426660585,0.015710487461278042,0.01566495182679781,0.018117884816185485,0.3455786729960019,0.017376280981148195,0.1394250333225897,0.01571048746127817,0.047296658966323096,0.018754217208543603,0.03041772618523677,0.027598702450548927,0.01605514780490528,0.015827380070543774,0.0472966589663228,0.07623710567060062,0.017005999545090016
NODE13,0.04726558661608661,0.012484041859104978,0.012189233412624394,0.012823022377797776,0.5167422128662407,0.012767678096475702,0.052791264398227754,0.01248404185910504,0.09900874875053592,0.013107773790688882,0.01930908279694153,0.01771775689942661,0.012273588146063993,0.012152161543485059,0.09900874875053532,0.03457745810002521,0.013297599736634455
GCA_000324565.1_ASM32456v1_genomic,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE14,0.020226219702659736,0.011523410042094248,0.011116308579326299,0.011152811740363115,0.14146132684460566,0.011189492788068479,0.022392899788316347,0.01152341004209429,0.33293602291550806,0.011322088754428528,0.015460252572038619,0.01329590761201621,0.011029326933930259,0.010958620649174928,0.3329360229155066,0.019324316043474732,0.012151562076393837
GCA_002005285.1_ASM200528v1_genomic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCA_015158755.1_ASM1515875v1_genomic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NODE15,0.05046864657702837,0.01260780657411222,0.012339811680019065,0.013074990481403074,0.3236876647027794,0.013759323390054156,0.3423352414363499,0.012607806574112354,0.02330047414072352,0.013384372467830115,0.02018757624071984,0.03869420216422871,0.01250230692276057,0.012366410467863024,0.023300474140723393,0.0619269918207704,0.013455900218521851
GCA_008630435.1_ASM863043v1_genomic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE16,0.027257544825095303,0.011378488633581435,0.011066741524643655,0.01142681042114933,0.5080140132953531,0.013216026400208653,0.11309197942670107,0.011378488633581554,0.01653651789997732,0.011671490912102523,0.017459401767440638,0.09093755877436806,0.01117362843943982,0.01106351169941914,0.016536517899977246,0.10569823277071254,0.012093046676248935
GCA_000323945.1_ASM32394v1_genomic,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE17,0.02103307273990214,0.011112065749951704,0.01081106254654065,0.011212985955098446,0.1448323909875359,0.014903344564042041,0.03727705319727033,0.011112065749951867,0.013364786266296556,0.011482362492858174,0.017899127709788284,0.31951471693980255,0.011014744929328385,0.010893395065832737,0.01336478626629651,0.32835208363927715,0.011819955200226474
GCA_000323565.1_ASM32356v1_genomic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0
GCA_016102905.1_ASM1610290v1_genomic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NODE18,0.06680793392882323,0.01691654697881653,0.02818879375480069,0.12582127297615928,0.02982461819404997,0.02052400468786083,0.020803217361665155,0.016916546978816758,0.017723467362658646,0.14298150948931646,0.2836403370256894,0.019072114077787004,0.021427722072830866,0.02104139229328031,0.017723467362658445,0.12373531684788218,0.02685173860690432
NODE19,0.025423826651678902,0.010726209302830265,0.014998342324519746,0.306496410595856,0.014462262091351166,0.011598916663106138,0.011637523320282738,0.010726209302830443,0.010862068178883607,0.04541892079280372,0.4314101087678759,0.011149188382734983,0.015030158090893817,0.014769641565874084,0.010862068178883475,0.039319185397288396,0.015108960392306603
GCA_000323505.1_ASM32350v1_genomic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GCA_000325305.1_ASM32530v1_genomic,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE20,0.030919727026203842,0.014535751119328462,0.04360420056728264,0.04955889695162814,0.01861309078611561,0.01507925049337766,0.015141838048762964,0.014535751119328625,0.014202344258276798,0.36552894166747607,0.26887691731599533,0.014559098400759123,0.018034966488819724,0.017750531006689857,0.014202344258276657,0.0477521938549299,0.03710415663674876
GCA_000835005.1_ASM83500v1_genomic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE21,0.021043531063760064,0.0144237765629084,0.10725042605638181,0.027659664370349286,0.015151532962961765,0.0130815599708215,0.013314079840213232,0.01442377656290859,0.013017646330017538,0.12325098805703619,0.4646541913340885,0.012864657645323865,0.018107782560319353,0.017830602060623417,0.01301764633001741,0.027145323291512726,0.08376281500075654
GCA_000323965.1_ASM32396v1_genomic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
