	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80
D24-L001_1 - illumina_universal_adapter	0.0017787631093141702	0.0017900928106473813	0.0018127522133138038	0.0018467413173134377	0.001858071018646649	0.0018807304213130716	0.0019033898239794941	0.0019147195253127055	0.001994027434645184	0.002028016538644818	0.002152643253310142	0.0028494198853026356	0.009211047183900766	0.033518921394305554	0.09373061912965687	0.2313298418215078	0.5260097086476665	1.0876173388842827	1.930830360608532	3.0783874843961687	4.648389516944588	6.689559838837265	9.238238467100473	12.090717371763077	15.104780476839938	18.355781625898246	21.811788055730347	25.39708337232639	29.01453804615675	32.530268996566875	35.967099906892514	39.36909198561853	42.6858847103188	45.87451585353778	48.85447089275101	51.65805080645947	54.33359943025198	56.86654676821402	59.251624509225664	61.468138953801784	63.519154786153024	65.43180097612175	67.2305836676917	68.91815401097486	70.11999739870058
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80
D24-L001_2 - illumina_universal_adapter	0.0024132263839740016	0.002435885786640424	0.0024585451893068466	0.0025038639946396916	0.0025265233973061144	0.0025945016053053817	0.0026738095146378606	0.002719128319970706	0.0027531174239703395	0.0027871065279699734	0.002889073839968875	0.00359718017329458	0.00999846142655895	0.03460090787162723	0.09523746940697397	0.23442285028547447	0.5328415185515929	1.10364320142011	1.9614035596562025	3.12965438292895	4.7267910501704105	6.802414993817382	9.391319726664157	12.28061449580903	15.323953549130911	18.601239605282267	22.076931391180825	25.68026359229934	29.318094733977482	32.85211182233941	36.30809559276884	39.726923607676014	43.060331339381435	46.26983179245619	49.26376201826393	52.07799185122561	54.76591817372466	57.312738730969215	59.715235887780665	61.947668562729945	64.01210442631037	65.93964917353227	67.75018643023543	69.44936971738514	70.65444206999082
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80
D24-L002_1 - illumina_universal_adapter	0.0021074078575784153	0.0021187992514031632	0.002164364826702156	0.0021757562205269045	0.002209930402001149	0.002221321795825897	0.0022554959773001416	0.002289670158774386	0.002312452946423883	0.0023808013093723716	0.0024947152476198537	0.003246547240053234	0.009363725723943013	0.033747004205816514	0.09516370401194638	0.2343836236411064	0.535486640913763	1.1101710679784844	1.9668209706902853	3.1246422390376916	4.720821428852146	6.783033931430872	9.356993410192587	12.23796234392509	15.260702869503495	18.524365678778416	22.002015821051227	25.59122757874671	29.22478603260194	32.75887483557947	36.19584631050411	39.59572171143846	42.91758884746092	46.10538497386301	49.08777718251416	51.89278260652634	54.567362266942055	57.1069539105345	59.498092909802835	61.719260921812094	63.764602770136364	65.68232113774508	67.48615974128778	69.1689021327765	70.36941264948214
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80
D24-L002_2 - illumina_universal_adapter	0.002289670158774386	0.002312452946423883	0.0023694099155476237	0.00239219270319712	0.002414975490846616	0.002437758278496113	0.00251749803526935	0.0025972377920425874	0.0026086291858673357	0.0026655861549910766	0.0027908914870633066	0.003531332085671939	0.009779511598546321	0.03435644377544054	0.09616045097161185	0.23573350380933905	0.5391147998469452	1.1204461052084072	1.9856851188640685	3.1552793927293514	4.765834521550637	6.848443314772576	9.442759214299116	12.347342507430321	15.395263709058334	18.68820809615977	22.185679263687643	25.797183979098158	29.45202725231493	33.00982724153867	36.472651484748575	39.88800778989075	43.22417112516328	46.41169955381049	49.38358320165831	52.17180910256663	54.825377337072595	57.34732940732742	59.73122348012322	61.9541970280537	64.01356168217625	65.94338340572374	67.75418215089337	69.44107100973429	70.6368256195181
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80
D25-L001_1 - illumina_universal_adapter	0.0017670566209117755	0.001795557534152288	0.0018098079907725444	0.0018953107304940818	0.0018953107304940818	0.0019380621003548507	0.0019380621003548507	0.0019665630135953633	0.002066316209937157	0.0023655757989625385	0.0025365812784056132	0.0038974998856400856	0.012718532533578707	0.04987659817089689	0.14919515558577284	0.3672698932455543	0.7945484593190077	1.5618927969499463	2.7312282653816933	4.3623212796796045	6.620527013236822	9.409376999962522	12.70302803677587	16.38325833555522	20.28681466525891	24.491055629650013	28.74722525796533	32.9690299101409	37.125873855813026	41.07414811839108	44.86292414524692	48.46486243535459	51.80024593438036	54.94581335122431	57.83162344479423	60.51564707262133	62.984389052286204	65.2313155494285	67.31044291986726	69.20821185412834	70.94095337549854	72.52793410132844	73.99051546609182	75.34051822355518	76.275854069054
