Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
P187M2-S270-L002_postfilterflagstat	141928	0	0	0	0	0	0	0	141928	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	141928
P187M2-S67-L001_flagstat	156280	0	0	0	0	0	0	0	64009	0	40.96	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	156280
P187M2-S67-L001_postfilterflagstat	60861	0	0	0	0	0	0	0	60861	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	60861
P187M2-S67-L002_flagstat	157785	0	0	0	0	0	0	0	65062	0	41.23	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	157785
P187M2-S67-L002_postfilterflagstat	61855	0	0	0	0	0	0	0	61855	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	61855
P187S6aM4-S69-L001_flagstat	2137497	0	0	0	0	0	0	0	895681	0	41.9	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2137497
P187S6aM4-S69-L001_postfilterflagstat	858775	0	0	0	0	0	0	0	858775	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	858775
P187S6aM4-S69-L002_flagstat	2145206	0	0	0	0	0	0	0	899257	0	41.92	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2145206
P187S6aM4-S69-L002_postfilterflagstat	862166	0	0	0	0	0	0	0	862166	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	862166
P187S6aM5-S112-L001_flagstat	396537	0	0	0	0	0	0	0	10080	0	2.54	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	396537
P187S6aM5-S112-L001_postfilterflagstat	9509	0	0	0	0	0	0	0	9509	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	9509
P187S6aM5-S112-L002_flagstat	408582	0	0	0	0	0	0	0	10451	0	2.56	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	408582
P187S6aM5-S112-L002_postfilterflagstat	9856	0	0	0	0	0	0	0	9856	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	9856
P187S6bM4-S70-L001_flagstat	1932207	0	0	0	0	0	0	0	694915	0	35.96	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1932207
P187S6bM4-S70-L001_postfilterflagstat	667306	0	0	0	0	0	0	0	667306	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	667306
P187S6bM4-S70-L002_flagstat	1938501	0	0	0	0	0	0	0	698772	0	36.05	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1938501
P187S6bM4-S70-L002_postfilterflagstat	670842	0	0	0	0	0	0	0	670842	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	670842
P187S6bM5-S113-L001_flagstat	840013	0	0	0	0	0	0	0	3278	0	0.39	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	840013
