Sample	Retained Read Pairs	Singleton R1	Singleton R2	Full-length Collapsed Pairs	Truncated Collapsed Pairs	Discarded R1	Discarded R2
P212bM3-S75-L001_1	434.0	0.0	0.0	416.0	0.0	54.0	54.0
P212bM3-S75-L002_1	407.0	0.0	0.0	399.0	0.0	51.0	51.0
P212cM3-S502-L001_1	1657026.0	0.0	0.0	1516244.0	0.0	15844.0	15844.0
P212cM3-S502-L002_1	1644462.0	0.0	0.0	1505312.0	0.0	15724.0	15724.0
P246M2-S273-L001_1	907873.0	2.0	0.0	764203.0	0.0	6849.0	6851.0
P246M2-S273-L002_1	912604.0	0.0	0.0	768324.0	0.0	6782.0	6782.0
P246S6aM4-S84-L001_1	2430417.0	0.0	0.0	2248801.0	0.0	215132.0	215132.0
P246S6aM4-S84-L002_1	2444942.0	0.0	0.0	2261278.0	0.0	217041.0	217041.0
P246S6aM5-S121-L001_1	593542.0	86.0	0.0	567104.0	0.0	194157.0	194243.0
P246S6aM5-S121-L002_1	610604.0	85.0	0.0	583808.0	0.0	200847.0	200932.0
P246S6bM4-S85-L001_1	2118743.0	1.0	0.0	1981559.0	0.0	189284.0	189285.0
P246S6bM4-S85-L002_1	2122026.0	0.0	0.0	1985810.0	0.0	191233.0	191233.0
P246S6bM5-S122-L001_1	426260.0	56.0	0.0	408640.0	0.0	153267.0	153323.0
P246S6bM5-S122-L002_1	435426.0	54.0	0.0	418204.0	0.0	157994.0	158048.0
P246S6cM4-S86-L001_1	1671893.0	0.0	0.0	1621549.0	0.0	465738.0	465738.0
P246S6cM4-S86-L002_1	1682271.0	0.0	0.0	1632735.0	0.0	468803.0	468803.0
P246S6cM5-S123-L001_1	707058.0	130.0	0.0	681388.0	0.0	328810.0	328940.0
P246S6cM5-S123-L002_1	724974.0	122.0	0.0	699386.0	0.0	339203.0	339325.0
P384M2-S279-L001_1	482058.0	1.0	0.0	447760.0	0.0	8434.0	8435.0
P384M2-S279-L002_1	481219.0	0.0	0.0	447493.0	0.0	8296.0	8296.0
P384S6aM4-S98-L001_1	1136153.0	0.0	0.0	1077015.0	0.0	119866.0	119866.0
P384S6aM4-S98-L002_1	1141059.0	0.0	0.0	1082547.0	0.0	119969.0	119969.0
P384S6aM5-S133-L001_1	670038.0	112.0	0.0	646508.0	0.0	429777.0	429889.0
P384S6aM5-S133-L002_1	685401.0	86.0	0.0	662111.0	0.0	442095.0	442181.0
P384S6bM4-S99-L001_1	2604342.0	1.0	0.0	2489324.0	0.0	318960.0	318961.0
P384S6bM4-S99-L002_1	2668470.0	0.0	0.0	2550688.0	0.0	324161.0	324161.0
P384S6bM5-S134-L001_1	1467763.0	235.0	0.0	1419073.0	0.0	613979.0	614214.0
P384S6bM5-S134-L002_1	1522802.0	218.0	0.0	1473880.0	0.0	635414.0	635632.0
P384S6cM4-S100-L001_1	2199347.0	0.0	0.0	2127603.0	0.0	277714.0	277714.0
P384S6cM4-S100-L002_1	2209168.0	0.0	0.0	2138078.0	0.0	279490.0	279490.0
P384S6cM5-S135-L001_1	532814.0	100.0	0.0	511436.0	0.0	208815.0	208915.0
P384S6cM5-S135-L002_1	546022.0	100.0	0.0	525172.0	0.0	213814.0	213914.0
P384aM3-S506-L001_1	1160458.0	0.0	0.0	1035386.0	0.0	26540.0	26540.0
P384aM3-S506-L002_1	1156890.0	0.0	0.0	1031792.0	0.0	26932.0	26932.0
P384bM3-S507-L001_1	922569.0	0.0	0.0	840751.0	0.0	13745.0	13745.0
P384bM3-S507-L002_1	922356.0	0.0	0.0	841290.0	0.0	13535.0	13535.0
P384cM3-S508-L001_1	699898.0	0.0	0.0	632650.0	0.0	9821.0	9821.0
P384cM3-S508-L002_1	698976.0	0.0	0.0	631828.0	0.0	9695.0	9695.0
P387M2-S280-L001_1	2390180.0	3.0	0.0	2192000.0	0.0	30859.0	30862.0
P387M2-S280-L002_1	2422042.0	0.0	0.0	2222098.0	0.0	30187.0	30187.0
P387S6aM4-S101-L001_1	2574998.0	0.0	0.0	2481966.0	0.0	243355.0	243355.0
