Sample	Unique Reads	Duplicate Reads
P187S6cM4-S71-L002_1	581476.0	2198589.0
P187S6cM4-S71-L002_2	599792.0	2180273.0
P187S6cM5-S114-L001_1	336569.0	115077.0
P187S6cM5-S114-L001_2	336682.0	114964.0
P187S6cM5-S114-L002_1	342880.0	119817.0
P187S6cM5-S114-L002_2	341941.0	120756.0
P187S6dM4-S72-L001_1	508302.0	1667239.0
P187S6dM4-S72-L001_2	525115.0	1650426.0
P187S6dM4-S72-L002_1	505828.0	1681944.0
P187S6dM4-S72-L002_2	527447.0	1660325.0
P187S6eM4-S73-L001_1	152334.0	1249306.0
P187S6eM4-S73-L001_2	171802.0	1229838.0
P187S6eM4-S73-L002_1	150367.0	1257913.0
P187S6eM4-S73-L002_2	169046.0	1239234.0
P187bM3-L001_1	397896.0	919628.0
P187bM3-S498-L001_1	397896.0	919628.0
P187bM3-S498-L001_2	399945.0	917579.0
P187bM3-S498-L002_1	387761.0	926745.0
P187bM3-S498-L002_2	395958.0	918548.0
P187cM3-L001_1	420177.0	480522.0
P187cM3-S499-L001_1	420177.0	480522.0
P187cM3-S499-L001_2	419859.0	480840.0
P187cM3-S499-L002_1	413548.0	483285.0
P187cM3-S499-L002_2	416023.0	480810.0
P187cM3-S68-L001_1	1223229.0	2034076.0
P187cM3-S68-L001_2	1242298.0	2015007.0
P187cM3-S68-L002_1	1215860.0	2051069.0
P187cM3-S68-L002_2	1234664.0	2032265.0
P212M2-S271-L001_1	264275.0	1551705.0
P212M2-S271-L001_2	275005.0	1540975.0
P212M2-S271-L002_1	267504.0	1581352.0
P212M2-S271-L002_2	282995.0	1565861.0
P212S6aM4-S76-L001_1	308254.0	1278965.0
P212S6aM4-S76-L001_2	326821.0	1260398.0
P212S6aM4-S76-L002_1	302400.0	1290302.0
P212S6aM4-S76-L002_2	323059.0	1269643.0
P212S6aM5-S115-L001_1	481007.0	107391.0
P212S6aM5-S115-L001_2	480540.0	107858.0
P212S6aM5-S115-L002_1	492529.0	111947.0
P212S6aM5-S115-L002_2	491715.0	112761.0
P212S6bM4-S77-L001_1	504017.0	2472789.0
P212S6bM4-S77-L001_2	524149.0	2452657.0
P212S6bM4-S77-L002_1	500164.0	2490490.0
P212S6bM4-S77-L002_2	523459.0	2467195.0
P212S6bM5-S116-L001_1	404312.0	110016.0
P212S6bM5-S116-L001_2	404942.0	109386.0
P212S6bM5-S116-L002_1	413378.0	114928.0
P212S6bM5-S116-L002_2	412915.0	115391.0
P212S6cM4-S78-L001_1	502990.0	2443848.0
P212S6cM4-S78-L001_2	554719.0	2392119.0
P212S6cM4-S78-L002_1	500151.0	2466029.0
P212S6cM4-S78-L002_2	551682.0	2414498.0
P212S6cM5-S117-L001_1	847877.0	248151.0
P212S6cM5-S117-L001_2	851945.0	244083.0
P212S6cM5-S117-L002_1	868056.0	258251.0
P212S6cM5-S117-L002_2	870349.0	255958.0
P212S6dM4-S79-L001_1	857481.0	3267183.0
P212S6dM4-S79-L001_2	876315.0	3248349.0
P212S6dM4-S79-L002_1	845073.0	3300104.0
P212S6dM4-S79-L002_2	863342.0	3281835.0
P212S6eM4-S80-L001_1	604131.0	3018004.0
P212S6eM4-S80-L001_2	630517.0	2991618.0
P212S6eM4-S80-L002_1	603472.0	3105709.0
P212S6eM4-S80-L002_2	633358.0	3075823.0
P212aM3-S500-L001_1	373833.0	881456.0
P212aM3-S500-L001_2	376384.0	878905.0
P212aM3-S500-L002_1	367678.0	886466.0
P212aM3-S500-L002_2	373975.0	880169.0
P212aM3-S74-L001_1	706.0	137.0
P212aM3-S74-L001_2	728.0	115.0
P212aM3-S74-L002_1	766.0	146.0
P212aM3-S74-L002_2	780.0	132.0
P212bM3-S501-L001_1	421080.0	846417.0
P212bM3-S501-L001_2	421088.0	846409.0
P212bM3-S501-L002_1	415681.0	849305.0
P212bM3-S501-L002_2	420584.0	844402.0
P212bM3-S75-L001_1	425.0	54.0
P212bM3-S75-L001_2	420.0	59.0
P212bM3-S75-L002_1	398.0	56.0
P212bM3-S75-L002_2	397.0	57.0
P212cM3-S502-L001_1	436163.0	1166316.0
P212cM3-S502-L001_2	441877.0	1160602.0
P212cM3-S502-L002_1	422551.0	1168060.0
P212cM3-S502-L002_2	432921.0	1157690.0
P246M2-S273-L001_1	264581.0	578308.0
P246M2-S273-L001_2	271372.0	571517.0
P246M2-S273-L002_1	264725.0	582521.0
P246M2-S273-L002_2	271182.0	576064.0
P246S6aM4-S84-L001_1	903071.0	1651670.0
P246S6aM4-S84-L001_2	929940.0	1624801.0
P246S6aM4-S84-L002_1	894534.0	1675617.0
P246S6aM4-S84-L002_2	926118.0	1644033.0
P246S6aM5-S121-L001_1	716918.0	57648.0
P246S6aM5-S121-L001_2	718466.0	56100.0
P246S6aM5-S121-L002_1	737710.0	60428.0
P246S6aM5-S121-L002_2	738750.0	59388.0
P246S6bM4-S85-L001_1	677726.0	1561710.0
P246S6bM4-S85-L001_2	697537.0	1541899.0
P246S6bM4-S85-L002_1	671330.0	1573821.0
P246S6bM4-S85-L002_2	695828.0	1549323.0
P246S6bM5-S122-L001_1	522438.0	48335.0
P246S6bM5-S122-L001_2	523463.0	47310.0
P246S6bM5-S122-L002_1	534220.0	50643.0
P246S6bM5-S122-L002_2	534557.0	50306.0
P246S6cM4-S86-L001_1	1612175.0	500284.0
P246S6cM4-S86-L001_2	1617794.0	494665.0
P246S6cM4-S86-L002_1	1612402.0	513904.0
P246S6cM4-S86-L002_2	1619073.0	507233.0
P246S6cM5-S123-L001_1	949608.0	73555.0
P246S6cM5-S123-L001_2	950868.0	72295.0
P246S6cM5-S123-L002_1	973554.0	77951.0
P246S6cM5-S123-L002_2	974660.0	76845.0
P384M2-S279-L001_1	184226.0	289118.0
P384M2-S279-L001_2	187176.0	286168.0
P384M2-S279-L002_1	183637.0	289015.0
P384M2-S279-L002_2	186875.0	285777.0
P384S6aM4-S98-L001_1	475186.0	751264.0
P384S6aM4-S98-L001_2	483069.0	743381.0
P384S6aM4-S98-L002_1	472432.0	759340.0
P384S6aM4-S98-L002_2	482773.0	748999.0
P384S6aM5-S133-L001_1	959509.0	128653.0
P384S6aM5-S133-L001_2	961301.0	126861.0
P384S6aM5-S133-L002_1	984772.0	131165.0
P384S6aM5-S133-L002_2	985060.0	130877.0
P384S6bM4-S99-L001_1	609005.0	2256789.0
P384S6bM4-S99-L001_2	632216.0	2233578.0
P384S6bM4-S99-L002_1	610377.0	2323363.0
P384S6bM4-S99-L002_2	636682.0	2297058.0
P384S6bM5-S134-L001_1	1519647.0	537985.0
P384S6bM5-S134-L001_2	1526795.0	530837.0
P384S6bM5-S134-L002_1	1561895.0	572078.0
P384S6bM5-S134-L002_2	1565545.0	568428.0
P384S6cM4-S100-L001_1	781036.0	1660153.0
P384S6cM4-S100-L001_2	802787.0	1638402.0
P384S6cM4-S100-L002_1	780167.0	1672946.0
P384S6cM4-S100-L002_2	801483.0	1651630.0
P384S6cM5-S135-L001_1	639945.0	91095.0
P384S6cM5-S135-L001_2	641903.0	89137.0
P384S6cM5-S135-L002_1	654705.0	94806.0
P384S6cM5-S135-L002_2	655570.0	93941.0
P384aM3-S506-L001_1	521670.0	602792.0
P384aM3-S506-L001_2	523750.0	600712.0
P384aM3-S506-L002_1	514075.0	607198.0
P384aM3-S506-L002_2	519554.0	601719.0
P384bM3-S507-L001_1	359456.0	535949.0
P384bM3-S507-L001_2	362943.0	532462.0
P384bM3-S507-L002_1	355312.0	540046.0
P384bM3-S507-L002_2	361764.0	533594.0
P384cM3-S508-L001_1	260348.0	415747.0
P384cM3-S508-L001_2	260143.0	415952.0
P384cM3-S508-L002_1	257234.0	417863.0
P384cM3-S508-L002_2	259767.0	415330.0
P387M2-S280-L001_1	566183.0	1755769.0
P387M2-S280-L001_2	580667.0	1741285.0
P387M2-S280-L002_1	575624.0	1776633.0
P387M2-S280-L002_2	589221.0	1763036.0
P387S6aM4-S101-L001_1	960844.0	1810993.0
P387S6aM4-S101-L001_2	972859.0	1798978.0
P387S6aM4-S101-L002_1	951313.0	1826629.0
P387S6aM4-S101-L002_2	969818.0	1808124.0
P387S6aM5-S136-L001_1	347581.0	20636.0
P387S6aM5-S136-L001_2	347836.0	20381.0
P387S6aM5-S136-L002_1	358072.0	21641.0
P387S6aM5-S136-L002_2	358190.0	21523.0
P387S6bM4-S102-L001_1	786979.0	1499210.0
P387S6bM4-S102-L001_2	799893.0	1486296.0
P387S6bM4-S102-L002_1	782040.0	1513828.0
P387S6bM4-S102-L002_2	797231.0	1498637.0
P387S6bM5-S137-L001_1	882434.0	70958.0
P387S6bM5-S137-L001_2	883204.0	70188.0
P387S6bM5-S137-L002_1	906373.0	75054.0
P387S6bM5-S137-L002_2	906975.0	74452.0
P387S6cM4-S103-L001_1	465114.0	1293344.0
P387S6cM4-S103-L001_2	479738.0	1278720.0
P387S6cM4-S103-L002_1	463799.0	1304646.0
P387S6cM4-S103-L002_2	481283.0	1287162.0
P387S6cM5-S138-L001_1	521249.0	52632.0
P387S6cM5-S138-L001_2	522145.0	51736.0
P387S6cM5-S138-L002_1	535038.0	55152.0
P387S6cM5-S138-L002_2	535445.0	54745.0
P387S6dM4-S104-L001_1	796647.0	1712676.0
P387S6dM4-S104-L001_2	820236.0	1689087.0
P387S6dM4-S104-L002_1	793180.0	1726725.0
P387S6dM4-S104-L002_2	818010.0	1701895.0
P387S6eM4-S105-L001_1	655451.0	1701691.0
P387S6eM4-S105-L001_2	672714.0	1684428.0
P387S6eM4-S105-L002_1	653297.0	1721396.0
P387S6eM4-S105-L002_2	670310.0	1704383.0
P387aM3-S509-L001_1	366885.0	619780.0
P387aM3-S509-L001_2	366799.0	619866.0
P387aM3-S509-L002_1	361520.0	625456.0
P387aM3-S509-L002_2	365191.0	621785.0
P387bM3-S510-L001_1	315376.0	697227.0
P387bM3-S510-L001_2	317201.0	695402.0
P387bM3-S510-L002_1	308914.0	702684.0
P387bM3-S510-L002_2	314697.0	696901.0
P387cM3-S511-L001_1	459847.0	774093.0
P387cM3-S511-L001_2	461454.0	772486.0
P387cM3-S511-L002_1	452143.0	780247.0
P387cM3-S511-L002_2	458125.0	774265.0
R21E1S1S2-S58-L001_1	9419529.0	4500539.0
R21E1S1S2-S58-L001_2	9429502.0	4490566.0
R21E1S1S2-S58-L002_1	9333033.0	4459524.0
R21E1S1S2-S58-L002_2	9381043.0	4411514.0
R36E1S1S2-S59-L001_1	10047429.0	4906227.0
R36E1S1S2-S59-L001_2	10032703.0	4920953.0
R36E1S1S2-S59-L002_1	9989505.0	4864726.0
R36E1S1S2-S59-L002_2	9998000.0	4856231.0
R44E1S1S2-S62-L001_1	4539932.0	4368048.0
R44E1S1S2-S62-L001_2	4526600.0	4381380.0
R44E1S1S2-S62-L002_1	4546568.0	4302884.0
R44E1S1S2-S62-L002_2	4552697.0	4296755.0
