Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
P187S6eM4-S73-L002_1	P187S6eM4-S73-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1408280.0	0.0	91.0	49.0	10.67734830769208	91.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
P187S6eM4-S73-L002_2	P187S6eM4-S73-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1408280.0	0.0	91.0	48.0	12.003680503203837	91.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
P187bM3-L001_1	P187bM3-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1317524.0	0.0	91.0	45.0	30.200217142281975	91.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass	fail
P187bM3-S498-L001_1	P187bM3-S498-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1317524.0	0.0	91.0	45.0	30.200217142281975	91.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass	fail
P187bM3-S498-L001_2	P187bM3-S498-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1317524.0	0.0	91.0	45.0	30.355788990635464	91.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
P187bM3-S498-L002_1	P187bM3-S498-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1314506.0	0.0	91.0	45.0	29.498537337211438	91.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass	fail
P187bM3-S498-L002_2	P187bM3-S498-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1314506.0	0.0	91.0	45.0	30.122161830255166	91.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
P187cM3-L001_1	P187cM3-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	900699.0	0.0	91.0	46.0	46.64999408803453	91.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass	fail
P187cM3-S499-L001_1	P187cM3-S499-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	900699.0	0.0	91.0	46.0	46.64999408803453	91.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass	fail
P187cM3-S499-L001_2	P187cM3-S499-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	900699.0	0.0	91.0	46.0	46.614767864531146	91.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
P187cM3-S499-L002_1	P187cM3-S499-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	896833.0	0.0	91.0	46.0	46.11198967396775	91.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass	fail
P187cM3-S499-L002_2	P187cM3-S499-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	896833.0	0.0	91.0	46.0	46.38800142515534	91.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
P187cM3-S68-L001_1	P187cM3-S68-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3257305.0	0.0	91.0	47.0	37.55338846940317	91.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
P187cM3-S68-L001_2	P187cM3-S68-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3257305.0	0.0	91.0	48.0	38.13881883678902	91.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
P187cM3-S68-L002_1	P187cM3-S68-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3266929.0	0.0	91.0	47.0	37.21718769574855	91.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
P187cM3-S68-L002_2	P187cM3-S68-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3266929.0	0.0	91.0	48.0	37.792786934932145	91.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
P212M2-S271-L001_1	P212M2-S271-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1815980.0	0.0	86.0	40.0	14.552698601091974	86.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
P212M2-S271-L001_2	P212M2-S271-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1815980.0	0.0	91.0	40.0	15.143593361315984	91.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	fail
