Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
P212S6cM4-S78-L002_1	P212S6cM4-S78-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2966180.0	0.0	91.0	43.0	16.861762323759432	91.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
P212S6cM4-S78-L002_2	P212S6cM4-S78-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2966180.0	0.0	91.0	44.0	18.599061334506654	91.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
P212S6cM5-S117-L001_1	P212S6cM5-S117-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1096028.0	0.0	91.0	54.0	77.35898794643616	91.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	fail
P212S6cM5-S117-L001_2	P212S6cM5-S117-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1096028.0	0.0	91.0	57.0	77.73020770840209	91.0	pass	pass	warn	pass	fail	fail	pass	pass	pass	pass	fail
P212S6cM5-S117-L002_1	P212S6cM5-S117-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1126307.0	0.0	91.0	54.0	77.07096183545873	91.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	pass	fail
P212S6cM5-S117-L002_2	P212S6cM5-S117-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1126307.0	0.0	91.0	57.0	77.27455377754377	91.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	pass	fail
P212S6dM4-S79-L001_1	P212S6dM4-S79-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4124664.0	0.0	91.0	43.0	20.789104921540407	91.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
P212S6dM4-S79-L001_2	P212S6dM4-S79-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4124664.0	0.0	91.0	44.0	21.24570910571573	91.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
P212S6dM4-S79-L002_1	P212S6dM4-S79-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4145177.0	0.0	91.0	42.0	20.386893893101256	91.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	fail
P212S6dM4-S79-L002_2	P212S6dM4-S79-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4145177.0	0.0	91.0	44.0	20.827614649441344	91.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
P212S6eM4-S80-L001_1	P212S6eM4-S80-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3622135.0	0.0	91.0	45.0	16.678841556695875	91.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
P212S6eM4-S80-L001_2	P212S6eM4-S80-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3622135.0	0.0	91.0	45.0	17.407304180739477	91.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
P212S6eM4-S80-L002_1	P212S6eM4-S80-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3709181.0	0.0	91.0	45.0	16.269676829290336	91.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
P212S6eM4-S80-L002_2	P212S6eM4-S80-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3709181.0	0.0	91.0	45.0	17.075408810741607	91.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
P212aM3-S500-L001_1	P212aM3-S500-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1255289.0	0.0	91.0	40.0	29.780573700461886	91.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
P212aM3-S500-L001_2	P212aM3-S500-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1255289.0	0.0	91.0	40.0	29.98381380319195	91.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
P212aM3-S500-L002_1	P212aM3-S500-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1254144.0	0.0	91.0	40.0	29.3169969976374	91.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
P212aM3-S500-L002_2	P212aM3-S500-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1254144.0	0.0	91.0	40.0	29.819102294127436	91.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
P212aM3-S74-L001_1	P212aM3-S74-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	843.0	0.0	91.0	49.0	83.7485172004745	91.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	fail	fail
P212aM3-S74-L001_2	P212aM3-S74-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	843.0	0.0	91.0	49.0	86.3582443653618	91.0	pass	pass	fail	pass	fail	warn	pass	pass	pass	fail	fail
P212aM3-S74-L002_1	P212aM3-S74-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	912.0	0.0	91.0	48.0	83.99122807017544	91.0	pass	pass	fail	pass	warn	fail	pass	pass	pass	fail	fail
P212aM3-S74-L002_2	P212aM3-S74-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	912.0	0.0	91.0	49.0	85.52631578947368	91.0	pass	pass	fail	pass	fail	fail	pass	pass	pass	fail	fail
P212bM3-S501-L001_1	P212bM3-S501-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1267497.0	0.0	91.0	43.0	33.22132620854393	91.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	fail
P212bM3-S501-L001_2	P212bM3-S501-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1267497.0	0.0	91.0	43.0	33.22196579438111	91.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
P212bM3-S501-L002_1	P212bM3-S501-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1264986.0	0.0	91.0	43.0	32.860495442543915	91.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	fail
P212bM3-S501-L002_2	P212bM3-S501-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1264986.0	0.0	91.0	43.0	33.24806007501125	91.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
P212bM3-S75-L001_1	P212bM3-S75-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	479.0	0.0	91.0	51.0	88.51774530271399	91.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	warn	fail
P212bM3-S75-L001_2	P212bM3-S75-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	479.0	0.0	91.0	51.0	87.68267223382045	91.0	pass	pass	fail	pass	fail	fail	pass	pass	pass	fail	fail
P212bM3-S75-L002_1	P212bM3-S75-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	454.0	0.0	91.0	51.0	87.66519823788546	91.0	pass	pass	fail	pass	warn	fail	pass	pass	pass	warn	fail
P212bM3-S75-L002_2	P212bM3-S75-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	454.0	0.0	91.0	51.0	87.44493392070484	91.0	pass	pass	fail	pass	fail	fail	pass	pass	pass	warn	fail
P212cM3-S502-L001_1	P212cM3-S502-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1602479.0	0.0	91.0	42.0	27.218012214239362	91.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	fail
P212cM3-S502-L001_2	P212cM3-S502-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1602479.0	0.0	91.0	42.0	27.574553338621143	91.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
P212cM3-S502-L002_1	P212cM3-S502-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1590611.0	0.0	91.0	42.0	26.56528817473912	91.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	fail
P212cM3-S502-L002_2	P212cM3-S502-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1590611.0	0.0	91.0	42.0	27.217214647765804	91.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
P246M2-S273-L001_1	P246M2-S273-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	842889.0	0.0	86.0	52.0	31.389677659119453	86.0	pass	pass	pass	pass	pass	fail	pass	pass	fail	warn	fail
P246M2-S273-L001_2	P246M2-S273-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	842889.0	0.0	91.0	52.0	32.19545336376292	91.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
P246M2-S273-L002_1	P246M2-S273-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	847246.0	0.0	86.0	52.0	31.245341960710153	86.0	pass	pass	pass	pass	pass	fail	pass	pass	fail	warn	fail
P246M2-S273-L002_2	P246M2-S273-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	847246.0	0.0	91.0	52.0	32.007400847130896	91.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
P246S6aM4-S84-L001_1	P246S6aM4-S84-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2554741.0	0.0	91.0	54.0	35.348814619451865	91.0	pass	pass	pass	pass	pass	fail	pass	pass	fail	warn	fail
P246S6aM4-S84-L001_2	P246S6aM4-S84-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2554741.0	0.0	91.0	55.0	36.400528101126845	91.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
P246S6aM4-S84-L002_1	P246S6aM4-S84-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2570151.0	0.0	91.0	54.0	34.80471431305138	91.0	pass	pass	pass	pass	pass	fail	pass	pass	fail	warn	fail
P246S6aM4-S84-L002_2	P246S6aM4-S84-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2570151.0	0.0	91.0	55.0	36.03358223111716	91.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
P246S6aM5-S121-L001_1	P246S6aM5-S121-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	774566.0	0.0	91.0	56.0	92.5573661284136	91.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	fail
P246S6aM5-S121-L001_2	P246S6aM5-S121-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	774566.0	0.0	91.0	57.0	92.75721445614995	91.0	pass	pass	warn	pass	fail	fail	pass	pass	pass	pass	fail
P246S6aM5-S121-L002_1	P246S6aM5-S121-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	798138.0	0.0	91.0	56.0	92.42883818752479	91.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	pass	fail
P246S6aM5-S121-L002_2	P246S6aM5-S121-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	798138.0	0.0	91.0	57.0	92.55912038766073	91.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	pass	fail
P246S6bM4-S85-L001_1	P246S6bM4-S85-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2239436.0	0.0	91.0	54.0	30.263215969058173	91.0	pass	pass	pass	pass	pass	fail	pass	pass	fail	warn	fail
P246S6bM4-S85-L001_2	P246S6bM4-S85-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2239436.0	0.0	91.0	55.0	31.147853408929542	91.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
P246S6bM4-S85-L002_1	P246S6bM4-S85-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2245151.0	0.0	91.0	54.0	29.90130581104581	91.0	pass	pass	pass	pass	pass	fail	pass	pass	fail	warn	fail
P246S6bM4-S85-L002_2	P246S6bM4-S85-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2245151.0	0.0	91.0	55.0	30.992451421806123	91.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
P246S6bM5-S122-L001_1	P246S6bM5-S122-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	570773.0	0.0	91.0	56.0	91.53155940192464	91.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	fail
P246S6bM5-S122-L001_2	P246S6bM5-S122-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	570773.0	0.0	91.0	57.0	91.71114589461013	91.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
P246S6bM5-S122-L002_1	P246S6bM5-S122-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	584863.0	0.0	91.0	56.0	91.34097617298671	91.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	pass	fail
P246S6bM5-S122-L002_2	P246S6bM5-S122-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	584863.0	0.0	91.0	57.0	91.39864000593474	91.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	fail
P246S6cM4-S86-L001_1	P246S6cM4-S86-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2112459.0	0.0	91.0	58.0	76.31743441550202	91.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	fail
P246S6cM4-S86-L001_2	P246S6cM4-S86-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2112459.0	0.0	91.0	59.0	76.58340895081092	91.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
P246S6cM4-S86-L002_1	P246S6cM4-S86-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2126306.0	0.0	91.0	58.0	75.83113262691273	91.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	fail
P246S6cM4-S86-L002_2	P246S6cM4-S86-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2126306.0	0.0	91.0	59.0	76.14485121643443	91.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
P246S6cM5-S123-L001_1	P246S6cM5-S123-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1023163.0	0.0	91.0	55.0	92.81092520871759	91.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	fail
P246S6cM5-S123-L001_2	P246S6cM5-S123-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1023163.0	0.0	91.0	57.0	92.93414161305219	91.0	pass	pass	warn	pass	fail	fail	pass	pass	pass	pass	fail
P246S6cM5-S123-L002_1	P246S6cM5-S123-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1051505.0	0.0	91.0	55.0	92.58667795595706	91.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	pass	fail
P246S6cM5-S123-L002_2	P246S6cM5-S123-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1051505.0	0.0	91.0	57.0	92.69181200830128	91.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	pass	fail
P384M2-S279-L001_1	P384M2-S279-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	473344.0	0.0	86.0	49.0	38.91994336651482	86.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
P384M2-S279-L001_2	P384M2-S279-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	473344.0	0.0	91.0	48.0	39.54325082743501	91.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
P384M2-S279-L002_1	P384M2-S279-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	472652.0	0.0	86.0	48.0	38.85228428368198	86.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
P384M2-S279-L002_2	P384M2-S279-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	472652.0	0.0	91.0	48.0	39.53743411448254	91.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
P384S6aM4-S98-L001_1	P384S6aM4-S98-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1226450.0	0.0	91.0	49.0	38.744807770912495	91.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
P384S6aM4-S98-L001_2	P384S6aM4-S98-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1226450.0	0.0	91.0	52.0	39.38756176335295	91.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
P384S6aM4-S98-L002_1	P384S6aM4-S98-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1231772.0	0.0	91.0	49.0	38.35379569644567	91.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
P384S6aM4-S98-L002_2	P384S6aM4-S98-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1231772.0	0.0	91.0	52.0	39.1932985459911	91.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
P384S6aM5-S133-L001_1	P384S6aM5-S133-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1088162.0	0.0	91.0	52.0	88.1769479124517	91.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	fail
P384S6aM5-S133-L001_2	P384S6aM5-S133-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1088162.0	0.0	91.0	57.0	88.34164234452263	91.0	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	fail
P384S6aM5-S133-L002_1	P384S6aM5-S133-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1115937.0	0.0	91.0	52.0	88.24619427033316	91.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	pass	fail
P384S6aM5-S133-L002_2	P384S6aM5-S133-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1115937.0	0.0	91.0	57.0	88.27192191659978	91.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
P384S6bM4-S99-L001_1	P384S6bM4-S99-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2865794.0	0.0	91.0	51.0	21.250817820073475	91.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
P384S6bM4-S99-L001_2	P384S6bM4-S99-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2865794.0	0.0	91.0	51.0	22.060748208743362	91.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
P384S6bM4-S99-L002_1	P384S6bM4-S99-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2933740.0	0.0	91.0	51.0	20.805406550097295	91.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
P384S6bM4-S99-L002_2	P384S6bM4-S99-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2933740.0	0.0	91.0	51.0	21.70205203022015	91.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
P384S6bM5-S134-L001_1	P384S6bM5-S134-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2057632.0	0.0	91.0	55.0	73.85414765839127	91.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	fail
P384S6bM5-S134-L001_2	P384S6bM5-S134-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2057632.0	0.0	91.0	56.0	74.20155044257564	91.0	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	fail
P384S6bM5-S134-L002_1	P384S6bM5-S134-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2133973.0	0.0	91.0	55.0	73.19184113985885	91.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	pass	fail
P384S6bM5-S134-L002_2	P384S6bM5-S134-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2133973.0	0.0	91.0	56.0	73.36288181772511	91.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
P384S6cM4-S100-L001_1	P384S6cM4-S100-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2441189.0	0.0	91.0	51.0	31.994048143385907	91.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
P384S6cM4-S100-L001_2	P384S6cM4-S100-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2441189.0	0.0	91.0	51.0	32.88504286188507	91.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
P384S6cM4-S100-L002_1	P384S6cM4-S100-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2453113.0	0.0	91.0	51.0	31.80310244597339	91.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
P384S6cM4-S100-L002_2	P384S6cM4-S100-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2453113.0	0.0	91.0	51.0	32.67204709390708	91.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
P384S6cM5-S135-L001_1	P384S6cM5-S135-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	731040.0	0.0	91.0	55.0	87.53895706604169	91.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	fail
P384S6cM5-S135-L001_2	P384S6cM5-S135-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	731040.0	0.0	91.0	55.0	87.80671105094058	91.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
P384S6cM5-S135-L002_1	P384S6cM5-S135-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	749511.0	0.0	91.0	55.0	87.35092983130359	91.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	pass	fail
P384S6cM5-S135-L002_2	P384S6cM5-S135-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	749511.0	0.0	91.0	55.0	87.46626407410311	91.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	fail
P384aM3-S506-L001_1	P384aM3-S506-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1124462.0	0.0	91.0	49.0	46.392821967861714	91.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass	fail
P384aM3-S506-L001_2	P384aM3-S506-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1124462.0	0.0	91.0	49.0	46.57779161794823	91.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
P384aM3-S506-L002_1	P384aM3-S506-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1121273.0	0.0	91.0	49.0	45.84738702359494	91.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass	fail
P384aM3-S506-L002_2	P384aM3-S506-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1121273.0	0.0	91.0	49.0	46.33606955525153	91.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
P384bM3-S507-L001_1	P384bM3-S507-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	895405.0	0.0	91.0	48.0	40.14445055903764	91.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	fail
P384bM3-S507-L001_2	P384bM3-S507-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	895405.0	0.0	91.0	48.0	40.533940387514406	91.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
P384bM3-S507-L002_1	P384bM3-S507-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	895358.0	0.0	91.0	48.0	39.68371592407997	91.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	fail
P384bM3-S507-L002_2	P384bM3-S507-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	895358.0	0.0	91.0	48.0	40.40429733606144	91.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
P384cM3-S508-L001_1	P384cM3-S508-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	676095.0	0.0	91.0	47.0	38.50757424276852	91.0	pass	pass	pass	pass	pass	warn	pass	pass	fail	warn	fail
P384cM3-S508-L001_2	P384cM3-S508-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	676095.0	0.0	91.0	48.0	38.47722728919314	91.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
P384cM3-S508-L002_1	P384cM3-S508-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	675097.0	0.0	91.0	48.0	38.1032234358042	91.0	pass	pass	pass	pass	pass	warn	pass	pass	fail	warn	fail
P384cM3-S508-L002_2	P384cM3-S508-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	675097.0	0.0	91.0	48.0	38.47836198124098	91.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
P387M2-S280-L001_1	P387M2-S280-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2321952.0	0.0	86.0	44.0	24.383898587094546	86.0	pass	pass	pass	pass	pass	warn	pass	pass	fail	pass	fail
P387M2-S280-L001_2	P387M2-S280-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2321952.0	0.0	91.0	45.0	25.00770372304303	91.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
P387M2-S280-L002_1	P387M2-S280-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2352257.0	0.0	86.0	44.0	24.471106345713338	86.0	pass	pass	pass	pass	pass	warn	pass	pass	fail	pass	fail
P387M2-S280-L002_2	P387M2-S280-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2352257.0	0.0	91.0	45.0	25.0491512826377	91.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
P387S6aM4-S101-L001_1	P387S6aM4-S101-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2771837.0	0.0	91.0	49.0	34.66448716342699	91.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
P387S6aM4-S101-L001_2	P387S6aM4-S101-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2771837.0	0.0	91.0	49.0	35.09797118940101	91.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
P387S6aM4-S101-L002_1	P387S6aM4-S101-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2777942.0	0.0	91.0	49.0	34.245239371601556	91.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
P387S6aM4-S101-L002_2	P387S6aM4-S101-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2777942.0	0.0	91.0	49.0	34.91137506671036	91.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
P387S6aM5-S136-L001_1	P387S6aM5-S136-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	368217.0	0.0	91.0	57.0	94.39543593246697	91.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	fail
P387S6aM5-S136-L001_2	P387S6aM5-S136-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	368217.0	0.0	91.0	57.0	94.46486485095174	91.0	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	fail
P387S6aM5-S136-L002_1	P387S6aM5-S136-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	379713.0	0.0	91.0	57.0	94.30068800771967	91.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
