Perfect_X	Perfect_Y	D62_X	D62_Y	D72_X	D72_Y	P187_X	P187_Y	P212_X	P212_Y	P387_X	P387_Y
		0.294	0.147124	0.294	0.176502	0.294	0.024371	0.294	0.027581	0.294	0.036273
		0.295	0.1474	0.295	0.176879	0.295	0.024383	0.295	0.027607	0.295	0.036303
		0.296	0.147673	0.296	0.177252	0.296	0.024395	0.296	0.027631	0.296	0.036334
		0.297	0.14795	0.297	0.17763	0.297	0.024411	0.297	0.027655	0.297	0.036364
		0.298	0.148224	0.298	0.178005	0.298	0.024422	0.298	0.027681	0.298	0.036395
		0.299	0.148496	0.299	0.178377	0.299	0.024436	0.299	0.027708	0.299	0.036424
		0.3	0.14877	0.3	0.178749	0.3	0.024448	0.3	0.027731	0.3	0.036453
		0.301	0.149042	0.301	0.179119	0.301	0.024461	0.301	0.027757	0.301	0.036483
		0.302	0.14931	0.302	0.179492	0.302	0.024474	0.302	0.02778	0.302	0.036511
		0.303	0.149582	0.303	0.17986	0.303	0.024485	0.303	0.027807	0.303	0.036542
		0.304	0.149852	0.304	0.180227	0.304	0.024498	0.304	0.027832	0.304	0.036572
		0.305	0.150121	0.305	0.180597	0.305	0.024509	0.305	0.027858	0.305	0.0366
		0.306	0.150387	0.306	0.180964	0.306	0.024522	0.306	0.02788	0.306	0.036628
		0.307	0.150655	0.307	0.18133	0.307	0.024534	0.307	0.027904	0.307	0.036657
		0.308	0.150923	0.308	0.181696	0.308	0.024546	0.308	0.027928	0.308	0.036686
		0.309	0.15119	0.309	0.182061	0.309	0.024559	0.309	0.027953	0.309	0.036714
		0.31	0.151454	0.31	0.182426	0.31	0.024571	0.31	0.027976	0.31	0.036741
		0.311	0.151716	0.311	0.182786	0.311	0.024584	0.311	0.028001	0.311	0.03677
		0.312	0.151983	0.312	0.18315	0.312	0.024596	0.312	0.028022	0.312	0.036798
		0.313	0.152246	0.313	0.18351	0.313	0.024608	0.313	0.028048	0.313	0.036826
		0.314	0.152511	0.314	0.183869	0.314	0.02462	0.314	0.028072	0.314	0.036853
		0.315	0.152769	0.315	0.184228	0.315	0.02463	0.315	0.028096	0.315	0.036881
		0.316	0.153031	0.316	0.184586	0.316	0.024642	0.316	0.02812	0.316	0.036909
		0.317	0.153292	0.317	0.184945	0.317	0.024654	0.317	0.028142	0.317	0.036937
		0.318	0.153549	0.318	0.185303	0.318	0.024666	0.318	0.028165	0.318	0.036966
		0.319	0.153808	0.319	0.185657	0.319	0.024678	0.319	0.028188	0.319	0.036992
		0.32	0.154069	0.32	0.186014	0.32	0.024688	0.32	0.028211	0.32	0.03702
		0.321	0.154327	0.321	0.186368	0.321	0.024699	0.321	0.028235	0.321	0.037048
		0.322	0.154583	0.322	0.186721	0.322	0.024712	0.322	0.028257	0.322	0.037075
		0.323	0.154839	0.323	0.187077	0.323	0.024721	0.323	0.02828	0.323	0.0371
		0.324	0.155095	0.324	0.187426	0.324	0.024733	0.324	0.028303	0.324	0.037127
		0.325	0.15535	0.325	0.187777	0.325	0.024744	0.325	0.028325	0.325	0.037153
		0.326	0.155605	0.326	0.188127	0.326	0.024754	0.326	0.028349	0.326	0.03718
		0.327	0.155858	0.327	0.188477	0.327	0.024767	0.327	0.028371	0.327	0.037206
		0.328	0.156112	0.328	0.188825	0.328	0.024779	0.328	0.028393	0.328	0.037232
		0.329	0.156366	0.329	0.189174	0.329	0.024789	0.329	0.028415	0.329	0.037258
		0.33	0.156614	0.33	0.189519	0.33	0.0248	0.33	0.02844	0.33	0.037284
		0.331	0.156867	0.331	0.189866	0.331	0.02481	0.331	0.028459	0.331	0.037312
		0.332	0.157117	0.332	0.190214	0.332	0.02482	0.332	0.028483	0.332	0.037336
		0.333	0.157365	0.333	0.190557	0.333	0.024834	0.333	0.028506	0.333	0.037364
		0.334	0.157617	0.334	0.190902	0.334	0.024842	0.334	0.028528	0.334	0.037388
		0.335	0.15786	0.335	0.191244	0.335	0.024852	0.335	0.02855	0.335	0.037414
		0.336	0.158108	0.336	0.191585	0.336	0.024863	0.336	0.02857	0.336	0.037438
		0.337	0.158356	0.337	0.191928	0.337	0.024874	0.337	0.028592	0.337	0.037464
		0.338	0.158604	0.338	0.192273	0.338	0.024885	0.338	0.028615	0.338	0.037491
		0.339	0.158847	0.339	0.192612	0.339	0.024896	0.339	0.028636	0.339	0.037516
		0.34	0.159094	0.34	0.192952	0.34	0.024907	0.34	0.028657	0.34	0.03754
		0.341	0.159337	0.341	0.19329	0.341	0.024918	0.341	0.028676	0.341	0.037563
		0.342	0.159583	0.342	0.193627	0.342	0.024927	0.342	0.028699	0.342	0.037589
		0.343	0.159826	0.343	0.193963	0.343	0.024937	0.343	0.02872	0.343	0.037613
		0.344	0.160068	0.344	0.194302	0.344	0.024948	0.344	0.028743	0.344	0.037639
		0.345	0.160311	0.345	0.194637	0.345	0.024958	0.345	0.028763	0.345	0.037663
		0.346	0.160552	0.346	0.194972	0.346	0.024968	0.346	0.028784	0.346	0.037686
		0.347	0.160793	0.347	0.195306	0.347	0.024977	0.347	0.028805	0.347	0.037711
		0.348	0.161036	0.348	0.19564	0.348	0.024988	0.348	0.028827	0.348	0.037735
		0.349	0.161275	0.349	0.195971	0.349	0.024997	0.349	0.028845	0.349	0.037759
		0.35	0.161514	0.35	0.196304	0.35	0.025007	0.35	0.028868	0.35	0.037784
		0.351	0.161752	0.351	0.196633	0.351	0.025017	0.351	0.028889	0.351	0.037807
		0.352	0.161989	0.352	0.196967	0.352	0.025026	0.352	0.02891	0.352	0.037831
		0.353	0.162227	0.353	0.197296	0.353	0.025037	0.353	0.02893	0.353	0.037857
		0.354	0.16246	0.354	0.197624	0.354	0.025047	0.354	0.028951	0.354	0.037879
		0.355	0.162698	0.355	0.197952	0.355	0.025056	0.355	0.02897	0.355	0.037903
		0.356	0.162932	0.356	0.198282	0.356	0.025065	0.356	0.028992	0.356	0.037927
		0.357	0.16317	0.357	0.198608	0.357	0.025074	0.357	0.029012	0.357	0.037949
		0.358	0.163405	0.358	0.198933	0.358	0.025086	0.358	0.029032	0.358	0.037973
		0.359	0.163637	0.359	0.199258	0.359	0.025097	0.359	0.029053	0.359	0.037995
		0.36	0.163869	0.36	0.199582	0.36	0.025104	0.36	0.029072	0.36	0.03802
		0.361	0.164102	0.361	0.199907	0.361	0.025113	0.361	0.029092	0.361	0.038042
		0.362	0.164334	0.362	0.200232	0.362	0.025125	0.362	0.029112	0.362	0.038065
		0.363	0.164564	0.363	0.200552	0.363	0.025135	0.363	0.029131	0.363	0.038087
		0.364	0.164799	0.364	0.200876	0.364	0.025144	0.364	0.029152	0.364	0.03811
		0.365	0.165027	0.365	0.201196	0.365	0.025152	0.365	0.029172	0.365	0.038134
		0.366	0.165257	0.366	0.201517	0.366	0.02516	0.366	0.029192	0.366	0.038157
		0.367	0.165485	0.367	0.201836	0.367	0.025171	0.367	0.029212	0.367	0.038178
		0.368	0.165713	0.368	0.202157	0.368	0.02518	0.368	0.029228	0.368	0.0382
		0.369	0.16594	0.369	0.202475	0.369	0.02519	0.369	0.02925	0.369	0.038223
		0.37	0.166167	0.37	0.202795	0.37	0.025198	0.37	0.029268	0.37	0.038245
		0.371	0.166394	0.371	0.203111	0.371	0.025207	0.371	0.029287	0.371	0.038267
		0.372	0.166621	0.372	0.203428	0.372	0.025217	0.372	0.029307	0.372	0.038288
		0.373	0.166845	0.373	0.203744	0.373	0.025225	0.373	0.029327	0.373	0.038309
		0.374	0.16707	0.374	0.204058	0.374	0.025234	0.374	0.029345	0.374	0.038332
		0.375	0.167297	0.375	0.204373	0.375	0.025243	0.375	0.029365	0.375	0.038354
		0.376	0.16752	0.376	0.204687	0.376	0.025251	0.376	0.029384	0.376	0.038375
		0.377	0.167744	0.377	0.204999	0.377	0.025261	0.377	0.0294	0.377	0.038397
		0.378	0.167968	0.378	0.205314	0.378	0.025269	0.378	0.02942	0.378	0.038418
		0.379	0.168192	0.379	0.205625	0.379	0.025278	0.379	0.02944	0.379	0.038441
		0.38	0.16841	0.38	0.205934	0.38	0.025287	0.38	0.029459	0.38	0.038461
		0.381	0.168633	0.381	0.206244	0.381	0.025295	0.381	0.029478	0.381	0.038483
		0.382	0.168854	0.382	0.206555	0.382	0.025303	0.382	0.029495	0.382	0.038505
		0.383	0.169077	0.383	0.206864	0.383	0.025311	0.383	0.029516	0.383	0.038526
		0.384	0.169295	0.384	0.207171	0.384	0.025321	0.384	0.029534	0.384	0.038547
		0.385	0.169511	0.385	0.207481	0.385	0.025329	0.385	0.029554	0.385	0.038567
		0.386	0.16973	0.386	0.207787	0.386	0.025337	0.386	0.029571	0.386	0.03859
		0.387	0.16995	0.387	0.208094	0.387	0.025346	0.387	0.029588	0.387	0.03861
		0.388	0.17017	0.388	0.2084	0.388	0.025353	0.388	0.029606	0.388	0.038631
		0.389	0.170384	0.389	0.208707	0.389	0.025364	0.389	0.029626	0.389	0.038651
		0.39	0.170602	0.39	0.209011	0.39	0.025373	0.39	0.029644	0.39	0.038671
		0.391	0.170818	0.391	0.209314	0.391	0.025381	0.391	0.029661	0.391	0.038693
		0.392	0.171033	0.392	0.209617	0.392	0.025388	0.392	0.029681	0.392	0.038712
		0.393	0.171247	0.393	0.209919	0.393	0.025398	0.393	0.029697	0.393	0.038733
		0.394	0.171461	0.394	0.21022	0.394	0.025406	0.394	0.029716	0.394	0.038753
		0.395	0.171674	0.395	0.210521	0.395	0.025414	0.395	0.029733	0.395	0.038774
		0.396	0.171888	0.396	0.210822	0.396	0.02542	0.396	0.029752	0.396	0.038794
		0.397	0.172102	0.397	0.211125	0.397	0.02543	0.397	0.029767	0.397	0.038814
		0.398	0.172314	0.398	0.211423	0.398	0.025438	0.398	0.029787	0.398	0.038834
		0.399	0.172526	0.399	0.211724	0.399	0.025446	0.399	0.029803	0.399	0.038854
		0.4	0.172739	0.4	0.212021	0.4	0.025455	0.4	0.029822	0.4	0.038874
		0.401	0.172951	0.401	0.212318	0.401	0.025462	0.401	0.029837	0.401	0.038894
		0.402	0.173162	0.402	0.212614	0.402	0.025469	0.402	0.029855	0.402	0.038913
		0.403	0.173372	0.403	0.212913	0.403	0.02548	0.403	0.029874	0.403	0.038932
		0.404	0.173579	0.404	0.213209	0.404	0.025487	0.404	0.029891	0.404	0.038951
		0.405	0.173791	0.405	0.213504	0.405	0.025495	0.405	0.029908	0.405	0.038971
		0.406	0.173997	0.406	0.213798	0.406	0.025502	0.406	0.029923	0.406	0.038992
		0.407	0.174205	0.407	0.214093	0.407	0.02551	0.407	0.029941	0.407	0.03901
		0.408	0.174412	0.408	0.214385	0.408	0.025517	0.408	0.02996	0.408	0.039029
		0.409	0.174619	0.409	0.214678	0.409	0.025524	0.409	0.029977	0.409	0.039048
		0.41	0.174827	0.41	0.21497	0.41	0.025533	0.41	0.029995	0.41	0.039068
		0.411	0.175033	0.411	0.215262	0.411	0.02554	0.411	0.030012	0.411	0.039087
		0.412	0.175239	0.412	0.215553	0.412	0.025546	0.412	0.030028	0.412	0.039105
		0.413	0.17544	0.413	0.215844	0.413	0.025557	0.413	0.030047	0.413	0.039125
		0.414	0.175647	0.414	0.216134	0.414	0.025563	0.414	0.030064	0.414	0.039143
		0.415	0.175852	0.415	0.216422	0.415	0.025571	0.415	0.030081	0.415	0.039163
		0.416	0.176055	0.416	0.216711	0.416	0.025578	0.416	0.030096	0.416	0.039181
		0.417	0.176259	0.417	0.217	0.417	0.025585	0.417	0.030111	0.417	0.0392
		0.418	0.17646	0.418	0.217286	0.418	0.025592	0.418	0.030129	0.418	0.039219
		0.419	0.17666	0.419	0.217573	0.419	0.025602	0.419	0.030145	0.419	0.039237
		0.42	0.176865	0.42	0.217859	0.42	0.025608	0.42	0.030162	0.42	0.039255
		0.421	0.177067	0.421	0.218145	0.421	0.025617	0.421	0.030179	0.421	0.039275
		0.422	0.17727	0.422	0.21843	0.422	0.025624	0.422	0.030194	0.422	0.039293
		0.423	0.177467	0.423	0.218715	0.423	0.025631	0.423	0.030211	0.423	0.039312
		0.424	0.17767	0.424	0.218999	0.424	0.025638	0.424	0.030229	0.424	0.03933
		0.425	0.177867	0.425	0.219283	0.425	0.025647	0.425	0.030244	0.425	0.039348
		0.426	0.17807	0.426	0.219563	0.426	0.025654	0.426	0.03026	0.426	0.039367
		0.427	0.178266	0.427	0.219848	0.427	0.025661	0.427	0.030275	0.427	0.039385
		0.428	0.178463	0.428	0.22013	0.428	0.025666	0.428	0.030291	0.428	0.039402
		0.429	0.17866	0.429	0.220412	0.429	0.025675	0.429	0.030309	0.429	0.03942
		0.43	0.17886	0.43	0.220691	0.43	0.025682	0.43	0.030327	0.43	0.039437
		0.431	0.179053	0.431	0.220972	0.431	0.025689	0.431	0.030342	0.431	0.039455
		0.432	0.179252	0.432	0.221249	0.432	0.025696	0.432	0.030356	0.432	0.039474
		0.433	0.179447	0.433	0.221528	0.433	0.025703	0.433	0.030372	0.433	0.039492
		0.434	0.17964	0.434	0.221807	0.434	0.02571	0.434	0.030387	0.434	0.039508
		0.435	0.179837	0.435	0.222086	0.435	0.025716	0.435	0.030403	0.435	0.039526
		0.436	0.180033	0.436	0.222363	0.436	0.025722	0.436	0.030419	0.436	0.039542
		0.437	0.180227	0.437	0.222641	0.437	0.02573	0.437	0.030434	0.437	0.03956
		0.438	0.18042	0.438	0.222918	0.438	0.025737	0.438	0.030449	0.438	0.039578
		0.439	0.180616	0.439	0.223191	0.439	0.025746	0.439	0.030465	0.439	0.039595
		0.44	0.180807	0.44	0.223466	0.44	0.025751	0.44	0.030481	0.44	0.039613
		0.441	0.180998	0.441	0.223743	0.441	0.025758	0.441	0.030497	0.441	0.03963
		0.442	0.18119	0.442	0.224016	0.442	0.025765	0.442	0.030513	0.442	0.039647
		0.443	0.181382	0.443	0.224289	0.443	0.025771	0.443	0.030529	0.443	0.039664
		0.444	0.181577	0.444	0.22456	0.444	0.025779	0.444	0.030543	0.444	0.039681
		0.445	0.181767	0.445	0.224832	0.445	0.025786	0.445	0.030558	0.445	0.039697
		0.446	0.181954	0.446	0.225105	0.446	0.025793	0.446	0.030574	0.446	0.039715
		0.447	0.182147	0.447	0.225378	0.447	0.025798	0.447	0.03059	0.447	0.039732
		0.448	0.182337	0.448	0.22565	0.448	0.025805	0.448	0.030605	0.448	0.039749
		0.449	0.182525	0.449	0.225919	0.449	0.025813	0.449	0.030622	0.449	0.039766
		0.45	0.182713	0.45	0.226188	0.45	0.025819	0.45	0.030635	0.45	0.039782
		0.451	0.182901	0.451	0.226458	0.451	0.025825	0.451	0.030651	0.451	0.039799
		0.452	0.183087	0.452	0.226726	0.452	0.025833	0.452	0.030665	0.452	0.039816
		0.453	0.183275	0.453	0.226993	0.453	0.025839	0.453	0.030682	0.453	0.039832
		0.454	0.183462	0.454	0.227262	0.454	0.025845	0.454	0.030696	0.454	0.039849
		0.455	0.183649	0.455	0.227528	0.455	0.025853	0.455	0.03071	0.455	0.039865
		0.456	0.183836	0.456	0.227795	0.456	0.025857	0.456	0.030725	0.456	0.039882
		0.457	0.184021	0.457	0.228061	0.457	0.025865	0.457	0.03074	0.457	0.039898
		0.458	0.184205	0.458	0.228326	0.458	0.025872	0.458	0.030755	0.458	0.039913
		0.459	0.184392	0.459	0.228591	0.459	0.025879	0.459	0.030769	0.459	0.03993
		0.46	0.184575	0.46	0.228856	0.46	0.025884	0.46	0.030785	0.46	0.039946
		0.461	0.18476	0.461	0.229121	0.461	0.025891	0.461	0.030799	0.461	0.039964
		0.462	0.184943	0.462	0.229383	0.462	0.025898	0.462	0.030814	0.462	0.039979
		0.463	0.185126	0.463	0.229648	0.463	0.025904	0.463	0.030827	0.463	0.039996
		0.464	0.18531	0.464	0.229908	0.464	0.025909	0.464	0.030841	0.464	0.040011
		0.465	0.185488	0.465	0.230169	0.465	0.025917	0.465	0.030857	0.465	0.040026
		0.466	0.185674	0.466	0.23043	0.466	0.025922	0.466	0.030871	0.466	0.040042
		0.467	0.185853	0.467	0.230694	0.467	0.02593	0.467	0.030885	0.467	0.040058
		0.468	0.186036	0.468	0.230954	0.468	0.025935	0.468	0.0309	0.468	0.040073
		0.469	0.186218	0.469	0.231213	0.469	0.025941	0.469	0.030912	0.469	0.04009
		0.47	0.1864	0.47	0.231471	0.47	0.025948	0.47	0.03093	0.47	0.040105
		0.471	0.186577	0.471	0.231731	0.471	0.025954	0.471	0.030943	0.471	0.04012
		0.472	0.186759	0.472	0.231989	0.472	0.025961	0.472	0.030957	0.472	0.040137
		0.473	0.186938	0.473	0.232247	0.473	0.025966	0.473	0.03097	0.473	0.040152
		0.474	0.187116	0.474	0.232505	0.474	0.025972	0.474	0.030983	0.474	0.040167
		0.475	0.187294	0.475	0.232762	0.475	0.025978	0.475	0.031	0.475	0.040182
		0.476	0.187471	0.476	0.233018	0.476	0.025984	0.476	0.031014	0.476	0.040198
		0.477	0.18765	0.477	0.233274	0.477	0.02599	0.477	0.031026	0.477	0.040213
		0.478	0.187829	0.478	0.233529	0.478	0.025996	0.478	0.031041	0.478	0.040228
		0.479	0.188003	0.479	0.233784	0.479	0.026002	0.479	0.031055	0.479	0.040243
		0.48	0.188182	0.48	0.234041	0.48	0.026008	0.48	0.03107	0.48	0.040259
		0.481	0.188357	0.481	0.234292	0.481	0.026015	0.481	0.031083	0.481	0.040274
		0.482	0.188533	0.482	0.234547	0.482	0.02602	0.482	0.031096	0.482	0.040289
		0.483	0.188707	0.483	0.234801	0.483	0.026025	0.483	0.03111	0.483	0.040304
		0.484	0.188882	0.484	0.235052	0.484	0.026031	0.484	0.031124	0.484	0.040319
		0.485	0.18906	0.485	0.235305	0.485	0.026039	0.485	0.031138	0.485	0.040335
		0.486	0.189232	0.486	0.235555	0.486	0.026043	0.486	0.031152	0.486	0.040349
		0.487	0.189406	0.487	0.235807	0.487	0.026049	0.487	0.031167	0.487	0.040364
		0.488	0.189582	0.488	0.236059	0.488	0.026056	0.488	0.03118	0.488	0.040379
		0.489	0.189756	0.489	0.236308	0.489	0.026062	0.489	0.031194	0.489	0.040393
		0.49	0.189926	0.49	0.236558	0.49	0.026067	0.49	0.031206	0.49	0.040408
		0.491	0.190101	0.491	0.236807	0.491	0.026073	0.491	0.031219	0.491	0.040423
		0.492	0.190273	0.492	0.237056	0.492	0.026077	0.492	0.031233	0.492	0.040438
		0.493	0.190442	0.493	0.237305	0.493	0.026084	0.493	0.031247	0.493	0.040452
		0.494	0.190615	0.494	0.237551	0.494	0.02609	0.494	0.03126	0.494	0.040467
		0.495	0.190784	0.495	0.237799	0.495	0.026096	0.495	0.031274	0.495	0.040481
		0.496	0.190953	0.496	0.238047	0.496	0.0261	0.496	0.031288	0.496	0.040495
		0.497	0.191128	0.497	0.238293	0.497	0.026108	0.497	0.031299	0.497	0.040509
		0.498	0.191297	0.498	0.23854	0.498	0.026114	0.498	0.031312	0.498	0.040523
		0.499	0.191465	0.499	0.238784	0.499	0.026119	0.499	0.031327	0.499	0.040538
		0.5	0.191635	0.5	0.23903	0.5	0.026124	0.5	0.03134	0.5	0.040553
		0.501	0.191805	0.501	0.239274	0.501	0.026129	0.501	0.031354	0.501	0.040567
		0.502	0.191975	0.502	0.239518	0.502	0.026136	0.502	0.031366	0.502	0.040581
		0.503	0.19214	0.503	0.239761	0.503	0.026139	0.503	0.031379	0.503	0.040595
		0.504	0.192309	0.504	0.240005	0.504	0.026146	0.504	0.031391	0.504	0.040609
		0.505	0.192477	0.505	0.240247	0.505	0.026151	0.505	0.031404	0.505	0.040623
		0.506	0.192644	0.506	0.240491	0.506	0.026157	0.506	0.031419	0.506	0.040637
		0.507	0.192812	0.507	0.240731	0.507	0.026164	0.507	0.031431	0.507	0.040651
		0.508	0.192979	0.508	0.240973	0.508	0.026169	0.508	0.031444	0.508	0.040665
		0.509	0.193142	0.509	0.241216	0.509	0.026175	0.509	0.031456	0.509	0.040679
		0.51	0.193309	0.51	0.241455	0.51	0.026179	0.51	0.03147	0.51	0.040693
		0.511	0.193474	0.511	0.241695	0.511	0.026185	0.511	0.031481	0.511	0.040706
		0.512	0.193641	0.512	0.241934	0.512	0.026189	0.512	0.031494	0.512	0.04072
		0.513	0.193805	0.513	0.242174	0.513	0.026196	0.513	0.031506	0.513	0.040734
		0.514	0.19397	0.514	0.242413	0.514	0.026201	0.514	0.031519	0.514	0.040748
		0.515	0.194133	0.515	0.242652	0.515	0.026206	0.515	0.031532	0.515	0.040761
		0.516	0.194296	0.516	0.24289	0.516	0.02621	0.516	0.031545	0.516	0.040775
		0.517	0.194458	0.517	0.243125	0.517	0.026216	0.517	0.031556	0.517	0.040788
		0.518	0.194623	0.518	0.243362	0.518	0.026222	0.518	0.031571	0.518	0.040802
		0.519	0.194786	0.519	0.243601	0.519	0.026227	0.519	0.031583	0.519	0.040815
		0.52	0.194949	0.52	0.243837	0.52	0.026232	0.52	0.031594	0.52	0.040829
		0.521	0.195111	0.521	0.244071	0.521	0.026238	0.521	0.031606	0.521	0.040842
		0.522	0.195272	0.522	0.244306	0.522	0.026242	0.522	0.031621	0.522	0.040856
		0.523	0.195432	0.523	0.244544	0.523	0.026248	0.523	0.031632	0.523	0.040869
		0.524	0.195594	0.524	0.244778	0.524	0.026254	0.524	0.031646	0.524	0.040882
		0.525	0.195754	0.525	0.245011	0.525	0.026259	0.525	0.031658	0.525	0.040896
		0.526	0.195914	0.526	0.245248	0.526	0.026263	0.526	0.03167	0.526	0.040909
		0.527	0.196073	0.527	0.24548	0.527	0.026269	0.527	0.031681	0.527	0.040921
		0.528	0.196234	0.528	0.245712	0.528	0.026273	0.528	0.031693	0.528	0.040934
		0.529	0.196393	0.529	0.245943	0.529	0.026278	0.529	0.031704	0.529	0.040947
		0.53	0.196552	0.53	0.246176	0.53	0.026284	0.53	0.031717	0.53	0.04096
		0.531	0.196714	0.531	0.246408	0.531	0.026288	0.531	0.03173	0.531	0.040973
		0.532	0.19687	0.532	0.246639	0.532	0.026294	0.532	0.031743
		0.533	0.197031	0.533	0.246869	0.533	0.026299	0.533	0.031754
		0.534	0.197188	0.534	0.2471	0.534	0.026303	0.534	0.031767
		0.535	0.197343	0.535	0.247329	0.535	0.026308	0.535	0.031779
		0.536	0.197501	0.536	0.247556	0.536	0.026313	0.536	0.031791
		0.537	0.197658	0.537	0.247788	0.537	0.026319	0.537	0.031803
		0.538	0.197815	0.538	0.248015	0.538	0.026324	0.538	0.031814
		0.539	0.197972	0.539	0.248244	0.539	0.026329	0.539	0.031826
		0.54	0.198128	0.54	0.248473	0.54	0.026335	0.54	0.031838
		0.541	0.198284	0.541	0.2487	0.541	0.02634	0.541	0.03185
		0.542	0.198437	0.542	0.248928	0.542	0.026344	0.542	0.031862
		0.543	0.198594	0.543	0.249153	0.543	0.026349	0.543	0.031873
		0.544	0.198747	0.544	0.249379	0.544	0.026353	0.544	0.031886
		0.545	0.198903	0.545	0.249606	0.545	0.026359	0.545	0.031898
		0.546	0.199056	0.546	0.249831	0.546	0.026364	0.546	0.03191
		0.547	0.199209	0.547	0.250056	0.547	0.026368	0.547	0.031922
		0.548	0.199365	0.548	0.250281	0.548	0.026373	0.548	0.031932
		0.549	0.199515	0.549	0.250504	0.549	0.026378	0.549	0.031944
		0.55	0.199668	0.55	0.250727	0.55	0.026382	0.55	0.031955
		0.551	0.199822	0.551	0.250952	0.551	0.026387	0.551	0.031966
		0.552	0.199973	0.552	0.251175	0.552	0.026392	0.552	0.031978
		0.553	0.200125	0.553	0.251397	0.553	0.026397	0.553	0.031991
		0.554	0.200278	0.554	0.25162	0.554	0.026401	0.554	0.032001
		0.555	0.200427	0.555	0.251842	0.555	0.026407	0.555	0.032012
		0.556	0.200578	0.556	0.252062	0.556	0.026411	0.556	0.032024
		0.557	0.200728	0.557	0.252284	0.557	0.026415	0.557	0.032035
		0.558	0.200883	0.558	0.252505	0.558	0.026421	0.558	0.032045
		0.559	0.201029	0.559	0.252725	0.559	0.026426	0.559	0.032059
		0.56	0.20118	0.56	0.252944	0.56	0.02643	0.56	0.03207
		0.561	0.201328	0.561	0.253163	0.561	0.026433	0.561	0.03208
		0.562	0.201478	0.562	0.253382	0.562	0.026441	0.562	0.032092
		0.563	0.201627	0.563	0.253601	0.563	0.026445	0.563	0.032104
		0.564	0.201775	0.564	0.253819	0.564	0.026448	0.564	0.032113
		0.565	0.201921	0.565	0.254038	0.565	0.026453	0.565	0.032125
		0.566	0.202069	0.566	0.254256	0.566	0.026458	0.566	0.032137
		0.567	0.202219	0.567	0.254472	0.567	0.026462	0.567	0.032147
		0.568	0.202367	0.568	0.254688	0.568	0.026466	0.568	0.032158
		0.569	0.202515	0.569	0.254905	0.569	0.026471	0.569	0.032169
		0.57	0.202662	0.57	0.255121	0.57	0.026475	0.57	0.03218
		0.571	0.202807	0.571	0.255336	0.571	0.026479	0.571	0.03219
		0.572	0.202953	0.572	0.255553	0.572	0.026485	0.572	0.032202
		0.573	0.2031	0.573	0.255766	0.573	0.02649	0.573	0.032213
		0.574	0.203245	0.574	0.255982	0.574	0.026493	0.574	0.032224
		0.575	0.203389	0.575	0.256197	0.575	0.026499	0.575	0.032235
		0.576	0.203537	0.576	0.25641	0.576	0.026503	0.576	0.032244
		0.577	0.203681	0.577	0.256622	0.577	0.026507	0.577	0.032257
		0.578	0.203827	0.578	0.256836	0.578	0.02651	0.578	0.032267
		0.579	0.203971	0.579	0.257051	0.579	0.026516	0.579	0.032279
		0.58	0.204113	0.58	0.257263	0.58	0.026519	0.58	0.032289
		0.581	0.204257	0.581	0.257473	0.581	0.026524	0.581	0.032301
		0.582	0.204401	0.582	0.257686	0.582	0.026528	0.582	0.032312
		0.583	0.204543	0.583	0.257896	0.583	0.026532	0.583	0.032323
		0.584	0.204684	0.584	0.258108	0.584	0.026537	0.584	0.032333
		0.585	0.204826	0.585	0.258319	0.585	0.026542	0.585	0.032343
		0.586	0.204971	0.586	0.258528	0.586	0.026547	0.586	0.032353
		0.587	0.205112	0.587	0.258737	0.587	0.02655	0.587	0.032364
		0.588	0.205254	0.588	0.258946	0.588	0.026555	0.588	0.032373
		0.589	0.205396	0.589	0.259156	0.589	0.026559	0.589	0.032385
		0.59	0.205539	0.59	0.259365	0.59	0.026563	0.59	0.032397
		0.591	0.205678	0.591	0.259573	0.591	0.026568	0.591	0.032406
		0.592	0.205818	0.592	0.25978	0.592	0.026573	0.592	0.032417
		0.593	0.20596	0.593	0.259988	0.593	0.026576	0.593	0.032426
		0.594	0.2061	0.594	0.260195	0.594	0.02658	0.594	0.032438
		0.595	0.206238	0.595	0.260402	0.595	0.026585	0.595	0.032447
		0.596	0.206378	0.596	0.26061	0.596	0.026589	0.596	0.032456
		0.597	0.206519	0.597	0.260816	0.597	0.026593	0.597	0.032467
		0.598	0.206654	0.598	0.261022	0.598	0.026598	0.598	0.032477
		0.599	0.206795	0.599	0.261226	0.599	0.026601	0.599	0.032488
		0.6	0.206934	0.6	0.261432	0.6	0.026605	0.6	0.0325
		0.601	0.207074	0.601	0.261636	0.601	0.026611	0.601	0.032509
		0.602	0.20721	0.602	0.261842	0.602	0.026614	0.602	0.032521
		0.603	0.207349	0.603	0.262045	0.603	0.026618	0.603	0.03253
		0.604	0.207484	0.604	0.262249	0.604	0.026621	0.604	0.032539
		0.605	0.207622	0.605	0.262453	0.605	0.026627	0.605	0.032549
		0.606	0.207758	0.606	0.262655	0.606	0.026631	0.606	0.03256
		0.607	0.207896	0.607	0.262858	0.607	0.026635	0.607	0.03257
		0.608	0.208031	0.608	0.263061	0.608	0.026639	0.608	0.03258
		0.609	0.208168	0.609	0.263261	0.609	0.026642	0.609	0.03259
		0.61	0.208306	0.61	0.263466	0.61	0.026646	0.61	0.032599
		0.611	0.208442	0.611	0.263666	0.611	0.02665	0.611	0.032611
