Perfect_X	Perfect_Y	D62_X	D62_Y	D72_X	D72_Y	P187_X	P187_Y	P212_X	P212_Y	P387_X	P387_Y
		0.038	0.032974	0.038	0.034702	0.038	0.013099	0.038	0.012388	0.038	0.015967
		0.039	0.033732	0.039	0.035537	0.039	0.01326	0.039	0.012549	0.039	0.016196
		0.04	0.03448	0.04	0.036363	0.04	0.013419	0.04	0.012711	0.04	0.016424
		0.041	0.035223	0.041	0.03719	0.041	0.013571	0.041	0.012873	0.041	0.016649
		0.042	0.035964	0.042	0.038011	0.042	0.01372	0.042	0.013023	0.042	0.016867
		0.043	0.036699	0.043	0.03883	0.043	0.013869	0.043	0.013179	0.043	0.017087
		0.044	0.037432	0.044	0.039645	0.044	0.014006	0.044	0.013327	0.044	0.017292
		0.045	0.038154	0.045	0.040458	0.045	0.014145	0.045	0.013474	0.045	0.017505
		0.046	0.038883	0.046	0.041267	0.046	0.014287	0.046	0.013624	0.046	0.017708
		0.047	0.039594	0.047	0.042073	0.047	0.014416	0.047	0.013762	0.047	0.017907
		0.048	0.04031	0.048	0.042873	0.048	0.014553	0.048	0.013902	0.048	0.018109
		0.049	0.041023	0.049	0.043674	0.049	0.014682	0.049	0.014041	0.049	0.018299
		0.05	0.041728	0.05	0.04447	0.05	0.014807	0.05	0.014178	0.05	0.018492
		0.051	0.04243	0.051	0.04526	0.051	0.014935	0.051	0.014309	0.051	0.018678
		0.052	0.043127	0.052	0.046047	0.052	0.015054	0.052	0.014443	0.052	0.018865
		0.053	0.043818	0.053	0.046833	0.053	0.015173	0.053	0.014571	0.053	0.019048
		0.054	0.044504	0.054	0.047615	0.054	0.015292	0.054	0.014698	0.054	0.019229
		0.055	0.045185	0.055	0.048395	0.055	0.015404	0.055	0.014829	0.055	0.019408
		0.056	0.045873	0.056	0.049167	0.056	0.015521	0.056	0.014952	0.056	0.019584
		0.057	0.046551	0.057	0.049941	0.057	0.015633	0.057	0.015075	0.057	0.019757
		0.058	0.047226	0.058	0.05071	0.058	0.015742	0.058	0.015196	0.058	0.019926
		0.059	0.047895	0.059	0.051479	0.059	0.015845	0.059	0.015315	0.059	0.020093
		0.06	0.048562	0.06	0.052241	0.06	0.015949	0.06	0.01543	0.06	0.020257
		0.061	0.049224	0.061	0.053	0.061	0.016053	0.061	0.015549	0.061	0.020428
		0.062	0.049881	0.062	0.053763	0.062	0.016154	0.062	0.015668	0.062	0.020585
		0.063	0.050538	0.063	0.054514	0.063	0.01626	0.063	0.015778	0.063	0.020745
		0.064	0.051188	0.064	0.055264	0.064	0.016357	0.064	0.015891	0.064	0.020903
		0.065	0.051838	0.065	0.056013	0.065	0.016454	0.065	0.016001	0.065	0.021056
		0.066	0.052484	0.066	0.056761	0.066	0.016547	0.066	0.016112	0.066	0.021209
		0.067	0.053124	0.067	0.057503	0.067	0.01664	0.067	0.016219	0.067	0.021362
		0.068	0.053766	0.068	0.058242	0.068	0.01673	0.068	0.016328	0.068	0.021509
		0.069	0.054401	0.069	0.058982	0.069	0.016825	0.069	0.016432	0.069	0.021654
		0.07	0.055026	0.07	0.059713	0.07	0.016913	0.07	0.016534	0.07	0.021805
		0.071	0.055658	0.071	0.060442	0.071	0.017	0.071	0.016638	0.071	0.02195
		0.072	0.056282	0.072	0.06117	0.072	0.017087	0.072	0.01674	0.072	0.02209
		0.073	0.056907	0.073	0.061901	0.073	0.017174	0.073	0.016842	0.073	0.022228
		0.074	0.057523	0.074	0.06262	0.074	0.017258	0.074	0.016943	0.074	0.022368
		0.075	0.058135	0.075	0.063338	0.075	0.017345	0.075	0.017041	0.075	0.022507
		0.076	0.058747	0.076	0.064053	0.076	0.017423	0.076	0.017136	0.076	0.022642
		0.077	0.059359	0.077	0.064774	0.077	0.0175	0.077	0.017234	0.077	0.022774
		0.078	0.05996	0.078	0.065484	0.078	0.017579	0.078	0.017329	0.078	0.022911
		0.079	0.060567	0.079	0.066194	0.079	0.017657	0.079	0.017421	0.079	0.02304
		0.08	0.061162	0.08	0.066899	0.08	0.017728	0.08	0.017514	0.08	0.023171
		0.081	0.061768	0.081	0.067605	0.081	0.017813	0.081	0.017607	0.081	0.023295
		0.082	0.062358	0.082	0.068306	0.082	0.017885	0.082	0.017704	0.082	0.023424
