Perfect_X	Perfect_Y	D24_X	D24_Y	D25_X	D25_Y	R21_X	R21_Y	R44_X	R44_Y	P246_X	P246_Y	P384_X	P384_Y
		0.06	0.042304			0.06	0.048941					0.06	0.009751
		0.061	0.042805			0.061	0.049606					0.061	0.0098
		0.062	0.043301			0.062	0.050269					0.062	0.009849
		0.063	0.043791			0.063	0.050926					0.063	0.009899
		0.064	0.044274			0.064	0.051578					0.064	0.009944
		0.065	0.044755			0.065	0.05223					0.065	0.009994
		0.066	0.04523			0.066	0.052873					0.066	0.010041
		0.067	0.045705			0.067	0.053518					0.067	0.010082
		0.068	0.046171			0.068	0.054155					0.068	0.010129
		0.069	0.046636			0.069	0.054791					0.069	0.01017
		0.07	0.047095			0.07	0.055421					0.07	0.010212
		0.071	0.04755			0.071	0.056047					0.071	0.010259
		0.072	0.048001			0.072	0.056671					0.072	0.010298
		0.073	0.048453			0.073	0.057292					0.073	0.010339
		0.074	0.048893			0.074	0.057908					0.074	0.010377
		0.075	0.049331			0.075	0.058519					0.075	0.010418
		0.076	0.049769			0.076	0.05913					0.076	0.010457
		0.077	0.0502			0.077	0.059737					0.077	0.010495
		0.078	0.050629			0.078	0.060338					0.078	0.010531
		0.079	0.051057			0.079	0.060936					0.079	0.010568
		0.08	0.051474			0.08	0.061534					0.08	0.010604
		0.081	0.051892			0.081	0.062127					0.081	0.010641
		0.082	0.052306			0.082	0.062713					0.082	0.010675
		0.083	0.052718			0.083	0.063299					0.083	0.010709
		0.084	0.053124			0.084	0.063879					0.084	0.010744
		0.085	0.053528			0.085	0.06446					0.085	0.010778
		0.086	0.053923			0.086	0.065035					0.086	0.010813
		0.087	0.054324			0.087	0.065609					0.087	0.010843
		0.088	0.054716			0.088	0.066177					0.088	0.010875
		0.089	0.055104			0.089	0.066743					0.089	0.010906
		0.09	0.05549			0.09	0.067306					0.09	0.010937
		0.091	0.055877			0.091	0.067865					0.091	0.01097
		0.092	0.056259			0.092	0.068424					0.092	0.010999
		0.093	0.056633			0.093	0.068978					0.093	0.011029
		0.094	0.05701			0.094	0.069528					0.094	0.011059
		0.095	0.057381			0.095	0.070076					0.095	0.011086
		0.096	0.057747			0.096	0.070621					0.096	0.011117
		0.097	0.058115			0.097	0.071163					0.097	0.011144
		0.098	0.058478			0.098	0.071701					0.098	0.011171
		0.099	0.05884			0.099	0.072239					0.099	0.011199
		0.1	0.059194			0.1	0.07277					0.1	0.011228
		0.101	0.05955			0.101	0.073301					0.101	0.011255
		0.102	0.059901			0.102	0.073828					0.102	0.01128
		0.103	0.060249			0.103	0.074351					0.103	0.011305
		0.104	0.060595			0.104	0.074874					0.104	0.011331
		0.105	0.060938			0.105	0.075392					0.105	0.011358
		0.106	0.061276			0.106	0.075908					0.106	0.011381
		0.107	0.061616			0.107	0.076423					0.107	0.011408
		0.108	0.061952			0.108	0.076932					0.108	0.011431
		0.109	0.062286			0.109	0.07744					0.109	0.011456
		0.11	0.062615			0.11	0.077946					0.11	0.01148
		0.111	0.062946			0.111	0.07845					0.111	0.011504
		0.112	0.063271			0.112	0.078947					0.112	0.011526
		0.113	0.063592			0.113	0.079446					0.113	0.011549
		0.114	0.063912			0.114	0.07994					0.114	0.01157
		0.115	0.06423			0.115	0.080434					0.115	0.011593
		0.116	0.064546			0.116	0.080922					0.116	0.011615
		0.117	0.06486			0.117	0.081409					0.117	0.011639
		0.118	0.065171			0.118	0.081893					0.118	0.011661
		0.119	0.06548			0.119	0.082374					0.119	0.011681
		0.12	0.065786			0.12	0.082854					0.12	0.011703
		0.121	0.06609			0.121	0.083333					0.121	0.011725
		0.122	0.066393			0.122	0.083806					0.122	0.011744
		0.123	0.066694			0.123	0.084277					0.123	0.011763
		0.124	0.066989			0.124	0.08475					0.124	0.011783
		0.125	0.067284			0.125	0.085216					0.125	0.011805
		0.126	0.067579			0.126	0.085679					0.126	0.011824
		0.127	0.067871			0.127	0.086143					0.127	0.011843
		0.128	0.068162			0.128	0.086603					0.128	0.011864
		0.129	0.068447			0.129	0.087061					0.129	0.011883
		0.13	0.068734			0.13	0.087518					0.13	0.011901
		0.131	0.069016			0.131	0.087971					0.131	0.01192
		0.132	0.069299			0.132	0.088422					0.132	0.011938
		0.133	0.069577			0.133	0.088869					0.133	0.011956
		0.134	0.069856			0.134	0.089318					0.134	0.011974
		0.135	0.070131			0.135	0.089761					0.135	0.011992
		0.136	0.070403			0.136	0.090203					0.136	0.01201
		0.137	0.070675			0.137	0.090643					0.137	0.012029
		0.138	0.070946			0.138	0.09108					0.138	0.012045
		0.139	0.071212			0.139	0.091514					0.139	0.012062
		0.14	0.071477			0.14	0.091949					0.14	0.012078
		0.141	0.071743			0.141	0.09238					0.141	0.012097
		0.142	0.072005			0.142	0.09281					0.142	0.012113
		0.143	0.072268			0.143	0.093237					0.143	0.01213
		0.144	0.072525			0.144	0.093662					0.144	0.012146
		0.145	0.072784			0.145	0.094083					0.145	0.012164
		0.146	0.073039			0.146	0.094505					0.146	0.012177
		0.147	0.073293			0.147	0.094923					0.147	0.012193
		0.148	0.073544			0.148	0.095339					0.148	0.012209
		0.149	0.073793			0.149	0.095753					0.149	0.012225
		0.15	0.074043			0.15	0.096167					0.15	0.01224
		0.151	0.074289			0.151	0.096577					0.151	0.012255
		0.152	0.074535			0.152	0.096984					0.152	0.01227
		0.153	0.074779			0.153	0.097391					0.153	0.012285
		0.154	0.075023			0.154	0.097796					0.154	0.0123
		0.155	0.075264			0.155	0.098198					0.155	0.012315
		0.156	0.075503			0.156	0.098597					0.156	0.012329
		0.157	0.075739			0.157	0.098997					0.157	0.012344
		0.158	0.075978			0.158	0.099395					0.158	0.012357
		0.159	0.07621			0.159	0.099789					0.159	0.012373
		0.16	0.076443			0.16	0.100181					0.16	0.012387
		0.161	0.076675			0.161	0.100573					0.161	0.012402
		0.162	0.076906			0.162	0.100964					0.162	0.012414
		0.163	0.077135			0.163	0.10135					0.163	0.012428
		0.164	0.077363			0.164	0.101736					0.164	0.01244
		0.165	0.077588			0.165	0.10212					0.165	0.012454
		0.166	0.077813			0.166	0.102501					0.166	0.012468
		0.167	0.078032			0.167	0.102883					0.167	0.01248
		0.168	0.078257			0.168	0.10326					0.168	0.012493
