Sample	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-3_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-20_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	Snippy_mqc-generalstats-snippy-VariantTotal	Snippy_mqc-generalstats-snippy-Variant_SNP	Snippy_mqc-generalstats-snippy-Variant_INS	Snippy_mqc-generalstats-snippy-Variant_DEL	Snippy_mqc-generalstats-snippy-Variant_COMPLEX	endorSpy_mqc-generalstats-endorspy-endogenous_dna	endorSpy_mqc-generalstats-endorspy-endogenous_dna_post	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Adapter Removal_mqc-generalstats-adapter_removal-percent_aligned	Adapter Removal_mqc-generalstats-adapter_removal-aligned_total	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	DamageProfiler_mqc-generalstats-damageprofiler-3_Prime1	DamageProfiler_mqc-generalstats-damageprofiler-3_Prime2	DamageProfiler_mqc-generalstats-damageprofiler-5_Prime1	DamageProfiler_mqc-generalstats-damageprofiler-5_Prime2	DamageProfiler_mqc-generalstats-damageprofiler-std	DamageProfiler_mqc-generalstats-damageprofiler-median	DamageProfiler_mqc-generalstats-damageprofiler-mean_readlength
D71	43.395969917290415	93.99315300355808	89.1726977310913	83.64333918927173	70.01605638264503	47.56086880455003	18	22.9904	100.0	1630634.0	1630634.0	1.2	122	111	5	4	2																			
D71-L001																		31.107947	30.002208	0.687583																
D71-L001_1																					99.11915763067233	30774748	33.16960509599167	50.0	91.0	9.090909090909092	15524117.0									
D71-L001_2																							33.264189460841294	51.0	91.0	27.27272727272727	15524117.0									
D71-L001_flagstat																												14381425	4473766							
D71-L001_postfilterflagstat																												4314745	4314745							
D71-L001_rmdup																														0.19636533268506778	0.0954752233495924	0.17527839573572307	0.09009219139208105	20.544912305197727	65.0	68.20342408645946
D71-L002																		31.047832	29.942336	0.685589																
D71-L002_1																					99.12702507052673	30555392	32.908449935554586	50.0	91.0	9.090909090909092	15412241.0									
D71-L002_2																							32.83159201428563	51.0	91.0	27.27272727272727	15412241.0									
D71-L002_flagstat																												14270333	4430629							
D71-L002_postfilterflagstat																												4272871	4272871							
D71-L002_rmdup																														0.19692694666767632	0.09519902333768668	0.1747513930832312	0.08951601532383144	20.52557178375685	65.0	68.17646489709368
D72	44.769035348769684	87.75834885312292	67.86441828999007	49.532584311537306	19.131278268188176	1.8094124978907233	4	5.6398	100.0	409292.0	409292.0	1.25	122	108	8	3	3																			
D72-L001																		10.409422	9.965647	0.650322																
D72-L001_1																					98.97732936615407	21430896	27.916110432741846	54.0	91.0	9.090909090909092	10826164.0									
D72-L001_2																							28.112247935772587	54.0	91.0	18.181818181818183	10826164.0									
D72-L001_flagstat																												9559128	995050							
D72-L001_postfilterflagstat																												952629	952629							
D72-L001_rmdup																														0.1784125875065504	0.10150924378663696	0.1576812253563846	0.09614634998723066	20.96338217908383	63.0	67.09081337905533
D72-L002																		10.377971	9.935004	0.648263																
D72-L002_1																					98.9909871350674	21315068	27.777973271524175	54.0	91.0	9.090909090909092	10766166.0									
D72-L002_2																							27.70027274162382	54.0	91.0	18.181818181818183	10766166.0									
