Sample	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-3_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-20_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	Snippy_mqc-generalstats-snippy-VariantTotal	Snippy_mqc-generalstats-snippy-Variant_SNP	Snippy_mqc-generalstats-snippy-Variant_INS	Snippy_mqc-generalstats-snippy-Variant_DEL	Snippy_mqc-generalstats-snippy-Variant_COMPLEX	endorSpy_mqc-generalstats-endorspy-endogenous_dna	endorSpy_mqc-generalstats-endorspy-endogenous_dna_post	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Adapter Removal_mqc-generalstats-adapter_removal-percent_aligned	Adapter Removal_mqc-generalstats-adapter_removal-aligned_total	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	DamageProfiler_mqc-generalstats-damageprofiler-3_Prime1	DamageProfiler_mqc-generalstats-damageprofiler-3_Prime2	DamageProfiler_mqc-generalstats-damageprofiler-5_Prime1	DamageProfiler_mqc-generalstats-damageprofiler-5_Prime2	DamageProfiler_mqc-generalstats-damageprofiler-std	DamageProfiler_mqc-generalstats-damageprofiler-median	DamageProfiler_mqc-generalstats-damageprofiler-mean_readlength
P187cM3-S499-L001_postfilterflagstat																												321797	321797							
P187cM3-S499-L001_rmdup																														0.15790198237885464	0.08477980203701047	0.15278969957081545	0.08214157384117858	27.952988498599282	77.0	82.52809308880674
P187cM3-S499-L002																		38.775318	37.243622	0.792584																
P187cM3-S499-L002_1																					98.55335385740712	1767718	53.88801032603225	46.0	91.0	18.181818181818183	896833.0									
P187cM3-S499-L002_2																							53.61199857484466	46.0	91.0	27.27272727272727	896833.0									
P187cM3-S499-L002_flagstat																												859374	333225							
P187cM3-S499-L002_postfilterflagstat																												320062	320062							
P187cM3-S499-L002_rmdup																														0.16096219931271477	0.08703490049033746	0.15248391589838828	0.0787974911686252	27.93465268500518	77.0	82.41500150014478
P187cM3-S68-L001																		35.885683	34.223116	0.908968																
P187cM3-S68-L001_1																					99.14886693140495	6459162	62.44661153059683	47.0	91.0	18.181818181818183	3257305.0									
P187cM3-S68-L001_2																							61.86118116321098	48.0	91.0	27.27272727272727	3257305.0									
P187cM3-S68-L001_flagstat																												3127994	1122502							
P187cM3-S68-L001_postfilterflagstat																												1070497	1070497							
P187cM3-S68-L001_rmdup																														0.16078610603290677	0.08500192529842125	0.1519864900897698	0.08101363025532732	27.608546068493002	75.0	80.40332978594068
P187cM3-S68-L002																		35.899987	34.24321	0.909547																
P187cM3-S68-L002_1																					99.16147550191633	6479070	62.78281230425145	47.0	91.0	18.181818181818183	3266929.0									
P187cM3-S68-L002_2																							62.207213065067855	48.0	91.0	27.27272727272727	3266929.0									
P187cM3-S68-L002_flagstat																												3138263	1126636							
P187cM3-S68-L002_postfilterflagstat																												1074642	1074642							
P187cM3-S68-L002_rmdup																														0.16106551739947733	0.08413973292045675	0.15184226960478187	0.08009650180940893	27.62511100041563	75.0	80.35848746909419
P212	40.87828285730706	81.15198075304538	61.386749705736506	48.37242525914339	27.790710073076728	8.217907162844433	4	7.1261	100.0	534718.0	534718.0	1.46	108	100	2	5	1																			
P212M2-S271-L001																		74.01907	71.2968	0.962434																
P212M2-S271-L001_1																					98.85978920472692	3590548	85.44730139890802	40.0	86.0	18.181818181818183	1815980.0									
P212M2-S271-L001_2																							84.85640663868402	40.0	91.0	27.27272727272727	1815980.0									
P212M2-S271-L001_flagstat																												1778185	1316196							
P212M2-S271-L001_postfilterflagstat																												1267789	1267789							
P212M2-S271-L001_rmdup																														0.1255174568460517	0.08706844336765597	0.11636979243338731	0.09018450184501844	21.817606334327795	63.0	67.27400292336401
P212M2-S271-L002																		74.039812	71.344907	0.963319																
P212M2-S271-L002_1																					98.88412077522533	3656450	85.53142214693986	40.0	86.0	18.181818181818183	1848856.0									
P212M2-S271-L002_2																							84.69352487802627	40.0	91.0	27.27272727272727	1848856.0									
P212M2-S271-L002_flagstat																												1810973	1340841							
P212M2-S271-L002_postfilterflagstat																												1292037	1292037							
P212M2-S271-L002_rmdup																														0.12682926829268293	0.08835158150851581	0.11706629055007052	0.09065323655754703	21.850096960474946	63.0	67.36003105524466
P212S6aM4-S76-L001																		70.02837	67.432643	0.964016																
P212S6aM4-S76-L001_1																					98.83891258862198	3137580	80.57901665225431	43.0	91.0	18.181818181818183	1587219.0									
P212S6aM4-S76-L001_2																							79.4092501810586	44.0	91.0	27.27272727272727	1587219.0									
P212S6aM4-S76-L001_flagstat																												1468105	1028090							
P212S6aM4-S76-L001_postfilterflagstat																												989982	989982							
P212S6aM4-S76-L001_rmdup																														0.13157894736842105	0.08428351309707242	0.13588213807378546	0.08491585610622202	19.593375722092645	57.0	60.88238736103442
P212S6aM4-S76-L002																		69.936668	67.342719	0.964083																
P212S6aM4-S76-L002_1																					98.87455405970483	3149554	81.01342025495076	43.0	91.0	18.181818181818183	1592702.0									
P212S6aM4-S76-L002_2																							79.71632097612616	44.0	91.0	27.27272727272727	1592702.0									
P212S6aM4-S76-L002_flagstat																												1473506	1030521							
P212S6aM4-S76-L002_postfilterflagstat																												992299	992299							
P212S6aM4-S76-L002_rmdup																														0.13134146341463415	0.08339744576088629	0.13731233980227023	0.08459538014379685	19.593192667179	57.0	60.868319175603816
P212S6aM5-S115-L001																		4.220631	4.032738	0.209184																
P212S6aM5-S115-L001_1																					98.3495865043729	1157374	18.25156822141028	54.0	91.0	18.181818181818183	588398.0									
P212S6aM5-S115-L001_2																							18.330935446280094	57.0	91.0	27.27272727272727	588398.0									
P212S6aM5-S115-L001_flagstat																												258658	10917							
P212S6aM5-S115-L001_postfilterflagstat																												10431	10431							
P212S6aM5-S115-L001_rmdup																														0.12984293193717278	0.09526938239159001	0.1329479768786127	0.09066121336059986	20.26202771027285	57.0	61.655936799904694
P212S6aM5-S115-L002																		4.162213	3.975554	0.207308																
P212S6aM5-S115-L002_1																					98.46908727559077	1190444	18.51981312667847	54.0	91.0	18.181818181818183	604476.0									
P212S6aM5-S115-L002_2																							18.654398371896235	57.0	91.0	27.27272727272727	604476.0									
P212S6aM5-S115-L002_flagstat																												265724	11060							
P212S6aM5-S115-L002_postfilterflagstat																												10564	10564							
P212S6aM5-S115-L002_rmdup																														0.13108038914490527	0.086	0.14084507042253522	0.07655826558265583	20.357745871295915	58.0	61.94991866140011
P212S6bM4-S77-L001																		71.830338	69.309732	0.970283																
P212S6bM4-S77-L001_1																					99.04363939067578	5896674	83.06856052199893	42.0	91.0	18.181818181818183	2976806.0									
P212S6bM4-S77-L001_2																							82.3922576149161	43.0	91.0	27.27272727272727	2976806.0									
P212S6bM4-S77-L001_flagstat																												2797144	2009198							
P212S6bM4-S77-L001_postfilterflagstat																												1938693	1938693							
P212S6bM4-S77-L001_rmdup																														0.1318055867595297	0.08742911153119093	0.13257575757575757	0.0832168483831889	19.460113135731298	56.0	60.39187671681844
P212S6bM4-S77-L002																		71.880596	69.355007	0.970488																
P212S6bM4-S77-L002_1																					99.07013649857188	5925690	83.275786680735	42.0	91.0	18.181818181818183	2990654.0									
P212S6bM4-S77-L002_2																							82.49685827179209	43.0	91.0	27.27272727272727	2990654.0									
P212S6bM4-S77-L002_flagstat																												2811859	2021181							
P212S6bM4-S77-L002_postfilterflagstat																												1950165	1950165							
P212S6bM4-S77-L002_rmdup																														0.13260122516061557	0.08662757707584641	0.13305613305613306	0.08327899394503958	19.477478246452403	56.0	60.39877215736707
P212S6bM5-S116-L001																		15.872506	15.12197	0.398022																
P212S6bM5-S116-L001_1																					98.53089857056197	1013544	21.390427829432298	53.0	91.0	9.090909090909092	514328.0									
P212S6bM5-S116-L001_2																							21.26775248208959	55.0	91.0	27.27272727272727	514328.0									
P212S6bM5-S116-L001_flagstat																												308313	48937							
P212S6bM5-S116-L001_postfilterflagstat																												46623	46623							
P212S6bM5-S116-L001_rmdup																														0.1329605467536502	0.08961064370964586	0.13292000604869197	0.08480364257256688	19.690794476032522	56.0	60.273494316174286
P212S6bM5-S116-L002																		15.884461	15.156178	0.400884																
P212S6bM5-S116-L002_1																					98.58112533266706	1041620	21.754242664122387	53.0	91.0	9.090909090909092	528306.0									
P212S6bM5-S116-L002_2																							21.841707576523163	55.0	91.0	27.27272727272727	528306.0									
P212S6bM5-S116-L002_flagstat																												316498	50274							
P212S6bM5-S116-L002_postfilterflagstat																												47969	47969							
P212S6bM5-S116-L002_rmdup																														0.13090744375660576	0.08701498271225509	0.13377581120943952	0.08435298479792362	19.81747940361457	56.0	60.53763403785919
P212S6cM4-S78-L001																		70.419995	67.518397	0.973681																
P212S6cM4-S78-L001_1																					98.98409753098066	5833802	82.93120133461593	43.0	91.0	18.181818181818183	2946838.0									
P212S6cM4-S78-L001_2																							81.17579955267804	44.0	91.0	27.27272727272727	2946838.0									
P212S6cM4-S78-L001_flagstat																												2722224	1916990							
P212S6cM4-S78-L001_postfilterflagstat																												1838002	1838002							
P212S6cM4-S78-L001_rmdup																														0.13210702341137123	0.08435358867797371	0.139920663541291	0.08690233401314298	19.690637976951464	56.0	60.67145647034091
P212S6cM4-S78-L002																		70.511285	67.635462	0.973826																
P212S6cM4-S78-L002_1																					99.02942505175007	5874782	83.13823767624056	43.0	91.0	18.181818181818183	2966180.0									
P212S6cM4-S78-L002_2																							81.40093866549334	44.0	91.0	27.27272727272727	2966180.0									
P212S6cM4-S78-L002_flagstat																												2741720	1933222							
P212S6cM4-S78-L002_postfilterflagstat																												1854375	1854375							
P212S6cM4-S78-L002_rmdup																														0.13274956217162873	0.08585518941941268	0.138328530259366	0.08517136070580252	19.671356308388642	56.0	60.66833306014793
P212S6cM5-S117-L001																		3.411082	3.245689	0.210058																
P212S6cM5-S117-L001_1																					98.37203064155295	2156370	22.64101205356384	54.0	91.0	9.090909090909092	1096028.0									
P212S6cM5-S117-L001_2																							22.26979229159791	57.0	91.0	27.27272727272727	1096028.0									
P212S6cM5-S117-L001_flagstat																												460118	15695							
P212S6cM5-S117-L001_postfilterflagstat																												14934	14934							
P212S6cM5-S117-L001_rmdup																														0.13886847905951505	0.08830436824800376	0.1285607196401799	0.08084696823869104	20.55859015667789	57.0	61.63283780416704
P212S6cM5-S117-L002																		3.319666	3.167262	0.219207																
P212S6cM5-S117-L002_1																					98.40718383176167	2216734	22.929038164541268	54.0	91.0	9.090909090909092	1126307.0									
P212S6cM5-S117-L002_2																							22.725446222456227	57.0	91.0	27.27272727272727	1126307.0									
P212S6cM5-S117-L002_flagstat																												472427	15683							
P212S6cM5-S117-L002_postfilterflagstat																												14963	14963							
P212S6cM5-S117-L002_rmdup																														0.13360323886639677	0.08932769158439116	0.13002274450341167	0.08279940857565303	20.42712752344496	57.0	61.49664542099882
P212S6dM4-S79-L001																		68.334907	65.668762	0.965604																
P212S6dM4-S79-L001_1																					99.18400626087362	8182014	79.2108950784596	43.0	91.0	18.181818181818183	4124664.0									
P212S6dM4-S79-L001_2																							78.75429089428427	44.0	91.0	27.27272727272727	4124664.0									
P212S6dM4-S79-L001_flagstat																												3766223	2573645							
P212S6dM4-S79-L001_postfilterflagstat																												2473232	2473232							
P212S6dM4-S79-L001_rmdup																														0.12966825586015096	0.08322655048692978	0.13126358901754565	0.07901329735979958	19.202651463089058	56.0	60.17883130426999
P212S6dM4-S79-L002																		68.412709	65.749834	0.96588																
P212S6dM4-S79-L002_1																					99.22326597875073	8225960	79.61310610689874	42.0	91.0	18.181818181818183	4145177.0									
P212S6dM4-S79-L002_2																							79.17238535055866	44.0	91.0	27.27272727272727	4145177.0									
P212S6dM4-S79-L002_flagstat																												3786697	2590582							
P212S6dM4-S79-L002_postfilterflagstat																												2489747	2489747							
P212S6dM4-S79-L002_rmdup																														0.13041529728114729	0.08448264802104048	0.1305645487656819	0.07911270675727658	19.15435520731114	56.0	60.11137707687398
P212S6eM4-S80-L001																		68.94471	65.990145	0.961545																
P212S6eM4-S80-L001_1																					99.36968114109496	7198608	83.32115844330413	45.0	91.0	18.181818181818183	3622135.0									
P212S6eM4-S80-L001_2																							82.59269581926053	45.0	91.0	27.27272727272727	3622135.0									
P212S6eM4-S80-L001_flagstat																												3271784	2255722							
P212S6eM4-S80-L001_postfilterflagstat																												2159055	2159055							
P212S6eM4-S80-L001_rmdup																														0.13298229311857931	0.08530183727034121	0.13052415210688592	0.07867224255096707	18.635007456612506	55.0	59.40463413170043
P212S6eM4-S80-L002																		68.992802	66.04871	0.962413																
P212S6eM4-S80-L002_1																					99.39736022588275	7373656	83.73032317070967	45.0	91.0	18.181818181818183	3709181.0									
P212S6eM4-S80-L002_2																							82.9245911892584	45.0	91.0	27.27272727272727	3709181.0									
P212S6eM4-S80-L002_flagstat																												3353631	2313764							
P212S6eM4-S80-L002_postfilterflagstat																												2215030	2215030							
P212S6eM4-S80-L002_rmdup																														0.13355249640435587	0.08530217987207936	0.13104797199917645	0.0806430617026816	18.64348004289858	55.0	59.406101094272195
P212aM3-S500-L001																		69.096384	66.893091	0.897207																
P212aM3-S500-L001_1																					98.00715213787423	2460546	70.21942629953811	40.0	91.0	18.181818181818183	1255289.0									
P212aM3-S500-L001_2																							70.01618619680805	40.0	91.0	18.181818181818183	1255289.0									
P212aM3-S500-L001_flagstat																												1203199	831367							
P212aM3-S500-L001_postfilterflagstat																												804857	804857							
P212aM3-S500-L001_rmdup																														0.12899106002554278	0.08789853796019025	0.11711827956989247	0.08765315739868049	22.94577128412918	65.0	69.61819342713044
P212aM3-S500-L002																		69.048429	66.881718	0.897026																
P212aM3-S500-L002_1																					98.01179130945091	2458418	70.6830030023626	40.0	91.0	18.181818181818183	1254144.0									
P212aM3-S500-L002_2																							70.18089770587257	40.0	91.0	18.181818181818183	1254144.0									
P212aM3-S500-L002_flagstat																												1202191	830094							
P212aM3-S500-L002_postfilterflagstat																												804046	804046							
P212aM3-S500-L002_rmdup																														0.12793245093564581	0.0851326341764343	0.1166365280289331	0.08750645327826535	22.984588048275064	65.0	69.63214156734693
P212aM3-S74-L001																		31.92848	30.779055	0.282158																
P212aM3-S74-L001_1																					98.932384341637	1668	16.251482799525505	49.0	91.0	18.181818181818183	843.0									
P212aM3-S74-L001_2																							13.641755634638201	49.0	91.0	36.36363636363637	843.0									
P212aM3-S74-L001_flagstat																												783	250							
P212aM3-S74-L001_postfilterflagstat																												241	241							
P212aM3-S74-L001_rmdup																														0.05454545454545454	0.09523809523809523	0.09259259259259259	0.05	23.342128325109535	68.0	71.81720430107531
P212aM3-S74-L002																		36.438679	35.141509	0.261745																
P212aM3-S74-L002_1																					99.34210526315789	1812	16.00877192982456	48.0	91.0	36.36363636363637	912.0									
P212aM3-S74-L002_2																							14.473684210526315	49.0	91.0	45.45454545454545	912.0									
P212aM3-S74-L002_flagstat																												848	309							
P212aM3-S74-L002_postfilterflagstat																												298	298							
P212aM3-S74-L002_rmdup																														0.09433962264150944	0.03333333333333333	0.12857142857142856	0.038461538461538464	27.186208578357387	72.0	76.60230547550432
P212bM3-S501-L001																		62.888672	60.518044	0.887424																
P212bM3-S501-L001_1																					98.28141605068888	2491428	66.77867379145607	43.0	91.0	18.181818181818183	1267497.0									
P212bM3-S501-L001_2																							66.7780342056189	43.0	91.0	27.27272727272727	1267497.0									
P212bM3-S501-L001_flagstat																												1219086	766667							
P212bM3-S501-L001_postfilterflagstat																												737767	737767							
P212bM3-S501-L001_rmdup																														0.12704269899841855	0.08533973095707309	0.11633203981778302	0.08755644756648269	23.048132919801613	66.0	70.63574505873024
P212bM3-S501-L002																		62.979311	60.599335	0.886849																
P212bM3-S501-L002_1																					98.27523782871906	2486336	67.13950455745609	43.0	91.0	18.181818181818183	1264986.0									
P212bM3-S501-L002_2																							66.75193992498875	43.0	91.0	27.27272727272727	1264986.0									
P212bM3-S501-L002_flagstat																												1216147	765921							
P212bM3-S501-L002_postfilterflagstat																												736977	736977							
P212bM3-S501-L002_rmdup																														0.12628106443809106	0.08504247833176007	0.11617997242762251	0.08707607699358387	23.01895198803673	66.0	70.51556224899375
P212bM3-S75-L001																		23.557692	22.836538	0.147368																
P212bM3-S75-L001_1																					98.95615866388309	948	11.48225469728601	51.0	91.0	18.181818181818183	479.0									
P212bM3-S75-L001_2																							12.317327766179545	51.0	91.0	45.45454545454545	479.0									
P212bM3-S75-L001_flagstat																												416	98							
P212bM3-S75-L001_postfilterflagstat																												95	95							
P212bM3-S75-L001_rmdup																														0.19047619047619047	0.06666666666666667	0.2	0.07692307692307693	23.661239721521376	69.5	74.75714285714285
P212bM3-S75-L002																		22.556391	21.553885	0.162791																
P212bM3-S75-L002_1																					99.11894273127753	900	12.334801762114537	51.0	91.0	27.27272727272727	454.0									
P212bM3-S75-L002_2																							12.555066079295159	51.0	91.0	36.36363636363637	454.0									
P212bM3-S75-L002_flagstat																												399	90							
P212bM3-S75-L002_postfilterflagstat																												86	86							
P212bM3-S75-L002_rmdup																														0.21739130434782608	0.0	0.1875	0.13333333333333333	21.740685771676386	66.0	72.18110236220473
P212cM3-S502-L001																		52.217585	50.522277	0.937579																
P212cM3-S502-L001_1																					96.99278430481772	3108578	72.78198778576063	42.0	91.0	18.181818181818183	1602479.0									
P212cM3-S502-L001_2																							72.42544666137886	42.0	91.0	27.27272727272727	1602479.0									
P212cM3-S502-L001_flagstat																												1516244	791746							
P212cM3-S502-L001_postfilterflagstat																												766041	766041							
P212cM3-S502-L001_rmdup																														0.12549630206305956	0.09271010679461383	0.1175304654235795	0.08953026063908114	22.69261262065351	63.0	68.16038343972275
P212cM3-S502-L002																		52.371867	50.711348	0.937208																
P212cM3-S502-L002_1																					97.02334511706508	3086528	73.43471182526088	42.0	91.0	18.181818181818183	1590611.0									
P212cM3-S502-L002_2																							72.7827853522342	42.0	91.0	27.27272727272727	1590611.0									
P212cM3-S502-L002_flagstat																												1505312	788360							
P212cM3-S502-L002_postfilterflagstat																												763364	763364							
P212cM3-S502-L002_rmdup																														0.12999690114657578	0.0912296841459675	0.11760782570031125	0.09026652922986306	22.685337281656423	63.0	68.17551392951181
P246	42.625287356321856	11.227210754774212	0.40707226200372476	0.08037508372404555	0.010580027764808674	0.0012422733187642278	0	0.138	100.0	8281.0	8281.0	1.13	6	6	0	0	0																			
P246M2-S273-L001																		5.973282	5.446589	0.937535																
P246M2-S273-L001_1																					94.20208354836758	1588038	68.61032234088054	52.0	86.0	27.27272727272727	842889.0									
P246M2-S273-L001_2																							67.80454663623708	52.0	91.0	27.27272727272727	842889.0									
P246M2-S273-L001_flagstat																												764203	45648							
P246M2-S273-L001_postfilterflagstat																												41623	41623							
P246M2-S273-L001_rmdup																														0.1109350237717908	0.05353728489483748	0.1283987915407855	0.05811965811965812	31.98060794167459	87.0	91.50768156424563
P246M2-S273-L002																		5.975214	5.463841	0.937399																
P246M2-S273-L002_1																					94.23697485736137	1596838	68.75465803928985	52.0	86.0	27.27272727272727	847246.0									
P246M2-S273-L002_2																							67.9925991528691	52.0	91.0	27.27272727272727	847246.0									
P246M2-S273-L002_flagstat																												768324	45909							
P246M2-S273-L002_postfilterflagstat																												41980	41980							
P246M2-S273-L002_rmdup																														0.10229007633587786	0.05204460966542751	0.12071535022354694	0.05912162162162162	31.856338484629383	88.0	91.67519889311599
P246S6aM4-S84-L001																		2.099074	1.783928	0.95224																
P246S6aM4-S84-L001_1																					97.47571280219795	4980504	64.65118538054813	54.0	91.0	27.27272727272727	2554741.0									
P246S6aM4-S84-L001_2																							63.599471898873155	55.0	91.0	36.36363636363637	2554741.0									
P246S6aM4-S84-L001_flagstat																												2248801	47204							
P246S6aM4-S84-L001_postfilterflagstat																												40117	40117							
P246S6aM4-S84-L001_rmdup																														0.10669456066945607	0.0525	0.10920770877944326	0.0737913486005089	32.2385357307558	73.0	80.5859375
P246S6aM4-S84-L002																		2.09386	1.781515	0.953333																
P246S6aM4-S84-L002_1																					97.47158824520427	5010334	65.19528568694862	54.0	91.0	27.27272727272727	2570151.0									
P246S6aM4-S84-L002_2																							63.96641776888284	55.0	91.0	36.36363636363637	2570151.0									
P246S6aM4-S84-L002_flagstat																												2261278	47348							
P246S6aM4-S84-L002_postfilterflagstat																												40285	40285							
P246S6aM4-S84-L002_rmdup																														0.10991379310344827	0.04785894206549118	0.10964912280701754	0.07105263157894737	32.32992945226663	73.0	80.91588785046693
P246S6aM5-S121-L001																		0.18039	0.058543	0.11747																
P246S6aM5-S121-L001_1																					98.67190142608894	1528558	7.442633871586395	56.0	91.0	9.090909090909092	774566.0									
P246S6aM5-S121-L001_2																							7.242785543850047	57.0	91.0	27.27272727272727	774566.0									
P246S6aM5-S121-L001_flagstat																												567104	1023							
P246S6aM5-S121-L001_postfilterflagstat																												332	332							
P246S6aM5-S121-L001_rmdup																														0.1016949152542373	0.06779661016949153	0.0547945205479452	0.06349206349206349	27.36356616794028	69.0	74.17620137299775
P246S6aM5-S121-L002																		0.172831	0.058752	0.093294																
P246S6aM5-S121-L002_1																					98.7032317719492	1575576	7.571161812475211	56.0	91.0	9.090909090909092	798138.0									
P246S6aM5-S121-L002_2																							7.440879612339273	57.0	91.0	27.27272727272727	798138.0									
P246S6aM5-S121-L002_flagstat																												583808	1009							
P246S6aM5-S121-L002_postfilterflagstat																												343	343							
P246S6aM5-S121-L002_rmdup																														0.013513513513513514	0.013513513513513514	0.08571428571428572	0.057971014492753624	31.2132088433744	70.0	76.77006507592195
P246S6bM4-S85-L001																		2.364401	2.032491	0.963178																
P246S6bM4-S85-L001_1																					97.87348243039766	4383628	69.73678403094183	54.0	91.0	27.27272727272727	2239436.0									
P246S6bM4-S85-L001_2																							68.85214659107046	55.0	91.0	18.181818181818183	2239436.0									
P246S6bM4-S85-L001_flagstat																												1981559	46852							
P246S6bM4-S85-L001_postfilterflagstat																												40275	40275							
P246S6bM4-S85-L001_rmdup																														0.06282722513089005	0.05333333333333334	0.07756232686980609	0.05448717948717949	30.771105919340005	71.0	78.5101567034246
P246S6bM4-S85-L002																		2.374547	2.032621	0.963086																
P246S6bM4-S85-L002_1																					97.91336974662283	4396606	70.0986941889542	54.0	91.0	27.27272727272727	2245151.0									
P246S6bM4-S85-L002_2																							69.00754857819388	55.0	91.0	18.181818181818183	2245151.0									
P246S6bM4-S85-L002_flagstat																												1985810	47154							
P246S6bM4-S85-L002_postfilterflagstat																												40364	40364							
P246S6bM4-S85-L002_rmdup																														0.06036745406824147	0.06354515050167224	0.07988980716253444	0.04487179487179487	30.811130735567602	71.0	78.48843930635829
P246S6bM5-S122-L001																		0.191122	0.060444	0.11336																
P246S6bM5-S122-L001_1																					98.80653079245164	1127922	8.468440598075361	56.0	91.0	9.090909090909092	570773.0									
P246S6bM5-S122-L001_2																							8.288854105389873	57.0	91.0	9.090909090909092	570773.0									
P246S6bM5-S122-L001_flagstat																												408640	781							
P246S6bM5-S122-L001_postfilterflagstat																												247	247							
P246S6bM5-S122-L001_rmdup																														0.0967741935483871	0.023255813953488372	0.08955223880597014	0.0	28.410662431638514	70.0	75.62318840579714
P246S6bM5-S122-L002																		0.188186	0.064801	0.121771																
P246S6bM5-S122-L002_1																					98.86212668607862	1156416	8.659023827013286	56.0	91.0	9.090909090909092	584863.0									
P246S6bM5-S122-L002_2																							8.601359994065263	57.0	91.0	9.090909090909092	584863.0									
P246S6bM5-S122-L002_flagstat																												418204	787							
P246S6bM5-S122-L002_postfilterflagstat																												271	271							
P246S6bM5-S122-L002_rmdup																														0.11538461538461539	0.06382978723404255	0.08955223880597014	0.10344827586206896	26.575988223627068	68.5	74.14973262032082
P246S6cM4-S86-L001																		0.308162	0.166816	0.678743																
P246S6cM4-S86-L001_1																					99.09555641079898	4186706	23.68256558449798	58.0	91.0	9.090909090909092	2112459.0									
P246S6cM4-S86-L001_2																							23.41659104918908	59.0	91.0	18.181818181818183	2112459.0									
P246S6cM4-S86-L001_flagstat																												1621549	4997							
P246S6cM4-S86-L001_postfilterflagstat																												2705	2705							
P246S6cM4-S86-L001_rmdup																														0.08571428571428572	0.0847457627118644	0.12217194570135746	0.0718232044198895	29.548347589683072	72.0	78.612244897959
P246S6cM4-S86-L002																		0.311563	0.175044	0.688244																
P246S6cM4-S86-L002_1																					99.11959990706887	4215172	24.168867373087267	58.0	91.0	9.090909090909092	2126306.0									
P246S6cM4-S86-L002_2																							23.855148783565568	59.0	91.0	18.181818181818183	2126306.0									
P246S6cM4-S86-L002_flagstat																												1632735	5087							
P246S6cM4-S86-L002_postfilterflagstat																												2858	2858							
P246S6cM4-S86-L002_rmdup																														0.09954751131221719	0.08522727272727272	0.11659192825112108	0.07692307692307693	29.518671092865198	72.0	78.09636363636344
P246S6cM5-S123-L001																		0.10552	0.032287	0.081818																
P246S6cM5-S123-L001_1																					98.9713271492421	2025276	7.189074791282408	55.0	91.0	9.090909090909092	1023163.0									
P246S6cM5-S123-L001_2																							7.065858386947809	57.0	91.0	27.27272727272727	1023163.0									
P246S6cM5-S123-L001_flagstat																												681388	719							
P246S6cM5-S123-L001_postfilterflagstat																												220	220							
P246S6cM5-S123-L001_rmdup																														0.125	0.1	0.12962962962962962	0.11363636363636363	26.106492591294614	66.0	71.30188679245278
P246S6cM5-S123-L002																		0.106093	0.034173	0.09205																
P246S6cM5-S123-L002_1																					99.01778878845084	2082354	7.413322044042943	55.0	91.0	9.090909090909092	1051505.0									
P246S6cM5-S123-L002_2																							7.308187991698716	57.0	91.0	27.27272727272727	1051505.0									
P246S6cM5-S123-L002_flagstat																												699386	742							
P246S6cM5-S123-L002_postfilterflagstat																												239	239							
P246S6cM5-S123-L002_rmdup																														0.041666666666666664	0.0625	0.125	0.09090909090909091	26.482002588017952	68.0	72.63478260869569
P384	40.50726817042607	46.94010482716355	15.674880508835152	6.090141422465064	0.8153039791049628	0.11905119304823851	0	1.1945	100.0	95041.0	95041.0	1.09	41	39	0	1	1																			
P384M2-S279-L001																		35.212837	33.743523	0.923529																
P384M2-S279-L001_1																					97.47054995943753	922742	61.08005663348518	49.0	86.0	18.181818181818183	473344.0									
P384M2-S279-L001_2																							60.45674917256499	48.0	91.0	18.181818181818183	473344.0									
P384M2-S279-L001_flagstat																												447760	157669							
P384M2-S279-L001_postfilterflagstat																												151090	151090							
P384M2-S279-L001_rmdup																														0.15064935064935064	0.06728538283062645	0.146448087431694	0.0708315002199736	18.368252511776166	61.0	63.92425914919083
P384M2-S279-L002																		35.129265	33.670471	0.922926																
P384M2-S279-L002_1																					97.51233465636452	921788	61.14771571631802	48.0	86.0	18.181818181818183	472652.0									
P384M2-S279-L002_2																							60.46256588551746	48.0	91.0	18.181818181818183	472652.0									
P384M2-S279-L002_flagstat																												447493	157201							
P384M2-S279-L002_postfilterflagstat																												150673	150673							
P384M2-S279-L002_rmdup																														0.14674512688488414	0.0700228832951945	0.1491672700941347	0.07572479446127217	18.42943709751118	61.0	63.92811285690309
P384S6aM4-S98-L001																		27.464056	26.321453	0.952132																
P384S6aM4-S98-L001_1																					98.29393778792449	2411052	61.255192229087505	49.0	91.0	18.181818181818183	1226450.0									
P384S6aM4-S98-L001_2																							60.61243823664705	52.0	91.0	18.181818181818183	1226450.0									
