Sample	total	unaligned	aligned	reads_total	retained	percent_aligned	discarded_m1	singleton_m1	discarded_m2	singleton_m2	full-length_cp	truncated_cp	aligned_total	unaligned_total	discarded_total	retained_reads
P187S6dM4-S72-L001_1	2175541	47869	2127672	4351082	2057645	97.79967373632581	183190	0	183190	0	1927057	0	4255344	95738	2293437	2057645
P187S6dM4-S72-L002_1	2187772	48002	2139770	4375544	2068344	97.80589567834308	184977	0	184977	0	1937246	0	4279540	96004	2307200	2068344
P187S6eM4-S73-L001_1	1401640	15194	1386446	2803280	1325833	98.91598413287292	96479	0	96479	0	1284489	0	2772892	30388	1477447	1325833
P187S6eM4-S73-L002_1	1408280	14893	1393387	2816560	1331738	98.94246882722186	96883	0	96883	0	1291056	0	2786774	29786	1484822	1331738
P187bM3-L001_1	1317524	453941	863583	1317524	1310185	65.54590276913362	7339	1310185	0	0	0	0	863583	453941	7339	0
P187bM3-S498-L001_1	1317524	30400	1287124	2635048	1349874	97.69264165206857	14119	0	14119	0	1256936	0	2574248	60800	1285174	1349874
P187bM3-S498-L002_1	1314506	30312	1284194	2629012	1346787	97.69403867308327	14143	0	14143	0	1253939	0	2568388	60624	1282225	1346787
P187cM3-L001_1	900699	265370	635329	900699	889736	70.53732712038095	10963	889736	0	0	0	0	635329	265370	10963	0
P187cM3-S499-L001_1	900699	12962	887737	1801398	904461	98.56089548228654	16606	0	16606	0	863725	0	1775474	25924	896937	904461
P187cM3-S499-L002_1	896833	12974	883859	1793666	900236	98.55335385740712	17028	0	17028	0	859374	0	1767718	25948	893430	900236
P187cM3-S68-L001_1	3257305	27724	3229581	6514610	3212472	99.14886693140495	87072	0	87072	0	3127994	0	6459162	55448	3302138	3212472
P187cM3-S68-L002_1	3266929	27394	3239535	6533858	3222015	99.16147550191633	86790	0	86790	0	3138263	0	6479070	54788	3311843	3222015
P212M2-S271-L001_1	1815980	20706	1795274	3631960	1835447	98.85978920472692	9162	4	9166	0	1778185	0	3590548	41412	1796513	1835443
P212M2-S271-L002_1	1848856	20631	1828225	3697712	1868249	98.88412077522533	9245	0	9245	0	1810973	0	3656450	41262	1829463	1868249
P212S6aM4-S76-L001_1	1587219	18429	1568790	3174438	1514275	98.83891258862198	96029	0	96029	0	1468105	0	3137580	36858	1660163	1514275
P212S6aM4-S76-L002_1	1592702	17925	1574777	3185404	1518905	98.87455405970483	96496	1	96497	0	1473506	0	3149554	35850	1666499	1518904
P212S6aM5-S115-L001_1	588398	9711	578687	1176796	279139	98.3495865043729	319441	117	319558	0	258658	0	1157374	19422	897657	279022
P212S6aM5-S115-L002_1	604476	9254	595222	1208952	285271	98.46908727559077	328930	97	329027	0	265724	0	1190444	18508	923681	285174
P212S6bM4-S77-L001_1	2976806	28469	2948337	5953612	2873274	99.04363939067578	141597	0	141597	0	2797144	0	5896674	56938	3080338	2873274
P212S6bM4-S77-L002_1	2990654	27809	2962845	5981308	2886581	99.07013649857188	141434	0	141434	0	2811859	0	5925690	55618	3094727	2886581
P212S6bM5-S116-L001_1	514328	7556	506772	1028656	325477	98.53089857056197	197391	84	197475	0	308313	0	1013544	15112	703179	325393
P212S6bM5-S116-L002_1	528306	7496	520810	1056612	333698	98.58112533266706	203178	60	203238	0	316498	0	1041620	14992	722914	333638
