Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14
D24-L001_rmdup	15.003984366106327	7.954593587191325	6.618830180474015	5.589985635132362	5.006180469715699	4.491607015781321	4.170655567117586	3.3156657235085483	3.4232407219630905	3.080520946736019	2.80574680622438	2.5329405024961127	2.7182435964453737	2.602335636642825
D24-L002_rmdup	14.79839320903441	8.049732665704829	6.632209867963863	5.681957938752921	4.906348417039616	4.431277643328048	4.134679572763686	3.363498037959478	3.3307732729698043	3.007125317016223	2.7584007653366287	2.6171137911231437	2.6366715045960327	2.529435647584247
D25-L001_rmdup	13.178294573643413	8.333333333333332	7.001795332136446	5.704697986577181	3.430531732418525	4.332755632582322	4.3478260869565215	3.875968992248062	3.9538714991762767	1.8487394957983194	2.941176470588235	2.44299674267101	1.7123287671232876	2.8257456828885403
D25-L002_rmdup	13.677811550151976	8.488964346349745	6.204379562043796	5.37261698440208	3.0249110320284696	4.593639575971731	4.401408450704225	3.6799999999999997	3.9215686274509802	1.8272425249169437	2.866779089376054	2.4115755627009645	1.1864406779661016	2.677165354330709
D51-L001_rmdup	19.894465360329647	11.27794295097466	9.909132443271233	9.187219865295654	8.376162717165098	7.333379600712518	6.54113537900075	5.585497824038288	4.913030866253398	4.249769209300328	3.701136978884678	3.66333738246277	3.308378535885596	3.089180724215616
D51-L002_rmdup	20.04156975305587	11.17617139525363	9.916186885412952	9.118661586721633	8.508935716190983	7.436149881276423	6.3875511949232635	5.635181579255382	4.881974828498892	4.12091475012969	3.835604510427097	3.4820222295387198	3.228383670162488	3.0331606332582624
D62-L001_rmdup	20.49513266416071	11.133559299393898	8.755558668020589	7.644836064221243	6.823651016683625	5.735588871963441	4.712263485444655	3.906665092390342	3.4703196347031966	3.026035892980196	2.5921219822109274	2.390554768795025	2.1933785376456	2.1429211871245406
D62-L002_rmdup	20.47932084728711	11.099607581197295	8.773775089841353	7.693197976257399	6.770841749753568	5.694618272841051	4.777214911936764	3.8999940684500864	3.5190836252123328	3.0360759018975476	2.6079674602225147	2.4244943197561653	2.1831654367861844	2.1712744436952125
D71-L001_rmdup	17.527839573572308	9.009219139208104	6.942482541829974	6.146924854713129	5.3317931042242535	4.711703181131503	4.007416563658838	3.5024621434933865	3.163830563571832	2.8894810911159685	2.633597800132178	2.550458592396632	2.399373425049377	2.291665957787071
D71-L002_rmdup	17.475139308323122	8.951601532383144	6.88150497764967	6.18755655344089	5.310313698939292	4.718075924394737	3.9804622517962693	3.508044395894863	3.1325012401495504	2.8665455968374687	2.6194981543914824	2.5553777478312134	2.3810420181872316	2.281464890297116
D72-L001_rmdup	15.76812253563846	9.614634998723066	7.761561931673004	7.034392883449487	6.510872281929518	6.106785162072184	5.455859492186434	4.863723015096089	4.557751802518996	4.074762015323891	3.71104560608596	3.3871140079068276	3.079278439725754	2.9414482804145488
D72-L002_rmdup	15.760374493927126	9.636175613424838	7.785360268751601	7.03406613760383	6.629757206409416	6.128604342665643	5.508156439833459	4.852502998955202	4.450780895599767	4.046018614270941	3.714178223473399	3.3763721130204623	3.110571405695375	2.957608494188048
D75-L001_rmdup	16.67610878647226	8.730042362302703	6.965062493849031	6.177224210079447	5.388158633861364	4.724190111950131	3.9712544226084847	3.4586254271321377	2.931376923187634	2.6923408288102006	2.398589957055813	2.2328703634488014	2.144748324877601	2.03908210437631
