Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14
D24-L001_rmdup	16.82303724462857	8.728949818058728	6.983549860329003	5.992738546893485	5.745208935183301	4.738878143133462	4.382470119521913	3.9649164964556047	3.4870095761444904	3.1102284011916583	3.2090646170912405	3.0711579976375707	2.9714706122782637	2.9624306304148202
D24-L002_rmdup	16.731517509727624	8.844544032469454	6.883203559510568	6.046416938110749	5.862489829129373	4.577361187003489	4.333663203034802	3.908220878548833	3.523002421307506	3.0498744169357734	3.1184288831581033	3.0403199477636305	3.041357543960323	2.9582967865401484
D25-L001_rmdup	13.819875776397517	10.21069692058347	7.011070110701106	6.126126126126126	5.47008547008547	5.272108843537415	4.377104377104377	2.2033898305084745	3.061224489795918	2.4350649350649354	3.1897926634768736	1.794453507340946	2.8475711892797317	2.842809364548495
D25-L002_rmdup	13.744075829383887	9.8546042003231	6.728971962616822	6.0	5.423728813559322	5.47945205479452	4.599659284497445	2.1739130434782608	3.103448275862069	2.4390243902439024	3.3707865168539324	1.6474464579901154	2.6622296173044924	2.9310344827586206
D51-L001_rmdup	22.31652260950256	11.864089775561098	10.862826143115473	9.34236046693732	9.118057842324594	8.16307695857319	7.038856434767215	5.9902962908153015	5.201518628944038	4.686200499008381	4.325133736260159	3.9149061899837494	3.593307535227952	3.2655740623296285
D51-L002_rmdup	22.382816208973804	12.080244221543829	10.762220920393153	9.346268008397885	9.20504003929677	8.015267175572518	7.052121965844234	5.9819114613635165	5.3617951989364325	4.753834695221338	4.295635677761908	3.88171747688364	3.612872488855111	3.3292646054267125
D62-L001_rmdup	22.172952268709487	11.827650880835956	9.840854510914369	7.984533271642678	7.228993357838395	6.243314207915978	5.24873986412448	4.6168576643427786	3.7370587879154806	3.285241959723475	2.997842518972255	2.816637521858606	2.46842887210598	2.392740515567862
D62-L002_rmdup	22.23797917128296	11.9069205197945	9.92246946448166	8.02139037433155	7.20815128895481	6.245737113904316	5.216027601348702	4.570033402735129	3.8063540090771557	3.270423213533201	3.0435503565129567	2.790690394578266	2.5368667524694133	2.4260104598083374
D71-L001_rmdup	19.636533268506778	9.54752233495924	7.584056543499094	6.500277103598524	5.62993908540599	5.154110221106641	4.437428405764308	3.822622765453371	3.4999884183043735	3.1465952132850363	2.930967478351563	2.8013870717113383	2.628145258762773	2.544585943604436
D71-L002_rmdup	19.692694666767633	9.519902333768668	7.550687018310466	6.480576735168074	5.707709396554686	5.13152396202761	4.390411516948462	3.8096653371114764	3.4892678780150885	3.1088323780807725	2.950492804651969	2.820945945945946	2.632067684688403	2.542235804674245
D72-L001_rmdup	17.84125875065504	10.150924378663696	8.410627500881537	7.382454537668788	6.953274107841656	6.333732557167925	5.841361766616151	5.168224419217567	4.650951714122711	4.336008615605529	3.946687370600414	3.756752000216605	3.339307612489388	3.0776187689524925
D72-L002_rmdup	17.777717947337244	10.012842122160686	8.411617950534389	7.322923998448655	6.983039611071211	6.377327529863304	5.933269316598818	5.10969641404424	4.641680019801722	4.202545983447246	3.9250009724977635	3.750287702576461	3.271326033568066	3.098081506037731
D75-L001_rmdup	18.32006121828582	9.314307412514738	7.4490980316293465	6.2123262862916295	5.736134116720766	4.92835308689674	4.227153922220956	3.645498236843123	3.2222697518593475	2.8391858676747495	2.5640469738030713	2.477556585352957	2.3420014821380026	2.166305555049797
D75-L002_rmdup	18.277960411275092	9.333739630403317	7.4522200421481	6.227332768322758	5.736201682172763	4.958652640510942	4.2346773719192985	3.6092693078301776	3.185422022510748	2.8653160926787264	2.549499218433393	2.474197171805801	2.3318663516202123	2.170245482602691
P187M2-S270-L001_rmdup	15.601846880704393	8.389996542583843	6.103849382419954	5.652759084791386	4.608346351260879	4.3149569667364505	3.4854958398920624	3.2346792826493562	2.7216954824316786	2.236386000223639	2.3888520238885205	2.377196935556557	2.2919448153093014	2.185612300933553
P187M2-S270-L002_rmdup	15.609704192381358	8.378100354326207	6.380192834186406	5.5994581169564235	4.548942233914283	4.487917146144994	3.546820286908393	3.1853387149558197	2.8084252758274824	2.4441964285714284	2.4240429965997587	2.2940445248050625	2.0872446162341247	2.1164021164021163
P187M2-S67-L001_rmdup	15.348101265822786	8.287568647029456	5.892487939352171	5.720823798627003	4.420067752863365	4.65587044534413	3.4454470877768664	2.923304319264247	2.880052364588447	2.1082337317397077	2.2034459907223325	2.0432088427399098	1.8994596364827248	2.112676056338028
P187M2-S67-L002_rmdup	15.753962027302684	8.201680672268907	5.95846101464079	5.673874166802146	4.606216782090514	4.3456708526107075	3.5932091643316304	2.9954663212435233	2.70935960591133	2.337920742828718	2.4169681025978296	2.0853858784893267	2.0659124446630592	1.8039591315453383
P187S6aM4-S69-L001_rmdup	14.960375222383956	8.015927977839334	6.126482213438735	5.016153715354531	4.615384615384616	4.17915711514724	3.6585365853658534	2.7818930041152266	2.620967741935484	2.3976023976023977	2.4766751484308736	2.053872053872054	2.202116763400478	2.209944751381215
P187S6aM4-S69-L002_rmdup	14.878166854929805	7.957880200241671	6.370343710635234	5.129081894340913	4.719864176570458	4.172560113154172	3.6993042592906837	2.94069328076228	2.681992337164751	2.371805578753967	2.4818504136417356	2.1386800334168754	2.141036533559898	2.3115577889447234
P187S6aM5-S112-L001_rmdup	13.125695216907676	8.552229688454489	6.515058389674247	4.49438202247191	4.134212103055722	4.21760391198044	3.1668696711327646	2.959953569355775	2.5056947608200453	2.0238095238095237	2.413184226015303	1.2549914432401599	2.2465088038858534	2.190201729106628
P187S6aM5-S112-L002_rmdup	12.641083521444695	8.062575210589651	6.674757281553398	6.099033816425121	4.493087557603687	4.562043795620438	3.624856156501726	2.460850111856823	3.2381997804610316	2.2146507666098807	1.9036954087346025	1.527614571092832	2.480270574971815	3.045977011494253
P187S6bM4-S70-L001_rmdup	14.192708333333334	7.278742762613731	6.197066721751704	5.113863363963244	4.753272910372608	4.03814935064935	3.3813525410164065	2.934317916828605	2.4936186923227956	2.139661544446606	2.2868217054263567	2.3484119345524546	1.9388954171562869	2.1708822943636727
P187S6bM4-S70-L002_rmdup	13.846153846153847	7.073623427510826	6.3878013599835155	5.103857566765579	4.72077139413419	3.9878542510121453	3.534551231135822	2.822892498066512	2.5495195136301234	2.2463206816421377	2.197378565921357	2.382782475019216	1.925722145804677	2.2266401590457257
P187S6bM5-S113-L001_rmdup	14.691943127962084	8.261617900172118	3.9285714285714284	4.084967320261438	3.6799999999999997	4.098360655737705	3.436988543371522	2.6813880126182967	3.2352941176470593	2.5848142164781907	1.7432646592709984	1.848998459167951	1.3029315960912053	1.6181229773462782
