sample	lat
SAMEA5818830	46.942756
SAMEA5818829	46.942756
SAMEA5818828	46.942756
SAMEA5818826	46.942756
SAMEA5818825	46.942756
SAMEA5818822	46.942756
SAMEA5818821	46.942756
SAMEA5818818	46.942756
SAMEA5818817	48.9467562
SAMEA5818815	52.2199774
SAMEA5818811	48.9467562
SAMEA5818809	48.9467562
SAMEA5818808	48.9467562
SAMEA5818806	55.44821700000001
SAMEA5818805	48.5908946
SAMEA5818803	52.84554920000001
SAMEA5818801	51.4893335
SAMEA5818800	51.4893335
SAMEA5818799	51.4893335
SAMEA5818798	51.4893335
SAMEA5054093	43.64878510000001
SAMEA5054092	59.9133301
SAMEA5054090	51.6017723
SAMEA5054089	51.6017723
SAMEA3937654	55.44821700000001
SAMEA3937653	41.8523094
SAMEA3713715	44.0580563
SAMEA3713714	44.0580563
SAMEA3713713	44.0580563
SAMEA3713712	44.0580563
SAMEA3713711	44.0580563
SAMN00715800	51.4893335
SAMEA7293136	41.9808038
SAMEA7293135	43.39761470000001
SAMEA7313236_38	47.6222451
SAMEA7313243_45	47.6222451
SAMEA7313246_49	54.24556
SAMEA6651390	54.82269205
SAMEA6637004	54.82269205
SAMEA6637002	54.82269205
D51	56.23564835
D62	55.37842625
D71	55.37842625
D72	55.37842625
D75	55.37842625
P187	56.23564835
P212	56.23564835
P387	56.23564835
R36	55.37842625
