# BEAST v1.10.4
# Generated Sun Apr 18 17:59:35 EDT 2021 [seed=1618783175060]
# -overwrite beast.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
15000	-30824.070303914807	-211.44866347629116	-30612.621640438516	105.0	1410.0	459.9969352722711	7684.165109080203	0.20553065369436457	0.31480047430738634	0.290118160748301	0.1895507112499479	1.0	1.0	-30612.621640438516	0.0	-176.81108722926982
16000	-30823.40469218965	-211.2053253685611	-30612.19936682109	105.0	1410.0	381.86580645550555	7413.45131764058	0.20562616604103065	0.3099878906450479	0.2945121914881238	0.18987375182579755	1.0	1.0	-30612.19936682109	0.0	-176.97176729062068
17000	-30827.830794166275	-211.0157761570836	-30616.81501800919	105.0	1410.0	438.19716591729576	7264.035291289132	0.20751470226639068	0.3018251378749077	0.29930829739366754	0.19135186246503402	1.0	1.0	-30616.81501800919	0.0	-176.76793349504038
18000	-30826.00837316439	-211.57438332378797	-30614.433989840603	105.0	1410.0	480.13437010922325	7682.42501667023	0.20454657060838113	0.31978023054028687	0.28523040252386556	0.19044279632746627	1.0	1.0	-30614.433989840603	0.0	-176.89533923223868
19000	-30824.081635975486	-211.40905581951745	-30612.67258015597	105.0	1410.0	507.3450059210577	7204.598979966851	0.20544086585749335	0.314244888878127	0.2884372016378145	0.19187704362656477	1.0	1.0	-30612.67258015597	0.0	-177.06437598380464
20000	-30825.635853373708	-211.94236762808916	-30613.693485745618	105.0	1410.0	325.82606194315736	7399.089776723563	0.20478427486101705	0.31774878967552667	0.2839173378874538	0.1935495975760022	1.0	1.0	-30613.693485745618	0.0	-177.87927085758028
21000	-30824.913143596157	-212.0384986786553	-30612.8746449175	105.0	1410.0	562.6755159754966	7247.698454480009	0.20915951940466987	0.30820049810723094	0.293516161783437	0.18912382070466177	1.0	1.0	-30612.8746449175	0.0	-177.5542421262907
22000	-30825.83835800673	-211.4253815098778	-30614.412976496853	105.0	1410.0	425.16492008078615	7806.569947314503	0.20262944088251997	0.313410865424796	0.28791865137260503	0.1960410423200784	1.0	1.0	-30614.412976496853	0.0	-176.770284771575
23000	-30823.91231006227	-210.81846756348025	-30613.09384249879	105.0	1410.0	394.61559180477354	7025.502957000277	0.20631584042835574	0.310754209508098	0.29237563436666925	0.19055431569687659	1.0	1.0	-30613.09384249879	0.0	-176.87702800821668
24000	-30827.73374995443	-211.2384898352475	-30616.495260119184	105.0	1410.0	478.7076954499742	7280.977868669453	0.20256339188387182	0.31466977748262875	0.2968550167585483	0.18591181387495093	1.0	1.0	-30616.495260119184	0.0	-176.8881295853186
25000	-30827.08165158292	-211.70101451634744	-30615.380637066573	105.0	1410.0	377.29197216563534	8002.401910162139	0.2013635580557001	0.3151644701464956	0.2942954509262255	0.18917652087157838	1.0	1.0	-30615.380637066573	0.0	-177.01414079960173
26000	-30824.34996860935	-211.22692321932524	-30613.123045390024	105.0	1410.0	433.6309220340202	7536.724996438652	0.20480969447074757	0.30866408818864605	0.2954794936302031	0.19104672371040285	1.0	1.0	-30613.123045390024	0.0	-176.76616357904786
27000	-30823.94355609765	-211.33001491209242	-30612.613541185558	105.0	1410.0	489.11935270480546	7297.124513694891	0.20340626131462217	0.31436297404745894	0.2880974803978911	0.19413328424002707	1.0	1.0	-30612.613541185558	0.0	-176.94473141834175
28000	-30825.843810242062	-210.88200257798655	-30614.961807664076	105.0	1410.0	414.2322140190304	7144.217778351515	0.21200178186826016	0.29899150449885314	0.30318409499193233	0.18582261864095345	1.0	1.0	-30614.961807664076	0.0	-176.79093897781092
29000	-30825.34043033102	-212.8268829146816	-30612.51354741634	105.0	1410.0	625.5037542310798	7209.90599672846	0.20747653708411337	0.3089607807561893	0.2958119791604575	0.1877507029992389	1.0	1.0	-30612.51354741634	0.0	-178.26838579057102
30000	-30827.26144830748	-212.82426952656422	-30614.437178780914	105.0	1410.0	301.47434482199526	7669.723823371745	0.20394221968309134	0.30960904177451576	0.292139858558759	0.19430887998363297	1.0	1.0	-30614.437178780914	0.0	-178.62067562903502
31000	-30825.438156898985	-212.9934336928422	-30612.444723206143	105.0	1410.0	298.14701616439305	7741.914440206205	0.20313496648237211	0.31615152829487725	0.28816768932745745	0.19254581589529224	1.0	1.0	-30612.444723206143	0.0	-178.74390490788363
32000	-30824.22689161083	-211.14893046438246	-30613.077961146446	105.0	1410.0	443.12753969940957	7405.833685226742	0.21047400900188346	0.3085862561898565	0.2947716210852884	0.18616811372297054	1.0	1.0	-30613.077961146446	0.0	-176.77281693940947
33000	-30826.579825769193	-210.70651108896047	-30615.873314680233	105.0	1410.0	474.32468282702786	6699.166476960196	0.2030821397544011	0.3166891698206761	0.2897571200646225	0.19047157036029902	1.0	1.0	-30615.873314680233	0.0	-176.86711361389123
34000	-30825.367726458277	-210.95612052100154	-30614.411605937275	105.0	1410.0	470.89029281886246	7009.313843200427	0.19888667495759726	0.318115731626726	0.28892790056624434	0.194069692849431	1.0	1.0	-30614.411605937275	0.0	-176.8518743402875
35000	-30823.410776506866	-210.9912304481398	-30612.419546058725	105.0	1410.0	388.48711388650696	7198.705966076723	0.20643526586094157	0.31030725780265955	0.2930944071024454	0.19016306923395213	1.0	1.0	-30612.419546058725	0.0	-176.9184280194173
36000	-30826.14280804466	-211.79657001458787	-30614.346238030073	105.0	1410.0	464.19867737612987	8103.768025076848	0.20563141109202246	0.3091598748397555	0.29550084135107413	0.18970787271714643	1.0	1.0	-30614.346238030073	0.0	-176.8254180973508
37000	-30826.200803034913	-213.40486793010226	-30612.795935104812	105.0	1410.0	647.7659315164981	7530.272015952461	0.19930843111316407	0.31937743285737263	0.2875163115296018	0.19379782449985988	1.0	1.0	-30612.795935104812	0.0	-178.54797489983147
38000	-30825.013069529974	-211.56368722502447	-30613.44938230495	105.0	1410.0	409.35382535941267	7988.119690418657	0.20576517740318753	0.31362541210089034	0.29096419628674847	0.1896452142091721	1.0	1.0	-30613.44938230495	0.0	-176.80617003935214
39000	-30825.995424930814	-211.06529909822876	-30614.930125832587	105.0	1410.0	452.23649286910387	7259.724703095702	0.20388481034054806	0.3072955817879564	0.29727845914863776	0.19154114872285607	1.0	1.0	-30614.930125832587	0.0	-176.7895112776674
40000	-30824.89800324181	-211.45494989706236	-30613.44305334475	105.0	1410.0	460.6408313427502	7687.712701983326	0.20565956350809214	0.31381232997045677	0.2936891457997739	0.18683896072167552	1.0	1.0	-30613.44305334475	0.0	-176.81316565446306
41000	-30827.20236167975	-211.37636832343077	-30615.825993356317	105.0	1410.0	489.112344449593	7353.2648397058965	0.19433954338101608	0.32239189853672984	0.28228932448638555	0.200979233595867	1.0	1.0	-30615.825993356317	0.0	-176.94469029187107
42000	-30825.81787424855	-211.5019828091124	-30614.315891439437	105.0	1410.0	375.94470017688656	7733.121377287816	0.19692530051282714	0.3244627422654655	0.2842290522324008	0.194382904989305	1.0	1.0	-30614.315891439437	0.0	-177.0275199833215
43000	-30826.445875011294	-211.29605229194703	-30615.149822719348	105.0	1410.0	489.6220766648977	7251.501594718402	0.1932975503493803	0.3278371613760357	0.27738058356263423	0.20148470471194863	1.0	1.0	-30615.149822719348	0.0	-176.94769184764405
44000	-30825.55769430386	-212.57446390116567	-30612.983230402697	105.0	1410.0	562.4115626755934	7920.08271370842	0.20547603067506154	0.3129047593261454	0.29151703312217836	0.19010217687661352	1.0	1.0	-30612.983230402697	0.0	-177.55154000640005
45000	-30826.851485574993	-211.4885578826853	-30615.362927692306	105.0	1410.0	355.7588013662793	7467.898036446126	0.20899777577310913	0.3119038817420573	0.2958482119835902	0.18325013050124206	1.0	1.0	-30615.362927692306	0.0	-177.28143255506959
46000	-30824.122055789223	-211.47734689226598	-30612.644708896958	105.0	1410.0	507.7279513390821	7282.161107772492	0.19965907086891682	0.32003009969433865	0.2855151278098729	0.19479570162687032	1.0	1.0	-30612.644708896958	0.0	-177.06714766972775
47000	-30824.12527364156	-211.3842693226893	-30612.74100431887	105.0	1410.0	374.92143954982987	7575.31315232431	0.2102679981019671	0.30485795239543395	0.2984309562307669	0.18644309327183073	1.0	1.0	-30612.74100431887	0.0	-177.0379608545103
48000	-30826.275011397767	-211.1753675416195	-30615.09964385615	105.0	1410.0	426.9491579997531	7489.145707744706	0.20743535756963416	0.316750809400337	0.2849706259151442	0.1908432071148833	1.0	1.0	-30615.09964385615	0.0	-176.76858819702665
49000	-30823.618964055913	-210.89961378378175	-30612.71935027213	105.0	1410.0	402.1014262822875	7146.6810941953945	0.20134424146997962	0.3173080172297501	0.2881089490493364	0.19323879225093263	1.0	1.0	-30612.71935027213	0.0	-176.83619048808805
50000	-30824.80817758498	-211.66312068249337	-30613.145056902486	105.0	1410.0	485.21840158833487	7747.1547998139595	0.1991059618362188	0.3213433561639539	0.2833529477248032	0.1961977342750231	1.0	1.0	-30613.145056902486	0.0	-176.92245798798635
51000	-30828.27932223711	-211.87767285004702	-30616.401649387066	105.0	1410.0	571.9856755835241	6925.496049242606	0.21487177018405704	0.3028608942197209	0.2969524626884742	0.18531487290774656	1.0	1.0	-30616.401649387066	0.0	-177.65139952912278
52000	-30827.09464643592	-211.3499967346673	-30615.74464970125	105.0	1410.0	372.13417920709867	7505.180334221154	0.20686529803504922	0.3044793836009502	0.30446590828829584	0.18418941007570336	1.0	1.0	-30615.74464970125	0.0	-177.06764501536517
53000	-30824.455862351067	-210.90147114859911	-30613.55439120247	105.0	1410.0	386.97315970426985	7083.7200848628045	0.21120546230627296	0.3050877434416626	0.29822038333665124	0.18548641091541188	1.0	1.0	-30613.55439120247	0.0	-176.92981556199265
54000	-30825.84266260572	-211.1429653098242	-30614.699697295895	105.0	1410.0	361.6433463574282	7133.77581466154	0.21427488652417653	0.2985333860357554	0.30344639061864637	0.1837453368214204	1.0	1.0	-30614.699697295895	0.0	-177.19650286935763
55000	-30824.96614832253	-211.4826264095584	-30613.483521912975	105.0	1410.0	365.1632083948794	7590.959200983781	0.20282281528080678	0.31999475494870244	0.2866537591104958	0.19052867065999374	1.0	1.0	-30613.483521912975	0.0	-177.1501504140429
56000	-30825.219860855934	-211.54659031822945	-30613.673270537704	105.0	1410.0	481.3103227458424	7636.705114998284	0.19867064389367525	0.3175648278804527	0.28914436145881295	0.19462016676705782	1.0	1.0	-30613.673270537704	0.0	-176.90141530773943
57000	-30824.962051313396	-211.81128455700787	-30613.15076675639	105.0	1410.0	341.4367118896427	7610.4590454729905	0.20650975226781312	0.31411814210307604	0.28758708053466975	0.19178502509443968	1.0	1.0	-30613.15076675639	0.0	-177.53039466422533
58000	-30827.015056781518	-213.13682240754574	-30613.878234373973	105.0	1410.0	287.5967080634556	7427.841925614454	0.21326167384865877	0.30138671033910125	0.3033268853263606	0.18202473048587803	1.0	1.0	-30613.878234373973	0.0	-179.17501528649578
59000	-30828.1374216978	-211.6609203626507	-30616.47650133515	105.0	1410.0	472.50220249714755	7859.706508529183	0.2067722420396738	0.3063418252029144	0.2929522116249031	0.19393372113250745	1.0	1.0	-30616.47650133515	0.0	-176.8588899333887
60000	-30825.528035531363	-212.21686864764598	-30613.311166883715	105.0	1410.0	542.4884036993114	7757.297856347135	0.20686439651554767	0.31429880585102166	0.2901267242003408	0.18871007343308852	1.0	1.0	-30613.311166883715	0.0	-177.35666796868603
61000	-30824.092811336668	-211.2888924451807	-30612.803918891488	105.0	1410.0	417.56402025755915	7640.562362859477	0.1992616113451043	0.319589916409715	0.28655311670116246	0.19459535554401694	1.0	1.0	-30612.803918891488	0.0	-176.78272046982704
62000	-30823.622823336456	-211.37731890520507	-30612.245504431252	105.0	1410.0	350.13965326317134	7242.609575094815	0.2030442515565101	0.3156044182841509	0.28939802208937965	0.1919533080699581	1.0	1.0	-30612.245504431252	0.0	-177.3716816646479
63000	-30825.981767691883	-212.31053175961623	-30613.671235932266	105.0	1410.0	531.4420247633103	8033.885664444665	0.20278323205550078	0.317041153928748	0.28849520732633754	0.19168040668941247	1.0	1.0	-30613.671235932266	0.0	-177.25707916335742
64000	-30829.150587663662	-211.9165409645014	-30617.23404669916	105.0	1410.0	402.45328843188116	8445.867701150059	0.20997040363865896	0.3038923729247394	0.30071908241134604	0.1854181410252543	1.0	1.0	-30617.23404669916	0.0	-176.83452264590335
65000	-30825.416850413134	-210.88810279481652	-30614.52874761832	105.0	1410.0	420.1064070042315	7150.556237643107	0.21365203300376304	0.2990183887236013	0.3047259882617334	0.18260359001090082	1.0	1.0	-30614.52874761832	0.0	-176.77760176348707
66000	-30824.782485265216	-211.2276397993098	-30613.554845465907	105.0	1410.0	368.04288419385495	7311.797735094894	0.2033765141704409	0.3157229102200058	0.29277433867262975	0.18812623693692182	1.0	1.0	-30613.554845465907	0.0	-177.11460289633595
67000	-30824.802879322346	-211.31385340664573	-30613.4890259157	105.0	1410.0	489.8839490155985	7270.364259741677	0.20815506863208913	0.3103832689743664	0.28997788969421556	0.19148377269932712	1.0	1.0	-30613.4890259157	0.0	-176.94924198500493
68000	-30824.063605741507	-211.65001483642513	-30612.413590905082	105.0	1410.0	351.7743267265806	7603.9825920849735	0.20121898586138243	0.3192659343844644	0.28587009491590215	0.1936449848382493	1.0	1.0	-30612.413590905082	0.0	-177.34447332139638
69000	-30823.958680041786	-211.53828021391516	-30612.42039982787	105.0	1410.0	509.27602240053056	7338.408751280837	0.20104094937480074	0.31937840223706015	0.28511331747065755	0.1944673309174801	1.0	1.0	-30612.42039982787	0.0	-177.0784542295879
70000	-30824.691830809265	-211.3583454612455	-30613.33348534802	105.0	1410.0	402.80359840534504	7710.284740639274	0.20642920974455015	0.31534692937073594	0.28841949517944476	0.18980436570526782	1.0	1.0	-30613.33348534802	0.0	-176.8328840226464
71000	-30825.11045428902	-211.78103584576644	-30613.329418443253	105.0	1410.0	531.4385580611578	7364.577694140796	0.20484729477359703	0.31208383003449125	0.288727136956426	0.19434173823548442	1.0	1.0	-30613.329418443253	0.0	-177.25704894318696
72000	-30829.249910660168	-212.10239484525798	-30617.14751581491	105.0	1410.0	526.9356649440065	7824.937502125465	0.21066289819828252	0.2981863953061919	0.30902778862997143	0.18212291786555265	1.0	1.0	-30617.14751581491	0.0	-177.2183686622881
73000	-30828.27602123352	-211.96174463784445	-30616.314276595676	105.0	1410.0	505.42821452287126	7913.591209791396	0.19820926343787723	0.3151917364545256	0.29041605069607734	0.19618294941151826	1.0	1.0	-30616.314276595676	0.0	-177.05065458725454
74000	-30825.75978342295	-211.16587227216843	-30614.59391115078	105.0	1410.0	467.42634541530305	7283.05509606253	0.20428998882969643	0.3187916530818023	0.2819706456069501	0.19494771248154952	1.0	1.0	-30614.59391115078	0.0	-176.83763415521577
75000	-30825.628399847436	-212.7001226947727	-30612.928277152663	105.0	1410.0	585.6036541848011	7711.41936194589	0.20865363346208096	0.3106546916259978	0.2927543157178919	0.18793735919402768	1.0	1.0	-30612.928277152663	0.0	-177.79957128653666
76000	-30824.45310241996	-210.75696947719197	-30613.69613294277	105.0	1410.0	420.9623312398072	6996.1914518050235	0.2029270115253046	0.31259637805878737	0.2920106472740837	0.19246596314182252	1.0	1.0	-30613.69613294277	0.0	-176.77609827056628
77000	-30824.121029018574	-211.38250224129965	-30612.738526777273	105.0	1410.0	408.7024132835401	7753.45500526317	0.20545842898632993	0.30995562924413195	0.29548197252599284	0.18910396924354356	1.0	1.0	-30612.738526777273	0.0	-176.80849957695537
78000	-30825.07453163259	-211.8183881544167	-30613.25614347817	105.0	1410.0	525.4363476927845	7487.044556031675	0.211285263147617	0.3067223507648885	0.2947637645977532	0.18722862148973948	1.0	1.0	-30613.25614347817	0.0	-177.20574778328492
79000	-30825.517600525152	-211.11034632406322	-30614.40725420109	105.0	1410.0	398.2343913049388	7387.600444313296	0.210869139970554	0.309743937255271	0.2953606409945253	0.18402628177964805	1.0	1.0	-30614.40725420109	0.0	-176.85599186196757
80000	-30824.63459086164	-211.08428528092966	-30613.55030558071	105.0	1410.0	455.46824557810146	7264.132465274727	0.2127275374904174	0.30260851624069024	0.2991558631623534	0.1855080831065371	1.0	1.0	-30613.55030558071	0.0	-176.7977046441163
81000	-30828.491309892335	-211.43310939539646	-30617.05820049694	105.0	1410.0	532.7475297059074	6936.313059974644	0.20422960052680145	0.3111764453953082	0.2875998185471233	0.19699413553076525	1.0	1.0	-30617.05820049694	0.0	-177.2685070227096
82000	-30825.30196386307	-211.4570214935071	-30613.84494236956	105.0	1410.0	357.2545101176439	7451.620747166492	0.20728915840818468	0.3119156513319658	0.29581555661571524	0.1849796336441326	1.0	1.0	-30613.84494236956	0.0	-177.25893910369632
83000	-30824.60776702958	-211.10945609390978	-30613.498310935673	105.0	1410.0	469.33832229623846	7201.3718502622105	0.20349161087244041	0.311018767054135	0.2919614406558224	0.19352818141760064	1.0	1.0	-30613.498310935673	0.0	-176.84535179785723
84000	-30825.08431019806	-211.13197563669974	-30613.95233456136	105.0	1410.0	360.14351301741686	7101.257954974702	0.20709982657580267	0.3141450336327718	0.29124708340769	0.18750805638373402	1.0	1.0	-30613.95233456136	0.0	-177.217250430395
85000	-30824.255765621598	-210.94042325041832	-30613.31534237118	105.0	1410.0	433.5800984575091	7188.7613840721115	0.20343258722729232	0.3114535001446357	0.29172397070153305	0.1933899419265376	1.0	1.0	-30613.31534237118	0.0	-176.76615921672177
86000	-30826.712421956945	-210.94382919003215	-30615.76859276691	105.0	1410.0	447.37382316640134	7139.963814700774	0.21058056638088418	0.301726513480251	0.30611919490004613	0.1815737252388174	1.0	1.0	-30615.76859276691	0.0	-176.77939483667413
87000	-30826.271907385068	-212.5224066063815	-30613.749500778686	105.0	1410.0	611.9716481153564	7069.853059193655	0.20571581311301262	0.3146790273152396	0.2916432904007413	0.18796186917100535	1.0	1.0	-30613.749500778686	0.0	-178.10424276364316
88000	-30828.48183094822	-211.20715117208056	-30617.274679776143	105.0	1410.0	542.6087245111958	6561.366299409211	0.20272484724579673	0.3133140127052517	0.2908032254168853	0.1931579146320651	1.0	1.0	-30617.274679776143	0.0	-177.35778784162375
89000	-30826.052677522086	-213.31744395472043	-30612.735233567364	105.0	1410.0	658.9303267189082	7227.598587932036	0.20050237542635926	0.317377749330697	0.28847015886174715	0.19364971638119535	1.0	1.0	-30612.735233567364	0.0	-178.6920679871503
90000	-30827.025861847524	-210.8241555073598	-30616.201706340165	105.0	1410.0	426.0565297757977	7068.359229514396	0.21288829847878657	0.29646748484886726	0.3073975694717686	0.18324664720057632	1.0	1.0	-30616.201706340165	0.0	-176.76938038722324
91000	-30825.110824744625	-210.85812788307197	-30614.252696861553	105.0	1410.0	430.7140988670621	7098.891548223103	0.20989607823898546	0.304512073638721	0.3019471329360144	0.18364471518627787	1.0	1.0	-30614.252696861553	0.0	-176.76647231790423
92000	-30824.643085187072	-211.13062802676328	-30613.51245716031	105.0	1410.0	351.63657063770484	6976.440419554272	0.20763247355361397	0.30842980816600923	0.2945122361182246	0.18942548216215083	1.0	1.0	-30613.51245716031	0.0	-177.34673557027054
93000	-30825.61460735536	-212.7841120919757	-30612.830495263384	105.0	1410.0	300.68073178827854	7586.452228255224	0.20963661358385102	0.3085508860937424	0.29599564867269296	0.18581685164971218	1.0	1.0	-30612.830495263384	0.0	-178.6495412586662
94000	-30825.55854016911	-211.05941193346354	-30614.499128235646	105.0	1410.0	441.9113869368052	7302.301316783034	0.20885136889304007	0.30788766863685996	0.3002702051793453	0.18299075729075334	1.0	1.0	-30614.499128235646	0.0	-176.77133280782198
95000	-30823.962268851064	-211.4823319688624	-30612.479936882202	105.0	1410.0	353.19948362154196	7420.07323090149	0.20454356157017228	0.31295307735753775	0.2892461101516132	0.19325725092067547	1.0	1.0	-30612.479936882202	0.0	-177.3213965858613
96000	-30825.166503113873	-210.88780995840435	-30614.27869315547	105.0	1410.0	468.71638462636776	6946.060039278721	0.20104363506788564	0.3203373291105834	0.28633319540672936	0.1922858404148004	1.0	1.0	-30614.27869315547	0.0	-176.84280260120158
97000	-30823.810372383	-211.35114134108787	-30612.45923104191	105.0	1410.0	470.38974810029964	7486.332552711214	0.2068753145022224	0.31208696610249814	0.29350393066455777	0.18753378873072032	1.0	1.0	-30612.45923104191	0.0	-176.84974563561423
98000	-30824.78796175008	-210.88739888187848	-30613.900562868203	105.0	1410.0	377.73688493970104	7002.067898415638	0.21103994644989654	0.3051683795337175	0.2973294686356357	0.18646220538074884	1.0	1.0	-30613.900562868203	0.0	-177.00981351486305
99000	-30829.03901154378	-211.5522302254624	-30617.48678131832	105.0	1410.0	447.12088377929865	7893.87613050128	0.20834538765081936	0.3091047974697956	0.28801290133140406	0.1945369135479795	1.0	1.0	-30617.48678131832	0.0	-176.77894317627786
100000	-30824.32342943648	-211.78213850438408	-30612.5412909321	105.0	1410.0	538.389315229547	7275.357801672212	0.20304858295933687	0.31366595637257394	0.2926470494152234	0.19063841125286424	1.0	1.0	-30612.5412909321	0.0	-177.31895918542372
101000	-30826.255539736023	-211.13999160743703	-30615.115548128586	105.0	1410.0	380.8558808129872	7326.312831203265	0.21332181678957615	0.29680892732353437	0.30599479178857875	0.18387446409830932	1.0	1.0	-30615.115548128586	0.0	-176.9807251516975
102000	-30824.42382122262	-211.0402648831814	-30613.38355633944	105.0	1410.0	357.415512600296	6957.374538154612	0.2040991356667833	0.31484149518112287	0.289123733740554	0.19193563541153844	1.0	1.0	-30613.38355633944	0.0	-177.25655521016427
103000	-30825.454148803376	-210.90494646973264	-30614.549202333645	105.0	1410.0	442.3703022848147	7116.22032393609	0.20726611186741029	0.3071255222456131	0.29312091855833733	0.19248744732863782	1.0	1.0	-30614.549202333645	0.0	-176.77187161120818
104000	-30824.03919982463	-211.7320273210575	-30612.307172503573	105.0	1410.0	340.9390833808476	7501.501887526565	0.20628584494279922	0.31068266648552817	0.2952841186283471	0.18774736994332422	1.0	1.0	-30612.307172503573	0.0	-177.5402024170046
105000	-30826.26062173418	-212.93756651418047	-30613.32305522	105.0	1410.0	640.1663691370946	7096.916107534647	0.21004123406410521	0.30741588468075115	0.29644635960538784	0.18609652164975457	1.0	1.0	-30613.32305522	0.0	-178.4513070668607
106000	-30824.277904454088	-211.85511485031904	-30612.42278960377	105.0	1410.0	333.5142533800735	7487.652480750326	0.20346992202969666	0.31662100242990465	0.2862646483327912	0.19364442720760625	1.0	1.0	-30612.42278960377	0.0	-177.6965251337486
107000	-30824.39780762492	-211.30162181486446	-30613.096185810053	105.0	1410.0	410.71802568550976	7653.713454844246	0.19995230576143175	0.317465945158823	0.2865463241163705	0.19603542496337378	1.0	1.0	-30613.096185810053	0.0	-176.80151973173517
108000	-30825.58359854833	-211.52047597534832	-30614.063122572985	105.0	1410.0	470.3158276191358	7698.42127006036	0.21303419467479712	0.30093994282432746	0.30054078781835025	0.18548507468252404	1.0	1.0	-30614.063122572985	0.0	-176.84943328297882
109000	-30824.568859327355	-211.39665795774218	-30613.172201369613	105.0	1410.0	520.2276602953362	7044.083549080831	0.20352752930477153	0.3157221984921346	0.2902879308820099	0.19046234132108292	1.0	1.0	-30613.172201369613	0.0	-177.16293855676625
110000	-30825.13238839476	-211.45585779284738	-30613.67653060191	105.0	1410.0	524.4893302099592	7062.954541836211	0.21052224864053254	0.3059907454442223	0.29858255195843497	0.18490445395680905	1.0	1.0	-30613.67653060191	0.0	-177.19784388905597
111000	-30824.77136485133	-210.80949878025024	-30613.96186607108	105.0	1410.0	390.6749514451282	6996.77284645959	0.20963121526767545	0.30473602651295845	0.29993678981554406	0.18569596840382097	1.0	1.0	-30613.96186607108	0.0	-176.90279428939843
112000	-30824.857523604045	-211.15078024437582	-30613.706743359668	105.0	1410.0	500.1328153448359	6977.041211514632	0.20708902246455366	0.31213292678626053	0.2928250151440914	0.1879530356050934	1.0	1.0	-30613.706743359668	0.0	-177.01409349985693
