# BEAST v1.10.4
# Generated Sun Apr 18 17:59:35 EDT 2021 [seed=1618783175060]
# -overwrite beast.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-65214.515547860894	-10824.073600564687	-54390.44194729621	105.0	1410.0	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	1.0	-54390.44194729621	0.0	-10824.0
1000	-30825.18719160904	-211.84175460164116	-30613.345437007396	105.0	1410.0	501.71679178076374	7801.807580254735	0.20099264363817954	0.3150637640735158	0.2908845767675347	0.19305901552076998	1.0	1.0	-30613.345437007396	0.0	-177.0248191461147
2000	-30824.910251428395	-210.76440209602418	-30614.14584933237	105.0	1410.0	425.1091887640953	7000.120241560803	0.20865899803973512	0.30462235026689116	0.2983577004652222	0.18836095122815155	1.0	1.0	-30614.14584933237	0.0	-176.77034507635997
3000	-30823.393778913807	-211.02080665936975	-30612.372972254438	105.0	1410.0	385.0984073892988	7213.238837084101	0.20487331911314935	0.31434820493545684	0.29050380545356586	0.19027467049782792	1.0	1.0	-30612.372972254438	0.0	-176.94457406861466
4000	-30825.460586659985	-210.77090836163646	-30614.68967829835	105.0	1410.0	433.0504710206076	6991.07549717219	0.20668584987932112	0.30550606151060344	0.29878059785519867	0.18902749075487657	1.0	1.0	-30614.68967829835	0.0	-176.76613417020843
5000	-30824.59290188884	-211.01774416456533	-30613.575157724274	105.0	1410.0	389.65338124407214	7236.872284066321	0.20809261286131292	0.3044769647806282	0.30072000170801655	0.18671042065004226	1.0	1.0	-30613.575157724274	0.0	-176.90997421961964
6000	-30826.547263098564	-211.14719525360317	-30615.40006784496	105.0	1410.0	502.82877202007955	6945.459170829628	0.2101605749536731	0.30334039740500013	0.30330323534571063	0.18319579229561603	1.0	1.0	-30615.40006784496	0.0	-177.0324569601589
7000	-30827.16178077055	-211.88299325093146	-30615.27878751962	105.0	1410.0	472.42319389946454	8151.214364865444	0.2078286414120824	0.3052939773845762	0.2982805976857679	0.18859678351757347	1.0	1.0	-30615.27878751962	0.0	-176.8585403860097
8000	-30823.313451660357	-211.1248487356873	-30612.18860292467	105.0	1410.0	401.5408701149046	7416.089638216595	0.2037433572095993	0.31423050165771843	0.28892582862008404	0.19310031251259824	1.0	1.0	-30612.18860292467	0.0	-176.83889319023623
9000	-30825.741183649792	-212.82755667737308	-30612.91362697242	105.0	1410.0	617.7984376698167	7338.681270379391	0.21123438238652228	0.3055439768008867	0.2973604419424383	0.18586119887015257	1.0	1.0	-30612.91362697242	0.0	-178.1743336819959
10000	-30824.582505836664	-211.13346956499623	-30613.449036271668	105.0	1410.0	458.3503486465185	7305.796202243688	0.203164822442567	0.31818555424771167	0.28936765882185916	0.189281964487862	1.0	1.0	-30613.449036271668	0.0	-176.80596943119187
11000	-30827.03567368739	-211.60396328300578	-30615.431710404384	105.0	1410.0	335.1283813465145	7220.166262260843	0.2036799121922782	0.32197666739868924	0.2835569953535672	0.19078642505546525	1.0	1.0	-30615.431710404384	0.0	-177.66091239736195
12000	-30824.45944847674	-210.69395948442295	-30613.765488992318	105.0	1410.0	421.7931135970649	6922.668313245107	0.20784274754505055	0.3091017426724662	0.29391617884483556	0.18913933093764754	1.0	1.0	-30613.765488992318	0.0	-176.77474342823237
13000	-30824.760705390803	-212.22138833569772	-30612.539317055107	105.0	1410.0	309.3329400757415	7227.997678779148	0.20788552397415072	0.30797908484119896	0.29513531482755395	0.18900007635709637	1.0	1.0	-30612.539317055107	0.0	-178.35187811544267
14000	-30826.430959638838	-211.166164030717	-30615.26479560812	105.0	1410.0	417.2175275352739	7487.846880770827	0.19876784445996373	0.32243062122821997	0.27806656320360945	0.20073497110820662	1.0	1.0	-30615.26479560812	0.0	-176.78349460513047
