# BEAST v1.10.4
# Generated Sun Apr 18 17:57:17 EDT 2021 [seed=1618783036968]
# -overwrite beast.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(All)	age(All)	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.diffusionRate	treeLikelihood	branchRates	location.traitLikelihood	coalescent
0	-131354.65441470707	-13588.916082068086	-117765.73833263898	164.0	153.0	1881.0	164.0	153.0	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	0.3333333333333333	1.0349218614020883	0.30009475554740533	0.048241777519592244	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	40.6763256075709	-54329.05388684986	-195.6011502714073	-63436.68444578911	-11445.00594
1000	-14998.019645941567	-1048.9838342649853	-13949.035811676582	161.27216446330195	150.27216446330195	1556.5307490777877	161.27216446330195	150.27216446330195	18.021628601166082	3.6903041404157735	0.23995643182348203	0.2708736130403581	0.25693167671478107	0.2322382784213787	0.15288792180266467	8.208470040659467	0.003144436836673241	3.2772131184849997	-0.06906407488091335	6.077438067520773E-5	9.79346685986218E-6	9.79346685986218E-6	9.69692469612342E-6	-0.40342162613850124	19652.77072679545	-19848.432863904247	-19848.432863904247	123171.52158047899	79.19026896355824	-13671.702816770467	-195.6011502714073	-277.33299490611586	-530.3205852264053
2000	-11027.770763278351	-687.2837696678138	-10340.486993610537	198.06926184043974	187.06926184043974	1691.7725142587087	198.06926184043974	187.06926184043974	254.64651167531972	3.7061490689083216	0.24501475999630845	0.27005388424588017	0.2647301764281754	0.22020117932963587	0.13007940316123623	11.03424775733775	6.396784140427397E-4	3.8623530293512967	-0.05569739409204957	3.942587385195489E-5	2.8534996071528935E-6	2.8534996071528935E-6	9.400978523048505E-6	-0.14821788876826097	25933.781551476295	-7871.73753111921	-7871.737531119211	108761.23133840541	74.88520649420613	-10054.937465940295	-195.6011502714073	-285.5495276702424	-174.1204050613524
3000	-10809.119272452039	-669.6530239934606	-10139.466248458579	185.56070900104388	174.56070900104388	1642.2904513176672	185.56070900104388	174.56070900104388	372.00911578601244	3.4383023620388724	0.2474043358409118	0.26975309870819125	0.2623406005835721	0.2205019648673248	0.1238925356722711	8.464649761544784	6.795797299077007E-4	4.586649097275339	-0.09557130295982497	7.278161082948384E-5	1.817634665246441E-5	1.817634665246441E-5	1.9951069724571714E-5	-0.476993731760977	17786.593944819004	-16204.409175588442	-16204.40917558844	64885.59141666075	57.25748089316987	-9862.427775276734	-195.6011502714073	-277.0384731818453	-171.7059516641574
4000	-10719.281995832942	-617.2836225710639	-10101.998373261878	189.54814778270372	178.54814778270372	1678.296096381433	189.54814778270372	178.54814778270372	358.25349409132536	3.3842652801454456	0.25427667801579196	0.2643880320535868	0.26647190390790676	0.2148633860227144	0.09458118131006521	5.440867608313227	6.557360544702294E-4	4.487978242413413	-0.12096051671181092	1.0239032664795059E-4	5.650414846194866E-6	5.650414846194866E-6	8.795871071434031E-6	-0.1882831444219209	10125.502154073421	-6504.56188271832	-6504.561882718319	117868.19799998251	70.55263984846873	-9827.569196514498	-195.6011502714073	-274.42917674737987	-172.29062316264663
5000	-10696.929416247725	-597.5936507631202	-10099.335765484606	184.17872184155053	173.17872184155053	1677.256639600752	184.17872184155053	173.17872184155053	299.5945336147448	3.3985893652371306	0.24563419515347085	0.2572986420170218	0.25316294409031637	0.24390421873919088	0.08586662300686078	4.416165881905741	6.509263093713098E-4	4.998090435509342	-0.08744951831650663	8.195762636038319E-5	1.0317174720521613E-5	1.0317174720521613E-5	1.0465322556440188E-5	-0.3522814620754708	13930.195345558155	-13732.998528810496	-13732.998528810498	109092.26534597631	76.38407511728833	-9823.235782614971	-195.6011502714073	-276.09998286963577	-173.45572749778663
6000	-10645.788940079969	-571.0571247467609	-10074.731815333207	180.26786197353135	169.26786197353135	1642.3299745101006	180.26786197353135	169.26786197353135	287.989628909923	3.685129287653937	0.2521306358084822	0.26535825138290714	0.2459618936026067	0.2365492192060038	0.07504065820586885	3.274540724061955	6.666253686346326E-4	4.666179968761571	-0.09614767579999182	7.217779928028621E-5	6.899276402933807E-6	6.899276402933807E-6	1.740823112049975E-5	-0.19463655278598352	14400.20419364921	-5707.127180410523	-5707.127180410522	59705.95407941197	78.15232203618557	-9808.156422545027	-195.6011502714073	-266.5753927881789	-172.47761837801974
7000	-10626.96760853837	-562.0477366620727	-10064.919871876298	186.21833930839458	175.21833930839458	1685.480920681927	186.21833930839458	175.21833930839458	309.4205914905537	3.72595046279732	0.23529488271803028	0.26968944172057846	0.2586341795028415	0.23638149605854963	0.06602147969939712	2.602594660674051	6.624293719417917E-4	4.401929936519814	-0.12333677723111607	2.866741042244488E-4	9.299752328075805E-7	9.299752328075805E-7	2.0192239158467928E-5	-0.012223199771265954	3488.8028398800266	-160.68055690973455	-160.68055690973452	49531.37792639959	48.923356225695265	-9798.331383158125	-195.6011502714073	-266.5884887181733	-173.42038757675968
8000	-10605.118292529165	-547.1332492355864	-10057.985043293578	188.7418914270567	177.7418914270567	1657.7787758234304	188.7418914270567	177.7418914270567	356.87899759380105	3.3484417670903635	0.2413299264505141	0.26217372407977707	0.2601148534111591	0.23638149605854963	0.06231758596939617	2.4175300970234956	6.583076673091044E-4	4.652948162601968	-0.10629717942966377	1.452368574738918E-4	-3.132680678829317E-6	-3.132680678829317E-6	2.7604621816824724E-5	0.0494751142741016	6902.199694563091	783.2886741958839	783.2886741958838	36314.70845525637	52.230113911415174	-9800.968343681136	-195.6011502714073	-257.01669961244215	-172.0934667831597
9000	-10593.032478703437	-540.5498941949514	-10052.482584508485	189.1502428789442	178.1502428789442	1671.461470745928	189.1502428789442	178.1502428789442	342.95131477658936	3.473792299415593	0.23791371462842867	0.2667856345867983	0.2549284649958379	0.24037218578893502	0.05630182745447801	2.057909076380036	6.287785826768598E-4	3.859836410452342	-0.1399082415064966	3.059907031076667E-4	-1.8331191643986394E-5	-1.8331191643986394E-5	3.64123469787748E-5	0.1736649780363334	3369.7017496108424	1696.4204090222324	1696.4204090222324	28317.246570994048	49.40025792817837	-9799.104837171522	-195.6011502714073	-253.37774733696284	-172.44882513037226
