# BEAST v1.10.4
# Generated Sun Apr 18 17:57:17 EDT 2021 [seed=1618783036968]
# -overwrite beast.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(All)	age(All)	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.diffusionRate	treeLikelihood	branchRates	location.traitLikelihood	coalescent
10000	-10595.409712997372	-543.6786515364864	-10051.731061460887	191.40065842953499	180.40065842953499	1662.1934640962572	191.40065842953499	180.40065842953499	377.0261187983274	3.5416285839944757	0.2369422185091549	0.26190955343947603	0.2623459676947349	0.2388022603566341	0.05622465157794164	2.0188679301501846	6.519144705421296E-4	4.574096064447848	-0.11169608383027156	3.134490187725491E-4	-4.004979003081333E-6	-4.004979003081333E-6	3.580980376377876E-5	0.037802090341146524	3194.8769433489915	357.3159786059427	357.31597860594275	27965.27592269911	46.19472939911059	-9802.234540967132	-195.6011502714073	-249.4965204937538	-172.24660932222824
11000	-10595.516464387143	-545.23223933262	-10050.284225054524	189.52305074850977	178.52305074850977	1643.2386464804947	189.52305074850977	178.52305074850977	389.28233579968753	3.320972971119052	0.2523920350696016	0.2654539335845869	0.25912367635182587	0.2230303549939855	0.05577581020155381	1.9271143909525632	6.595823974109531E-4	4.517758583050358	-0.09652733344672054	2.2570057837268805E-4	-1.1918912621881142E-6	-1.1918912621881142E-6	4.499864318747819E-5	0.011826890896889312	4431.268639749147	117.37221387143802	117.37221387143802	22226.001142951056	45.177984012742385	-9805.092655584227	-195.6011502714073	-245.19156947029637	-171.9001759867959
12000	-10582.842681462449	-538.61525128284	-10044.22743017961	195.52290135824995	184.52290135824995	1660.3476214717055	195.52290135824995	184.52290135824995	359.4033997443941	3.25586029793418	0.24118675608096007	0.2777743478966541	0.2393573823383807	0.241681513684005	0.05459059287053024	2.0336223130471573	6.260423108056488E-4	4.43482922842613	-0.09153996776667497	1.9317970835343014E-4	3.596806685798329E-5	3.596806685798329E-5	4.6654003918825806E-5	-0.378871452576717	6044.122021820649	-4659.736929694281	-4659.736929694281	25026.8279537034	48.04295817291496	-9797.202669143287	-195.6011502714073	-247.0247610363214	-171.95169091317814
13000	-10580.267581492171	-530.8924398588823	-10049.375141633289	201.11889421720522	190.11889421720522	1666.0252733655475	201.11889421720522	190.11889421720522	291.92846309663014	3.310336397325846	0.23830333567619622	0.27542581929953863	0.25397806883037144	0.23229277619389355	0.05230196018315638	1.8144751129538081	6.613559865429496E-4	4.213578576631363	-0.09884322750931573	3.7402858991543176E-4	-3.1199421204505665E-5	-3.1199421204505665E-5	4.4068331044123394E-5	0.24301374357045866	2841.392794753117	2011.6443829513178	2011.6443829513178	24116.233023512646	52.62204224743273	-9804.564086659291	-195.6011502714073	-244.81105497399778	-172.20833465254356
14000	-10575.511333608623	-527.254924688036	-10048.256408920588	203.69626658345672	192.69626658345672	1678.608129963413	203.69626658345672	192.69626658345672	492.321190881152	3.310336397325846	0.23394528816186277	0.26072478224627554	0.25155001200393756	0.2537799175879239	0.05038644749161612	1.8263070507405692	6.432067153329865E-4	4.233854705208668	-0.08635752012743446	3.1983386929460185E-4	-4.888401433391644E-5	-4.888401433391644E-5	9.160552052749565E-5	0.2855905371534161	3404.2832062489015	1816.6484737241617	1816.6484737241617	11885.80190101547	42.39393055252998	-9808.27355987307	-195.6011502714073	-239.98284904751682	-173.32758924732815
15000	-10569.483499250706	-528.3265221746939	-10041.156977076012	197.1450908443267	186.1450908443267	1685.8487086626637	197.1450908443267	186.1450908443267	501.3564661993464	3.052417970100809	0.2477546609140389	0.2517759365414148	0.26340215141067613	0.23706725113386995	0.049552927873768325	1.6906043665737918	6.461893895739922E-4	4.192878886387274	-0.08432998549544003	3.6763293286649597E-4	3.590195393339591E-5	3.590195393339591E-5	6.965584893888037E-5	-0.22435310583218387	2864.2758810823098	-1476.3024541612456	-1476.3024541612456	15117.210668482625	47.79559771091506	-9803.034146644606	-195.6011502714073	-238.12283043140582	-173.71662256849493
16000	-10575.343683680234	-516.4651095524329	-10058.8785741278	195.24347007268634	184.24347007268634	1677.248770849613	195.24347007268634	184.24347007268634	341.7621282248824	3.2556279120410903	0.24847810473896753	0.2698516673470704	0.24541468737543648	0.23625554053852546	0.04799909364022386	1.7209833064765436	6.020026564740586E-4	4.253981442468343	-0.08366629814511592	4.017227485819382E-4	-4.0490599334511856E-5	-4.0490599334511856E-5	9.271566007269687E-5	0.2098043290915824	2603.8969580045023	1137.1687194185529	1137.1687194185529	11282.286532539698	40.708336539192764	-9818.511521354845	-195.6011502714073	-240.3670527729563	-172.5709588873002
17000	-10552.92884343142	-505.71801654238595	-10047.210826889035	197.66420450111497	186.66420450111497	1677.4137806428148	197.66420450111497	186.66420450111497	375.5275997199225	3.277855924578212	0.2503744736976449	0.2645285315089095	0.24798226355308006	0.23711473124036542	0.04309281362075468	1.4021572334206245	6.36606460163419E-4	4.197726540393849	-0.07749124649698487	4.241702503705424E-4	-6.830852968176583E-5	-6.830852968176583E-5	9.237578071403603E-5	0.34508475503343444	2676.2399166653304	1978.9820705167062	1978.982070516706	12288.733548219829	45.731098239066256	-9805.908724885168	-195.6011502714073	-241.3021020038677	-172.11028428012523
18000	-10551.288824373309	-501.2651022179635	-10050.023722155345	194.424462982471	183.424462982471	1648.098597796084	194.424462982471	183.424462982471	337.98411684223527	3.5067788976244207	0.23761860257869724	0.26911175766770484	0.25020825386946033	0.24306138588413742	0.042454393700532146	1.3325972840867	6.761593651077446E-4	4.050858015580225	-0.07703711604788271	1.9055522108355117E-4	-3.8930205555382694E-5	-3.8930205555382694E-5	9.727559250786769E-5	0.2859396150259879	5715.097344932562	2287.2121224987804	2287.2121224987804	11195.425388846217	52.368248071836106	-9806.18493920315	-195.6011502714073	-243.83878295219472	-171.7036016505288
19000	-10548.519949539996	-501.99922613288913	-10046.520723407106	199.80285836296915	188.80285836296915	1658.548983263854	199.80285836296915	188.80285836296915	308.5992574474755	3.426066388025647	0.24074872487550986	0.26366734502748806	0.25370141761312637	0.24188251248387552	0.042403400679470585	1.328631548737633	6.823527717092113E-4	3.9948749865620883	-0.07691535099182646	2.2985210435622593E-4	8.93086017597033E-6	8.93086017597033E-6	1.224656198606462E-4	-0.05323067279781708	4362.986185822944	-318.1727216145511	-318.1727216145511	8188.759892202255	44.9304566754621	-9806.41203395234	-195.6011502714073	-240.10868945476673	-171.92760302460093
20000	-10544.913214902592	-498.6539919778125	-10046.259222924778	197.70068598860937	186.70068598860937	1630.4978990539903	197.70068598860937	186.70068598860937	407.51061326555566	3.619312821264528	0.23686849953628816	0.2726455953290902	0.254745954007676	0.23573995112694535	0.04147024316189899	1.1856810906922677	6.996543349825454E-4	4.061522648491298	-0.07056494383975678	1.485854556471217E-4	2.156072734034155E-5	2.156072734034155E-5	1.1296915849961309E-4	-0.1664160886581963	6921.8291319209675	-1321.0656128795733	-1321.0656128795733	9104.10548452054	50.29138010427836	-9804.336481116094	-195.6011502714073	-241.92274180868424	-171.18870140989281
21000	-10549.734063293146	-499.341739190646	-10050.3923241025	191.3608163291184	180.3608163291184	1623.2164166027578	191.3608163291184	180.3608163291184	530.8205825347457	3.756063700759567	0.24548464841325712	0.2518051770007167	0.25864027479991014	0.24406989978611582	0.03889898697845241	1.120800296567288	6.49287022681819E-4	3.772317030488255	-0.07105462686661798	2.8471942507447026E-4	1.3779161418148397E-5	1.3779161418148397E-5	5.697557528293068E-5	-0.10818570493760855	3553.8241054105906	-859.468566258249	-859.4685662582489	17759.23720091748	52.11186177187701	-9806.768402390127	-195.6011502714073	-243.6239217123727	-173.2115164072194
22000	-10537.112802453434	-499.0779334250685	-10038.034869028364	197.69660869409813	186.69660869409813	1669.3382130379628	197.69660869409813	186.69660869409813	269.0486772190652	3.4091191238094574	0.24149584596721735	0.24927773710914522	0.2546053322056412	0.25462108471799616	0.03553460718218698	0.987559674589591	6.377907768809936E-4	3.8651985076709616	-0.046017991014110644	1.6590335834624752E-4	2.5944098929427544E-5	2.5944098929427544E-5	1.2475491537853735E-4	-0.18033589102905517	6230.218679689048	-1295.6396089674877	-1295.6396089674874	8285.158136300244	53.06351737936534	-9797.340767661159	-195.6011502714073	-240.69410136720603	-173.31462819606912
23000	-10539.047434276117	-499.3259747040853	-10039.721459572032	193.395378799002	182.395378799002	1676.2129065999934	193.395378799002	182.395378799002	534.1470543957165	3.44458756402723	0.24415811300562854	0.2680843894182415	0.24805772919286004	0.23969976838326984	0.03412667638543415	0.8920201688805035	6.195869106181887E-4	3.9085469921847475	-0.0744635208858907	2.2079615528159015E-4	1.4782718301811045E-5	1.4782718301811045E-5	1.593326794626018E-4	-0.07881449876112319	4557.373522390648	-422.82831874076606	-422.82831874076606	6315.405950115574	47.57812657333198	-9798.887735764494	-195.6011502714073	-240.8337238075378	-174.08564174206862
24000	-10535.423601483692	-496.591008735196	-10038.832592748495	191.44296802470032	180.44296802470032	1692.5495967009474	191.44296802470032	180.44296802470032	527.9484795299136	3.72332270749579	0.2493965821039159	0.2680843894182415	0.24882790414722938	0.2336911243306131	0.03325152536906609	0.8745728866711122	6.323850124067451E-4	3.127422479925426	-0.08536206188470465	1.458222281035545E-4	-1.302875435449203E-5	-1.302875435449203E-5	1.587644123612608E-4	0.08562773392673281	6908.317605777248	566.9203302543532	566.9203302543532	6345.1642010880405	49.231088334042994	-9796.089694003544	-195.6011502714073	-242.74289874495196	-174.38846679032176
25000	-10532.027038768481	-487.4506639201524	-10044.57637484833	196.1788199490628	185.1788199490628	1700.4790092431572	196.1788199490628	185.1788199490628	323.03159868326276	3.86909869713222	0.2454915465970915	0.27345657749356217	0.244036485198249	0.23701539071109717	0.031213889740834014	0.7549905571018095	6.495232845875678E-4	2.594681462430265	-0.07512882919772598	2.950037647206392E-4	8.206112152492069E-6	8.206112152492069E-6	2.9496151657125696E-4	-0.027818966416341087	3392.4126196061943	-94.3801711749492	-94.3801711749492	3392.8985241973605	42.97200331177349	-9798.897619964346	-195.6011502714073	-245.67875488398315	-173.08381676110952
26000	-10536.252259498755	-486.6674465135333	-10049.584812985222	196.31092054749078	185.31092054749078	1703.8029227268185	196.31092054749078	185.31092054749078	518.6687206238112	3.214274861332706	0.2535418297509462	0.26253080995571365	0.2497888753433124	0.23413848495002754	0.030275534434247346	0.7115829042473317	6.599601765181388E-4	2.5369415241256936	-0.11400449676416752	2.0579738151365554E-4	3.512745470154083E-5	3.512745470154083E-5	1.782869567551933E-4	-0.18338633624890505	5028.251160510819	-990.7043570851063	-990.7043570851062	5804.131391658766	49.285937475971934	-9807.053759220255	-195.6011502714073	-242.53105376496686	-173.99491819745074
27000	-10526.544958774479	-485.8945468968099	-10040.650411877668	195.90103147005553	184.90103147005553	1700.4248886375735	195.90103147005553	184.90103147005553	345.7623906981309	3.3204867973501186	0.2473215666858937	0.248352797880245	0.26418052360853106	0.24014511182533	0.030275534434247346	0.7219591193614072	6.592555273366467E-4	2.582847383830224	-0.13410520376525217	3.464627866695819E-4	1.0198541178028369E-4	1.0198541178028369E-4	2.9601926810541673E-4	-0.31845624242594434	3212.0621563726754	-1106.6289156720572	-1106.6289156720572	3759.4174621649227	40.92433856603087	-9798.537026814189	-195.6011502714073	-242.1133850634793	-172.87254726581298
28000	-10521.001050695722	-481.1681803277078	-10039.832870368014	195.62890934371103	184.62890934371103	1675.754121482944	195.62890934371103	184.62890934371103	392.14061880950004	3.4429706648327407	0.24583938242283898	0.2595337468098112	0.2491583832663786	0.24546848750097094	0.030130420093278203	0.6942946587021614	6.732165119794223E-4	2.5303801875636918	-0.1418904462210882	2.73590340985612E-4	4.656814898278873E-5	4.656814898278873E-5	2.3952845440672942E-4	-0.18191145153861465	3780.1931018624978	-734.9297852201121	-734.929785220112	4317.751401567776	46.08983811434121	-9800.521986463371	-195.6011502714073	-239.31088390464407	-172.15781097950423
29000	-10513.947099139335	-478.7715096332198	-10035.175589506116	190.1227619590507	179.1227619590507	1670.5268928907435	190.1227619590507	179.1227619590507	336.47968849908256	3.6998713035104127	0.24451049648890053	0.2678274197739661	0.2529964237672578	0.23466565996987532	0.0279295455797129	0.6023236749155652	6.530137644529566E-4	2.428122460803221	-0.14181862180692115	2.153794429204654E-4	1.853084194626692E-5	1.853084194626692E-5	3.2353682743864237E-4	-0.070199038856574	4665.9620618428835	-267.24687319154054	-267.24687319154054	3106.145033082307	46.744794803815914	-9797.723265741262	-195.6011502714073	-237.45232376485345	-172.62535497658922
30000	-10518.843926034233	-475.49209259008825	-10043.351833444145	197.0624804151066	186.0624804151066	1696.50608542118	197.0624804151066	186.0624804151066	293.26140007847783	3.7677410225321255	0.2516579827682839	0.26847139790570484	0.2479933305815643	0.23187728874444669	0.02721214307025033	0.5745367595859824	6.726148406088165E-4	2.38155943920022	-0.15058593429645942	2.486142442412494E-4	-4.8671028047249265E-5	-4.8671028047249265E-5	3.183332468028924E-4	0.17300813176024446	4146.405102460181	633.957656210678	633.957656210678	3238.290003382807	45.572889782047476	-9802.661127428388	-195.6011502714073	-240.69070601575729	-173.58125312077536
31000	-10513.518719599328	-474.74205718516794	-10038.77666241416	190.38477638314694	179.38477638314694	1688.5712035485628	190.38477638314694	179.38477638314694	460.0775523958873	3.354234544341911	0.24924869767239444	0.2627793735787987	0.24235547023645718	0.24561645851234942	0.02665135644698074	0.5745367595859824	6.431116877433845E-4	3.5946141749133416	-0.12361751646155876	4.2213380046398117E-4	-3.9466299402047125E-5	-3.9466299402047125E-5	3.805291467269007E-4	0.09847078015904119	2392.112254579631	248.0961557204988	248.0961557204988	2653.6507015239818	39.57096890881939	-9800.799141769274	-195.6011502714073	-237.97752064488736	-173.61995103103854
32000	-10523.950312339712	-479.0757911705487	-10044.874521169162	188.16325320959913	177.16325320959913	1692.629089111277	188.16325320959913	177.16325320959913	461.9529356037653	3.2295822656691144	0.2469435567807838	0.2564912877241865	0.2446606111280678	0.25190454436696164	0.025926150561292802	0.5454281946909902	6.35233785700696E-4	3.5464451077003627	-0.05118541528203465	5.13174848301568E-4	-1.7573480980204417E-4	-1.7573480980204417E-4	2.402341008583142E-4	0.5005042699762935	2599.9537458751356	1901.9047478815344	1901.9047478815346	5553.877923090827	44.059233666458034	-9805.519492399291	-195.6011502714073	-239.35502876987113	-173.93563106496634
33000	-10524.535559898723	-476.59978053427346	-10047.935779364449	185.36216388808583	174.36216388808583	1697.4222586184258	185.36216388808583	174.36216388808583	583.9230935464572	3.3960649350098606	0.23867499290266406	0.25590526624395293	0.25500769091223485	0.2504120499411479	0.02732660186347582	0.58494382085824	6.504756498795625E-4	3.7135020854580927	-0.027142515677585067	4.004054811487609E-4	-3.275599911805976E-5	-3.275599911805976E-5	2.8562539977809904E-4	0.0968595464610175	2521.120889922271	289.1263652006207	289.1263652006207	3534.246687261609	42.35959830924776	-9807.664210142222	-195.6011502714073	-240.27156922222693	-175.64198073477507
34000	-10520.105960462659	-472.1111485504577	-10047.994811912202	181.35812838867378	170.35812838867378	1660.1947695785486	181.35812838867378	170.35812838867378	477.66352546570295	3.1902305005707565	0.24277507318418282	0.2635591207841062	0.24798777358693774	0.24567803244477296	0.026171255042390776	0.5260786080463218	6.519259961267995E-4	3.6305197149704362	0.09428141337824576	3.112811046067644E-4	-4.307831366364904E-5	-4.307831366364904E-5	1.605820346339004E-4	0.19267875725806394	3336.3943485752793	895.033137307191	895.0331373071912	6467.451484196289	45.21209042361952	-9808.297773946908	-195.6011502714073	-239.69703796529473	-173.538355362988
35000	-10511.484747720862	-472.0184624360722	-10039.46628528479	189.20099400754722	178.20099400754722	1692.2094131886388	189.20099400754722	178.20099400754722	421.56550606914533	3.5829805186993275	0.24277507318418282	0.2511633556438691	0.26038353872717485	0.24567803244477296	0.025497224233349394	0.539230069467292	6.270723370361685E-4	3.6441701635408807	0.16244474425131844	4.501203765452218E-4	-5.441595813505943E-5	-5.441595813505943E-5	2.256727519069408E-4	0.1707349301822412	2288.3338125857235	551.7807351241677	551.7807351241676	4564.24476893424	45.48377744416479	-9801.99583779236	-195.6011502714073	-237.47044749243034	-173.34750852208796
36000	-10509.088608592861	-473.47282815843397	-10035.615780434428	199.57060231764999	188.57060231764999	1710.5865896026703	199.57060231764999	188.57060231764999	635.4568825500875	3.737655448844725	0.2399918475217692	0.2482046608014585	0.26612545923199904	0.24567803244477296	0.02507482331612067	0.51948832286095	6.219390563460553E-4	3.5591833434922373	0.018308588866258024	3.816541504592127E-4	-2.1546961775966274E-6	-2.1546961775966274E-6	3.283726961972564E-4	0.006086498607028482	2620.270330178381	17.19353201434773	17.19353201434773	3045.43300468861	41.16273726686459	-9796.262643198192	-195.6011502714073	-239.35313723623608	-175.99574225845444
37000	-10512.250749703962	-474.07076019392656	-10038.179989510036	195.251383129622	184.251383129622	1740.929647038769	195.251383129622	184.251383129622	333.0466345016806	3.7691740635270596	0.24356262729153158	0.26178971076792773	0.2599309275446236	0.23471673439591673	0.02450409316643287	0.5350595161692944	6.185393385198938E-4	3.512194803151262	0.14094074161256648	4.6681031481842476E-4	-7.625026078020218E-5	-7.625026078020218E-5	1.902888452689631E-4	0.25583764344683346	2292.2308961478616	918.5152358913328	918.515235891333	5623.225180408568	45.67251197042631	-9801.044625367967	-195.6011502714073	-237.13536414206905	-174.16665330770243
38000	-10505.861027137516	-475.76543168851754	-10030.095595448998	197.4727338799628	186.4727338799628	1759.1352922084097	197.4727338799628	186.4727338799628	447.08668407806704	3.410215159148245	0.24722850312761968	0.261483095625442	0.2575177721174788	0.2337706291294592	0.02409232467279675	0.5289582070220303	6.099022176165342E-4	3.5149228183885595	0.12293335479423136	5.690937514823445E-4	-1.6395364525072928E-4	-1.6395364525072928E-4	4.352702682990878E-4	0.3294197754481943	1971.075710516917	742.4468688551983	742.4468688551983	2577.0813038464335	40.564147035169796	-9793.256778794634	-195.6011502714073	-236.8388166543643	-174.7029536380552
39000	-10519.541039907841	-475.21114016297423	-10044.329899744867	183.28344065102317	172.28344065102317	1696.064973538589	183.28344065102317	172.28344065102317	444.23261383316645	3.2221189121848	0.24419300826488477	0.25829107748272584	0.2637452851229299	0.2337706291294592	0.024020732001283393	0.49038578790413917	6.457378547943596E-4	3.463860559543989	-0.03478299805949107	2.8913712759098386E-4	-5.501383753411751E-5	-5.501383753411751E-5	1.8393289219040916E-4	0.23855598100498032	3667.2668876570347	1096.8697460754263	1096.869746075426	5764.836301867121	47.676676513056435	-9808.033261128301	-195.6011502714073	-236.29663861656576	-173.96640164569496
40000	-10515.288992363348	-477.21354788841876	-10038.07544447493	200.58509496445345	189.58509496445345	1753.8317424793518	200.58509496445345	189.58509496445345	530.505660637776	3.592014924312777	0.2540977120564117	0.2516902096100488	0.25181055414031056	0.24240152419322863	0.024755061816571774	0.5103503088911803	6.568316226216248E-4	3.334533053889641	-0.0773976220402185	4.587846130553805E-4	1.4055266780610152E-4	1.4055266780610152E-4	2.8335171008994674E-4	-0.38982685334289136	2570.2618305965307	-1274.9425692043985	-1274.9425692043985	4161.600362415039	40.0995589886775	-9800.782233225866	-195.6011502714073	-237.29321124906318	-175.37997949099815
41000	-10512.672482856833	-474.77158853420195	-10037.90089432263	219.6424420326321	208.6424420326321	1820.3574097780674	219.6424420326321	208.6424420326321	464.9705180530784	3.6674450960331617	0.2503415648700194	0.2597467323929177	0.24679351215239798	0.24311819058466455	0.024060528768103898	0.48655181737094605	6.099568783918759E-4	3.3772056955254492	-0.07020618715039416	2.946122801726893E-4	2.0056624378039372E-5	2.0056624378039372E-5	3.0528684064910246E-4	-0.06687724531769074	3409.5410383744456	-223.99879327516513	-223.9987932751651	3290.3241342538595	38.61075532052803	-9799.030656362724	-195.6011502714073	-238.8702379599071	-174.8988909698259
42000	-10515.77105438621	-474.5044515491755	-10041.266602837035	224.3907979331724	213.3907979331724	1819.1791613016737	224.3907979331724	213.3907979331724	364.42039398063383	3.1345364242979805	0.2508229327977557	0.26066875841529974	0.2526903202118807	0.2358179885750635	0.023163234205117077	0.48246427684376053	6.044560040692972E-4	3.5449643448077497	-0.05693521899864474	3.451834841959465E-4	8.017226265991377E-5	8.017226265991377E-5	1.527187321558913E-4	-0.34918291133198937	3299.2878850327097	-1732.0165717425386	-1732.0165717425384	7457.236394279046	41.297453871659556	-9802.60714490901	-195.6011502714073	-238.65945792802435	-174.2102311770208
43000	-10517.230364645528	-470.70852280763785	-10046.52184183789	232.04249669601174	221.04249669601174	1817.8756243781754	232.04249669601174	221.04249669601174	490.7414365577293	3.4102532938473606	0.25095891347043714	0.2454476823968447	0.2656658962769703	0.23792750785574746	0.021681733865932414	0.4306834926719119	6.262467823588068E-4	3.120593035675959	-0.0641520717942003	4.486905213568375E-4	-9.441505385236862E-5	-9.441505385236862E-5	2.4220325115014744E-4	0.28640316526681525	2427.8569247515247	946.4209964471474	946.4209964471476	4497.695155509091	41.11713686107382	-9805.212034138645	-195.6011502714073	-241.30980769924517	-174.20686925020308
